,team1,team2,result,date
16,Atalanta,Juventus,P,2019-11-23
12,Milan,Napoli,N,2019-11-23
13,Sampdoria,Udinese,V,2019-11-24
16,Roma,Brescia,V,2019-11-24
13,Bologna,Parma,N,2019-11-24
12,Sassuolo,Lazio,P,2019-11-24
13,Hellas Verona,Fiorentina,V,2019-11-24
13,SPAL,Genoa,N,2019-11-25
13,Lecce,Cagliari,N,2019-11-25
14,Fiorentina,Lecce,P,2019-11-30
13,Brescia,Atalanta,P,2019-11-30
14,Genoa,Torino,P,2019-11-30
18,Juventus,Sassuolo,N,2019-12-01
18,Napoli,Bologna,P,2019-12-01
14,Hellas Verona,Roma,P,2019-12-01
14,Parma,Milan,P,2019-12-01
18,Lazio,Udinese,V,2019-12-01
18,Inter,SPAL,V,2019-12-01
14,Cagliari,Sampdoria,V,2019-12-02
19,Inter,Roma,N,2019-12-06
19,Lazio,Juventus,V,2019-12-07
19,Atalanta,Hellas Verona,V,2019-12-07
16,Udinese,Napoli,N,2019-12-07
16,Lecce,Genoa,N,2019-12-08
16,SPAL,Brescia,P,2019-12-08
15,Sassuolo,Cagliari,N,2019-12-08
16,Sampdoria,Parma,P,2019-12-08
16,Bologna,Milan,P,2019-12-08
20,Torino,Fiorentina,V,2019-12-08
21,Napoli,Parma,P,2019-12-14
17,Genoa,Sampdoria,P,2019-12-14
15,Brescia,Lecce,V,2019-12-14
16,Hellas Verona,Torino,N,2019-12-15
17,Fiorentina,Inter,N,2019-12-15
21,Roma,SPAL,V,2019-12-15
17,Bologna,Atalanta,V,2019-12-15
15,Milan,Sassuolo,N,2019-12-15
21,Juventus,Udinese,V,2019-12-15
17,Cagliari,Lazio,P,2019-12-16
16,Brescia,Sassuolo,P,2019-12-18
18,Sampdoria,Juventus,P,2019-12-18
18,Fiorentina,Roma,P,2019-12-20
22,Torino,SPAL,P,2019-12-21
18,Udinese,Cagliari,V,2019-12-21
22,Inter,Genoa,V,2019-12-21
22,Atalanta,Milan,V,2019-12-22
18,Sassuolo,Napoli,P,2019-12-22
18,Parma,Brescia,N,2019-12-22
18,Lecce,Bologna,P,2019-12-22
19,Genoa,Sassuolo,V,2020-01-05
18,Brescia,Lazio,P,2020-01-05
23,Roma,Torino,P,2020-01-05
19,SPAL,Hellas Verona,P,2020-01-05
19,Lecce,Udinese,P,2020-01-06
17,Milan,Sampdoria,N,2020-01-06
23,Napoli,Inter,P,2020-01-06
23,Atalanta,Parma,V,2020-01-06
19,Bologna,Fiorentina,N,2020-01-06
24,Juventus,Cagliari,V,2020-01-06
24,Lazio,Napoli,V,2020-01-11
20,Cagliari,Milan,P,2020-01-11
24,Inter,Atalanta,N,2020-01-11
20,Udinese,Sassuolo,V,2020-01-12
25,Torino,Bologna,V,2020-01-12
20,Sampdoria,Brescia,V,2020-01-12
20,Fiorentina,SPAL,V,2020-01-12
24,Roma,Juventus,P,2020-01-12
18,Hellas Verona,Genoa,V,2020-01-12
20,Parma,Lecce,V,2020-01-13
21,Sassuolo,Torino,V,2020-01-18
26,Napoli,Fiorentina,P,2020-01-18
26,Lazio,Sampdoria,V,2020-01-18
22,Genoa,Roma,P,2020-01-19
21,Bologna,Hellas Verona,N,2020-01-19
20,Brescia,Cagliari,N,2020-01-19
27,Juventus,Parma,V,2020-01-19
21,Lecce,Inter,N,2020-01-19
20,Milan,Udinese,V,2020-01-19
26,Atalanta,SPAL,P,2020-01-20
21,Brescia,Milan,P,2020-01-24
27,Torino,Atalanta,P,2020-01-25
23,SPAL,Bologna,P,2020-01-25
23,Fiorentina,Genoa,N,2020-01-25
22,Sampdoria,Sassuolo,N,2020-01-26
23,Parma,Udinese,V,2020-01-26
20,Hellas Verona,Lecce,V,2020-01-26
28,Napoli,Juventus,V,2020-01-26
27,Inter,Cagliari,N,2020-01-26
28,Roma,Lazio,N,2020-01-26
23,Bologna,Brescia,V,2020-02-01
24,Cagliari,Parma,N,2020-02-01
23,Sassuolo,Roma,V,2020-02-01
23,Milan,Hellas Verona,N,2020-02-02
29,Lazio,SPAL,V,2020-02-02
30,Juventus,Fiorentina,V,2020-02-02
23,Lecce,Torino,V,2020-02-02
24,Udinese,Inter,P,2020-02-02
28,Atalanta,Genoa,N,2020-02-02
23,Sampdoria,Napoli,P,2020-02-03
30,Lazio,Hellas Verona,N,2020-02-05
30,Roma,Bologna,P,2020-02-07
30,Torino,Sampdoria,P,2020-02-08
26,Fiorentina,Atalanta,P,2020-02-08
