,team1,team2,result,date
33,sampdoria,roma,P,2022-04-03
31,udinese,cagliari,V,2022-04-03
41,atalanta,napoli,P,2022-04-03
42,juventus,inter,P,2022-04-03
34,fiorentina,empoli,V,2022-04-03
39,milan,bologna,N,2022-04-04
32,hellas verona,genoa,V,2022-04-04
34,cagliari,juventus,P,2022-04-09
42,inter,hellas verona,V,2022-04-09
34,empoli,spezia,N,2022-04-09
32,torino,milan,N,2022-04-10
44,roma,salernitana,V,2022-04-10
33,sassuolo,atalanta,V,2022-04-10
40,napoli,fiorentina,P,2022-04-10
33,venezia,udinese,P,2022-04-10
34,genoa,lazio,P,2022-04-10
31,bologna,sampdoria,V,2022-04-11
41,milan,genoa,V,2022-04-15
34,spezia,inter,P,2022-04-15
42,lazio,torino,N,2022-04-16
44,juventus,bologna,N,2022-04-16
35,cagliari,sassuolo,V,2022-04-16
35,sampdoria,salernitana,P,2022-04-16
33,udinese,empoli,V,2022-04-16
36,fiorentina,venezia,V,2022-04-16
41,napoli,roma,N,2022-04-18
45,atalanta,hellas verona,P,2022-04-18
34,udinese,salernitana,P,2022-04-20
35,hellas verona,sampdoria,N,2022-04-23
45,inter,roma,V,2022-04-23
34,torino,spezia,V,2022-04-23
35,venezia,atalanta,P,2022-04-23
36,genoa,cagliari,V,2022-04-24
33,bologna,udinese,N,2022-04-24
34,salernitana,fiorentina,V,2022-04-24
36,empoli,napoli,V,2022-04-24
43,lazio,milan,P,2022-04-24
35,sassuolo,juventus,P,2022-04-25
47,atalanta,torino,N,2022-04-27
34,bologna,inter,V,2022-04-27
39,fiorentina,udinese,P,2022-04-27
37,cagliari,hellas verona,P,2022-04-30
36,spezia,lazio,P,2022-04-30
37,sampdoria,genoa,V,2022-04-30
43,napoli,sassuolo,V,2022-04-30
47,juventus,venezia,V,2022-05-01
49,roma,bologna,N,2022-05-01
44,milan,fiorentina,V,2022-05-01
37,empoli,torino,P,2022-05-01
37,udinese,inter,P,2022-05-01
48,atalanta,salernitana,N,2022-05-02
36,salernitana,venezia,V,2022-05-05
48,inter,empoli,V,2022-05-06
38,genoa,juventus,V,2022-05-06
45,lazio,sampdoria,V,2022-05-07
37,torino,napoli,P,2022-05-07
37,sassuolo,udinese,N,2022-05-07
37,hellas verona,milan,P,2022-05-08
37,salernitana,cagliari,N,2022-05-08
38,venezia,bologna,V,2022-05-08
37,spezia,atalanta,P,2022-05-08
41,fiorentina,roma,V,2022-05-09
39,udinese,spezia,P,2022-05-14
38,hellas verona,torino,P,2022-05-14
52,roma,venezia,N,2022-05-14
39,empoli,salernitana,N,2022-05-14
39,cagliari,inter,P,2022-05-15
37,bologna,sassuolo,P,2022-05-15
45,napoli,genoa,V,2022-05-15
46,milan,atalanta,V,2022-05-15
50,juventus,lazio,N,2022-05-16
39,sampdoria,fiorentina,V,2022-05-16
39,torino,roma,P,2022-05-20
47,lazio,hellas verona,N,2022-05-21
40,genoa,bologna,P,2022-05-21
43,fiorentina,juventus,V,2022-05-21
51,atalanta,empoli,P,2022-05-21
39,sassuolo,milan,P,2022-05-22
39,salernitana,udinese,P,2022-05-22
51,inter,sampdoria,V,2022-05-22
39,spezia,napoli,P,2022-05-22
40,venezia,cagliari,N,2022-05-22
