,team1,date,matchday,stadium,result,goals,team2
20,Brescia,2020-01-19,Giornata n. 20,Casa,N,2,Cagliari
27,Juventus,2020-01-19,Giornata n. 20,Casa,V,2,Parma
21,Lecce,2020-01-19,Giornata n. 20,Casa,N,1,Inter
20,Milan,2020-01-19,Giornata n. 20,Casa,V,3,Udinese
26,Atalanta,2020-01-20,Giornata n. 20,Casa,P,1,SPAL
21,Brescia,2020-01-24,Giornata n. 21,Casa,P,0,Milan
27,Torino,2020-01-25,Giornata n. 21,Casa,P,0,Atalanta
23,SPAL,2020-01-25,Giornata n. 21,Casa,P,1,Bologna
23,Fiorentina,2020-01-25,Giornata n. 21,Casa,N,0,Genoa
22,Sampdoria,2020-01-26,Giornata n. 21,Casa,N,0,Sassuolo
23,Parma,2020-01-26,Giornata n. 21,Casa,V,2,Udinese
20,Hellas Verona,2020-01-26,Giornata n. 21,Casa,V,3,Lecce
28,Napoli,2020-01-26,Giornata n. 21,Casa,V,2,Juventus
27,Inter,2020-01-26,Giornata n. 21,Casa,N,1.0,Cagliari
28,Roma,2020-01-26,Giornata n. 21,Casa,N,1.0,Lazio
23,Bologna,2020-02-01,Giornata n. 22,Casa,V,2,Brescia
24,Cagliari,2020-02-01,Giornata n. 22,Casa,N,2,Parma
23,Sassuolo,2020-02-01,Giornata n. 22,Casa,V,4,Roma
23,Milan,2020-02-02,Giornata n. 22,Casa,N,1,Hellas Verona
29,Lazio,2020-02-02,Giornata n. 22,Casa,V,5,SPAL
30,Juventus,2020-02-02,Giornata n. 22,Casa,V,3,Fiorentina
23,Lecce,2020-02-02,Giornata n. 22,Casa,V,4,Torino
24,Udinese,2020-02-02,Giornata n. 22,Casa,P,0,Inter
28,Atalanta,2020-02-02,Giornata n. 22,Casa,N,2,Genoa
23,Sampdoria,2020-02-03,Giornata n. 22,Casa,P,2,Napoli
30,Lazio,2020-02-05,Giornata n. 17,Casa,N,0,Hellas Verona
30,Roma,2020-02-07,Giornata n. 23,Casa,P,2.0,Bologna
30,Torino,2020-02-08,Giornata n. 23,Casa,P,1,Sampdoria
26,Fiorentina,2020-02-08,Giornata n. 23,Casa,P,1,Atalanta
23,Hellas Verona,2020-02-08,Giornata n. 23,Casa,V,2,Juventus
30,Inter,2020-02-09,Giornata n. 23,Casa,V,4.0,Milan
25,Parma,2020-02-09,Giornata n. 23,Casa,P,0,Lazio
25,SPAL,2020-02-09,Giornata n. 23,Casa,P,1,Sassuolo
23,Brescia,2020-02-09,Giornata n. 23,Casa,N,1,Udinese
30,Napoli,2020-02-09,Giornata n. 23,Casa,P,2,Lecce
25,Genoa,2020-02-09,Giornata n. 23,Casa,V,1,Cagliari
25,Lecce,2020-02-15,Giornata n. 24,Casa,V,2,SPAL
30,Atalanta,2020-02-15,Giornata n. 24,Casa,V,2,Roma
25,Bologna,2020-02-15,Giornata n. 24,Casa,P,0,Genoa
25,Sassuolo,2020-02-16,Giornata n. 24,Casa,P,0,Parma
25,Sampdoria,2020-02-16,Giornata n. 24,Casa,P,1,Fiorentina
32,Lazio,2020-02-16,Giornata n. 24,Casa,V,2,Inter
33,Juventus,2020-02-16,Giornata n. 24,Casa,V,2,Brescia
26,Udinese,2020-02-16,Giornata n. 24,Casa,N,0,Hellas Verona
26,Cagliari,2020-02-16,Giornata n. 24,Casa,P,0,Napoli
26,Milan,2020-02-17,Giornata n. 24,Casa,V,1,Torino
25,Brescia,2020-02-21,Giornata n. 25,Casa,P,1,Napoli
26,Bologna,2020-02-22,Giornata n. 25,Casa,N,1,Udinese
27,SPAL,2020-02-22,Giornata n. 25,Casa,P,1,Juventus
28,Fiorentina,2020-02-22,Giornata n. 25,Casa,N,1,Milan
33,Roma,2020-02-23,Giornata n. 25,Casa,V,4.0,Lecce
27,Genoa,2020-02-23,Giornata n. 25,Casa,P,2,Lazio
34,Lazio,2020-02-29,Giornata n. 26,Casa,V,2,Bologna
35,Napoli,2020-02-29,Giornata n. 26,Casa,V,2,Torino
27,Cagliari,2020-03-01,Giornata n. 26,Casa,P,3,Roma
27,Lecce,2020-03-01,Giornata n. 26,Casa,P,2,Atalanta
28,Milan,2020-03-08,Giornata n. 26,Casa,P,1,Genoa
27,Parma,2020-03-08,Giornata n. 26,Casa,P,0,SPAL
36,Juventus,2020-03-08,Giornata n. 26,Casa,V,2,Inter
28,Udinese,2020-03-08,Giornata n. 26,Casa,N,0,Fiorentina
26,Sampdoria,2020-03-08,Giornata n. 26,Casa,V,2,Hellas Verona
26,Sassuolo,2020-03-09,Giornata n. 26,Casa,V,3,Brescia
33,Torino,2020-06-20,Giornata n. 25,Casa,N,1,Parma
26,Hellas Verona,2020-06-20,Giornata n. 25,Casa,V,2,Cagliari
34,Atalanta,2020-06-21,Giornata n. 25,Casa,V,4,Sassuolo
38,Inter,2020-06-21,Giornata n. 25,Casa,V,2.0,Sampdoria
28,Lecce,2020-06-22,Giornata n. 27,Casa,P,1,Milan
30,Fiorentina,2020-06-22,Giornata n. 27,Casa,N,1,Brescia
28,Bologna,2020-06-22,Giornata n. 27,Casa,P,0,Juventus
27,Hellas Verona,2020-06-23,Giornata n. 27,Casa,P,0,Napoli
34,Torino,2020-06-23,Giornata n. 27,Casa,V,1,Udinese
29,SPAL,2020-06-23,Giornata n. 27,Casa,P,0,Cagliari
29,Genoa,2020-06-23,Giornata n. 27,Casa,P,1,Parma
37,Roma,2020-06-24,Giornata n. 27,Casa,V,2.0,Sampdoria
35,Atalanta,2020-06-24,Giornata n. 27,Casa,V,3,Lazio
39,Inter,2020-06-24,Giornata n. 27,Casa,N,3.0,Sassuolo
40,Juventus,2020-06-26,Giornata n. 28,Casa,V,4,Lecce
36,Lazio,2020-06-27,Giornata n. 28,Casa,V,2,Fiorentina
30,Cagliari,2020-06-27,Giornata n. 28,Casa,V,4,Torino
28,Brescia,2020-06-27,Giornata n. 28,Casa,N,2,Genoa
39,Napoli,2020-06-28,Giornata n. 28,Casa,V,3,SPAL
30,Parma,2020-06-28,Giornata n. 28,Casa,P,1,Inter
29,Sampdoria,2020-06-28,Giornata n. 28,Casa,P,1,Bologna
30,Udinese,2020-06-28,Giornata n. 28,Casa,P,2,Atalanta
31,Milan,2020-06-28,Giornata n. 28,Casa,V,2,Roma
29,Sassuolo,2020-06-28,Giornata n. 28,Casa,N,3,Hellas Verona
36,Torino,2020-06-30,Giornata n. 29,Casa,P,1,Lazio
31,Genoa,2020-06-30,Giornata n. 29,Casa,P,1,Juventus
30,Bologna,2020-07-01,Giornata n. 29,Casa,N,1,Cagliari
31,SPAL,2020-07-01,Giornata n. 29,Casa,N,2,Milan
32,Fiorentina,2020-07-01,Giornata n. 29,Casa,P,1,Sassuolo
29,Hellas Verona,2020-07-01,Giornata n. 29,Casa,V,3,Parma
30,Lecce,2020-07-01,Giornata n. 29,Casa,P,1,Sampdoria
41,Inter,2020-07-01,Giornata n. 29,Casa,V,6.0,Brescia
39,Roma,2020-07-02,Giornata n. 29,Casa,P,0.0,Udinese
37,Atalanta,2020-07-02,Giornata n. 29,Casa,V,2,Napoli
31,Sassuolo,2020-07-04,Giornata n. 30,Casa,V,4,Lecce
38,Lazio,2020-07-04,Giornata n. 30,Casa,P,0,Milan
42,Juventus,2020-07-04,Giornata n. 30,Casa,V,4,Torino
32,Parma,2020-07-05,Giornata n. 30,Casa,P,1,Fiorentina
32,Cagliari,2020-07-05,Giornata n. 30,Casa,P,0,Atalanta
30,Brescia,2020-07-05,Giornata n. 30,Casa,V,2,Hellas Verona
31,Sampdoria,2020-07-05,Giornata n. 30,Casa,V,3,SPAL
42,Inter,2020-07-05,Giornata n. 30,Casa,P,1.0,Bologna
32,Udinese,2020-07-05,Giornata n. 30,Casa,N,2,Genoa
41,Napoli,2020-07-05,Giornata n. 30,Casa,V,2,Roma
34,Milan,2020-07-07,Giornata n. 31,Casa,V,4,Juventus
32,Lecce,2020-07-07,Giornata n. 31,Casa,V,2,Lazio
33,Genoa,2020-07-08,Giornata n. 31,Casa,P,1,Napoli
32,Bologna,2020-07-08,Giornata n. 31,Casa,P,1,Sassuolo
34,Fiorentina,2020-07-08,Giornata n. 31,Casa,N,0,Cagliari
39,Atalanta,2020-07-08,Giornata n. 31,Casa,V,2,Sampdoria
41,Roma,2020-07-08,Giornata n. 31,Casa,V,2.0,Parma
38,Torino,2020-07-08,Giornata n. 31,Casa,V,3,Brescia
33,SPAL,2020-07-09,Giornata n. 31,Casa,P,0,Udinese
31,Hellas Verona,2020-07-09,Giornata n. 31,Casa,N,2,Inter
40,Lazio,2020-07-11,Giornata n. 32,Casa,P,1,Sassuolo
44,Juventus,2020-07-11,Giornata n. 32,Casa,N,2,Atalanta
32,Brescia,2020-07-11,Giornata n. 32,Casa,P,0,Roma
34,Genoa,2020-07-12,Giornata n. 32,Casa,V,2,SPAL
34,Parma,2020-07-12,Giornata n. 32,Casa,N,2,Bologna
34,Udinese,2020-07-12,Giornata n. 32,Casa,P,1,Sampdoria
35,Fiorentina,2020-07-12,Giornata n. 32,Casa,N,1,Hellas Verona
43,Napoli,2020-07-12,Giornata n. 32,Casa,N,2,Milan
34,Cagliari,2020-07-12,Giornata n. 32,Casa,N,0,Lecce
44,Inter,2020-07-13,Giornata n. 32,Casa,V,3.0,Torino
41,Atalanta,2020-07-14,Giornata n. 33,Casa,V,6,Brescia
34,Sassuolo,2020-07-15,Giornata n. 33,Casa,N,3,Juventus
34,Bologna,2020-07-15,Giornata n. 33,Casa,N,1,Napoli
34,Lecce,2020-07-15,Giornata n. 33,Casa,P,1,Fiorentina
36,Milan,2020-07-15,Giornata n. 33,Casa,V,3,Parma
35,Udinese,2020-07-15,Giornata n. 33,Casa,N,0,Lazio
34,Sampdoria,2020-07-15,Giornata n. 33,Casa,V,3,Cagliari
43,Roma,2020-07-15,Giornata n. 33,Casa,V,2.0,Hellas Verona
35,SPAL,2020-07-16,Giornata n. 33,Casa,P,0,Inter
40,Torino,2020-07-16,Giornata n. 33,Casa,V,3,Genoa
37,Milan,2020-07-18,Giornata n. 34,Casa,V,5,Bologna
36,Cagliari,2020-07-18,Giornata n. 34,Casa,N,1,Sassuolo
34,Hellas Verona,2020-07-18,Giornata n. 34,Casa,N,1,Atalanta
36,Parma,2020-07-19,Giornata n. 34,Casa,P,2,Sampdoria
34,Brescia,2020-07-19,Giornata n. 34,Casa,V,2,SPAL
37,Fiorentina,2020-07-19,Giornata n. 34,Casa,V,2,Torino
36,Genoa,2020-07-19,Giornata n. 34,Casa,V,2,Lecce
45,Napoli,2020-07-19,Giornata n. 34,Casa,V,2,Udinese
44,Roma,2020-07-19,Giornata n. 34,Casa,N,2.0,Inter
46,Juventus,2020-07-20,Giornata n. 34,Casa,V,2,Lazio
43,Atalanta,2020-07-21,Giornata n. 35,Casa,V,1,Bologna
36,Sassuolo,2020-07-21,Giornata n. 35,Casa,P,1,Milan
36,Lecce,2020-07-22,Giornata n. 35,Casa,V,3,Brescia
47,Inter,2020-07-22,Giornata n. 35,Casa,N,0.0,Fiorentina
42,Torino,2020-07-22,Giornata n. 35,Casa,N,1,Hellas Verona
36,Sampdoria,2020-07-22,Giornata n. 35,Casa,P,1,Genoa
37,Parma,2020-07-22,Giornata n. 35,Casa,V,2,Napoli
37,SPAL,2020-07-22,Giornata n. 35,Casa,P,1,Roma
37,Udinese,2020-07-23,Giornata n. 35,Casa,V,2,Juventus
43,Lazio,2020-07-23,Giornata n. 35,Casa,V,2,Cagliari
39,Milan,2020-07-24,Giornata n. 36,Casa,N,1,Atalanta
36,Brescia,2020-07-25,Giornata n. 36,Casa,P,1,Parma
38,Genoa,2020-07-25,Giornata n. 36,Casa,P,0,Inter
47,Napoli,2020-07-25,Giornata n. 36,Casa,V,2,Sassuolo
38,Cagliari,2020-07-26,Giornata n. 36,Casa,P,0,Udinese
38,SPAL,2020-07-26,Giornata n. 36,Casa,N,1,Torino
37,Bologna,2020-07-26,Giornata n. 36,Casa,V,3,Lecce
36,Hellas Verona,2020-07-26,Giornata n. 36,Casa,P,1,Lazio
48,Juventus,2020-07-26,Giornata n. 36,Casa,V,2,Sampdoria
46,Roma,2020-07-26,Giornata n. 36,Casa,V,2.0,Fiorentina
39,Parma,2020-07-28,Giornata n. 37,Casa,P,1,Atalanta
49,Inter,2020-07-28,Giornata n. 37,Casa,V,2.0,Napoli
45,Lazio,2020-07-29,Giornata n. 37,Casa,V,2,Brescia
37,Hellas Verona,2020-07-29,Giornata n. 37,Casa,V,3,SPAL
39,Cagliari,2020-07-29,Giornata n. 37,Casa,V,2,Juventus
40,Fiorentina,2020-07-29,Giornata n. 37,Casa,V,4,Bologna
44,Torino,2020-07-29,Giornata n. 37,Casa,P,2,Roma
39,Udinese,2020-07-29,Giornata n. 37,Casa,P,1,Lecce
38,Sampdoria,2020-07-29,Giornata n. 37,Casa,P,1,Milan
38,Sassuolo,2020-07-29,Giornata n. 37,Casa,V,5,Genoa
41,Milan,2020-08-01,Giornata n. 38,Casa,V,3,Cagliari
50,Juventus,2020-08-01,Giornata n. 38,Casa,P,1,Roma
38,Brescia,2020-08-01,Giornata n. 38,Casa,N,1,Sampdoria
46,Atalanta,2020-08-01,Giornata n. 38,Casa,P,0,Inter
49,Napoli,2020-08-01,Giornata n. 38,Casa,V,3,Lazio
39,Lecce,2020-08-02,Giornata n. 38,Casa,P,3,Parma
40,SPAL,2020-08-02,Giornata n. 38,Casa,P,1,Fiorentina
40,Genoa,2020-08-02,Giornata n. 38,Casa,V,3,Hellas Verona
39,Bologna,2020-08-02,Giornata n. 38,Casa,N,1,Torino
