,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
76,25,P,0.3999999999999999,13,-1.6000000000000014,0.1999999999999993,-0.2,-0.2,3.200000000000003,-2.0,-0.4000000000000001,-0.2,1.0,0.0,2
77,17,N,-0.3999999999999999,16,1.0,-0.2000000000000001,0.0,0.0,15.4,1.0,0.0,1.0,2.0,0.0,1
78,3,N,-0.4000000000000001,9,-3.799999999999999,-1.6,-0.2,-0.4,-8.399999999999999,0.5999999999999996,-1.0,0.2,0.0,2.0,0
79,12,P,-1.0,25,-1.1999999999999993,-1.0,0.0,0.2,-6.799999999999997,3.4000000000000004,-0.3999999999999999,0.2,0.0,2.0,0
80,16,N,-0.6000000000000001,14,-10.6,-3.2,0.3999999999999999,0.6000000000000001,-21.800000000000004,-0.5999999999999996,0.3999999999999999,0.0,0.0,2.0,2
81,13,N,0.4000000000000001,20,1.200000000000001,1.4,0.6,0.1999999999999999,10.200000000000005,0.6000000000000014,0.1999999999999997,0.2,1.0,1.0,1
82,11,V,-0.6,3,1.5999999999999996,0.6000000000000001,0.0,0.2,12.0,3.0,1.1999999999999995,0.2,2.0,0.0,1
83,0,V,2.4,28,8.600000000000001,4.6,0.0,0.0,7.799999999999997,-4.999999999999998,-1.6,0.0,2.0,0.0,1
84,22,N,-1.2000000000000002,19,-8.6,-1.7999999999999998,-0.2,-0.2,-12.200000000000005,3.0,0.7999999999999998,0.0,0.0,2.0,2
85,9,P,-0.6000000000000001,15,-0.8000000000000007,-1.2000000000000002,-0.2,-0.1999999999999999,-1.5999999999999943,2.2,0.6000000000000001,-0.2,0.0,1.0,2
86,27,N,-0.8,4,-1.8000000000000007,0.0,0.0,0.0,12.0,1.1999999999999993,0.0,0.2,0.0,0.0,1
87,21,V,-0.3999999999999999,17,3.0,0.0,-0.4,-0.2,4.399999999999999,3.0,0.6000000000000001,-0.4,0.0,1.0,0
88,2,V,0.2,24,-2.2,0.0,0.2,0.4,6.399999999999999,1.1999999999999993,0.6000000000000001,0.2,1.0,1.0,1
89,20,P,1.6,12,1.200000000000001,0.4000000000000003,0.0,0.4,-11.0,0.0,-0.2000000000000001,0.0,2.0,0.0,2
90,3,P,-1.4,13,-5.799999999999999,-2.0,-0.6,-0.6,-15.4,-1.5999999999999996,-0.7999999999999998,-0.2,0.0,2.0,2
91,25,P,0.2000000000000001,9,0.0,0.2000000000000001,-0.2,-0.4,3.800000000000004,-0.4000000000000003,-0.3999999999999999,-0.2,1.0,0.0,0
92,19,N,-2.8,0,-1.3999999999999986,-4.2,-0.4,-0.4,7.400000000000006,-1.0,0.0,0.2,1.0,1.0,0
93,15,V,1.2000000000000002,27,2.0,1.6,0.2,0.6000000000000001,-1.0,-2.2,0.6000000000000001,0.0,0.0,1.0,1
95,4,V,0.1999999999999999,2,-3.6,-1.0,0.2,0.0,-11.200000000000005,-1.4000000000000004,-0.4000000000000003,-0.4,1.0,1.0,1
96,24,N,-0.7999999999999999,16,3.799999999999999,-1.2000000000000002,-0.6,-0.8,6.200000000000003,2.8000000000000007,0.6000000000000001,0.2,2.0,0.0,1
97,14,V,0.8,11,7.4,1.2000000000000002,0.2,0.0,11.4,-5.0,-1.5999999999999996,-0.4,0.0,1.0,1
98,17,V,0.7999999999999999,22,1.5999999999999996,0.0,0.4,0.4,10.799999999999995,1.0,0.0,0.6000000000000001,2.0,0.0,1
99,27,P,-1.2000000000000002,14,-12.2,-4.6,-0.2,-0.2,-12.199999999999996,0.7999999999999989,-0.3999999999999999,0.2,0.0,1.0,0
100,21,V,0.2000000000000001,19,-3.200000000000001,-1.5999999999999996,0.2,0.4,-2.6000000000000014,3.2,0.7999999999999998,0.4,0.0,1.0,0
101,2,P,-1.0,13,-3.8000000000000007,-0.4000000000000003,-0.3999999999999999,-0.3999999999999999,-4.400000000000006,1.3999999999999986,-0.3999999999999999,0.2,1.0,1.0,2
102,16,N,-0.1999999999999999,25,-1.1999999999999993,-0.3999999999999994,0.2,0.4,-14.799999999999995,-1.200000000000001,0.0,0.2,0.0,2.0,1
103,17,P,-1.6,15,-0.1999999999999993,-1.2000000000000002,-0.3999999999999999,-0.8,4.600000000000001,0.4000000000000003,0.2000000000000001,0.3999999999999999,1.0,0.0,0
104,12,V,0.0,3,-0.6000000000000014,0.3999999999999999,0.0,0.0,9.4,5.800000000000001,1.2000000000000002,0.0,0.0,0.0,1
105,11,P,0.6,28,1.8000000000000007,2.2,0.0,0.2,9.199999999999996,1.5999999999999996,0.1999999999999997,0.6000000000000001,0.0,1.0,2
106,0,P,2.2,4,8.600000000000001,5.6,0.2,0.2,9.0,-0.5999999999999996,-0.7999999999999998,0.0,1.0,1.0,1
107,9,N,-0.6000000000000001,20,-2.3999999999999986,0.1999999999999993,0.2,0.2,3.0,1.8000000000000007,1.7999999999999998,0.2,0.0,2.0,1
108,22,P,-0.1999999999999999,24,-5.799999999999999,0.1999999999999997,0.0,0.0,-3.3999999999999986,-0.1999999999999993,1.0,0.2,0.0,2.0,0
109,25,V,0.0,2,0.5999999999999996,0.4000000000000003,-0.2,-0.2,4.399999999999999,-2.6,0.7999999999999998,-0.2,0.0,1.0,0
110,19,N,-0.1999999999999999,11,2.6,0.2000000000000001,0.0,-0.2,1.2000000000000028,-2.599999999999998,-0.6000000000000001,-0.8,1.0,0.0,1
111,13,V,1.2000000000000002,12,4.0,1.2000000000000002,0.8,0.8,5.0,1.3999999999999986,0.0,0.0,2.0,0.0,1
112,3,P,0.6000000000000001,27,1.0,0.0,0.0,0.0,-3.199999999999996,-4.000000000000002,0.2000000000000001,0.0,0.0,2.0,2
113,14,V,0.2000000000000001,17,8.2,3.2,0.2,0.2,5.200000000000003,0.1999999999999993,-0.7999999999999998,-0.2,2.0,0.0,1
114,4,V,0.8,9,-2.6000000000000014,-1.0000000000000004,0.2,0.2,-7.799999999999997,-2.200000000000001,0.2000000000000001,-0.2,1.0,0.0,2
115,28,N,0.6,22,0.7999999999999989,0.0,0.0,0.0,-4.0,-2.0,-1.4000000000000004,0.0,1.0,0.0,1
116,15,V,1.2000000000000002,16,2.6,1.2000000000000002,0.3999999999999999,0.6,12.6,0.5999999999999996,0.7999999999999998,0.0,2.0,0.0,1
117,20,V,-0.1999999999999999,21,0.1999999999999993,0.0,-0.4,-0.6,-9.6,-3.200000000000001,-1.6,-0.6,0.0,2.0,2
118,24,N,-2.4,0,-5.800000000000001,-4.4,-0.4,-0.4,-10.0,2.2,0.5999999999999996,-0.2,1.0,1.0,2
119,17,N,-0.1999999999999999,19,-2.6000000000000014,-1.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.0,0
120,0,P,1.0,14,-3.799999999999997,-1.7999999999999998,0.0,0.0,-4.200000000000003,-2.0,0.3999999999999999,0.2,0.0,0.0,2
121,27,P,-1.4,13,-10.0,-2.6,-0.1999999999999999,-0.1999999999999999,-6.199999999999996,1.3999999999999986,-0.4000000000000003,0.2,1.0,0.0,2
122,24,V,-0.4,28,0.1999999999999993,0.1999999999999997,0.0,0.0,-2.6000000000000014,1.8000000000000007,-0.3999999999999999,-0.2,1.0,1.0,1
123,2,N,-0.6000000000000001,20,-4.800000000000001,-2.2,0.2,0.2,7.800000000000004,3.8000000000000007,0.9999999999999998,0.0,1.0,0.0,1
