71,Udinese,2018-10-06,P,-1.2000000000000002,Juventus,-10.799999999999999,-4.4,0.0,0.0,-17.4,0.40000000000000036,-0.3999999999999999,-0.2,2018-2019,0.0,0.0
72,Empoli,2018-10-06,P,-1.6,Roma,-5.199999999999999,-5.6000000000000005,0.2,0.2,-2.200000000000003,0.0,0.20000000000000018,0.2,2018-2019,0.0,0.0
73,Milan,2018-10-07,V,1.6,Chievo,8.6,4.0,0.0,0.0,7.199999999999996,-4.799999999999999,-0.8,0.0,2018-2019,0.0,0.0
74,Lazio,2018-10-07,V,0.40000000000000013,Fiorentina,6.000000000000002,0.1999999999999993,-0.2,-0.2,9.799999999999997,-2.1999999999999993,-0.20000000000000018,0.0,2018-2019,0.0,0.0
75,Napoli,2018-10-07,V,-0.7999999999999998,Sassuolo,5.199999999999999,-0.6000000000000005,0.0,0.0,1.2000000000000028,-1.8000000000000007,0.7999999999999998,0.2,2018-2019,0.0,0.0
76,SPAL,2018-10-07,P,-1.0,Inter,-6.200000000000001,-1.2000000000000002,-0.2,-0.2,-11.0,2.5999999999999996,0.8000000000000003,0.0,2018-2019,0.0,0.0
77,Genoa,2018-10-07,P,0.8,Parma,3.3999999999999986,0.6000000000000001,0.0,0.0,18.4,2.200000000000001,0.6000000000000001,0.0,2018-2019,0.0,0.0
78,Atalanta,2018-10-07,P,-1.2000000000000002,Sampdoria,2.799999999999999,-1.7999999999999998,-0.2,-0.4,1.7999999999999972,-3.799999999999999,0.0,0.0,2018-2019,0.0,0.0
79,Udinese,2018-10-20,P,-1.0,Napoli,-8.2,-2.2,0.0,0.0,-10.0,0.1999999999999993,0.3999999999999999,-0.2,2018-2019,0.0,0.0
80,Roma,2018-10-20,P,1.4000000000000001,SPAL,5.800000000000001,3.9999999999999996,0.0,-0.2,9.600000000000001,-4.4,-1.2,0.0,2018-2019,0.0,0.0
81,Juventus,2018-10-20,N,0.8000000000000003,Genoa,4.800000000000001,2.2,0.0,0.0,9.199999999999996,0.40000000000000036,-0.20000000000000018,0.2,2018-2019,0.0,0.0
82,Parma,2018-10-21,P,-0.40000000000000013,Lazio,-6.199999999999999,-1.0,0.0,0.0,-16.799999999999997,-3.1999999999999993,-1.2000000000000002,0.0,2018-2019,0.0,0.0
83,Inter,2018-10-21,V,-0.8000000000000003,Milan,-1.1999999999999993,-2.2,0.2,0.2,-1.0,5.600000000000001,0.20000000000000018,0.0,2018-2019,0.0,0.0
84,Bologna,2018-10-21,N,-0.3999999999999999,Torino,-0.5999999999999996,-0.6000000000000001,-0.2,-0.2,-16.199999999999996,-4.0,1.0,0.2,2018-2019,0.0,0.0
85,Frosinone,2018-10-21,N,0.19999999999999996,Empoli,-3.0,0.19999999999999996,0.0,-0.2,-12.599999999999994,4.399999999999999,0.20000000000000018,-0.2,2018-2019,0.0,0.0
86,Fiorentina,2018-10-21,N,0.7999999999999999,Cagliari,3.0,2.8000000000000003,0.2,0.2,-4.0,2.4000000000000004,0.5999999999999999,0.0,2018-2019,0.0,0.0
87,Chievo,2018-10-21,P,0.19999999999999996,Atalanta,-4.800000000000001,-0.3999999999999999,0.0,0.0,-11.399999999999999,2.200000000000001,-0.6000000000000001,0.0,2018-2019,0.0,0.0
88,Sampdoria,2018-10-22,N,-0.5999999999999999,Sassuolo,-3.799999999999999,-1.2000000000000002,0.0,0.2,-6.600000000000001,2.5999999999999996,1.8000000000000003,-0.2,2018-2019,0.0,0.0
89,Torino,2018-10-27,N,0.0,Fiorentina,-0.40000000000000036,0.20000000000000018,-0.2,-0.2,2.3999999999999986,5.199999999999999,0.20000000000000018,0.0,2018-2019,0.0,0.0
90,Empoli,2018-10-27,P,-1.0,Juventus,-6.199999999999999,-3.8000000000000003,0.2,0.4,-12.0,0.0,1.0,0.2,2018-2019,0.0,0.0
91,Atalanta,2018-10-27,V,0.19999999999999996,Parma,8.2,1.2000000000000002,0.0,0.0,22.599999999999994,1.4000000000000004,-0.19999999999999996,0.0,2018-2019,0.0,0.0
92,Cagliari,2018-10-28,V,0.19999999999999996,Chievo,1.200000000000001,1.1999999999999997,-0.2,-0.2,8.599999999999994,-2.9999999999999982,-0.20000000000000018,-0.2,2018-2019,0.0,0.0
93,Napoli,2018-10-28,N,0.5999999999999999,Roma,-0.7999999999999972,-2.0,0.2,0.2,-5.200000000000003,-2.1999999999999993,0.3999999999999999,0.2,2018-2019,0.0,0.0
94,Sassuolo,2018-10-28,N,0.0,Bologna,2.0,1.2000000000000002,0.0,0.0,14.600000000000001,2.8000000000000007,-1.2000000000000002,0.2,2018-2019,0.0,0.0
95,Genoa,2018-10-28,N,0.5999999999999999,Udinese,3.799999999999999,1.0,0.0,0.0,2.6000000000000014,1.799999999999999,-0.20000000000000018,0.0,2018-2019,0.0,0.0
96,Milan,2018-10-28,V,1.4,Sampdoria,6.600000000000001,2.1999999999999997,0.0,-0.2,3.3999999999999986,-5.799999999999999,-0.7999999999999998,0.0,2018-2019,0.0,0.0
97,SPAL,2018-10-28,P,-0.3999999999999999,Frosinone,0.0,1.0,-0.2,0.0,9.399999999999999,-1.8000000000000007,0.8000000000000003,0.2,2018-2019,0.0,0.0
98,Lazio,2018-10-29,P,0.3999999999999999,Inter,0.5999999999999996,2.1999999999999997,0.0,0.0,1.6000000000000014,-2.5999999999999996,1.6,0.0,2018-2019,0.0,0.0
99,Milan,2018-10-31,V,0.6000000000000001,Genoa,1.799999999999999,1.4000000000000004,-0.2,-0.2,2.3999999999999986,-4.199999999999999,-0.6000000000000001,-0.2,2018-2019,0.0,0.0
100,Napoli,2018-11-02,V,1.0,Empoli,5.199999999999999,1.6,0.0,-0.2,4.399999999999999,-3.6000000000000014,-0.3999999999999999,0.2,2018-2019,0.0,0.0
101,Fiorentina,2018-11-03,N,-1.0,Roma,-3.6000000000000014,-2.4000000000000004,0.4,0.4,-4.600000000000001,4.600000000000001,0.20000000000000018,0.0,2018-2019,0.0,0.0
102,Juventus,2018-11-03,V,1.0,Cagliari,8.399999999999999,3.5999999999999996,0.2,0.2,12.600000000000001,-0.40000000000000036,0.0,0.0,2018-2019,0.0,0.0
103,Inter,2018-11-03,V,0.6000000000000001,Genoa,1.1999999999999993,-0.20000000000000018,0.0,0.0,7.399999999999999,0.3999999999999986,-0.8,-0.2,2018-2019,0.0,0.0
104,Chievo,2018-11-04,P,-0.4,Sassuolo,-3.4000000000000004,-3.0,0.0,0.0,-14.399999999999999,1.200000000000001,1.6,0.0,2018-2019,0.0,0.0
105,Udinese,2018-11-04,P,-1.5999999999999999,Milan,-5.6,-2.4000000000000004,0.0,0.0,-2.0,2.5999999999999996,0.8000000000000003,0.0,2018-2019,0.0,0.0
106,Bologna,2018-11-04,P,-0.40000000000000013,Atalanta,-7.600000000000001,-1.7999999999999998,0.0,0.0,-22.4,0.3999999999999986,1.1999999999999997,0.0,2018-2019,0.0,0.0
107,Parma,2018-11-04,N,-1.0,Frosinone,-2.8000000000000007,-0.8000000000000003,-0.4,-0.4,-4.799999999999997,-5.4,-1.0,0.0,2018-2019,0.0,0.0
108,Sampdoria,2018-11-04,P,-0.3999999999999999,Torino,-3.5999999999999996,-0.8000000000000003,0.0,0.2,-5.200000000000003,-3.8000000000000007,0.5999999999999996,0.0,2018-2019,0.0,0.0
109,Lazio,2018-11-04,V,0.3999999999999999,SPAL,4.199999999999999,1.6,0.0,-0.2,-1.2000000000000028,0.7999999999999989,0.20000000000000018,-0.2,2018-2019,0.0,0.0
110,Frosinone,2018-11-09,N,0.8,Fiorentina,0.0,-0.3999999999999999,-0.19999999999999996,-0.19999999999999996,-1.8000000000000043,2.1999999999999993,1.0,0.0,2018-2019,0.0,0.0
111,SPAL,2018-11-10,N,-0.19999999999999996,Cagliari,1.0,0.3999999999999999,0.2,0.4,3.200000000000003,-1.0,1.4,0.2,2018-2019,0.0,0.0
112,Torino,2018-11-10,P,1.4000000000000001,Parma,6.800000000000001,2.9999999999999996,0.2,0.2,18.6,9.399999999999999,0.7999999999999998,-0.2,2018-2019,0.0,0.0
113,Genoa,2018-11-10,P,-1.4,Napoli,-3.8000000000000007,-2.2,0.0,0.0,-9.600000000000001,6.399999999999999,0.7999999999999998,0.0,2018-2019,0.0,0.0
114,Empoli,2018-11-11,V,0.4,Udinese,3.200000000000001,1.0,0.0,0.2,6.0,-2.5999999999999996,-1.0,-0.2,2018-2019,0.0,0.0
115,Sassuolo,2018-11-11,N,-0.6000000000000001,Lazio,-6.400000000000002,-2.8,0.0,0.0,6.199999999999996,2.400000000000002,-0.6000000000000001,0.2,2018-2019,0.0,0.0
116,Atalanta,2018-11-11,V,-0.6000000000000001,Inter,5.600000000000001,0.20000000000000018,0.0,0.0,7.0,-1.4000000000000004,-0.3999999999999999,0.0,2018-2019,0.0,0.0
117,Chievo,2018-11-11,N,-0.7999999999999999,Bologna,-5.800000000000001,-3.2,0.2,0.2,3.200000000000003,4.4,0.8000000000000003,0.4,2018-2019,0.0,0.0
118,Roma,2018-11-11,V,0.19999999999999996,Sampdoria,3.799999999999999,1.2000000000000002,0.0,-0.2,3.200000000000003,1.4000000000000004,0.3999999999999999,0.0,2018-2019,0.0,0.0
119,Milan,2018-11-11,P,-0.40000000000000013,Juventus,-0.8000000000000007,1.0,-0.2,-0.2,-3.1999999999999957,-4.0,0.9999999999999998,0.0,2018-2019,0.0,0.0
120,Inter,2018-11-24,V,0.5999999999999999,Frosinone,5.4,1.3999999999999995,0.0,0.0,12.800000000000004,1.0,-1.0,0.2,2018-2019,0.0,0.0
121,Udinese,2018-11-24,V,-1.0,Roma,1.5999999999999996,0.0,0.0,0.2,-4.800000000000004,1.4000000000000004,0.3999999999999999,0.2,2018-2019,0.0,0.0
122,Juventus,2018-11-24,V,0.8,SPAL,7.799999999999999,1.4,0.0,-0.2,8.399999999999999,1.5999999999999996,-2.2,-0.2,2018-2019,0.0,0.0
123,Bologna,2018-11-25,N,0.5999999999999999,Fiorentina,-2.200000000000001,-0.7999999999999998,-0.4,-0.4,-9.600000000000001,0.6000000000000014,0.6000000000000001,0.0,2018-2019,0.0,0.0
124,Empoli,2018-11-25,V,-1.4,Atalanta,-7.0,-2.4000000000000004,0.0,0.2,-11.799999999999997,-0.8000000000000007,0.6000000000000001,0.0,2018-2019,0.0,0.0
125,Genoa,2018-11-25,N,0.0,Sampdoria,0.40000000000000036,0.20000000000000018,0.2,0.0,-12.0,5.600000000000001,1.1999999999999997,0.2,2018-2019,0.0,0.0
126,Lazio,2018-11-25,N,0.40000000000000013,Milan,1.8000000000000007,0.7999999999999998,0.2,0.0,-1.2000000000000028,2.1999999999999993,-0.20000000000000018,-0.2,2018-2019,0.0,0.0
127,Parma,2018-11-25,V,0.0,Sassuolo,-2.0,-0.7999999999999998,-0.2,-0.2,-18.199999999999996,-5.399999999999999,-0.6000000000000001,0.0,2018-2019,0.0,0.0
128,Napoli,2018-11-25,N,1.6,Chievo,9.599999999999998,4.6000000000000005,-0.2,-0.2,10.799999999999997,-8.4,-1.6,-0.4,2018-2019,0.0,0.0
129,Cagliari,2018-11-26,N,-0.6000000000000001,Torino,-5.199999999999999,-2.0000000000000004,-0.2,-0.2,-7.399999999999999,-3.5999999999999996,0.19999999999999973,0.0,2018-2019,0.0,0.0
130,SPAL,2018-12-01,N,-1.0,Empoli,-4.6,-3.1999999999999997,0.2,0.0,3.5999999999999943,-1.0,0.7999999999999998,0.2,2018-2019,0.0,0.0
131,Fiorentina,2018-12-01,P,-1.2,Juventus,-1.6000000000000014,0.20000000000000018,0.2,0.2,-5.399999999999999,0.6000000000000014,0.20000000000000018,0.0,2018-2019,0.0,0.0
132,Sampdoria,2018-12-01,V,-0.3999999999999999,Bologna,-2.0,-1.4,0.0,0.2,12.799999999999997,-2.5999999999999996,-0.7999999999999998,0.0,2018-2019,0.0,0.0
133,Torino,2018-12-02,V,0.6000000000000001,Genoa,4.199999999999999,1.1999999999999997,-0.2,-0.2,15.0,2.3999999999999986,-1.6,-0.2,2018-2019,0.0,0.0
134,Roma,2018-12-02,N,-1.4000000000000001,Inter,-0.1999999999999993,-1.0,-0.2,-0.2,-3.8000000000000043,0.40000000000000036,0.0,-0.2,2018-2019,0.0,0.0
135,Frosinone,2018-12-02,N,0.19999999999999996,Cagliari,-1.4000000000000004,0.6000000000000001,0.2,0.2,-7.599999999999994,-3.0,1.2000000000000002,0.0,2018-2019,0.0,0.0
136,Milan,2018-12-02,V,0.5999999999999999,Parma,3.4000000000000004,2.2,0.0,0.2,14.399999999999999,0.8000000000000007,0.0,0.0,2018-2019,0.0,0.0
137,Chievo,2018-12-02,N,-0.8,Lazio,-9.8,-3.8,0.2,0.2,-4.0,3.6000000000000014,1.1999999999999997,0.4,2018-2019,0.0,0.0
138,Sassuolo,2018-12-02,N,0.3999999999999999,Udinese,-3.8000000000000007,-1.5999999999999996,0.4,0.2,12.600000000000001,3.0,0.20000000000000018,-0.2,2018-2019,0.0,0.0
139,Atalanta,2018-12-03,P,1.0,Napoli,-0.1999999999999993,1.0,-0.2,-0.2,-2.200000000000003,3.5999999999999996,0.19999999999999996,0.2,2018-2019,0.0,0.0
140,Juventus,2018-12-07,V,-0.3999999999999999,Inter,-2.9999999999999982,-2.2,0.2,0.2,-5.799999999999997,3.0,-0.40000000000000013,-0.2,2018-2019,0.0,0.0
141,Cagliari,2018-12-08,N,-0.40000000000000013,Roma,-4.600000000000001,-2.0,-0.2,-0.2,-1.1999999999999957,2.1999999999999993,1.2000000000000002,0.2,2018-2019,0.0,0.0
142,Lazio,2018-12-08,N,-0.40000000000000013,Sampdoria,9.6,1.6,0.0,-0.2,-1.5999999999999943,0.0,0.19999999999999996,0.0,2018-2019,0.0,0.0
143,Napoli,2018-12-08,V,1.0,Frosinone,8.6,2.6000000000000005,0.0,0.0,17.4,-4.0,-2.2,0.0,2018-2019,0.0,0.0
144,Milan,2018-12-09,N,-0.40000000000000013,Torino,-2.5999999999999996,-0.40000000000000036,-0.2,0.0,-4.799999999999997,-6.600000000000001,0.40000000000000013,0.2,2018-2019,0.0,0.0
145,Empoli,2018-12-09,V,0.6000000000000001,Bologna,1.5999999999999996,0.7999999999999998,0.0,0.2,2.799999999999997,-1.8000000000000007,-0.3999999999999999,0.0,2018-2019,0.0,0.0
146,Parma,2018-12-09,N,0.19999999999999996,Chievo,2.200000000000001,1.0,-0.2,-0.2,-8.799999999999997,-3.6000000000000014,-1.4,0.0,2018-2019,0.0,0.0
147,Udinese,2018-12-09,P,-1.5999999999999999,Atalanta,-5.799999999999999,-2.3999999999999995,0.0,0.2,-12.799999999999997,2.799999999999999,0.8,0.0,2018-2019,0.0,0.0
148,Genoa,2018-12-09,N,-0.19999999999999996,SPAL,-0.20000000000000107,0.20000000000000018,0.2,0.2,-16.0,5.200000000000001,0.0,0.0,2018-2019,0.0,0.0
149,Sassuolo,2018-12-09,N,0.6,Fiorentina,-2.1999999999999993,-2.1999999999999997,0.2,0.2,14.200000000000003,-0.5999999999999979,0.20000000000000018,0.0,2018-2019,0.0,0.0
150,Inter,2018-12-15,V,1.6,Udinese,4.6,2.8000000000000003,0.2,0.0,17.599999999999994,0.40000000000000036,0.0,0.0,2018-2019,0.0,0.0
