,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
432,Juventus,2019-09-28,V,0.8,SPAL,1.5999999999999996,1.0,0.2,0.2,10.800000000000004,0.1999999999999993,0.0,0.0,2019-2020,1.0,1.0
433,Napoli,2019-09-29,V,1.4000000000000001,Brescia,11.399999999999999,3.5999999999999996,0.2,0.2,24.0,-4.600000000000001,0.0,0.0,2019-2020,2.0,0.0
434,Cagliari,2019-09-29,N,1.0,Hellas Verona,-0.1999999999999993,0.0,0.0,-0.2,2.799999999999997,0.5999999999999996,0.3999999999999999,-0.6,2019-2020,2.0,0.0
435,Udinese,2019-09-29,V,-0.9999999999999999,Bologna,-2.4000000000000004,1.6000000000000005,-0.4,-0.6,-13.0,1.3999999999999986,-1.5999999999999996,0.2,2019-2020,1.0,1.0
436,Milan,2019-09-29,P,-1.0,Fiorentina,-2.599999999999998,-2.8,0.0,0.0,12.800000000000004,0.0,0.40000000000000036,0.4,2019-2020,1.0,1.0
437,Lazio,2019-09-29,V,0.0,Genoa,5.599999999999998,3.5999999999999996,-0.2,-0.2,0.6000000000000014,-3.3999999999999986,0.20000000000000018,0.0,2019-2020,1.0,1.0
438,Lecce,2019-09-29,P,-0.8,Roma,-2.8000000000000007,-1.6,0.39999999999999997,0.39999999999999997,-10.399999999999999,-1.8000000000000007,0.0,0.0,2019-2020,0.0,2.0
439,Parma,2019-09-30,V,-0.6000000000000001,Torino,-0.20000000000000107,0.0,-0.2,0.0,-6.399999999999999,-1.3999999999999986,-0.19999999999999973,0.0,2019-2020,1.0,0.0
440,Genoa,2019-10-05,P,0.0,Milan,0.0,1.0,-0.2,-0.2,-9.0,-0.8000000000000007,-0.3999999999999999,-0.6,2019-2020,0.0,2.0
441,Hellas Verona,2019-10-05,V,-0.20000000000000007,Sampdoria,-1.4000000000000004,0.0,-0.2,0.0,8.600000000000001,1.0000000000000018,-0.19999999999999973,0.0,2019-2020,0.0,2.0
442,SPAL,2019-10-05,V,-1.0,Parma,-0.1999999999999993,-1.0,0.0,-0.4,-0.4000000000000057,-3.200000000000001,0.19999999999999973,0.0,2019-2020,2.0,0.0
443,Fiorentina,2019-10-06,V,1.2000000000000002,Udinese,3.4000000000000004,0.0,0.4,0.6,0.5999999999999943,-2.599999999999998,0.40000000000000036,-0.2,2019-2020,1.0,0.0
444,Roma,2019-10-06,N,-0.19999999999999996,Cagliari,5.4,0.6000000000000001,0.2,0.4,12.400000000000006,0.20000000000000284,0.40000000000000036,0.2,2019-2020,1.0,0.0
445,Torino,2019-10-06,N,-0.6000000000000001,Napoli,-12.999999999999998,-3.6,0.2,0.2,-9.400000000000006,6.199999999999999,0.0,0.0,2019-2020,0.0,1.0
446,Atalanta,2019-10-06,V,1.2,Lecce,6.6,2.1999999999999997,-0.39999999999999997,-0.39999999999999997,12.199999999999996,-0.40000000000000036,-1.0,0.0,2019-2020,2.0,0.0
447,Inter,2019-10-06,P,-0.19999999999999996,Juventus,-0.20000000000000107,0.39999999999999947,0.0,0.0,-0.6000000000000014,-2.200000000000001,0.19999999999999973,0.2,2019-2020,0.0,1.0
448,Bologna,2019-10-06,N,-0.40000000000000013,Lazio,-1.4000000000000021,-2.3999999999999995,0.0,0.2,5.799999999999997,4.600000000000001,1.4,0.2,2019-2020,0.0,1.0
449,Juventus,2019-10-19,V,0.20000000000000018,Bologna,2.8000000000000007,1.0,0.0,-0.2,3.4000000000000057,-3.1999999999999993,-2.0,-0.4,2019-2020,2.0,0.0
450,Lazio,2019-10-19,N,-0.8,Atalanta,-5.400000000000002,-0.7999999999999998,0.0,0.2,-3.3999999999999986,-2.200000000000001,0.3999999999999999,0.2,2019-2020,0.0,2.0
451,Napoli,2019-10-19,V,0.8,Hellas Verona,11.799999999999999,3.2,0.2,0.0,15.800000000000004,-7.399999999999999,-0.20000000000000018,-0.2,2019-2020,2.0,0.0
452,Udinese,2019-10-20,V,-0.8,Torino,-0.1999999999999993,0.3999999999999999,-0.4,-0.4,-5.400000000000006,3.400000000000002,1.0,0.0,2019-2020,0.0,1.0
453,Cagliari,2019-10-20,V,1.0,SPAL,-4.199999999999999,-1.4,0.2,0.2,-6.399999999999999,3.4000000000000004,-0.3999999999999999,-0.2,2019-2020,1.0,0.0
