,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season
1,Genoa,2019-09-01,Giornata n. 2,Casa,V,2.0,Fiorentina,22.0,7.0,0,0,299.0,415.0,9.0,50.0,22.0,2,0,19_20
2,Inter,2019-09-14,Giornata n. 3,Casa,V,1.0,Udinese,22.0,8.0,0,0,600.0,699.0,8.0,63.0,9.0,2,0,19_20
2,Juventus,2019-09-14,Giornata n. 3,Ospiti,N,0.0,Fiorentina,8.0,4.0,0,0,419.0,500.0,0.0,53.0,18.0,3,0,19_20
2,Fiorentina,2019-09-14,Giornata n. 3,Casa,N,0.0,Juventus,18.0,6.0,0,0,351.0,437.0,10.0,47.0,14.0,3,0,19_20
2,Udinese,2019-09-14,Giornata n. 3,Ospiti,P,0.0,Inter,6.0,5.0,0,0,319.0,404.0,3.0,37.0,14.0,1,1,19_20
2,Sampdoria,2019-09-14,Giornata n. 3,Ospiti,P,0.0,Napoli,10.0,2.0,0,0,285.0,364.0,7.0,33.0,18.0,2,0,19_20
2,Napoli,2019-09-14,Giornata n. 3,Casa,V,2.0,Sampdoria,26.0,7.0,0,0,652.0,738.0,8.0,67.0,8.0,2,0,19_20
2,Roma,2019-09-15,Giornata n. 3,Casa,V,4.0,Sassuolo,15.0,6.0,0,0,406.0,486.0,8.0,49.0,18.0,1,0,19_20
2,Brescia,2019-09-15,Giornata n. 3,Casa,P,3.0,Bologna,9.0,6.0,0,0,189.0,285.0,2.0,33.0,13.0,2,1,19_20
2,Genoa,2019-09-15,Giornata n. 3,Casa,P,1.0,Atalanta,14.0,2.0,1,1,312.0,411.0,8.0,52.0,14.0,3,0,19_20
2,Hellas Verona,2019-09-15,Giornata n. 3,Casa,P,0.0,Milan,8.0,1.0,0,0,205.0,297.0,2.0,31.0,14.0,4,1,19_20
2,Parma,2019-09-15,Giornata n. 3,Casa,P,1.0,Cagliari,20.0,7.0,0,0,324.0,420.0,12.0,56.0,14.0,0,0,19_20
2,Cagliari,2019-09-15,Giornata n. 3,Ospiti,V,3.0,Parma,9.0,3.0,0,0,238.0,333.0,3.0,44.0,21.0,5,0,19_20
2,Sassuolo,2019-09-15,Giornata n. 3,Ospiti,P,2.0,Roma,13.0,3.0,0,0,446.0,509.0,2.0,51.0,11.0,2,0,19_20
2,Lazio,2019-09-15,Giornata n. 3,Ospiti,P,1.0,SPAL,11.0,4.0,1,1,448.0,524.0,5.0,54.0,13.0,3,0,19_20
2,Bologna,2019-09-15,Giornata n. 3,Ospiti,V,4.0,Brescia,20.0,7.0,0,0,482.0,585.0,10.0,67.0,19.0,6,0,19_20
2,Milan,2019-09-15,Giornata n. 3,Ospiti,V,1.0,Hellas Verona,16.0,3.0,1,1,575.0,656.0,7.0,69.0,18.0,3,1,19_20
2,Atalanta,2019-09-15,Giornata n. 3,Ospiti,V,2.0,Genoa,17.0,4.0,1,1,305.0,378.0,7.0,48.0,14.0,3,0,19_20
2,SPAL,2019-09-15,Giornata n. 3,Casa,V,2.0,Lazio,17.0,3.0,0,0,378.0,454.0,8.0,46.0,11.0,5,0,19_20
2,Lecce,2019-09-16,Giornata n. 3,Ospiti,V,2.0,Torino,19.0,5.0,0,0,273.0,350.0,4.0,40.0,21.0,6,0,19_20
2,Torino,2019-09-16,Giornata n. 3,Casa,P,1.0,Lecce,14.0,3.0,1,1,433.0,520.0,6.0,60.0,12.0,1,0,19_20
3,Genoa,2019-09-20,Giornata n. 4,Ospiti,P,1.0,Cagliari,11.0,2.0,0,0,422.0,525.0,3.0,58.0,9.0,1,0,19_20
3,Cagliari,2019-09-20,Giornata n. 4,Casa,V,3.0,Genoa,14.0,4.0,0,0,287.0,388.0,4.0,42.0,15.0,1,0,19_20
3,Brescia,2019-09-21,Giornata n. 4,Ospiti,V,1.0,Udinese,9.0,4.0,0,0,255.0,373.0,9.0,43.0,18.0,4,0,19_20
3,Hellas Verona,2019-09-21,Giornata n. 4,Ospiti,P,1.0,Juventus,9.0,3.0,0,1,288.0,388.0,5.0,41.0,26.0,4,1,19_20
3,Juventus,2019-09-21,Giornata n. 4,Casa,V,2.0,Hellas Verona,19.0,1.0,1,1,469.0,547.0,2.0,59.0,13.0,0,0,19_20
3,Inter,2019-09-21,Giornata n. 4,Ospiti,V,2.0,Milan,16.0,7.0,0,0,398.0,481.0,6.0,47.0,22.0,1,0,19_20
3,Udinese,2019-09-21,Giornata n. 4,Casa,P,0.0,Brescia,10.0,3.0,0,0,372.0,497.0,3.0,57.0,23.0,4,0,19_20
3,Milan,2019-09-21,Giornata n. 4,Casa,P,0.0,Inter,9.0,1.0,0,0,451.0,532.0,2.0,53.0,14.0,2,0,19_20
3,Lecce,2019-09-22,Giornata n. 4,Casa,P,1.0,Napoli,9.0,2.0,1,1,350.0,411.0,4.0,38.0,13.0,3,0,19_20
3,Napoli,2019-09-22,Giornata n. 4,Ospiti,V,4.0,Lecce,20.0,9.0,1,1,608.0,681.0,6.0,62.0,8.0,3,0,19_20
3,SPAL,2019-09-22,Giornata n. 4,Ospiti,P,0.0,Sassuolo,13.0,3.0,0,0,375.0,449.0,9.0,45.0,18.0,2,0,19_20
3,Sassuolo,2019-09-22,Giornata n. 4,Casa,V,3.0,SPAL,20.0,6.0,0,0,477.0,539.0,7.0,55.0,20.0,3,0,19_20
3,Roma,2019-09-22,Giornata n. 4,Ospiti,V,2.0,Bologna,19.0,4.0,0,0,436.0,520.0,4.0,59.0,16.0,6,1,19_20
3,Torino,2019-09-22,Giornata n. 4,Ospiti,P,0.0,Sampdoria,5.0,1.0,0,0,399.0,509.0,8.0,61.0,18.0,1,0,19_20
3,Atalanta,2019-09-22,Giornata n. 4,Casa,N,2.0,Fiorentina,19.0,3.0,0,0,512.0,611.0,9.0,64.0,15.0,2,0,19_20
3,Lazio,2019-09-22,Giornata n. 4,Casa,V,2.0,Parma,25.0,9.0,0,0,623.0,700.0,10.0,61.0,7.0,1,0,19_20
3,Sampdoria,2019-09-22,Giornata n. 4,Casa,V,1.0,Torino,17.0,6.0,0,0,209.0,320.0,7.0,39.0,21.0,2,0,19_20
3,Parma,2019-09-22,Giornata n. 4,Ospiti,P,0.0,Lazio,6.0,1.0,0,0,375.0,442.0,5.0,39.0,15.0,3,0,19_20
3,Fiorentina,2019-09-22,Giornata n. 4,Ospiti,N,2.0,Atalanta,9.0,2.0,0,0,258.0,342.0,1.0,36.0,17.0,5,0,19_20
3,Bologna,2019-09-22,Giornata n. 4,Casa,P,1.0,Roma,5.0,2.0,1,1,274.0,354.0,3.0,41.0,17.0,3,0,19_20
4,Juventus,2019-09-24,Giornata n. 5,Ospiti,V,2.0,Brescia,19.0,5.0,0,0,651.0,733.0,3.0,67.0,15.0,3,0,19_20
4,Hellas Verona,2019-09-24,Giornata n. 5,Casa,N,0.0,Udinese,15.0,4.0,0,0,400.0,513.0,6.0,55.0,6.0,0,0,19_20
4,Brescia,2019-09-24,Giornata n. 5,Casa,P,1.0,Juventus,17.0,3.0,0,0,271.0,361.0,4.0,33.0,13.0,1,0,19_20
4,Udinese,2019-09-24,Giornata n. 5,Ospiti,N,0.0,Hellas Verona,11.0,3.0,0,0,287.0,420.0,6.0,45.0,20.0,4,0,19_20
4,Sampdoria,2019-09-25,Giornata n. 5,Ospiti,P,1.0,Fiorentina,8.0,2.0,0,0,339.0,435.0,1.0,44.0,15.0,5,1,19_20
4,Lazio,2019-09-25,Giornata n. 5,Ospiti,P,0.0,Inter,10.0,4.0,0,0,324.0,402.0,6.0,36.0,16.0,3,0,19_20
4,Cagliari,2019-09-25,Giornata n. 5,Ospiti,V,1.0,Napoli,5.0,1.0,0,0,256.0,331.0,1.0,33.0,16.0,1,0,19_20
4,Sassuolo,2019-09-25,Giornata n. 5,Ospiti,P,0.0,Parma,12.0,4.0,0,0,570.0,670.0,4.0,68.0,11.0,1,0,19_20
4,Parma,2019-09-25,Giornata n. 5,Casa,V,1.0,Sassuolo,8.0,4.0,0,1,212.0,310.0,5.0,32.0,21.0,3,0,19_20
4,Genoa,2019-09-25,Giornata n. 5,Casa,N,0.0,Bologna,7.0,2.0,0,0,245.0,346.0,5.0,42.0,20.0,5,0,19_20
4,SPAL,2019-09-25,Giornata n. 5,Casa,P,1.0,Lecce,17.0,6.0,0,0,434.0,519.0,10.0,58.0,15.0,1,0,19_20
4,Atalanta,2019-09-25,Giornata n. 5,Ospiti,V,2.0,Roma,18.0,5.0,0,0,460.0,544.0,1.0,52.0,12.0,1,0,19_20
4,Napoli,2019-09-25,Giornata n. 5,Casa,P,0.0,Cagliari,30.0,5.0,0,0,577.0,666.0,13.0,67.0,9.0,1,1,19_20
4,Roma,2019-09-25,Giornata n. 5,Casa,P,0.0,Atalanta,13.0,2.0,0,0,393.0,494.0,5.0,48.0,19.0,2,0,19_20
4,Inter,2019-09-25,Giornata n. 5,Casa,V,1.0,Lazio,16.0,3.0,0,0,627.0,723.0,4.0,64.0,9.0,2,0,19_20
4,Bologna,2019-09-25,Giornata n. 5,Ospiti,N,0.0,Genoa,17.0,1.0,0,1,393.0,480.0,4.0,58.0,15.0,4,0,19_20
4,Lecce,2019-09-25,Giornata n. 5,Ospiti,V,3.0,SPAL,6.0,1.0,2,2,303.0,375.0,1.0,42.0,14.0,2,0,19_20
4,Fiorentina,2019-09-25,Giornata n. 5,Casa,V,2.0,Sampdoria,18.0,8.0,0,0,465.0,548.0,3.0,56.0,13.0,4,0,19_20
4,Torino,2019-09-26,Giornata n. 5,Casa,V,2.0,Milan,10.0,4.0,0,0,305.0,412.0,3.0,46.0,17.0,4,0,19_20
4,Milan,2019-09-26,Giornata n. 5,Ospiti,P,1.0,Torino,15.0,3.0,1,1,380.0,480.0,5.0,54.0,23.0,5,1,19_20
5,Sampdoria,2019-09-28,Giornata n. 6,Casa,P,1.0,Inter,20.0,2.0,0,0,372.0,459.0,7.0,45.0,14.0,2,0,19_20
5,SPAL,2019-09-28,Giornata n. 6,Ospiti,P,0.0,Juventus,5.0,1.0,0,0,282.0,362.0,2.0,33.0,13.0,2,0,19_20
5,Inter,2019-09-28,Giornata n. 6,Ospiti,V,3.0,Sampdoria,16.0,7.0,0,0,455.0,551.0,5.0,55.0,11.0,4,1,19_20
5,Juventus,2019-09-28,Giornata n. 6,Casa,V,2.0,SPAL,21.0,10.0,0,0,638.0,728.0,13.0,67.0,13.0,2,0,19_20
5,Sassuolo,2019-09-28,Giornata n. 6,Casa,P,1.0,Atalanta,13.0,7.0,0,0,511.0,598.0,7.0,52.0,14.0,2,0,19_20
5,Atalanta,2019-09-28,Giornata n. 6,Ospiti,V,4.0,Sassuolo,14.0,7.0,0,0,466.0,560.0,3.0,48.0,16.0,2,0,19_20
5,Fiorentina,2019-09-29,Giornata n. 6,Ospiti,V,3.0,Milan,14.0,5.0,1,2,432.0,513.0,6.0,45.0,18.0,4,0,19_20
5,Napoli,2019-09-29,Giornata n. 6,Casa,V,2.0,Brescia,19.0,7.0,0,0,486.0,565.0,7.0,55.0,13.0,2,0,19_20
5,Cagliari,2019-09-29,Giornata n. 6,Casa,N,1.0,Hellas Verona,12.0,4.0,0,0,273.0,367.0,3.0,44.0,22.0,2,0,19_20
5,Roma,2019-09-29,Giornata n. 6,Ospiti,V,1.0,Lecce,18.0,5.0,0,1,507.0,588.0,11.0,60.0,20.0,4,0,19_20
5,Udinese,2019-09-29,Giornata n. 6,Casa,V,1.0,Bologna,12.0,4.0,0,0,237.0,327.0,4.0,40.0,22.0,4,0,19_20
5,Brescia,2019-09-29,Giornata n. 6,Ospiti,P,1.0,Napoli,16.0,3.0,0,0,371.0,468.0,7.0,45.0,10.0,1,0,19_20
5,Hellas Verona,2019-09-29,Giornata n. 6,Ospiti,N,1.0,Cagliari,11.0,3.0,0,0,358.0,460.0,5.0,56.0,22.0,2,0,19_20
5,Milan,2019-09-29,Giornata n. 6,Casa,P,1.0,Fiorentina,11.0,3.0,0,0,541.0,624.0,4.0,55.0,9.0,2,1,19_20
5,Bologna,2019-09-29,Giornata n. 6,Ospiti,P,0.0,Udinese,12.0,3.0,0,0,400.0,486.0,5.0,60.0,19.0,3,1,19_20
5,Lazio,2019-09-29,Giornata n. 6,Casa,V,4.0,Genoa,15.0,9.0,0,0,502.0,572.0,5.0,54.0,8.0,1,0,19_20
