,Data,Casa,Punteggio,Ospiti
86,2020-11-22,Udinese,1–0,Genoa
87,2020-11-22,Napoli,1–3,Milan
89,2020-11-28,Sassuolo,0–3,Inter
90,2020-11-28,Benevento,1–1,Juventus
91,2020-11-28,Atalanta,0–2,Hellas Verona
92,2020-11-29,Lazio,1–3,Udinese
93,2020-11-29,Bologna,1–0,Crotone
94,2020-11-29,Milan,2–0,Fiorentina
95,2020-11-29,Cagliari,2–2,Spezia
96,2020-11-29,Napoli,4–0,Roma
97,2020-11-30,Torino,2–2,Sampdoria
98,2020-11-30,Genoa,1–2,Parma
100,2020-12-05,Spezia,1–2,Lazio
101,2020-12-05,Juventus,2–1,Torino
102,2020-12-05,Inter,3–1,Bologna
103,2020-12-06,Hellas Verona,1–1,Cagliari
104,2020-12-06,Roma,0–0,Sassuolo
105,2020-12-06,Parma,0–0,Benevento
106,2020-12-06,Crotone,0–4,Napoli
107,2020-12-06,Sampdoria,1–2,Milan
108,2020-12-07,Fiorentina,1–1,Genoa
110,2020-12-11,Sassuolo,1–0,Benevento
111,2020-12-12,Crotone,4–1,Spezia
112,2020-12-12,Torino,2–3,Udinese
113,2020-12-12,Lazio,1–2,Hellas Verona
114,2020-12-13,Cagliari,1–3,Inter
115,2020-12-13,Bologna,1–5,Roma
116,2020-12-13,Atalanta,3–0,Fiorentina
117,2020-12-13,Napoli,2–1,Sampdoria
118,2020-12-13,Genoa,1–3,Juventus
119,2020-12-13,Milan,2–2,Parma
121,2020-12-15,Udinese,0–0,Crotone
122,2020-12-15,Benevento,1–1,Lazio
123,2020-12-16,Juventus,1–1,Atalanta
124,2020-12-16,Inter,1–0,Napoli
125,2020-12-16,Hellas Verona,1–2,Sampdoria
126,2020-12-16,Spezia,2–2,Bologna
127,2020-12-16,Parma,0–0,Cagliari
128,2020-12-16,Fiorentina,1–1,Sassuolo
129,2020-12-16,Genoa,2–2,Milan
130,2020-12-17,Roma,3–1,Torino
132,2020-12-19,Fiorentina,1–1,Hellas Verona
133,2020-12-19,Sampdoria,3–1,Crotone
134,2020-12-19,Parma,0–4,Juventus
135,2020-12-20,Torino,1–1,Bologna
136,2020-12-20,Sassuolo,1–2,Milan
137,2020-12-20,Inter,2–1,Spezia
138,2020-12-20,Benevento,2–0,Genoa
139,2020-12-20,Cagliari,1–1,Udinese
140,2020-12-20,Atalanta,4–1,Roma
141,2020-12-20,Lazio,2–0,Napoli
143,2020-12-22,Crotone,2–1,Parma
144,2020-12-22,Juventus,0–3,Fiorentina
145,2020-12-23,Hellas Verona,1–2,Inter
146,2020-12-23,Milan,3–2,Lazio
147,2020-12-23,Napoli,1–1,Torino
148,2020-12-23,Sampdoria,2–3,Sassuolo
149,2020-12-23,Roma,3–2,Cagliari
150,2020-12-23,Udinese,0–2,Benevento
151,2020-12-23,Spezia,1–2,Genoa
152,2020-12-23,Bologna,2–2,Atalanta
154,2021-01-03,Inter,6–2,Crotone
155,2021-01-03,Parma,0–3,Torino
156,2021-01-03,Genoa,1–1,Lazio
157,2021-01-03,Atalanta,5–1,Sassuolo
158,2021-01-03,Spezia,0–1,Hellas Verona
159,2021-01-03,Roma,1–0,Sampdoria
160,2021-01-03,Cagliari,1–4,Napoli
161,2021-01-03,Fiorentina,0–0,Bologna
162,2021-01-03,Benevento,0–2,Milan
163,2021-01-03,Juventus,4–1,Udinese
165,2021-01-06,Cagliari,1–2,Benevento
166,2021-01-06,Bologna,2–2,Udinese
167,2021-01-06,Torino,1–1,Hellas Verona
168,2021-01-06,Lazio,2–1,Fiorentina
169,2021-01-06,Crotone,1–3,Roma
170,2021-01-06,Atalanta,3–0,Parma
171,2021-01-06,Sassuolo,2–1,Genoa
172,2021-01-06,Sampdoria,2–1,Inter
173,2021-01-06,Napoli,1–2,Spezia
174,2021-01-06,Milan,1–3,Juventus
176,2021-01-09,Benevento,1–4,Atalanta
177,2021-01-09,Genoa,2–0,Bologna
178,2021-01-09,Milan,2–0,Torino
179,2021-01-10,Roma,2–2,Inter
180,2021-01-10,Udinese,1–2,Napoli
181,2021-01-10,Parma,0–2,Lazio
182,2021-01-10,Hellas Verona,2–1,Crotone
183,2021-01-10,Fiorentina,1–0,Cagliari
184,2021-01-10,Juventus,3–1,Sassuolo
185,2021-01-11,Spezia,2–1,Sampdoria
187,2021-01-15,Lazio,3–0,Roma
188,2021-01-16,Bologna,1–0,Hellas Verona
189,2021-01-16,Torino,0–0,Spezia
190,2021-01-16,Sampdoria,2–1,Udinese
191,2021-01-17,Napoli,6–0,Fiorentina
192,2021-01-17,Crotone,4–1,Benevento
193,2021-01-17,Sassuolo,1–1,Parma
194,2021-01-17,Atalanta,0–0,Genoa
195,2021-01-17,Inter,2–0,Juventus
196,2021-01-18,Cagliari,0–2,Milan
198,2021-01-20,Udinese,1–1,Atalanta
200,2021-01-22,Benevento,2–2,Torino
201,2021-01-23,Roma,4–3,Spezia
202,2021-01-23,Milan,0–3,Atalanta
203,2021-01-23,Udinese,0–0,Inter
204,2021-01-23,Fiorentina,2–1,Crotone
205,2021-01-24,Juventus,2–0,Bologna
206,2021-01-24,Genoa,1–0,Cagliari
207,2021-01-24,Hellas Verona,3–1,Napoli
208,2021-01-24,Lazio,2–1,Sassuolo
209,2021-01-24,Parma,0–2,Sampdoria
211,2021-01-29,Torino,1–1,Fiorentina
212,2021-01-30,Bologna,1–2,Milan
213,2021-01-30,Sampdoria,0–2,Juventus
214,2021-01-30,Inter,4–0,Benevento
215,2021-01-31,Spezia,0–1,Udinese
216,2021-01-31,Crotone,0–3,Genoa
217,2021-01-31,Atalanta,1–3,Lazio
218,2021-01-31,Cagliari,1–1,Sassuolo
219,2021-01-31,Napoli,2–0,Parma
220,2021-01-31,Roma,3–1,Hellas Verona
222,2021-02-05,Fiorentina,0–2,Inter
223,2021-02-06,Sassuolo,1–2,Spezia
224,2021-02-06,Atalanta,3–3,Torino
225,2021-02-06,Juventus,2–0,Roma
226,2021-02-06,Genoa,2–1,Napoli
227,2021-02-07,Benevento,1–1,Sampdoria
228,2021-02-07,Milan,4–0,Crotone
229,2021-02-07,Udinese,2–0,Hellas Verona
230,2021-02-07,Parma,0–3,Bologna
231,2021-02-07,Lazio,1–0,Cagliari
233,2021-02-12,Bologna,1–1,Benevento
234,2021-02-13,Torino,0–0,Genoa
235,2021-02-13,Napoli,1–0,Juventus
236,2021-02-13,Spezia,2–0,Milan
237,2021-02-14,Roma,3–0,Udinese
238,2021-02-14,Cagliari,0–1,Atalanta
239,2021-02-14,Sampdoria,2–1,Fiorentina
240,2021-02-14,Crotone,1–2,Sassuolo
241,2021-02-14,Inter,3–1,Lazio
242,2021-02-15,Hellas Verona,2–1,Parma
244,2021-02-19,Fiorentina,3–0,Spezia
245,2021-02-19,Cagliari,0–1,Torino
246,2021-02-20,Lazio,1–0,Sampdoria
247,2021-02-20,Genoa,2–2,Hellas Verona
248,2021-02-20,Sassuolo,1–1,Bologna
249,2021-02-21,Parma,2–2,Udinese
250,2021-02-21,Milan,0–3,Inter
251,2021-02-21,Atalanta,4–2,Napoli
252,2021-02-21,Benevento,0–0,Roma
253,2021-02-22,Juventus,3–0,Crotone
255,2021-02-27,Spezia,2–2,Parma
256,2021-02-27,Bologna,2–0,Lazio
257,2021-02-27,Hellas Verona,1–1,Juventus
258,2021-02-28,Sampdoria,0–2,Atalanta
259,2021-02-28,Inter,3–0,Genoa
260,2021-02-28,Crotone,0–2,Cagliari
261,2021-02-28,Udinese,1–0,Fiorentina
262,2021-02-28,Napoli,2–0,Benevento
263,2021-02-28,Roma,1–2,Milan
265,2021-03-02,Juventus,3–0,Spezia
266,2021-03-03,Sassuolo,3–3,Napoli
267,2021-03-03,Milan,1–1,Udinese
268,2021-03-03,Cagliari,1–0,Bologna
269,2021-03-03,Atalanta,5–1,Crotone
270,2021-03-03,Fiorentina,1–2,Roma
271,2021-03-03,Genoa,1–1,Sampdoria
272,2021-03-03,Benevento,0–3,Hellas Verona
273,2021-03-04,Parma,1–2,Inter
275,2021-03-06,Spezia,1–1,Benevento
276,2021-03-06,Udinese,2–0,Sassuolo
277,2021-03-06,Juventus,3–1,Lazio
278,2021-03-07,Roma,1–0,Genoa
279,2021-03-07,Fiorentina,3–3,Parma
280,2021-03-07,Crotone,4–2,Torino
281,2021-03-07,Hellas Verona,0–2,Milan
282,2021-03-07,Sampdoria,2–2,Cagliari
283,2021-03-07,Napoli,3–1,Bologna
284,2021-03-08,Inter,1–0,Atalanta
286,2021-03-12,Lazio,3–2,Crotone
287,2021-03-12,Atalanta,3–1,Spezia
288,2021-03-13,Sassuolo,3–2,Hellas Verona
289,2021-03-13,Benevento,1–4,Fiorentina
290,2021-03-13,Genoa,1–1,Udinese
291,2021-03-14,Bologna,3–1,Sampdoria
292,2021-03-14,Parma,2–0,Roma
293,2021-03-14,Torino,1–2,Inter
294,2021-03-14,Cagliari,1–3,Juventus
295,2021-03-14,Milan,0–1,Napoli
297,2021-03-17,Torino,3–2,Sassuolo
299,2021-03-19,Parma,1–2,Genoa
300,2021-03-20,Crotone,2–3,Bologna
301,2021-03-20,Spezia,2–1,Cagliari
302,2021-03-21,Hellas Verona,0–2,Atalanta
303,2021-03-21,Sampdoria,1–0,Torino
304,2021-03-21,Udinese,0–1,Lazio
305,2021-03-21,Juventus,0–1,Benevento
306,2021-03-21,Fiorentina,2–3,Milan
307,2021-03-21,Roma,0–2,Napoli
309,2021-04-03,Milan,1–1,Sampdoria
310,2021-04-03,Sassuolo,2–2,Roma
311,2021-04-03,Genoa,1–1,Fiorentina
312,2021-04-03,Benevento,2–2,Parma
313,2021-04-03,Cagliari,0–2,Hellas Verona
314,2021-04-03,Lazio,2–1,Spezia
315,2021-04-03,Atalanta,3–2,Udinese
316,2021-04-03,Napoli,4–3,Crotone
317,2021-04-03,Torino,2–2,Juventus
318,2021-04-03,Bologna,0–1,Inter
320,2021-04-07,Juventus,2–1,Napoli
322,2021-04-07,Inter,2–1,Sassuolo
324,2021-04-10,Spezia,3–2,Crotone
325,2021-04-10,Parma,1–3,Milan
326,2021-04-10,Udinese,0–1,Torino
327,2021-04-11,Inter,1–0,Cagliari
328,2021-04-11,Juventus,3–1,Genoa
329,2021-04-11,Sampdoria,0–2,Napoli
330,2021-04-11,Hellas Verona,0–1,Lazio
331,2021-04-11,Roma,1–0,Bologna
332,2021-04-11,Fiorentina,2–3,Atalanta
333,2021-04-12,Benevento,0–1,Sassuolo
335,2021-04-17,Sampdoria,3–1,Hellas Verona
336,2021-04-17,Crotone,1–2,Udinese
337,2021-04-17,Sassuolo,3–1,Fiorentina
338,2021-04-17,Cagliari,4–3,Parma
339,2021-04-18,Milan,2–1,Genoa
340,2021-04-18,Bologna,4–1,Spezia
341,2021-04-18,Lazio,5–3,Benevento
342,2021-04-18,Atalanta,1–0,Juventus
343,2021-04-18,Torino,3–1,Roma
344,2021-04-18,Napoli,1–1,Inter
346,2021-04-20,Hellas Verona,1–2,Fiorentina
347,2021-04-21,Milan,1–2,Sassuolo
348,2021-04-21,Bologna,1–1,Torino
349,2021-04-21,Spezia,1–1,Inter
350,2021-04-21,Udinese,0–1,Cagliari
351,2021-04-21,Genoa,2–2,Benevento
352,2021-04-21,Juventus,3–1,Parma
353,2021-04-21,Crotone,0–1,Sampdoria
354,2021-04-22,Roma,1–1,Atalanta
355,2021-04-22,Napoli,5–2,Lazio
357,2021-04-24,Genoa,2–0,Spezia
358,2021-04-24,Parma,3–4,Crotone
359,2021-04-24,Sassuolo,1–0,Sampdoria
360,2021-04-25,Benevento,2–4,Udinese
361,2021-04-25,Inter,1–0,Hellas Verona
362,2021-04-25,Fiorentina,1–1,Juventus
363,2021-04-25,Cagliari,3–2,Roma
364,2021-04-25,Atalanta,5–0,Bologna
365,2021-04-26,Torino,0–2,Napoli
366,2021-04-26,Lazio,3–0,Milan
368,2021-05-01,Hellas Verona,1–1,Spezia
369,2021-05-01,Crotone,0–2,Inter
370,2021-05-01,Milan,2–0,Benevento
371,2021-05-02,Lazio,4–3,Genoa
372,2021-05-02,Napoli,1–1,Cagliari
373,2021-05-02,Bologna,3–3,Fiorentina
374,2021-05-02,Sassuolo,1–1,Atalanta
375,2021-05-02,Udinese,1–2,Juventus
376,2021-05-02,Sampdoria,2–0,Roma
377,2021-05-03,Torino,1–0,Parma
379,2021-05-08,Spezia,1–4,Napoli
380,2021-05-08,Udinese,1–1,Bologna
381,2021-05-08,Inter,5–1,Sampdoria
382,2021-05-08,Fiorentina,2–0,Lazio
383,2021-05-09,Genoa,1–2,Sassuolo
384,2021-05-09,Parma,2–5,Atalanta
385,2021-05-09,Benevento,1–3,Cagliari
386,2021-05-09,Hellas Verona,1–1,Torino
387,2021-05-09,Roma,5–0,Crotone
388,2021-05-09,Juventus,0–3,Milan
390,2021-05-11,Napoli,5–1,Udinese
391,2021-05-12,Cagliari,0–0,Fiorentina
392,2021-05-12,Sassuolo,1–3,Juventus
393,2021-05-12,Sampdoria,2–2,Spezia
394,2021-05-12,Bologna,0–2,Genoa
395,2021-05-12,Inter,3–1,Roma
396,2021-05-12,Lazio,1–0,Parma
397,2021-05-12,Torino,0–7,Milan
398,2021-05-12,Atalanta,2–0,Benevento
399,2021-05-13,Crotone,2–1,Hellas Verona
401,2021-05-15,Spezia,4–1,Torino
402,2021-05-15,Genoa,3–4,Atalanta
403,2021-05-15,Juventus,3–2,Inter
404,2021-05-15,Roma,2–0,Lazio
405,2021-05-16,Fiorentina,0–2,Napoli
406,2021-05-16,Udinese,0–1,Sampdoria
407,2021-05-16,Benevento,1–1,Crotone
408,2021-05-16,Parma,1–3,Sassuolo
409,2021-05-16,Milan,0–0,Cagliari
410,2021-05-17,Hellas Verona,2–2,Bologna
412,2021-05-18,Lazio,0–0,Torino
414,2021-05-22,Cagliari,0–1,Genoa
415,2021-05-22,Crotone,0–0,Fiorentina
416,2021-05-22,Sampdoria,3–0,Parma
417,2021-05-23,Inter,5–1,Udinese
418,2021-05-23,Spezia,2–2,Roma
419,2021-05-23,Sassuolo,2–0,Lazio
420,2021-05-23,Atalanta,0–2,Milan
421,2021-05-23,Torino,1–1,Benevento
422,2021-05-23,Bologna,1–4,Juventus
423,2021-05-23,Napoli,1–1,Hellas Verona
