,team1,date,matchday,stadium,result,goals,team2
22,Milan,2020-12-23,Giornata n. 14,Casa,V,3,Lazio
14,Udinese,2020-12-23,Giornata n. 14,Casa,P,0,Benevento
15,Bologna,2020-12-23,Giornata n. 14,Casa,N,2,Atalanta
15,Sampdoria,2020-12-23,Giornata n. 14,Casa,P,2,Sassuolo
15,Spezia,2020-12-23,Giornata n. 14,Casa,P,1,Genoa
15,Hellas Verona,2020-12-23,Giornata n. 14,Casa,P,1,Inter
19,Roma,2020-12-23,Giornata n. 14,Casa,V,3,Cagliari
18,Napoli,2020-12-23,Giornata n. 14,Casa,N,1,Torino
16,Cagliari,2021-01-03,Giornata n. 15,Casa,P,1,Napoli
20,Inter,2021-01-03,Giornata n. 15,Casa,V,6,Crotone
16,Genoa,2021-01-03,Giornata n. 15,Casa,N,1,Lazio
16,Parma,2021-01-03,Giornata n. 15,Casa,P,0,Torino
19,Atalanta,2021-01-03,Giornata n. 15,Casa,V,5,Sassuolo
16,Spezia,2021-01-03,Giornata n. 15,Casa,P,0,Hellas Verona
19,Juventus,2021-01-03,Giornata n. 15,Casa,V,4,Udinese
15,Benevento,2021-01-03,Giornata n. 15,Casa,P,0,Milan
16,Fiorentina,2021-01-03,Giornata n. 15,Casa,N,0,Bologna
20,Roma,2021-01-03,Giornata n. 15,Casa,V,1,Sampdoria
17,Bologna,2021-01-06,Giornata n. 16,Casa,N,2,Udinese
16,Crotone,2021-01-06,Giornata n. 16,Casa,P,1,Roma
24,Milan,2021-01-06,Giornata n. 16,Casa,P,1,Juventus
21,Lazio,2021-01-06,Giornata n. 16,Casa,V,2,Fiorentina
20,Atalanta,2021-01-06,Giornata n. 16,Casa,V,3,Parma
17,Torino,2021-01-06,Giornata n. 16,Casa,N,1,Hellas Verona
17,Cagliari,2021-01-06,Giornata n. 16,Casa,P,1,Benevento
17,Sampdoria,2021-01-06,Giornata n. 16,Casa,V,2,Inter
20,Napoli,2021-01-06,Giornata n. 16,Casa,P,1,Spezia
15,Sassuolo,2021-01-06,Giornata n. 16,Casa,V,2,Genoa
17,Benevento,2021-01-09,Giornata n. 17,Casa,P,1,Atalanta
25,Milan,2021-01-09,Giornata n. 17,Casa,V,2,Torino
18,Genoa,2021-01-09,Giornata n. 17,Casa,V,2,Bologna
18,Fiorentina,2021-01-10,Giornata n. 17,Casa,V,1,Cagliari
18,Hellas Verona,2021-01-10,Giornata n. 17,Casa,V,2,Crotone
21,Juventus,2021-01-10,Giornata n. 17,Casa,V,3,Sassuolo
17,Udinese,2021-01-10,Giornata n. 17,Casa,P,1,Napoli
18,Parma,2021-01-10,Giornata n. 17,Casa,P,0,Lazio
22,Roma,2021-01-10,Giornata n. 17,Casa,N,2,Inter
18,Spezia,2021-01-11,Giornata n. 17,Casa,V,2,Sampdoria
23,Lazio,2021-01-15,Giornata n. 18,Casa,V,3,Roma
19,Sampdoria,2021-01-16,Giornata n. 18,Casa,V,2,Udinese
19,Bologna,2021-01-16,Giornata n. 18,Casa,V,1,Hellas Verona
20,Torino,2021-01-16,Giornata n. 18,Casa,N,0,Spezia
23,Atalanta,2021-01-17,Giornata n. 18,Casa,N,0,Genoa
18,Sassuolo,2021-01-17,Giornata n. 18,Casa,N,1,Parma
18,Crotone,2021-01-17,Giornata n. 18,Casa,V,4,Benevento
24,Inter,2021-01-17,Giornata n. 18,Casa,V,2,Juventus
23,Napoli,2021-01-17,Giornata n. 18,Casa,V,6,Fiorentina
20,Cagliari,2021-01-18,Giornata n. 18,Casa,P,0,Milan
19,Udinese,2021-01-20,Giornata n. 10,Casa,N,1,Atalanta
19,Benevento,2021-01-22,Giornata n. 19,Casa,N,2,Torino
25,Roma,2021-01-23,Giornata n. 19,Casa,V,4,Spezia
21,Fiorentina,2021-01-23,Giornata n. 19,Casa,V,2,Crotone
28,Milan,2021-01-23,Giornata n. 19,Casa,P,0,Atalanta
20,Udinese,2021-01-23,Giornata n. 19,Casa,N,0,Inter
25,Lazio,2021-01-24,Giornata n. 19,Casa,V,2,Sassuolo
21,Parma,2021-01-24,Giornata n. 19,Casa,P,0,Sampdoria
25,Juventus,2021-01-24,Giornata n. 19,Casa,V,2,Bologna
21,Genoa,2021-01-24,Giornata n. 19,Casa,V,1,Cagliari
20,Hellas Verona,2021-01-24,Giornata n. 19,Casa,V,3,Napoli
22,Torino,2021-01-29,Giornata n. 20,Casa,N,1,Fiorentina
27,Inter,2021-01-30,Giornata n. 20,Casa,V,4,Benevento
21,Sampdoria,2021-01-30,Giornata n. 20,Casa,P,0,Juventus
21,Bologna,2021-01-30,Giornata n. 20,Casa,P,1,Milan
27,Napoli,2021-01-31,Giornata n. 20,Casa,V,2,Parma
23,Spezia,2021-01-31,Giornata n. 20,Casa,P,0,Udinese
27,Atalanta,2021-01-31,Giornata n. 20,Casa,P,1,Lazio
20,Crotone,2021-01-31,Giornata n. 20,Casa,P,0,Genoa
26,Roma,2021-01-31,Giornata n. 20,Casa,V,3,Hellas Verona
22,Cagliari,2021-01-31,Giornata n. 20,Casa,N,1,Sassuolo
23,Fiorentina,2021-02-05,Giornata n. 21,Casa,P,0,Inter
21,Sassuolo,2021-02-06,Giornata n. 21,Casa,P,1,Spezia
29,Juventus,2021-02-06,Giornata n. 21,Casa,V,2,Roma
23,Genoa,2021-02-06,Giornata n. 21,Casa,V,2,Napoli
29,Atalanta,2021-02-06,Giornata n. 21,Casa,N,3,Torino
21,Benevento,2021-02-07,Giornata n. 21,Casa,N,1,Sampdoria
28,Lazio,2021-02-07,Giornata n. 21,Casa,V,1,Cagliari
22,Udinese,2021-02-07,Giornata n. 21,Casa,V,2,Hellas Verona
31,Milan,2021-02-07,Giornata n. 21,Casa,V,4,Crotone
23,Parma,2021-02-07,Giornata n. 21,Casa,P,0,Bologna
23,Bologna,2021-02-12,Giornata n. 22,Casa,N,1,Benevento
25,Spezia,2021-02-13,Giornata n. 22,Casa,V,2,Milan
24,Torino,2021-02-13,Giornata n. 22,Casa,N,0,Genoa
31,Napoli,2021-02-13,Giornata n. 22,Casa,V,1,Juventus
31,Inter,2021-02-14,Giornata n. 22,Casa,V,3,Lazio
23,Sampdoria,2021-02-14,Giornata n. 22,Casa,V,2,Fiorentina
28,Roma,2021-02-14,Giornata n. 22,Casa,V,3,Udinese
24,Cagliari,2021-02-14,Giornata n. 22,Casa,P,0,Atalanta
22,Crotone,2021-02-14,Giornata n. 22,Casa,P,1,Sassuolo
23,Hellas Verona,2021-02-15,Giornata n. 22,Casa,V,2,Parma
25,Cagliari,2021-02-19,Giornata n. 23,Casa,P,0,Torino
25,Fiorentina,2021-02-19,Giornata n. 23,Casa,V,3,Spezia
25,Genoa,2021-02-20,Giornata n. 23,Casa,N,2,Hellas Verona
30,Lazio,2021-02-20,Giornata n. 23,Casa,V,1,Sampdoria
23,Sassuolo,2021-02-20,Giornata n. 23,Casa,N,1,Bologna
23,Benevento,2021-02-21,Giornata n. 23,Casa,N,0,Roma
34,Milan,2021-02-21,Giornata n. 23,Casa,P,0,Inter
32,Atalanta,2021-02-21,Giornata n. 23,Casa,V,4,Napoli
25,Parma,2021-02-21,Giornata n. 23,Casa,N,2,Udinese
33,Juventus,2021-02-22,Giornata n. 23,Casa,V,3,Crotone
27,Spezia,2021-02-27,Giornata n. 24,Casa,N,2,Parma
25,Bologna,2021-02-27,Giornata n. 24,Casa,V,2,Lazio
25,Hellas Verona,2021-02-27,Giornata n. 24,Casa,N,1,Juventus
25,Sampdoria,2021-02-28,Giornata n. 24,Casa,P,0,Atalanta
33,Inter,2021-02-28,Giornata n. 24,Casa,V,3,Genoa
32,Roma,2021-02-28,Giornata n. 24,Casa,P,1,Milan
35,Napoli,2021-02-28,Giornata n. 24,Casa,V,2,Benevento
24,Crotone,2021-02-28,Giornata n. 24,Casa,P,0,Cagliari
25,Udinese,2021-02-28,Giornata n. 24,Casa,V,1,Fiorentina
35,Juventus,2021-03-02,Giornata n. 25,Casa,V,3,Spezia
27,Cagliari,2021-03-03,Giornata n. 25,Casa,V,1,Bologna
37,Milan,2021-03-03,Giornata n. 25,Casa,N,1,Udinese
27,Genoa,2021-03-03,Giornata n. 25,Casa,N,1,Sampdoria
25,Benevento,2021-03-03,Giornata n. 25,Casa,P,0,Hellas Verona
27,Fiorentina,2021-03-03,Giornata n. 25,Casa,P,1,Roma
24,Sassuolo,2021-03-03,Giornata n. 25,Casa,N,3,Napoli
35,Atalanta,2021-03-03,Giornata n. 25,Casa,V,5,Crotone
27,Parma,2021-03-04,Giornata n. 25,Casa,P,1,Inter
29,Spezia,2021-03-06,Giornata n. 26,Casa,N,1,Benevento
36,Juventus,2021-03-06,Giornata n. 26,Casa,V,3,Lazio
27,Udinese,2021-03-06,Giornata n. 26,Casa,V,2,Sassuolo
28,Fiorentina,2021-03-07,Giornata n. 26,Casa,N,3,Parma
34,Roma,2021-03-07,Giornata n. 26,Casa,V,1,Genoa
27,Hellas Verona,2021-03-07,Giornata n. 26,Casa,P,0,Milan
26,Crotone,2021-03-07,Giornata n. 26,Casa,V,4,Torino
37,Napoli,2021-03-07,Giornata n. 26,Casa,V,3,Bologna
27,Sampdoria,2021-03-07,Giornata n. 26,Casa,N,2,Cagliari
35,Inter,2021-03-08,Giornata n. 26,Casa,V,1,Atalanta
34,Lazio,2021-03-12,Giornata n. 27,Casa,V,3,Crotone
37,Atalanta,2021-03-12,Giornata n. 27,Casa,V,3,Spezia
27,Benevento,2021-03-13,Giornata n. 27,Casa,P,1,Fiorentina
29,Genoa,2021-03-13,Giornata n. 27,Casa,N,1,Udinese
26,Sassuolo,2021-03-13,Giornata n. 27,Casa,V,3,Hellas Verona
29,Parma,2021-03-14,Giornata n. 27,Casa,V,2,Roma
29,Cagliari,2021-03-14,Giornata n. 27,Casa,P,1,Juventus
27,Torino,2021-03-14,Giornata n. 27,Casa,P,1,Inter
40,Milan,2021-03-14,Giornata n. 27,Casa,P,0,Napoli
28,Bologna,2021-03-14,Giornata n. 27,Casa,V,3,Sampdoria
28,Torino,2021-03-17,Giornata n. 24,Casa,V,3,Sassuolo
30,Parma,2021-03-19,Giornata n. 28,Casa,P,1,Genoa
28,Crotone,2021-03-20,Giornata n. 28,Casa,P,2,Bologna
31,Spezia,2021-03-20,Giornata n. 28,Casa,V,2,Cagliari
29,Sampdoria,2021-03-21,Giornata n. 28,Casa,V,1,Torino
30,Fiorentina,2021-03-21,Giornata n. 28,Casa,P,2,Milan
39,Juventus,2021-03-21,Giornata n. 28,Casa,P,0,Benevento
29,Udinese,2021-03-21,Giornata n. 28,Casa,P,0,Lazio
38,Roma,2021-03-21,Giornata n. 28,Casa,P,0,Napoli
29,Hellas Verona,2021-03-21,Giornata n. 28,Casa,P,0,Atalanta
40,Atalanta,2021-04-03,Giornata n. 29,Casa,V,3,Udinese
40,Napoli,2021-04-03,Giornata n. 29,Casa,V,4,Crotone
29,Benevento,2021-04-03,Giornata n. 29,Casa,N,2,Parma
31,Cagliari,2021-04-03,Giornata n. 29,Casa,P,0,Hellas Verona
28,Sassuolo,2021-04-03,Giornata n. 29,Casa,N,2,Roma
31,Genoa,2021-04-03,Giornata n. 29,Casa,N,1,Fiorentina
43,Milan,2021-04-03,Giornata n. 29,Casa,N,1,Sampdoria
30,Torino,2021-04-03,Giornata n. 29,Casa,N,2,Juventus
30,Bologna,2021-04-03,Giornata n. 29,Casa,P,0,Inter
37,Lazio,2021-04-03,Giornata n. 29,Casa,V,2,Spezia
38,Inter,2021-04-07,Giornata n. 28,Casa,V,2,Sassuolo
41,Juventus,2021-04-07,Giornata n. 3,Casa,V,2,Napoli
31,Udinese,2021-04-10,Giornata n. 30,Casa,P,0,Torino
33,Spezia,2021-04-10,Giornata n. 30,Casa,V,3,Crotone
32,Parma,2021-04-10,Giornata n. 30,Casa,P,1,Milan
41,Roma,2021-04-11,Giornata n. 30,Casa,V,1,Bologna
31,Hellas Verona,2021-04-11,Giornata n. 30,Casa,P,0,Lazio
32,Fiorentina,2021-04-11,Giornata n. 30,Casa,P,2,Atalanta
39,Inter,2021-04-11,Giornata n. 30,Casa,V,1,Cagliari
31,Sampdoria,2021-04-11,Giornata n. 30,Casa,P,0,Napoli
42,Juventus,2021-04-11,Giornata n. 30,Casa,V,3,Genoa
30,Benevento,2021-04-12,Giornata n. 30,Casa,P,0,Sassuolo
32,Sampdoria,2021-04-17,Giornata n. 31,Casa,V,3,Hellas Verona
33,Cagliari,2021-04-17,Giornata n. 31,Casa,V,4,Parma
31,Sassuolo,2021-04-17,Giornata n. 31,Casa,V,3,Fiorentina
31,Crotone,2021-04-17,Giornata n. 31,Casa,P,1,Udinese
43,Napoli,2021-04-18,Giornata n. 31,Casa,N,1,Inter
45,Milan,2021-04-18,Giornata n. 31,Casa,V,2,Genoa
39,Lazio,2021-04-18,Giornata n. 31,Casa,V,5,Benevento
32,Torino,2021-04-18,Giornata n. 31,Casa,V,3,Roma
32,Bologna,2021-04-18,Giornata n. 31,Casa,V,4,Spezia
42,Atalanta,2021-04-18,Giornata n. 31,Casa,V,1,Juventus
33,Hellas Verona,2021-04-20,Giornata n. 32,Casa,P,1,Fiorentina
35,Spezia,2021-04-21,Giornata n. 32,Casa,N,1,Inter
33,Udinese,2021-04-21,Giornata n. 32,Casa,P,0,Cagliari
44,Juventus,2021-04-21,Giornata n. 32,Casa,V,3,Parma
33,Bologna,2021-04-21,Giornata n. 32,Casa,N,1,Torino
32,Crotone,2021-04-21,Giornata n. 32,Casa,P,0,Sampdoria
34,Genoa,2021-04-21,Giornata n. 32,Casa,N,2,Benevento
46,Milan,2021-04-21,Giornata n. 32,Casa,P,1,Sassuolo
44,Napoli,2021-04-22,Giornata n. 32,Casa,V,5,Lazio
44,Roma,2021-04-22,Giornata n. 32,Casa,N,1,Atalanta
33,Sassuolo,2021-04-24,Giornata n. 33,Casa,V,1,Sampdoria
35,Genoa,2021-04-24,Giornata n. 33,Casa,V,2,Spezia
35,Parma,2021-04-24,Giornata n. 33,Casa,P,3,Crotone
42,Inter,2021-04-25,Giornata n. 33,Casa,V,1,Hellas Verona
44,Atalanta,2021-04-25,Giornata n. 33,Casa,V,5,Bologna
33,Benevento,2021-04-25,Giornata n. 33,Casa,P,2,Udinese
35,Fiorentina,2021-04-25,Giornata n. 33,Casa,N,1,Juventus
35,Cagliari,2021-04-25,Giornata n. 33,Casa,V,3,Roma
41,Lazio,2021-04-26,Giornata n. 33,Casa,V,3,Milan
34,Torino,2021-04-26,Giornata n. 33,Casa,P,0,Napoli
35,Hellas Verona,2021-05-01,Giornata n. 34,Casa,N,1,Spezia
48,Milan,2021-05-01,Giornata n. 34,Casa,V,2,Benevento
34,Crotone,2021-05-01,Giornata n. 34,Casa,P,0,Inter
42,Lazio,2021-05-02,Giornata n. 34,Casa,V,4,Genoa
35,Udinese,2021-05-02,Giornata n. 34,Casa,P,1,Juventus
35,Bologna,2021-05-02,Giornata n. 34,Casa,N,3,Fiorentina
34,Sassuolo,2021-05-02,Giornata n. 34,Casa,N,1,Atalanta
35,Sampdoria,2021-05-02,Giornata n. 34,Casa,V,2,Roma
46,Napoli,2021-05-02,Giornata n. 34,Casa,N,1,Cagliari
35,Torino,2021-05-03,Giornata n. 34,Casa,V,1,Parma
38,Spezia,2021-05-08,Giornata n. 35,Casa,P,1,Napoli
36,Udinese,2021-05-08,Giornata n. 35,Casa,N,1,Bologna
44,Inter,2021-05-08,Giornata n. 35,Casa,V,5,Sampdoria
37,Fiorentina,2021-05-08,Giornata n. 35,Casa,V,2,Lazio
47,Juventus,2021-05-09,Giornata n. 35,Casa,P,0,Milan
35,Benevento,2021-05-09,Giornata n. 35,Casa,P,1,Cagliari
49,Roma,2021-05-09,Giornata n. 35,Casa,V,5,Crotone
37,Parma,2021-05-09,Giornata n. 35,Casa,P,2,Atalanta
36,Hellas Verona,2021-05-09,Giornata n. 35,Casa,N,1,Torino
37,Genoa,2021-05-09,Giornata n. 35,Casa,P,1,Sassuolo
48,Napoli,2021-05-11,Giornata n. 36,Casa,V,5,Udinese
36,Sassuolo,2021-05-12,Giornata n. 36,Casa,P,1,Juventus
37,Sampdoria,2021-05-12,Giornata n. 36,Casa,N,2,Spezia
47,Atalanta,2021-05-12,Giornata n. 36,Casa,V,2,Benevento
45,Inter,2021-05-12,Giornata n. 36,Casa,V,3,Roma
37,Bologna,2021-05-12,Giornata n. 36,Casa,P,0,Genoa
37,Torino,2021-05-12,Giornata n. 36,Casa,P,0,Milan
38,Cagliari,2021-05-12,Giornata n. 36,Casa,N,0,Fiorentina
44,Lazio,2021-05-12,Giornata n. 36,Casa,V,1,Parma
36,Crotone,2021-05-13,Giornata n. 36,Casa,V,2,Hellas Verona
49,Juventus,2021-05-15,Giornata n. 37,Casa,V,3,Inter
40,Spezia,2021-05-15,Giornata n. 37,Casa,V,4,Torino
51,Roma,2021-05-15,Giornata n. 37,Casa,V,2,Lazio
39,Genoa,2021-05-15,Giornata n. 37,Casa,P,3,Atalanta
38,Udinese,2021-05-16,Giornata n. 37,Casa,P,0,Sampdoria
39,Parma,2021-05-16,Giornata n. 37,Casa,P,1,Sassuolo
37,Benevento,2021-05-16,Giornata n. 37,Casa,N,1,Crotone
51,Milan,2021-05-16,Giornata n. 37,Casa,N,0,Cagliari
39,Fiorentina,2021-05-16,Giornata n. 37,Casa,P,0,Napoli
38,Hellas Verona,2021-05-17,Giornata n. 37,Casa,N,2,Bologna
46,Lazio,2021-05-18,Giornata n. 25,Casa,N,0,Torino
39,Sampdoria,2021-05-22,Giornata n. 38,Casa,V,3,Parma
38,Crotone,2021-05-22,Giornata n. 38,Casa,N,0,Fiorentina
40,Cagliari,2021-05-22,Giornata n. 38,Casa,P,0,Genoa
50,Atalanta,2021-05-23,Giornata n. 38,Casa,P,0,Milan
39,Bologna,2021-05-23,Giornata n. 38,Casa,P,1,Juventus
40,Torino,2021-05-23,Giornata n. 38,Casa,N,1,Benevento
50,Napoli,2021-05-23,Giornata n. 38,Casa,N,1,Hellas Verona
38,Sassuolo,2021-05-23,Giornata n. 38,Casa,V,2,Lazio
41,Spezia,2021-05-23,Giornata n. 38,Casa,N,2,Roma
47,Inter,2021-05-23,Giornata n. 38,Casa,V,5,Udinese
