,team1,date,matchday,stadium,result,goals,team2
5,Milan,2021-09-22,Giornata n. 5,Casa,V,2,Venezia
5,Spezia,2021-09-22,Giornata n. 5,Casa,P,2,Juventus
5,Torino,2021-09-23,Giornata n. 5,Casa,N,1,Lazio
5,Sampdoria,2021-09-23,Giornata n. 5,Casa,P,0,Napoli
7,Roma,2021-09-23,Giornata n. 5,Casa,V,1,Udinese
6,Genoa,2021-09-25,Giornata n. 6,Casa,N,3,Hellas Verona
6,Inter,2021-09-25,Giornata n. 6,Casa,N,2,Atalanta
6,Spezia,2021-09-25,Giornata n. 6,Casa,P,1,Milan
6,Napoli,2021-09-26,Giornata n. 6,Casa,V,2,Cagliari
5,Sassuolo,2021-09-26,Giornata n. 6,Casa,V,1,Salernitana
6,Lazio,2021-09-26,Giornata n. 6,Casa,V,3,Roma
6,Empoli,2021-09-26,Giornata n. 6,Casa,V,4,Bologna
6,Udinese,2021-09-26,Giornata n. 6,Casa,P,0,Fiorentina
6,Juventus,2021-09-26,Giornata n. 6,Casa,V,3,Sampdoria
6,Venezia,2021-09-27,Giornata n. 6,Casa,N,1,Torino
7,Cagliari,2021-10-01,Giornata n. 7,Casa,N,1,Venezia
7,Salernitana,2021-10-02,Giornata n. 7,Casa,V,1,Genoa
6,Sassuolo,2021-10-02,Giornata n. 7,Casa,P,1,Inter
7,Torino,2021-10-02,Giornata n. 7,Casa,P,0,Juventus
10,Roma,2021-10-03,Giornata n. 7,Casa,V,2,Empoli
7,Bologna,2021-10-03,Giornata n. 7,Casa,V,3,Lazio
7,Hellas Verona,2021-10-03,Giornata n. 7,Casa,V,4,Spezia
7,Fiorentina,2021-10-03,Giornata n. 7,Casa,P,1,Napoli
8,Atalanta,2021-10-03,Giornata n. 7,Casa,P,2,Milan
7,Sampdoria,2021-10-03,Giornata n. 7,Casa,N,3,Udinese
8,Spezia,2021-10-16,Giornata n. 8,Casa,V,2,Salernitana
9,Lazio,2021-10-16,Giornata n. 8,Casa,V,3,Inter
9,Milan,2021-10-16,Giornata n. 8,Casa,V,3,Hellas Verona
9,Napoli,2021-10-17,Giornata n. 8,Casa,V,1,Torino
9,Juventus,2021-10-17,Giornata n. 8,Casa,V,1,Roma
8,Genoa,2021-10-17,Giornata n. 8,Casa,N,2,Sassuolo
8,Empoli,2021-10-17,Giornata n. 8,Casa,P,1,Atalanta
8,Cagliari,2021-10-17,Giornata n. 8,Casa,V,3,Sampdoria
8,Udinese,2021-10-17,Giornata n. 8,Casa,N,1,Bologna
8,Venezia,2021-10-18,Giornata n. 8,Casa,V,1,Fiorentina
9,Sampdoria,2021-10-22,Giornata n. 9,Casa,V,2,Spezia
9,Torino,2021-10-22,Giornata n. 9,Casa,V,3,Genoa
9,Salernitana,2021-10-23,Giornata n. 9,Casa,P,2,Empoli
8,Sassuolo,2021-10-23,Giornata n. 9,Casa,V,3,Venezia
9,Bologna,2021-10-23,Giornata n. 9,Casa,P,2,Milan
9,Hellas Verona,2021-10-24,Giornata n. 9,Casa,V,4,Lazio
13,Roma,2021-10-24,Giornata n. 9,Casa,N,0,Napoli
11,Inter,2021-10-24,Giornata n. 9,Casa,N,1,Juventus
11,Atalanta,2021-10-24,Giornata n. 9,Casa,N,1,Udinese
9,Fiorentina,2021-10-24,Giornata n. 9,Casa,V,3,Cagliari
10,Venezia,2021-10-26,Giornata n. 10,Casa,P,1,Salernitana
12,Milan,2021-10-26,Giornata n. 10,Casa,V,1,Torino
10,Spezia,2021-10-26,Giornata n. 10,Casa,N,1,Genoa
10,Udinese,2021-10-27,Giornata n. 10,Casa,N,1,Hellas Verona
12,Juventus,2021-10-27,Giornata n. 10,Casa,P,1,Sassuolo
12,Lazio,2021-10-27,Giornata n. 10,Casa,V,1,Fiorentina
10,Sampdoria,2021-10-27,Giornata n. 10,Casa,P,1,Atalanta
10,Empoli,2021-10-27,Giornata n. 10,Casa,P,0,Inter
10,Cagliari,2021-10-27,Giornata n. 10,Casa,P,1,Roma
12,Napoli,2021-10-28,Giornata n. 10,Casa,V,3,Bologna
11,Torino,2021-10-30,Giornata n. 11,Casa,V,3,Sampdoria
11,Hellas Verona,2021-10-30,Giornata n. 11,Casa,V,2,Juventus
13,Atalanta,2021-10-30,Giornata n. 11,Casa,N,2,Lazio
11,Fiorentina,2021-10-31,Giornata n. 11,Casa,V,3,Spezia
11,Genoa,2021-10-31,Giornata n. 11,Casa,N,0,Venezia
11,Salernitana,2021-10-31,Giornata n. 11,Casa,P,0,Napoli
13,Inter,2021-10-31,Giornata n. 11,Casa,V,2,Udinese
15,Roma,2021-10-31,Giornata n. 11,Casa,P,1,Milan
10,Sassuolo,2021-10-31,Giornata n. 11,Casa,P,1,Empoli
11,Bologna,2021-11-01,Giornata n. 11,Casa,V,2,Cagliari
12,Empoli,2021-11-05,Giornata n. 12,Casa,N,2,Genoa
12,Cagliari,2021-11-06,Giornata n. 12,Casa,P,1,Atalanta
15,Juventus,2021-11-06,Giornata n. 12,Casa,V,1,Fiorentina
12,Spezia,2021-11-06,Giornata n. 12,Casa,V,1,Torino
