,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
5,Hellas Verona,2019-09-29,Giornata n. 6,Ospiti,N,1,Cagliari,11.0,3.0,0,0,56.0,22.0,2,0
5,Milan,2019-09-29,Giornata n. 6,Casa,P,1,Fiorentina,11.0,3.0,0,0,55.0,9.0,2,1
5,Bologna,2019-09-29,Giornata n. 6,Ospiti,P,0,Udinese,12.0,3.0,0,0,60.0,19.0,3,1
5,Lazio,2019-09-29,Giornata n. 6,Casa,V,4,Genoa,15.0,9.0,0,0,54.0,8.0,1,0
5,Lecce,2019-09-29,Giornata n. 6,Casa,P,0,Roma,13.0,6.0,0,0,40.0,9.0,2,0
5,Genoa,2019-09-29,Giornata n. 6,Ospiti,P,0,Lazio,13.0,6.0,0,0,46.0,11.0,2,0
5,Parma,2019-09-30,Giornata n. 6,Casa,V,3,Torino,19.0,4.0,0,1,51.0,24.0,2,0
5,Torino,2019-09-30,Giornata n. 6,Ospiti,P,2,Parma,7.0,4.0,1,1,49.0,17.0,3,1
6,SPAL,2019-10-05,Giornata n. 7,Casa,V,1,Parma,16.0,7.0,0,0,47.0,11.0,5,1
6,Hellas Verona,2019-10-05,Giornata n. 7,Casa,V,2,Sampdoria,9.0,4.0,0,0,49.0,19.0,1,0
6,Milan,2019-10-05,Giornata n. 7,Ospiti,V,2,Genoa,8.0,5.0,1,1,49.0,14.0,4,2
6,Parma,2019-10-05,Giornata n. 7,Ospiti,P,0,SPAL,8.0,1.0,0,0,53.0,15.0,2,0
6,Genoa,2019-10-05,Giornata n. 7,Casa,P,1,Milan,13.0,5.0,0,1,51.0,26.0,4,2
6,Sampdoria,2019-10-05,Giornata n. 7,Ospiti,P,0,Hellas Verona,14.0,2.0,0,0,51.0,16.0,3,0
6,Fiorentina,2019-10-06,Giornata n. 7,Casa,V,1,Udinese,17.0,4.0,0,0,50.0,10.0,1,0
6,Roma,2019-10-06,Giornata n. 7,Casa,N,1.0,Cagliari,21.0,6.0,0,0,66.0,20.0,1,0
6,Udinese,2019-10-06,Giornata n. 7,Ospiti,P,0,Fiorentina,8.0,2.0,0,0,50.0,14.0,2,0
6,Torino,2019-10-06,Giornata n. 7,Casa,N,0,Napoli,12.0,3.0,0,0,40.0,12.0,1,0
6,Atalanta,2019-10-06,Giornata n. 7,Casa,V,3,Lecce,30.0,15.0,0,0,57.0,15.0,2,0
6,Juventus,2019-10-06,Giornata n. 7,Ospiti,V,2,Inter,18.0,6.0,0,0,50.0,12.0,3,0
6,Cagliari,2019-10-06,Giornata n. 7,Ospiti,N,1,Roma,7.0,1.0,1,1,34.0,11.0,4,0
6,Lazio,2019-10-06,Giornata n. 7,Ospiti,N,2,Bologna,10.0,4.0,0,1,47.0,17.0,4,1
6,Inter,2019-10-06,Giornata n. 7,Casa,P,1.0,Juventus,9.0,2.0,1,1,50.0,26.0,2,0
6,Bologna,2019-10-06,Giornata n. 7,Casa,N,2,Lazio,17.0,8.0,0,0,53.0,17.0,5,1
6,Lecce,2019-10-06,Giornata n. 7,Ospiti,P,1,Atalanta,7.0,2.0,0,0,43.0,16.0,3,0
6,Napoli,2019-10-06,Giornata n. 7,Ospiti,N,0,Torino,16.0,3.0,0,0,60.0,12.0,2,0
7,Juventus,2019-10-19,Giornata n. 8,Casa,V,2,Bologna,23.0,10.0,0,0,65.0,15.0,2,0
7,Lazio,2019-10-19,Giornata n. 8,Casa,N,3,Atalanta,15.0,3.0,2,2,51.0,19.0,5,0
7,Atalanta,2019-10-19,Giornata n. 8,Ospiti,N,3,Lazio,22.0,9.0,0,0,49.0,14.0,2,0
7,Hellas Verona,2019-10-19,Giornata n. 8,Ospiti,P,0,Napoli,20.0,5.0,0,0,44.0,17.0,3,0
7,Bologna,2019-10-19,Giornata n. 8,Ospiti,P,1,Juventus,9.0,2.0,0,0,35.0,19.0,3,0
7,Napoli,2019-10-19,Giornata n. 8,Casa,V,2,Hellas Verona,21.0,7.0,0,0,56.0,15.0,3,0
7,Inter,2019-10-20,Giornata n. 8,Ospiti,V,4.0,Sassuolo,12.0,5.0,2,2,47.0,20.0,3,0
7,Lecce,2019-10-20,Giornata n. 8,Ospiti,N,2,Milan,12.0,5.0,0,1,36.0,13.0,2,0
7,Roma,2019-10-20,Giornata n. 8,Ospiti,N,0.0,Sampdoria,9.0,1.0,0,0,64.0,14.0,4,1
7,Milan,2019-10-20,Giornata n. 8,Casa,N,2,Lecce,22.0,6.0,0,0,64.0,14.0,1,0
7,Torino,2019-10-20,Giornata n. 8,Ospiti,P,0,Udinese,11.0,3.0,0,0,61.0,22.0,3,0
7,Genoa,2019-10-20,Giornata n. 8,Ospiti,P,1,Parma,18.0,5.0,0,0,63.0,13.0,2,0
6,Sassuolo,2019-10-20,Giornata n. 8,Casa,P,3,Inter,12.0,4.0,0,0,53.0,17.0,4,0
7,Sampdoria,2019-10-20,Giornata n. 8,Casa,N,0,Roma,12.0,4.0,0,0,36.0,15.0,3,0
7,Parma,2019-10-20,Giornata n. 8,Casa,V,5,Genoa,22.0,7.0,0,0,37.0,10.0,1,0
7,Cagliari,2019-10-20,Giornata n. 8,Casa,V,2,SPAL,16.0,5.0,0,0,44.0,16.0,4,0
7,SPAL,2019-10-20,Giornata n. 8,Ospiti,P,0,Cagliari,12.0,5.0,0,0,56.0,15.0,5,0
7,Udinese,2019-10-20,Giornata n. 8,Casa,V,1,Torino,19.0,4.0,0,0,39.0,18.0,3,0
7,Fiorentina,2019-10-21,Giornata n. 8,Ospiti,N,0,Brescia,13.0,4.0,0,0,54.0,20.0,3,0
6,Brescia,2019-10-21,Giornata n. 8,Casa,N,0,Fiorentina,3.0,1.0,0,0,46.0,10.0,0,0
7,Sassuolo,2019-10-25,Giornata n. 9,Ospiti,V,1,Hellas Verona,16.0,4.0,0,0,43.0,13.0,5,0
8,Hellas Verona,2019-10-25,Giornata n. 9,Casa,P,0,Sassuolo,8.0,3.0,0,0,57.0,19.0,5,0
7,Brescia,2019-10-26,Giornata n. 9,Ospiti,P,1,Genoa,8.0,2.0,0,0,39.0,17.0,4,0
8,Lecce,2019-10-26,Giornata n. 9,Casa,N,1,Juventus,9.0,4.0,1,1,29.0,13.0,4,0
8,Inter,2019-10-26,Giornata n. 9,Casa,N,2.0,Parma,29.0,6.0,0,0,67.0,10.0,3,0
8,Parma,2019-10-26,Giornata n. 9,Ospiti,N,2,Inter,12.0,5.0,0,0,33.0,13.0,2,0
8,Juventus,2019-10-26,Giornata n. 9,Ospiti,N,1,Lecce,24.0,3.0,1,1,71.0,14.0,1,0
8,Genoa,2019-10-26,Giornata n. 9,Casa,V,3,Brescia,17.0,10.0,0,0,61.0,24.0,6,0
8,Napoli,2019-10-27,Giornata n. 9,Ospiti,N,1,SPAL,13.0,4.0,0,0,68.0,16.0,1,0
8,Milan,2019-10-27,Giornata n. 9,Ospiti,P,1,Roma,12.0,4.0,0,0,58.0,19.0,5,0
8,Roma,2019-10-27,Giornata n. 9,Casa,V,2.0,Milan,12.0,5.0,0,0,42.0,15.0,4,0
