,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
8,Napoli,2018-10-20,Giornata n. 9,Ospiti,V,3.0,Udinese,13.0,3.0,1,1,61.0,11.0,4,0,2018-2019
7,Genoa,2018-10-20,Giornata n. 9,Ospiti,N,1.0,Juventus,9.0,2.0,0,0,37.0,19.0,3,0,2018-2019
8,Inter,2018-10-21,Giornata n. 9,Casa,V,1.0,Milan,16.0,3.0,0,0,58.0,16.0,2,0,2018-2019
8,Cagliari,2018-10-21,Giornata n. 9,Ospiti,N,1.0,Fiorentina,7.0,4.0,0,0,44.0,20.0,2,0,2018-2019
8,Bologna,2018-10-21,Giornata n. 9,Casa,N,2.0,Torino,7.0,2.0,0,0,48.0,12.0,2,0,2018-2019
8,Torino,2018-10-21,Giornata n. 9,Ospiti,N,2.0,Bologna,11.0,6.0,0,0,52.0,25.0,2,0,2018-2019
8,Atalanta,2018-10-21,Giornata n. 9,Ospiti,V,5.0,Chievo,18.0,7.0,0,0,60.0,15.0,1,0,2018-2019
8,Frosinone,2018-10-21,Giornata n. 9,Casa,N,3.0,Empoli,6.0,3.0,1,1,40.0,16.0,2,0,2018-2019
8,Fiorentina,2018-10-21,Giornata n. 9,Casa,N,1.0,Cagliari,10.0,2.0,1,1,56.0,16.0,0,0,2018-2019
8,Chievo,2018-10-21,Giornata n. 9,Casa,P,1.0,Atalanta,2.0,0.0,1,1,40.0,13.0,2,1,2018-2019
8,Parma,2018-10-21,Giornata n. 9,Casa,P,0.0,Lazio,4.0,1.0,0,0,35.0,6.0,2,0,2018-2019
8,Lazio,2018-10-21,Giornata n. 9,Ospiti,V,2.0,Parma,16.0,8.0,1,1,65.0,13.0,3,0,2018-2019
8,Empoli,2018-10-21,Giornata n. 9,Ospiti,N,3.0,Frosinone,23.0,10.0,0,0,60.0,20.0,3,0,2018-2019
7,Milan,2018-10-21,Giornata n. 9,Ospiti,P,0.0,Inter,14.0,2.0,0,0,42.0,9.0,5,0,2018-2019
8,Sampdoria,2018-10-22,Giornata n. 9,Casa,N,0.0,Sassuolo,9.0,1.0,0,0,53.0,10.0,2,0,2018-2019
8,Sassuolo,2018-10-22,Giornata n. 9,Ospiti,N,0.0,Sampdoria,10.0,0.0,0,0,47.0,19.0,3,0,2018-2019
9,Juventus,2018-10-27,Giornata n. 10,Ospiti,V,2.0,Empoli,19.0,6.0,1,1,57.0,22.0,3,0,2018-2019
9,Torino,2018-10-27,Giornata n. 10,Casa,N,1.0,Fiorentina,21.0,2.0,0,0,55.0,17.0,2,0,2018-2019
9,Fiorentina,2018-10-27,Giornata n. 10,Ospiti,N,1.0,Torino,9.0,5.0,0,0,45.0,23.0,4,0,2018-2019
9,Parma,2018-10-27,Giornata n. 10,Ospiti,P,0.0,Atalanta,12.0,3.0,0,0,35.0,8.0,2,0,2018-2019
9,Empoli,2018-10-27,Giornata n. 10,Casa,P,1.0,Juventus,10.0,3.0,0,0,43.0,14.0,2,0,2018-2019
9,Atalanta,2018-10-27,Giornata n. 10,Casa,V,3.0,Parma,29.0,12.0,0,0,65.0,8.0,0,0,2018-2019
