,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
23,Cagliari,2021-02-28,Giornata n. 24,Ospiti,V,2,Crotone,8,3,1,1,272.0,366.0,4.0,45.0,16,4,1
23,Milan,2021-02-28,Giornata n. 24,Ospiti,V,2,Roma,17,8,1,1,379.0,459.0,8.0,47.0,10,3,0
23,Benevento,2021-02-28,Giornata n. 24,Ospiti,P,0,Napoli,4,3,0,0,303.0,376.0,2.0,39.0,19,2,0
23,Juventus,2021-03-02,Giornata n. 25,Casa,V,3,Spezia,18,6,0,0,392.0,479.0,5.0,47.0,18,2,0
24,Spezia,2021-03-02,Giornata n. 25,Ospiti,P,0,Juventus,11,0,0,1,448.0,539.0,10.0,53.0,16,0,0
24,Milan,2021-03-03,Giornata n. 25,Casa,N,1,Udinese,11,6,1,1,500.0,588.0,7.0,61.0,24,4,0
23,Sassuolo,2021-03-03,Giornata n. 25,Casa,N,3,Napoli,12,3,2,2,513.0,592.0,6.0,57.0,18,2,0
24,Roma,2021-03-03,Giornata n. 25,Ospiti,V,2,Fiorentina,12,6,0,0,465.0,578.0,3.0,59.0,16,2,0
24,Fiorentina,2021-03-03,Giornata n. 25,Casa,P,1,Roma,7,2,0,0,293.0,394.0,2.0,41.0,13,1,0
24,Genoa,2021-03-03,Giornata n. 25,Casa,N,1,Sampdoria,6,1,0,0,448.0,553.0,2.0,51.0,15,1,0
24,Sampdoria,2021-03-03,Giornata n. 25,Ospiti,N,1,Genoa,11,4,0,0,441.0,542.0,4.0,49.0,16,0,0
24,Crotone,2021-03-03,Giornata n. 25,Ospiti,P,1,Atalanta,4,2,0,0,240.0,358.0,3.0,35.0,18,2,0
24,Atalanta,2021-03-03,Giornata n. 25,Casa,V,5,Crotone,21,11,0,0,567.0,664.0,4.0,65.0,7,0,0
24,Hellas Verona,2021-03-03,Giornata n. 25,Ospiti,V,3,Benevento,10,5,0,0,360.0,465.0,7.0,49.0,20,1,0
24,Benevento,2021-03-03,Giornata n. 25,Casa,P,0,Hellas Verona,5,1,0,0,360.0,477.0,2.0,51.0,13,0,0
24,Cagliari,2021-03-03,Giornata n. 25,Casa,V,1,Bologna,11,3,0,0,201.0,327.0,10.0,37.0,18,2,0
24,Udinese,2021-03-03,Giornata n. 25,Ospiti,N,1,Milan,5,1,0,0,292.0,380.0,2.0,39.0,16,1,0
24,Bologna,2021-03-03,Giornata n. 25,Ospiti,P,0,Cagliari,13,5,0,0,470.0,547.0,4.0,63.0,19,2,0
23,Napoli,2021-03-03,Giornata n. 25,Ospiti,N,3,Sassuolo,15,4,1,1,376.0,451.0,4.0,43.0,16,2,0
24,Parma,2021-03-04,Giornata n. 25,Casa,P,1,Inter,12,2,0,0,505.0,590.0,2.0,52.0,11,0,0
24,Inter,2021-03-04,Giornata n. 25,Ospiti,V,2,Parma,12,6,0,0,465.0,540.0,2.0,48.0,11,1,0
24,Lazio,2021-03-06,Giornata n. 26,Ospiti,P,1,Juventus,15,4,0,0,447.0,520.0,4.0,47.0,14,1,0
25,Udinese,2021-03-06,Giornata n. 26,Casa,V,2,Sassuolo,13,7,0,0,238.0,320.0,5.0,30.0,10,1,0
24,Sassuolo,2021-03-06,Giornata n. 26,Ospiti,P,0,Udinese,10,2,0,0,657.0,752.0,6.0,70.0,14,0,0
25,Spezia,2021-03-06,Giornata n. 26,Casa,N,1,Benevento,11,3,0,0,590.0,699.0,3.0,72.0,15,2,0
24,Juventus,2021-03-06,Giornata n. 26,Casa,V,3,Lazio,6,4,1,1,492.0,575.0,4.0,53.0,13,0,0
25,Benevento,2021-03-06,Giornata n. 26,Ospiti,N,1,Spezia,5,2,0,0,160.0,273.0,1.0,28.0,20,4,0
25,Milan,2021-03-07,Giornata n. 26,Ospiti,V,2,Hellas Verona,11,3,0,0,333.0,465.0,1.0,47.0,12,0,0
