,Casa,Punteggio,Ospiti
121,Napoli,1–1,Lazio
122,Pescara,0–4,Empoli
123,Genoa,1–1,Udinese
124,Chievo,1–2,Juventus
125,Palermo,1–2,Milan
126,Sassuolo,0–3,Atalanta
127,Fiorentina,1–1,Sampdoria
128,Inter,3–0,Crotone
129,Roma,3–0,Bologna
131,Chievo,1–0,Cagliari
132,Udinese,1–2,Napoli
133,Juventus,3–0,Pescara
134,Sampdoria,3–2,Sassuolo
135,Bologna,3–1,Palermo
136,Lazio,3–1,Genoa
137,Crotone,0–2,Torino
138,Atalanta,2–1,Roma
139,Empoli,0–4,Fiorentina
140,Milan,2–2,Inter
142,Torino,2–1,Chievo
143,Empoli,1–4,Milan
144,Palermo,0–1,Lazio
145,Bologna,0–2,Atalanta
146,Genoa,3–1,Juventus
147,Crotone,1–1,Sampdoria
148,Cagliari,2–1,Udinese
149,Roma,3–2,Pescara
150,Napoli,1–1,Sassuolo
151,Inter,4–2,Fiorentina
153,Napoli,3–0,Inter
154,Juventus,3–1,Atalanta
155,Milan,2–1,Crotone
156,Pescara,1–1,Cagliari
157,Sassuolo,3–0,Empoli
158,Lazio,0–2,Roma
159,Sampdoria,2–0,Torino
160,Fiorentina,2–1,Palermo
161,Chievo,0–0,Genoa
162,Udinese,1–0,Bologna
164,Crotone,2–1,Pescara
165,Sampdoria,1–2,Lazio
166,Cagliari,0–5,Napoli
167,Bologna,0–0,Empoli
168,Palermo,0–2,Chievo
169,Atalanta,1–3,Udinese
170,Torino,1–3,Juventus
171,Inter,2–0,Genoa
172,Fiorentina,2–1,Sassuolo
173,Roma,1–0,Milan
175,Genoa,1–0,Fiorentina
177,Empoli,2–0,Cagliari
178,Milan,0–0,Atalanta
179,Juventus,1–0,Roma
180,Sassuolo,0–1,Inter
181,Udinese,2–0,Crotone
182,Pescara,0–3,Bologna
183,Chievo,2–1,Sampdoria
184,Napoli,5–3,Torino
185,Genoa,3–4,Palermo
186,Lazio,3–1,Fiorentina
188,Atalanta,2–1,Empoli
189,Inter,3–0,Lazio
190,Torino,1–0,Genoa
191,Palermo,1–1,Pescara
192,Cagliari,4–3,Sassuolo
193,Roma,3–1,Chievo
194,Sampdoria,0–0,Udinese
195,Fiorentina,3–3,Napoli
197,Empoli,1–0,Palermo
198,Napoli,2–1,Sampdoria
199,Udinese,1–2,Inter
200,Chievo,1–4,Atalanta
201,Lazio,1–0,Crotone
202,Sassuolo,0–0,Torino
203,Genoa,0–1,Roma
204,Milan,1–0,Cagliari
205,Juventus,3–0,Bologna
207,Crotone,0–1,Bologna
208,Inter,3–1,Chievo
209,Cagliari,4–1,Genoa
210,Lazio,2–1,Atalanta
211,Sassuolo,4–1,Palermo
212,Sampdoria,0–0,Empoli
213,Udinese,0–1,Roma
214,Napoli,3–1,Pescara
215,Fiorentina,2–1,Juventus
216,Torino,2–2,Milan
218,Chievo,0–3,Fiorentina
219,Milan,1–2,Napoli
220,Juventus,2–0,Lazio
221,Empoli,1–0,Udinese
222,Genoa,2–2,Crotone
223,Pescara,1–3,Sassuolo
224,Bologna,2–0,Torino
225,Palermo,0–1,Inter
226,Atalanta,1–0,Sampdoria
227,Roma,1–0,Cagliari
229,Lazio,0–1,Chievo
230,Inter,3–0,Pescara
231,Torino,1–1,Atalanta
232,Udinese,2–1,Milan
233,Fiorentina,3–3,Genoa
234,Sassuolo,0–2,Juventus
235,Cagliari,1–1,Bologna
236,Sampdoria,3–2,Roma
237,Crotone,4–1,Empoli
238,Napoli,1–1,Palermo
240,Pescara,1–2,Fiorentina
242,Bologna,1–7,Napoli
243,Milan,0–1,Sampdoria
244,Atalanta,2–0,Cagliari
245,Genoa,0–1,Sassuolo
246,Empoli,1–1,Torino
247,Pescara,2–6,Lazio
248,Chievo,0–0,Udinese
249,Palermo,1–0,Crotone
250,Juventus,1–0,Inter
251,Roma,4–0,Fiorentina
253,Crotone,0–2,Juventus
254,Bologna,0–1,Milan
256,Napoli,2–0,Genoa
257,Fiorentina,3–0,Udinese
258,Crotone,0–2,Roma
259,Palermo,1–3,Atalanta
260,Inter,2–0,Empoli
261,Sassuolo,1–3,Chievo
262,Torino,5–3,Pescara
263,Sampdoria,3–1,Bologna
264,Cagliari,0–2,Juventus
265,Lazio,1–1,Milan
267,Juventus,4–1,Palermo
268,Atalanta,1–0,Crotone
269,Empoli,1–2,Lazio
270,Bologna,0–1,Inter
271,Chievo,1–3,Napoli
272,Sampdoria,1–1,Cagliari
273,Pescara,5–0,Genoa
274,Udinese,1–2,Sassuolo
275,Roma,4–1,Torino
276,Milan,2–1,Fiorentina
278,Napoli,0–2,Atalanta
279,Juventus,2–0,Empoli
280,Palermo,1–1,Sampdoria
281,Lazio,1–0,Udinese
282,Crotone,1–2,Cagliari
283,Chievo,2–0,Pescara
284,Sassuolo,0–1,Milan
285,Genoa,1–1,Bologna
286,Inter,1–3,Roma
287,Fiorentina,2–2,Torino
289,Roma,1–2,Napoli
290,Sampdoria,3–1,Pescara
291,Milan,3–1,Chievo
292,Atalanta,0–0,Fiorentina
293,Udinese,1–1,Juventus
294,Crotone,0–0,Sassuolo
295,Torino,3–1,Palermo
296,Cagliari,1–5,Inter
297,Empoli,0–2,Genoa
298,Bologna,0–2,Lazio
300,Juventus,2–1,Milan
301,Genoa,0–1,Sampdoria
302,Sassuolo,0–1,Bologna
303,Inter,7–1,Atalanta
304,Chievo,4–0,Empoli
305,Fiorentina,1–0,Cagliari
306,Napoli,3–0,Crotone
307,Pescara,1–3,Udinese
308,Palermo,0–3,Roma
309,Lazio,3–1,Torino
311,Torino,2–2,Inter
312,Milan,1–0,Genoa
313,Empoli,2–3,Napoli
314,Bologna,4–1,Chievo
315,Sampdoria,0–1,Juventus
316,Cagliari,0–0,Lazio
317,Atalanta,3–0,Pescara
318,Crotone,0–1,Fiorentina
319,Udinese,4–1,Palermo
320,Roma,3–1,Sassuolo
322,Sassuolo,1–2,Lazio
323,Roma,2–0,Empoli
324,Torino,2–2,Udinese
325,Palermo,1–3,Cagliari
326,Fiorentina,1–0,Bologna
327,Genoa,0–5,Atalanta
328,Chievo,1–2,Crotone
329,Pescara,1–1,Milan
330,Napoli,1–1,Juventus
331,Inter,1–2,Sampdoria
333,Empoli,1–1,Pescara
334,Atalanta,1–1,Sassuolo
335,Juventus,2–0,Chievo
336,Sampdoria,2–2,Fiorentina
337,Milan,4–0,Palermo
338,Cagliari,2–3,Torino
339,Udinese,3–0,Genoa
340,Crotone,2–1,Inter
341,Bologna,0–3,Roma
342,Lazio,0–3,Napoli
344,Inter,2–2,Milan
345,Cagliari,4–0,Chievo
346,Roma,1–1,Atalanta
347,Pescara,0–2,Juventus
348,Fiorentina,1–2,Empoli
349,Palermo,0–0,Bologna
350,Torino,1–1,Crotone
351,Genoa,2–2,Lazio
352,Sassuolo,2–1,Sampdoria
353,Napoli,3–0,Udinese
355,Atalanta,3–2,Bologna
356,Fiorentina,5–4,Inter
357,Sassuolo,2–2,Napoli
358,Lazio,6–2,Palermo
359,Udinese,2–1,Cagliari
360,Milan,1–2,Empoli
361,Sampdoria,1–2,Crotone
362,Chievo,1–3,Torino
363,Juventus,4–0,Genoa
364,Pescara,1–4,Roma
366,Atalanta,2–2,Juventus
367,Torino,1–1,Sampdoria
368,Roma,1–3,Lazio
369,Cagliari,1–0,Pescara
370,Bologna,4–0,Udinese
371,Genoa,1–2,Chievo
372,Empoli,1–3,Sassuolo
373,Crotone,1–1,Milan
374,Palermo,2–0,Fiorentina
375,Inter,0–1,Napoli
377,Napoli,3–1,Cagliari
378,Juventus,1–1,Torino
379,Udinese,1–1,Atalanta
380,Empoli,3–1,Bologna
381,Sassuolo,2–2,Fiorentina
382,Lazio,7–3,Sampdoria
383,Chievo,1–1,Palermo
384,Genoa,1–0,Inter
385,Pescara,0–1,Crotone
386,Milan,1–4,Roma
388,Fiorentina,3–2,Lazio
389,Atalanta,1–1,Milan
390,Inter,1–2,Sassuolo
391,Palermo,1–0,Genoa
392,Torino,0–5,Napoli
393,Cagliari,3–2,Empoli
394,Crotone,1–0,Udinese
395,Bologna,3–1,Pescara
396,Sampdoria,1–1,Chievo
397,Roma,3–1,Juventus
399,Chievo,3–5,Roma
400,Napoli,4–1,Fiorentina
401,Sassuolo,6–2,Cagliari
402,Udinese,1–1,Sampdoria
403,Genoa,2–1,Torino
404,Juventus,3–0,Crotone
405,Milan,3–0,Bologna
406,Empoli,0–1,Atalanta
407,Lazio,1–3,Inter
408,Pescara,2–0,Palermo
410,Bologna,1–2,Juventus
411,Atalanta,1–0,Chievo
412,Cagliari,2–1,Milan
413,Sampdoria,2–4,Napoli
414,Roma,3–2,Genoa
415,Fiorentina,2–2,Pescara
416,Torino,5–3,Sassuolo
417,Crotone,3–1,Lazio
418,Inter,5–2,Udinese
419,Palermo,2–1,Empoli
