,Casa,Punteggio,Ospiti
294,Lazio,0–1,Atalanta
296,Hellas Verona,0–2,Inter
297,Sassuolo,3–1,Catania
298,Cagliari,0–2,Lazio
299,Genoa,0–1,Juventus
300,Atalanta,3–0,Sampdoria
301,Fiorentina,3–1,Chievo
302,Milan,2–4,Parma
303,Livorno,2–1,Bologna
304,Roma,3–2,Udinese
305,Torino,0–1,Napoli
307,Chievo,0–2,Roma
308,Torino,3–1,Livorno
309,Sampdoria,5–0,Hellas Verona
310,Lazio,1–1,Milan
311,Inter,1–2,Atalanta
312,Udinese,1–0,Sassuolo
313,Catania,0–1,Juventus
314,Parma,1–1,Genoa
315,Napoli,0–1,Fiorentina
316,Bologna,1–0,Cagliari
318,Roma,2–1,Torino
319,Atalanta,2–0,Livorno
320,Chievo,3–0,Bologna
321,Juventus,2–1,Parma
322,Catania,2–4,Napoli
323,Fiorentina,0–2,Milan
324,Genoa,2–0,Lazio
325,Cagliari,1–0,Hellas Verona
326,Sassuolo,1–2,Sampdoria
327,Inter,0–0,Udinese
329,Milan,3–0,Chievo
330,Bologna,0–2,Atalanta
331,Torino,2–1,Cagliari
332,Hellas Verona,3–0,Genoa
333,Napoli,2–0,Juventus
334,Sassuolo,0–2,Roma
335,Sampdoria,0–0,Fiorentina
336,Lazio,3–2,Parma
337,Udinese,1–0,Catania
338,Livorno,2–2,Inter
340,Roma,4–2,Parma
342,Inter,2–2,Bologna
343,Chievo,0–1,Hellas Verona
344,Atalanta,0–2,Sassuolo
345,Cagliari,1–3,Roma
346,Fiorentina,2–1,Udinese
347,Parma,1–0,Napoli
348,Lazio,2–0,Sampdoria
349,Catania,1–2,Torino
350,Genoa,1–2,Milan
351,Juventus,2–0,Livorno
353,Roma,3–1,Atalanta
354,Sassuolo,1–1,Cagliari
355,Napoli,4–2,Lazio
356,Bologna,1–1,Parma
357,Torino,2–1,Genoa
358,Milan,1–0,Catania
359,Sampdoria,0–4,Inter
360,Hellas Verona,3–5,Fiorentina
361,Livorno,2–4,Chievo
362,Udinese,0–2,Juventus
364,Parma,0–2,Inter
365,Juventus,1–0,Bologna
366,Udinese,1–1,Napoli
367,Milan,3–0,Livorno
368,Fiorentina,0–1,Roma
369,Catania,2–1,Sampdoria
370,Atalanta,1–2,Hellas Verona
371,Lazio,3–3,Torino
372,Genoa,1–2,Cagliari
373,Chievo,0–1,Sassuolo
375,Roma,2–0,Milan
376,Inter,0–0,Napoli
377,Bologna,0–3,Fiorentina
378,Cagliari,1–0,Parma
379,Atalanta,1–1,Genoa
380,Hellas Verona,4–0,Catania
381,Torino,2–0,Udinese
382,Livorno,0–2,Lazio
383,Sampdoria,2–1,Chievo
384,Sassuolo,1–3,Juventus
386,Milan,1–0,Inter
387,Genoa,0–0,Bologna
388,Parma,2–0,Sampdoria
389,Chievo,0–1,Torino
390,Udinese,5–3,Livorno
391,Catania,4–1,Roma
392,Juventus,1–0,Atalanta
393,Lazio,3–3,Hellas Verona
394,Fiorentina,3–4,Sassuolo
395,Napoli,3–0,Cagliari
397,Inter,4–1,Lazio
398,Hellas Verona,2–2,Udinese
399,Bologna,1–2,Catania
400,Torino,1–1,Parma
401,Sassuolo,4–2,Genoa
402,Sampdoria,2–5,Napoli
403,Atalanta,2–1,Milan
404,Livorno,0–1,Fiorentina
405,Cagliari,0–1,Chievo
406,Roma,0–1,Juventus
408,Udinese,3–3,Sampdoria
409,Napoli,5–1,Hellas Verona
410,Catania,2–1,Atalanta
411,Genoa,1–0,Roma
412,Chievo,2–1,Inter
413,Fiorentina,2–2,Torino
414,Lazio,1–0,Bologna
415,Milan,2–1,Sassuolo
416,Juventus,3–0,Cagliari
417,Parma,2–0,Livorno
