,Casa,Punteggio,Ospiti
69,Chievo,2–1,Fiorentina
70,Benevento,1–2,Inter
71,Torino,2–2,Hellas Verona
72,SPAL,1–1,Crotone
73,Milan,0–2,Roma
74,Atalanta,2–2,Juventus
76,Juventus,1–2,Lazio
77,Roma,0–1,Napoli
78,Fiorentina,2–1,Udinese
79,Sassuolo,0–0,Chievo
80,Crotone,2–2,Torino
81,Bologna,2–1,SPAL
82,Cagliari,2–3,Genoa
83,Sampdoria,3–1,Atalanta
84,Inter,3–2,Milan
85,Hellas Verona,1–0,Benevento
87,Sampdoria,5–0,Crotone
88,Napoli,0–0,Inter
89,Chievo,3–2,Hellas Verona
90,Milan,0–0,Genoa
91,Benevento,0–3,Fiorentina
92,Torino,0–1,Roma
93,Atalanta,1–0,Bologna
94,SPAL,0–1,Sassuolo
95,Udinese,2–6,Juventus
96,Lazio,3–0,Cagliari
98,Inter,3–2,Sampdoria
99,Atalanta,3–0,Hellas Verona
100,Fiorentina,3–0,Torino
101,Sassuolo,0–1,Udinese
102,Roma,1–0,Crotone
103,Juventus,4–1,SPAL
104,Cagliari,2–1,Benevento
105,Genoa,2–3,Napoli
106,Bologna,1–2,Lazio
107,Chievo,1–4,Milan
109,Milan,0–2,Juventus
110,Roma,1–0,Bologna
111,Benevento,1–5,Lazio
112,SPAL,1–0,Genoa
113,Napoli,3–1,Sassuolo
114,Crotone,2–1,Fiorentina
115,Udinese,2–1,Atalanta
116,Sampdoria,4–1,Chievo
117,Torino,2–1,Cagliari
118,Hellas Verona,1–2,Inter
120,Bologna,2–3,Crotone
121,Genoa,0–2,Sampdoria
122,Inter,1–1,Torino
123,Juventus,2–1,Benevento
124,Fiorentina,2–4,Roma
125,Chievo,0–0,Napoli
126,Cagliari,2–1,Hellas Verona
127,Atalanta,1–1,SPAL
128,Sassuolo,0–2,Milan
130,Roma,2–1,Lazio
131,Napoli,2–1,Milan
132,Crotone,0–1,Genoa
133,SPAL,1–1,Fiorentina
134,Udinese,0–1,Cagliari
135,Torino,1–1,Chievo
136,Sampdoria,3–2,Juventus
137,Benevento,1–2,Sassuolo
138,Inter,2–0,Atalanta
139,Hellas Verona,2–3,Bologna
141,Bologna,3–0,Sampdoria
142,Sassuolo,0–2,Hellas Verona
143,Chievo,2–1,SPAL
144,Cagliari,1–3,Inter
145,Milan,0–0,Torino
146,Udinese,0–1,Napoli
147,Genoa,1–1,Roma
148,Lazio,1–1,Fiorentina
149,Juventus,3–0,Crotone
150,Atalanta,1–0,Benevento
152,Roma,3–1,SPAL
153,Napoli,0–1,Juventus
154,Torino,1–1,Atalanta
155,Benevento,2–2,Milan
156,Fiorentina,3–0,Sassuolo
157,Bologna,1–1,Cagliari
158,Inter,5–0,Chievo
159,Sampdoria,1–2,Lazio
160,Crotone,0–3,Udinese
161,Hellas Verona,0–1,Genoa
163,Cagliari,2–2,Sampdoria
164,Juventus,0–0,Inter
165,Chievo,0–0,Roma
166,Udinese,2–0,Benevento
167,Napoli,0–0,Fiorentina
168,SPAL,2–2,Hellas Verona
169,Sassuolo,2–1,Crotone
170,Milan,2–1,Bologna
171,Lazio,1–3,Torino
172,Genoa,1–2,Atalanta
174,Inter,1–3,Udinese
175,Torino,1–3,Napoli
176,Roma,1–0,Cagliari
177,Hellas Verona,3–0,Milan
178,Crotone,1–0,Chievo
179,Bologna,0–3,Juventus
180,Sampdoria,0–1,Sassuolo
181,Fiorentina,0–0,Genoa
182,Benevento,1–2,SPAL
183,Atalanta,3–3,Lazio
185,Chievo,2–3,Bologna
186,Cagliari,0–1,Fiorentina
187,Lazio,4–0,Crotone
188,Genoa,1–0,Benevento
189,SPAL,2–2,Torino
190,Sassuolo,1–0,Inter
191,Udinese,4–0,Hellas Verona
192,Napoli,3–2,Sampdoria
193,Milan,0–2,Atalanta
194,Juventus,1–0,Roma
196,Crotone,0–1,Napoli
197,Fiorentina,1–1,Milan
198,Benevento,1–0,Chievo
199,Bologna,1–2,Udinese
200,Torino,0–0,Genoa
201,Atalanta,1–2,Cagliari
202,Roma,1–1,Sassuolo
203,Sampdoria,2–0,SPAL
204,Inter,0–0,Lazio
205,Hellas Verona,1–3,Juventus
207,Chievo,1–1,Udinese
208,Fiorentina,1–1,Inter
