,Casa,Punteggio,Ospiti
66,Carpi,2–1,Torino
67,Chievo,1–1,Hellas Verona
68,Empoli,1–0,Sassuolo
69,Sampdoria,1–1,Inter
70,Palermo,2–4,Roma
71,Udinese,1–1,Genoa
72,Lazio,2–0,Frosinone
73,Juventus,3–1,Bologna
74,Fiorentina,3–0,Atalanta
75,Milan,0–4,Napoli
77,Roma,3–1,Empoli
78,Torino,1–1,Milan
79,Bologna,0–1,Palermo
80,Hellas Verona,1–1,Udinese
81,Atalanta,3–0,Carpi
82,Napoli,2–1,Fiorentina
83,Frosinone,2–0,Sampdoria
84,Sassuolo,2–1,Lazio
85,Genoa,3–2,Chievo
86,Inter,0–0,Juventus
88,Empoli,2–0,Genoa
89,Carpi,1–2,Bologna
90,Palermo,1–1,Inter
91,Sampdoria,4–1,Hellas Verona
92,Juventus,2–0,Atalanta
93,Udinese,1–0,Frosinone
94,Milan,2–1,Sassuolo
95,Lazio,3–0,Torino
96,Fiorentina,1–2,Roma
97,Chievo,0–1,Napoli
99,Bologna,0–1,Inter
100,Hellas Verona,0–2,Fiorentina
101,Atalanta,2–1,Lazio
102,Sassuolo,1–0,Juventus
103,Torino,3–3,Genoa
104,Milan,1–0,Chievo
105,Roma,3–1,Udinese
106,Napoli,2–0,Palermo
107,Frosinone,2–1,Carpi
108,Sampdoria,1–1,Empoli
110,Juventus,2–1,Torino
111,Inter,1–0,Roma
112,Fiorentina,4–1,Frosinone
113,Genoa,0–0,Napoli
114,Carpi,0–0,Hellas Verona
115,Bologna,3–0,Atalanta
116,Udinese,0–0,Sassuolo
117,Lazio,1–3,Milan
118,Chievo,1–1,Sampdoria
119,Palermo,0–1,Empoli
121,Hellas Verona,0–2,Bologna
122,Milan,0–0,Atalanta
123,Torino,0–1,Inter
124,Roma,2–0,Lazio
125,Empoli,1–3,Juventus
126,Palermo,1–0,Chievo
127,Sassuolo,1–0,Carpi
128,Frosinone,2–2,Genoa
129,Napoli,1–0,Udinese
130,Sampdoria,0–2,Fiorentina
132,Bologna,2–2,Roma
133,Juventus,1–0,Milan
134,Hellas Verona,0–2,Napoli
135,Carpi,1–2,Chievo
136,Atalanta,0–1,Torino
137,Genoa,2–1,Sassuolo
138,Udinese,1–0,Sampdoria
139,Lazio,1–1,Palermo
140,Fiorentina,2–2,Empoli
141,Inter,4–0,Frosinone
143,Torino,2–0,Bologna
144,Milan,4–1,Sampdoria
145,Frosinone,3–2,Hellas Verona
146,Roma,0–2,Atalanta
147,Chievo,2–3,Udinese
148,Genoa,1–2,Carpi
149,Empoli,1–0,Lazio
150,Palermo,0–3,Juventus
151,Sassuolo,1–1,Fiorentina
152,Napoli,2–1,Inter
154,Lazio,0–2,Juventus
155,Torino,1–1,Roma
156,Inter,1–0,Genoa
157,Bologna,3–2,Napoli
158,Frosinone,0–2,Chievo
159,Hellas Verona,0–1,Empoli
160,Fiorentina,3–0,Udinese
161,Atalanta,3–0,Palermo
162,Sampdoria,1–3,Sassuolo
163,Carpi,0–0,Milan
165,Genoa,0–1,Bologna
166,Palermo,4–1,Frosinone
167,Udinese,0–4,Inter
168,Empoli,3–0,Carpi
169,Milan,1–1,Hellas Verona
170,Chievo,1–0,Atalanta
171,Napoli,0–0,Roma
172,Juventus,3–1,Fiorentina
173,Lazio,1–1,Sampdoria
175,Bologna,2–3,Empoli
176,Carpi,2–3,Juventus
177,Fiorentina,2–0,Chievo
178,Roma,2–0,Genoa
179,Atalanta,1–3,Napoli
180,Hellas Verona,1–1,Sassuolo
181,Frosinone,2–4,Milan
182,Torino,0–1,Udinese
183,Sampdoria,2–0,Palermo
184,Inter,1–2,Lazio
186,Genoa,2–3,Sampdoria
187,Udinese,2–1,Atalanta
188,Chievo,3–3,Roma
189,Milan,0–1,Bologna
190,Juventus,3–0,Hellas Verona
191,Palermo,1–3,Fiorentina
192,Lazio,0–0,Carpi
193,Sassuolo,2–2,Frosinone
194,Empoli,0–1,Inter
195,Napoli,2–1,Torino
197,Carpi,2–1,Udinese
198,Fiorentina,1–3,Lazio
199,Roma,1–1,Milan
200,Inter,0–1,Sassuolo
201,Bologna,0–1,Chievo
202,Frosinone,1–5,Napoli
203,Atalanta,0–2,Genoa
204,Hellas Verona,0–1,Palermo
205,Torino,0–1,Empoli
206,Sampdoria,1–2,Juventus
208,Atalanta,1–1,Inter
209,Torino,4–2,Frosinone
210,Napoli,3–1,Sassuolo
211,Genoa,4–0,Palermo
212,Udinese,0–4,Juventus
213,Roma,1–1,Hellas Verona
214,Bologna,2–2,Lazio
215,Chievo,1–1,Empoli
216,Carpi,2–1,Sampdoria
217,Milan,2–0,Fiorentina
219,Sassuolo,1–1,Torino
221,Frosinone,0–0,Atalanta
222,Empoli,2–2,Milan
223,Fiorentina,2–0,Torino
224,Hellas Verona,1–1,Genoa
225,Sampdoria,2–4,Napoli
226,Palermo,4–1,Udinese
227,Inter,1–1,Carpi
228,Lazio,4–1,Chievo
229,Sassuolo,0–2,Bologna
230,Juventus,1–0,Roma
232,Carpi,1–1,Palermo
233,Atalanta,1–1,Sassuolo
234,Roma,3–1,Frosinone
235,Chievo,0–4,Juventus
236,Udinese,0–0,Lazio
237,Napoli,5–1,Empoli
238,Bologna,3–2,Sampdoria
239,Torino,0–0,Hellas Verona
240,Genoa,0–0,Fiorentina
241,Milan,3–0,Inter
243,Sassuolo,0–2,Roma
244,Frosinone,1–0,Bologna
245,Lazio,0–2,Napoli
246,Inter,1–0,Chievo
247,Fiorentina,2–1,Carpi
248,Juventus,1–0,Genoa
249,Hellas Verona,2–1,Atalanta
250,Palermo,0–2,Milan
251,Empoli,1–1,Udinese
252,Sampdoria,2–2,Torino
254,Bologna,1–1,Fiorentina
255,Genoa,0–0,Lazio
256,Hellas Verona,3–3,Inter
257,Torino,1–2,Chievo
258,Milan,1–1,Udinese
259,Sassuolo,2–2,Palermo
260,Frosinone,0–2,Juventus
261,Napoli,1–0,Carpi
262,Atalanta,0–0,Empoli
263,Roma,2–1,Sampdoria
265,Lazio,5–2,Hellas Verona
266,Carpi,1–3,Roma
267,Empoli,1–2,Frosinone
268,Chievo,1–1,Sassuolo
269,Juventus,1–0,Napoli
270,Milan,2–1,Genoa
271,Udinese,0–1,Bologna
272,Sampdoria,0–0,Atalanta
273,Palermo,1–3,Torino
274,Fiorentina,2–1,Inter
276,Bologna,0–0,Juventus
277,Hellas Verona,3–1,Chievo
278,Inter,3–1,Sampdoria
279,Sassuolo,3–2,Empoli
280,Genoa,2–1,Udinese
281,Torino,0–0,Carpi
282,Atalanta,2–3,Fiorentina
283,Frosinone,0–0,Lazio
284,Roma,5–0,Palermo
285,Napoli,1–1,Milan
287,Empoli,1–3,Roma
288,Milan,1–0,Torino
289,Palermo,0–0,Bologna
290,Udinese,2–0,Hellas Verona
291,Chievo,1–0,Genoa
292,Sampdoria,2–0,Frosinone
293,Carpi,1–1,Atalanta
294,Juventus,2–0,Inter
295,Lazio,0–2,Sassuolo
296,Fiorentina,1–1,Napoli
298,Roma,4–1,Fiorentina
299,Hellas Verona,0–3,Sampdoria
300,Napoli,3–1,Chievo
301,Torino,1–1,Lazio
302,Sassuolo,2–0,Milan
303,Atalanta,0–2,Juventus
304,Frosinone,2–0,Udinese
305,Genoa,1–0,Empoli
306,Bologna,0–0,Carpi
307,Inter,3–1,Palermo
309,Juventus,1–0,Sassuolo
310,Empoli,1–1,Sampdoria
311,Inter,2–1,Bologna
312,Chievo,0–0,Milan
313,Udinese,1–2,Roma
314,Genoa,3–2,Torino
315,Fiorentina,1–1,Hellas Verona
316,Carpi,2–1,Frosinone
317,Palermo,0–1,Napoli
318,Lazio,2–0,Atalanta
320,Empoli,0–0,Palermo
321,Roma,1–1,Inter
322,Atalanta,2–0,Bologna
323,Sampdoria,0–1,Chievo
324,Frosinone,0–0,Fiorentina
325,Torino,1–4,Juventus
326,Sassuolo,1–1,Udinese
327,Hellas Verona,1–2,Carpi
328,Napoli,3–1,Genoa
329,Milan,1–1,Lazio
331,Carpi,1–3,Sassuolo
332,Juventus,1–0,Empoli
333,Udinese,3–1,Napoli
334,Fiorentina,1–1,Sampdoria
335,Atalanta,2–1,Milan
336,Genoa,4–0,Frosinone
337,Chievo,3–1,Palermo
338,Lazio,1–4,Roma
339,Inter,1–2,Torino
340,Bologna,0–1,Hellas Verona
342,Frosinone,0–1,Inter
343,Sassuolo,0–1,Genoa
344,Chievo,1–0,Carpi
345,Milan,1–2,Juventus
346,Empoli,2–0,Fiorentina
347,Napoli,3–0,Hellas Verona
348,Sampdoria,2–0,Udinese
349,Torino,2–1,Atalanta
350,Palermo,0–3,Lazio
351,Roma,1–1,Bologna
353,Bologna,0–1,Torino
354,Carpi,4–1,Genoa
355,Inter,2–0,Napoli
356,Atalanta,3–3,Roma
357,Hellas Verona,1–2,Frosinone
358,Fiorentina,3–1,Sassuolo
359,Udinese,0–0,Chievo
360,Juventus,4–0,Palermo
361,Lazio,2–0,Empoli
362,Sampdoria,0–1,Milan
364,Napoli,6–0,Bologna
365,Sassuolo,0–0,Sampdoria
366,Palermo,2–2,Atalanta
367,Empoli,1–0,Hellas Verona
368,Juventus,3–0,Lazio
369,Chievo,5–1,Frosinone
370,Roma,3–2,Torino
371,Udinese,2–1,Fiorentina
372,Genoa,1–0,Inter
373,Milan,0–0,Carpi
375,Inter,3–1,Udinese
376,Frosinone,0–2,Palermo
377,Bologna,2–0,Genoa
378,Torino,1–3,Sassuolo
379,Sampdoria,2–1,Lazio
380,Atalanta,1–0,Chievo
381,Fiorentina,1–2,Juventus
382,Roma,1–0,Napoli
383,Hellas Verona,2–1,Milan
384,Carpi,1–0,Empoli
386,Udinese,1–5,Torino
387,Chievo,0–0,Fiorentina
388,Juventus,2–0,Carpi
389,Milan,3–3,Frosinone
390,Empoli,0–0,Bologna
391,Sassuolo,1–0,Hellas Verona
392,Palermo,2–0,Sampdoria
393,Lazio,2–0,Inter
394,Genoa,2–3,Roma
395,Napoli,2–1,Atalanta
397,Inter,2–1,Empoli
398,Bologna,0–1,Milan
399,Roma,3–0,Chievo
400,Sampdoria,0–3,Genoa
401,Carpi,1–3,Lazio
402,Atalanta,1–1,Udinese
403,Fiorentina,0–0,Palermo
404,Frosinone,0–1,Sassuolo
405,Hellas Verona,2–1,Juventus
406,Torino,1–2,Napoli
408,Juventus,5–0,Sampdoria
409,Napoli,4–0,Frosinone
410,Sassuolo,3–1,Inter
411,Milan,1–3,Roma
412,Empoli,2–1,Torino
413,Genoa,1–2,Atalanta
414,Chievo,0–0,Bologna
415,Udinese,1–2,Carpi
416,Palermo,3–2,Hellas Verona
417,Lazio,2–4,Fiorentina
