,Casa,Punteggio,Ospiti
71,Fiorentina,2–0,Atalanta
72,Frosinone,1–2,Genoa
73,Parma,1–0,Empoli
74,Sassuolo,1–4,Milan
75,Sampdoria,2–1,SPAL
77,Torino,3–2,Frosinone
78,Cagliari,2–0,Bologna
79,Udinese,0–2,Juventus
80,Empoli,0–2,Roma
81,Genoa,1–3,Parma
82,Atalanta,0–1,Sampdoria
83,Lazio,1–0,Fiorentina
84,Milan,3–1,Chievo
85,Napoli,2–0,Sassuolo
86,SPAL,1–2,Inter
88,Roma,0–2,SPAL
89,Juventus,1–1,Genoa
90,Udinese,0–3,Napoli
91,Frosinone,3–3,Empoli
92,Parma,0–2,Lazio
93,Chievo,1–5,Atalanta
94,Bologna,2–2,Torino
95,Fiorentina,1–1,Cagliari
96,Inter,1–0,Milan
97,Sampdoria,0–0,Sassuolo
99,Atalanta,3–0,Parma
100,Empoli,1–2,Juventus
101,Torino,1–1,Fiorentina
102,Sassuolo,2–2,Bologna
103,SPAL,0–3,Frosinone
104,Cagliari,2–1,Chievo
105,Genoa,2–2,Udinese
106,Milan,3–2,Sampdoria
107,Napoli,1–1,Roma
108,Lazio,0–3,Inter
110,Milan,2–1,Genoa
112,Napoli,5–1,Empoli
113,Inter,5–0,Genoa
114,Fiorentina,1–1,Roma
115,Juventus,3–1,Cagliari
116,Lazio,4–1,SPAL
117,Chievo,0–2,Sassuolo
118,Sampdoria,1–4,Torino
119,Parma,0–0,Frosinone
120,Bologna,1–2,Atalanta
121,Udinese,0–1,Milan
123,Frosinone,1–1,Fiorentina
124,Torino,1–2,Parma
125,SPAL,2–2,Cagliari
126,Genoa,1–2,Napoli
127,Atalanta,4–1,Inter
128,Chievo,2–2,Bologna
129,Roma,4–1,Sampdoria
130,Empoli,2–1,Udinese
131,Sassuolo,1–1,Lazio
132,Milan,0–2,Juventus
134,Udinese,1–0,Roma
135,Juventus,2–0,SPAL
136,Inter,3–0,Frosinone
137,Parma,2–1,Sassuolo
138,Bologna,0–0,Fiorentina
139,Empoli,3–2,Atalanta
140,Napoli,0–0,Chievo
141,Lazio,1–1,Milan
142,Genoa,1–1,Sampdoria
143,Cagliari,0–0,Torino
145,SPAL,2–2,Empoli
146,Fiorentina,0–3,Juventus
147,Sampdoria,4–1,Bologna
148,Milan,2–1,Parma
149,Frosinone,1–1,Cagliari
150,Torino,2–1,Genoa
151,Sassuolo,0–0,Udinese
152,Chievo,1–1,Lazio
153,Roma,2–2,Inter
154,Atalanta,1–2,Napoli
156,Juventus,1–0,Inter
157,Napoli,4–0,Frosinone
158,Cagliari,2–2,Roma
159,Lazio,2–2,Sampdoria
160,Sassuolo,3–3,Fiorentina
161,Parma,1–1,Chievo
162,Udinese,1–3,Atalanta
163,Empoli,2–1,Bologna
164,Genoa,1–1,SPAL
165,Milan,0–0,Torino
167,Inter,1–0,Udinese
168,Torino,0–1,Juventus
169,SPAL,0–0,Chievo
170,Sampdoria,2–0,Parma
171,Fiorentina,3–1,Empoli
172,Frosinone,0–2,Sassuolo
173,Cagliari,0–1,Napoli
174,Roma,3–2,Genoa
175,Atalanta,1–0,Lazio
176,Bologna,0–0,Milan
178,Lazio,3–1,Cagliari
179,Empoli,2–4,Sampdoria
180,Genoa,3–1,Atalanta
181,Sassuolo,1–1,Torino
182,Milan,0–1,Fiorentina
183,Napoli,1–0,SPAL
184,Udinese,1–1,Frosinone
185,Parma,0–0,Bologna
186,Chievo,1–1,Inter
187,Juventus,1–0,Roma
189,Frosinone,0–0,Milan
190,Cagliari,1–0,Genoa
191,Fiorentina,0–1,Parma
192,Bologna,0–2,Lazio
193,Atalanta,2–2,Juventus
194,Sampdoria,2–0,Chievo
195,Torino,3–0,Empoli
196,Roma,3–1,Sassuolo
197,SPAL,0–0,Udinese
198,Inter,1–0,Napoli
200,Juventus,2–1,Sampdoria
201,Genoa,0–0,Fiorentina
202,Lazio,1–1,Torino
203,Udinese,2–0,Cagliari
204,Sassuolo,2–6,Atalanta
205,Parma,0–2,Roma
206,Chievo,1–0,Frosinone
207,Empoli,0–1,Inter
208,Napoli,3–2,Bologna
209,Milan,2–1,SPAL
211,Roma,3–2,Torino
212,Udinese,1–2,Parma
213,Inter,0–0,Sassuolo
214,Frosinone,0–5,Atalanta
215,SPAL,1–1,Bologna
216,Fiorentina,3–3,Sampdoria
217,Cagliari,2–2,Empoli
218,Napoli,2–1,Lazio
219,Genoa,0–2,Milan
220,Juventus,3–0,Chievo
222,Sassuolo,3–0,Cagliari
223,Sampdoria,4–0,Udinese
224,Milan,0–0,Napoli
225,Chievo,3–4,Fiorentina
226,Bologna,0–4,Frosinone
227,Parma,2–3,SPAL
228,Atalanta,3–3,Roma
229,Torino,1–0,Inter
230,Lazio,1–2,Juventus
231,Empoli,1–3,Genoa
233,Empoli,2–2,Chievo
234,Napoli,3–0,Sampdoria
235,Juventus,3–3,Parma
236,SPAL,0–0,Torino
237,Genoa,1–1,Sassuolo
238,Udinese,1–1,Fiorentina
239,Inter,0–1,Bologna
240,Roma,1–1,Milan
241,Frosinone,0–1,Lazio
242,Cagliari,0–1,Atalanta
244,Lazio,1–0,Empoli
245,Chievo,0–3,Roma
246,Fiorentina,0–0,Napoli
247,Parma,0–1,Inter
248,Bologna,1–1,Genoa
249,Atalanta,2–1,SPAL
250,Sampdoria,0–1,Frosinone
251,Torino,1–0,Udinese
252,Sassuolo,0–3,Juventus
253,Milan,3–0,Cagliari
255,Juventus,3–0,Frosinone
256,Cagliari,2–1,Parma
257,Atalanta,1–3,Milan
258,SPAL,1–4,Fiorentina
259,Udinese,1–0,Chievo
260,Empoli,3–0,Sassuolo
261,Genoa,2–1,Lazio
262,Inter,2–1,Sampdoria
263,Napoli,0–0,Torino
264,Roma,2–1,Bologna
266,Milan,3–0,Empoli
267,Torino,2–0,Atalanta
268,Frosinone,2–3,Roma
269,Sampdoria,1–0,Cagliari
270,Bologna,0–1,Juventus
271,Chievo,0–0,Genoa
272,Sassuolo,1–1,SPAL
273,Parma,0–4,Napoli
274,Fiorentina,3–3,Inter
276,Cagliari,2–1,Inter
277,Empoli,3–3,Parma
278,Milan,1–0,Sassuolo
279,Lazio,3–0,Roma
280,Torino,3–0,Chievo
281,SPAL,1–2,Sampdoria
282,Genoa,0–0,Frosinone
283,Udinese,2–1,Bologna
284,Atalanta,3–1,Fiorentina
285,Napoli,1–2,Juventus
287,Juventus,4–1,Udinese
288,Parma,1–0,Genoa
289,Chievo,1–2,Milan
290,Bologna,2–0,Cagliari
291,Frosinone,1–2,Torino
292,Sampdoria,1–2,Atalanta
293,Inter,2–0,SPAL
294,Sassuolo,1–1,Napoli
295,Fiorentina,1–1,Lazio
296,Roma,2–1,Empoli
298,Cagliari,2–1,Fiorentina
299,Sassuolo,3–5,Sampdoria
300,SPAL,2–1,Roma
301,Torino,2–3,Bologna
302,Genoa,2–0,Juventus
303,Atalanta,1–1,Chievo
304,Lazio,4–1,Parma
305,Empoli,2–1,Frosinone
306,Napoli,4–2,Udinese
307,Milan,2–3,Inter
309,Chievo,0–3,Cagliari
310,Udinese,2–0,Genoa
311,Juventus,1–0,Empoli
312,Sampdoria,1–0,Milan
313,Parma,1–3,Atalanta
314,Roma,1–4,Napoli
315,Frosinone,0–1,SPAL
316,Fiorentina,1–1,Torino
317,Bologna,2–1,Sassuolo
318,Inter,0–1,Lazio
320,Milan,1–1,Udinese
321,Cagliari,0–2,Juventus
322,Empoli,2–1,Napoli
323,Roma,2–2,Fiorentina
324,SPAL,1–0,Lazio
325,Frosinone,3–2,Parma
326,Genoa,0–4,Inter
327,Torino,2–1,Sampdoria
328,Sassuolo,4–0,Chievo
329,Atalanta,4–1,Bologna
331,Parma,0–0,Torino
332,Juventus,2–1,Milan
333,Sampdoria,0–1,Roma
334,Fiorentina,0–1,Frosinone
335,Udinese,3–2,Empoli
336,Cagliari,2–1,SPAL
337,Inter,0–0,Atalanta
338,Lazio,2–2,Sassuolo
339,Napoli,1–1,Genoa
340,Bologna,3–0,Chievo
342,SPAL,2–1,Juventus
343,Roma,1–0,Udinese
344,Milan,1–0,Lazio
345,Torino,1–1,Cagliari
346,Sampdoria,2–0,Genoa
347,Sassuolo,0–0,Parma
348,Fiorentina,0–0,Bologna
349,Chievo,1–3,Napoli
350,Frosinone,1–3,Inter
351,Atalanta,0–0,Empoli
353,Lazio,2–0,Udinese
355,Parma,1–1,Milan
356,Lazio,1–2,Chievo
357,Empoli,2–4,SPAL
358,Genoa,0–1,Torino
359,Bologna,3–0,Sampdoria
360,Cagliari,1–0,Frosinone
361,Udinese,1–1,Sassuolo
362,Juventus,2–1,Fiorentina
363,Inter,1–1,Roma
364,Napoli,1–2,Atalanta
366,Bologna,3–1,Empoli
367,Roma,3–0,Cagliari
368,Inter,1–1,Juventus
369,Frosinone,0–2,Napoli
370,Chievo,1–1,Parma
371,SPAL,1–1,Genoa
372,Sampdoria,1–2,Lazio
373,Torino,2–0,Milan
374,Atalanta,2–0,Udinese
375,Fiorentina,0–1,Sassuolo
377,Juventus,1–1,Torino
378,Chievo,0–4,SPAL
379,Udinese,0–0,Inter
380,Empoli,1–0,Fiorentina
381,Sassuolo,2–2,Frosinone
382,Parma,3–3,Sampdoria
383,Lazio,1–3,Atalanta
384,Genoa,1–1,Roma
385,Napoli,2–1,Cagliari
386,Milan,2–1,Bologna
388,Atalanta,2–1,Genoa
389,Cagliari,1–2,Lazio
390,Fiorentina,0–1,Milan
391,Torino,3–2,Sassuolo
392,Frosinone,1–3,Udinese
393,Sampdoria,1–2,Empoli
394,SPAL,1–2,Napoli
395,Roma,2–0,Juventus
396,Bologna,4–1,Parma
397,Inter,2–0,Chievo
399,Udinese,3–2,SPAL
400,Genoa,1–1,Cagliari
401,Sassuolo,0–0,Roma
402,Chievo,0–0,Sampdoria
403,Empoli,4–1,Torino
404,Parma,1–0,Fiorentina
405,Milan,2–0,Frosinone
406,Juventus,1–1,Atalanta
407,Napoli,4–1,Inter
408,Lazio,3–3,Bologna
410,Frosinone,0–0,Chievo
411,Bologna,3–2,Napoli
412,Torino,3–1,Lazio
413,Sampdoria,2–0,Juventus
414,Cagliari,1–2,Udinese
415,Atalanta,3–1,Sassuolo
416,Fiorentina,0–0,Genoa
417,SPAL,2–3,Milan
418,Roma,2–1,Parma
419,Inter,2–1,Empoli
