,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
4,Sassuolo,2021-09-21,Giornata n. 5,Ospiti,P,1,Atalanta,8.0,1.0,0,0,431.0,542.0,5.0,53.0,18.0,2,0
4,Venezia,2021-09-22,Giornata n. 5,Ospiti,P,0,Milan,8.0,2.0,0,0,257.0,340.0,4.0,33.0,14.0,2,0
4,Cagliari,2021-09-22,Giornata n. 5,Casa,P,0,Empoli,15.0,1.0,0,0,376.0,489.0,7.0,49.0,15.0,2,0
4,Empoli,2021-09-22,Giornata n. 5,Ospiti,V,2,Cagliari,18.0,5.0,0,0,394.0,499.0,4.0,51.0,14.0,1,0
4,Milan,2021-09-22,Giornata n. 5,Casa,V,2,Venezia,14.0,4.0,0,0,587.0,677.0,4.0,67.0,15.0,0,0
4,Hellas Verona,2021-09-22,Giornata n. 5,Ospiti,N,2,Salernitana,9.0,5.0,0,0,314.0,423.0,5.0,50.0,19.0,3,0
4,Juventus,2021-09-22,Giornata n. 5,Ospiti,V,3,Spezia,26.0,9.0,0,0,458.0,548.0,15.0,59.0,10.0,1,0
4,Salernitana,2021-09-22,Giornata n. 5,Casa,N,2,Hellas Verona,15.0,4.0,0,0,304.0,420.0,4.0,50.0,13.0,2,0
4,Spezia,2021-09-22,Giornata n. 5,Casa,P,2,Juventus,10.0,4.0,0,0,293.0,376.0,5.0,41.0,15.0,2,0
4,Napoli,2021-09-23,Giornata n. 5,Ospiti,V,4,Sampdoria,17.0,9.0,0,0,481.0,552.0,5.0,52.0,8.0,1,0
4,Roma,2021-09-23,Giornata n. 5,Casa,V,1,Udinese,12.0,2.0,0,0,455.0,544.0,6.0,52.0,23.0,4,1
4,Udinese,2021-09-23,Giornata n. 5,Ospiti,P,0,Roma,8.0,2.0,0,0,421.0,511.0,6.0,48.0,8.0,1,0
4,Torino,2021-09-23,Giornata n. 5,Casa,N,1,Lazio,16.0,5.0,0,0,313.0,416.0,6.0,45.0,21.0,3,0
4,Lazio,2021-09-23,Giornata n. 5,Ospiti,N,1,Torino,5.0,1.0,1,1,378.0,499.0,5.0,55.0,9.0,3,0
4,Sampdoria,2021-09-23,Giornata n. 5,Casa,P,0,Napoli,13.0,5.0,0,0,414.0,509.0,5.0,48.0,11.0,2,0
5,Hellas Verona,2021-09-25,Giornata n. 6,Ospiti,N,3,Genoa,11.0,6.0,1,1,358.0,475.0,2.0,51.0,15.0,1,0
5,Atalanta,2021-09-25,Giornata n. 6,Ospiti,N,2,Inter,21.0,5.0,0,0,351.0,429.0,11.0,50.0,12.0,5,0
5,Inter,2021-09-25,Giornata n. 6,Casa,N,2,Atalanta,17.0,6.0,0,1,337.0,430.0,4.0,50.0,16.0,3,0
5,Milan,2021-09-25,Giornata n. 6,Ospiti,V,2,Spezia,18.0,5.0,0,0,461.0,557.0,4.0,64.0,12.0,2,0
5,Spezia,2021-09-25,Giornata n. 6,Casa,P,1,Milan,8.0,2.0,0,0,242.0,319.0,2.0,36.0,13.0,2,0
5,Genoa,2021-09-25,Giornata n. 6,Casa,N,3,Hellas Verona,10.0,3.0,1,1,351.0,464.0,3.0,49.0,15.0,3,0
5,Bologna,2021-09-26,Giornata n. 6,Ospiti,P,2,Empoli,20.0,5.0,0,1,420.0,500.0,10.0,63.0,22.0,2,0
