,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
102,Atalanta,2021-10-30,N,0,Lazio,9.0,-2.0,0,0,136.0,145.0,4.0,12.0,-1.0,-2,0
103,Genoa,2021-10-31,N,0,Venezia,13.0,2.0,0,0,169.0,209.0,8.0,24.0,0.0,-2,0
104,Sassuolo,2021-10-31,P,-1,Empoli,2.0,1.0,-1,-1,148.0,131.0,-2.0,14.0,5.0,2,0
105,Salernitana,2021-10-31,P,-1,Napoli,-9.0,-2.0,0,0,-228.0,-221.0,0.0,-24.0,-3.0,-2,0
106,Inter,2021-10-31,V,2,Udinese,6.0,0.0,0,0,325.0,318.0,2.0,32.0,-5.0,-2,0
107,Roma,2021-10-31,P,-1,Milan,17.0,4.0,-1,-1,-6.0,-6.0,3.0,0.0,9.0,-3,-1
108,Fiorentina,2021-10-31,V,3,Spezia,23.0,11.0,1,1,85.0,88.0,3.0,10.0,-13.0,1,0
109,Bologna,2021-11-01,V,2,Cagliari,-1.0,1.0,0,0,153.0,162.0,3.0,14.0,3.0,1,-1
110,Empoli,2021-11-05,N,0,Genoa,-4.0,-4.0,-1,-1,39.0,50.0,-1.0,6.0,-13.0,-4,0
111,Cagliari,2021-11-06,P,-1,Atalanta,-13.0,-7.0,0,0,-252.0,-252.0,-5.0,-24.0,6.0,0,0
112,Spezia,2021-11-06,V,1,Torino,-3.0,2.0,0,0,-165.0,-162.0,-1.0,-18.0,-3.0,0,0
113,Juventus,2021-11-06,V,1,Fiorentina,7.0,2.0,0,0,9.0,2.0,0.0,0.0,0.0,-2,-1
114,Lazio,2021-11-07,V,3,Salernitana,12.0,5.0,0,0,236.0,236.0,4.0,20.0,-6.0,-1,0
115,Napoli,2021-11-07,N,0,Hellas Verona,5.0,-2.0,0,0,150.0,153.0,1.0,16.0,-2.0,-5,-2
