,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
23,Roma,05-02-2022,Giornata n. 24,Casa,N,0,Genoa,0,23.0,3.0,0,0,406.0,520.0,6.0,62.0,10.0,3,1
24,Roma,13-02-2022,Giornata n. 25,Ospiti,N,2,Sassuolo,2,12.0,7.0,1,1,397.0,503.0,3.0,54.0,16.0,2,0
25,Roma,19-02-2022,Giornata n. 26,Casa,N,2,Hellas Verona,2,7.0,3.0,0,0,411.0,550.0,4.0,57.0,19.0,3,0
26,Roma,27-02-2022,Giornata n. 27,Ospiti,V,1,Spezia,0,30.0,7.0,1,1,560.0,655.0,8.0,64.0,11.0,3,0
27,Roma,05-03-2022,Giornata n. 28,Casa,V,1,Atalanta,0,13.0,4.0,0,0,250.0,346.0,6.0,36.0,18.0,6,1
28,Roma,13-03-2022,Giornata n. 29,Ospiti,N,1,Udinese,1,9.0,2.0,1,1,534.0,619.0,4.0,63.0,14.0,2,0
29,Roma,20-03-2022,Giornata n. 30,Casa,V,3,Lazio,0,12.0,6.0,0,0,256.0,342.0,5.0,34.0,17.0,4,0
30,Roma,03-04-2022,Giornata n. 31,Ospiti,V,1,Sampdoria,0,6.0,1.0,0,0,414.0,510.0,4.0,51.0,15.0,3,0
31,Roma,10-04-2022,Giornata n. 32,Casa,V,2,Salernitana,1,17.0,7.0,0,0,456.0,548.0,9.0,66.0,19.0,5,0
32,Roma,18-04-2022,Giornata n. 33,Ospiti,N,1,Napoli,1,8.0,6.0,0,0,381.0,470.0,5.0,51.0,16.0,2,1
33,Roma,23-04-2022,Giornata n. 34,Ospiti,P,1,Inter,3,9.0,2.0,0,0,517.0,595.0,3.0,55.0,13.0,2,0
34,Roma,01-05-2022,Giornata n. 35,Casa,N,0,Bologna,0,18.0,5.0,0,0,303.0,399.0,10.0,43.0,10.0,0,0
35,Roma,09-05-2022,Giornata n. 36,Ospiti,P,0,Fiorentina,2,7.0,1.0,0,0,407.0,492.0,3.0,47.0,15.0,1,0
36,Roma,14-05-2022,Giornata n. 37,Casa,N,1,Venezia,1,46.0,15.0,0,0,522.0,629.0,20.0,68.0,12.0,2,0
37,Roma,20-05-2022,Giornata n. 38,Ospiti,V,3,Torino,0,11.0,4.0,2,2,296.0,374.0,6.0,42.0,13.0,2,0
