,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a
68,Bologna,2021-10-03,V,-1.0,Lazio,1.166666666666666,-1.4999999999999996,-0.16666666666666666,-0.16666666666666669,-112.16666666666669,-102.33333333333331,2.166666666666667,-2.1666666666666643,3.166666666666666,1.5000000000000002,0.3333333333333333,1.0,4.0
69,Fiorentina,2021-10-03,P,-1.1666666666666665,Napoli,-6.333333333333334,-2.5,0.16666666666666669,0.0,-116.0,-108.5,-1.666666666666667,-5.666666666666664,4.166666666666666,1.4999999999999998,0.16666666666666666,2.0,4.0
70,Lazio,2021-10-16,V,-1.0,Inter,-3.857142857142856,-1.0,0.14285714285714285,0.14285714285714285,127.5714285714285,131.57142857142856,-1.9999999999999996,7.428571428571431,-2.571428571428571,0.1428571428571428,0.14285714285714285,2.0,4.0
71,Spezia,2021-10-16,V,0.4285714285714285,Salernitana,1.2857142857142865,0.8571428571428568,-0.14285714285714285,-0.14285714285714285,108.42857142857144,88.42857142857144,-0.5714285714285721,6.5714285714285765,-2.8571428571428577,-0.8571428571428574,0.14285714285714285,2.0,0.0
72,Milan,2021-10-16,V,0.0,Hellas Verona,6.142857142857142,0.714285714285714,-0.14285714285714285,0.0,105.57142857142856,94.85714285714283,1.0,6.714285714285715,-2.142857142857144,-0.9999999999999998,-0.14285714285714285,5.0,1.0
73,Napoli,2021-10-17,V,1.2857142857142858,Torino,2.142857142857144,2.7142857142857144,0.2857142857142857,0.5714285714285714,192.14285714285717,168.14285714285717,1.2857142857142856,9.42857142857143,-9.285714285714286,-1.1428571428571428,0.0,4.0,0.0
74,Juventus,2021-10-17,V,-0.7142857142857142,Roma,-3.428571428571427,-0.4285714285714288,0.0,0.0,-64.85714285714283,-64.14285714285711,-0.7142857142857144,-4.714285714285715,2.0,-0.8571428571428572,-0.2857142857142857,4.0,2.0
75,Udinese,2021-10-17,N,-0.4285714285714284,Bologna,-0.5714285714285712,1.1428571428571423,0.0,-0.14285714285714285,-35.14285714285717,-48.85714285714283,-0.7142857142857144,-9.0,0.4285714285714288,-1.0,-0.2857142857142857,4.0,1.0
76,Cagliari,2021-10-17,V,-0.2857142857142858,Sampdoria,-1.5714285714285712,-1.1428571428571432,0.14285714285714285,0.14285714285714285,-5.0,-9.571428571428612,-1.2857142857142856,-4.285714285714292,-1.0,-0.4285714285714288,0.14285714285714285,2.0,3.0
77,Genoa,2021-10-17,N,0.4285714285714286,Sassuolo,-3.428571428571429,-1.7142857142857144,0.2857142857142857,0.2857142857142857,-110.42857142857144,-108.57142857142856,-1.8571428571428568,-12.428571428571423,2.857142857142856,0.8571428571428572,0.0,2.0,4.0
78,Empoli,2021-10-17,P,-0.1428571428571428,Atalanta,1.0,0.5714285714285712,0.0,0.0,-62.28571428571428,-67.42857142857144,-0.5714285714285721,-5.571428571428569,-0.8571428571428577,-0.7142857142857144,0.0,1.0,6.0
79,Venezia,2021-10-18,V,-0.7142857142857143,Fiorentina,-0.4285714285714288,-1.4285714285714288,-0.2857142857142857,-0.2857142857142857,-108.71428571428572,-104.71428571428572,-1.8571428571428568,-11.0,0.5714285714285694,0.7142857142857144,-0.2857142857142857,0.0,8.0
80,Sampdoria,2021-10-22,V,0.125,Spezia,0.625,-0.125,0.125,0.125,-4.875,4.125,0.75,2.0,2.375,1.0,-0.25,6.0,1.0
81,Torino,2021-10-22,V,-0.375,Genoa,1.875,0.25,-0.375,-0.375,14.625,24.25,0.125,5.875,6.125,0.25,0.125,6.0,0.0
82,Salernitana,2021-10-23,P,-0.5,Empoli,-4.625,-1.5,-0.125,-0.125,-109.0,-96.875,-1.0,-8.5,3.0,0.375,0.125,0.0,2.0
83,Sassuolo,2021-10-23,V,0.375,Venezia,4.875,2.375,0.0,0.0,107.0,104.5,2.125,12.375,-2.375,-1.375,0.0,8.0,0.0
84,Bologna,2021-10-23,P,-0.625,Milan,-0.75,0.5,-0.125,-0.125,-20.25,-18.125,1.25,-0.875,-0.375,2.25,0.25,0.0,7.0
85,Inter,2021-10-24,N,1.375,Juventus,2.125,1.25,0.125,0.25,14.375,15.25,0.375,0.625,-1.5,0.625,0.0,1.0,5.0
86,Roma,2021-10-24,N,-0.375,Napoli,1.75,-1.0,-0.125,-0.375,-61.25,-56.75,1.375,-3.5,3.25,1.125,0.125,2.0,5.0
87,Fiorentina,2021-10-24,V,-0.125,Cagliari,-0.375,1.25,0.125,0.125,135.375,124.5,0.5,12.75,0.625,0.75,0.25,2.0,3.0
88,Atalanta,2021-10-24,N,0.5,Udinese,3.125,-0.375,0.125,0.25,57.625,76.25,1.5,9.75,0.0,0.5,-0.125,6.0,1.0
89,Hellas Verona,2021-10-24,V,-0.125,Lazio,-3.625,-1.75,0.0,-0.125,-196.0,-182.625,-0.5,-8.75,4.25,0.25,-0.125,1.0,6.0
90,Milan,2021-10-26,V,1.1111111111111114,Torino,1.4444444444444429,0.5555555555555558,0.2222222222222222,0.3333333333333333,95.88888888888891,80.88888888888886,0.4444444444444442,5.444444444444443,-6.777777777777777,-1.4444444444444444,-0.1111111111111111,3.0,2.0
