,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,prediction,rank
99,11.0,1.0,0.6000000000000001,7.0,1.799999999999999,1.4000000000000004,-0.2,-0.2,2.3999999999999986,-4.199999999999999,-0.6000000000000001,-0.2,1.0,1.0
100,12.0,1.0,1.0,4.0,5.199999999999999,1.6,0.0,-0.2,4.399999999999999,-3.6000000000000014,-0.3999999999999999,0.2,1.0,4.0
101,8.0,1.0,0.6000000000000001,7.0,1.1999999999999993,-0.2000000000000001,0.0,0.0,7.399999999999999,0.3999999999999986,-0.8,-0.2,0.0,0.0
102,9.0,1.0,1.0,2.0,8.399999999999999,3.6,0.2,0.2,12.6,-0.4000000000000003,0.0,0.0,1.0,4.0
103,5.0,0.0,-1.0,14.0,-3.6000000000000014,-2.4000000000000004,0.4,0.4,-4.600000000000001,4.600000000000001,0.2000000000000001,0.0,2.0,0.0
104,3.0,2.0,-0.4,17.0,-3.4000000000000004,-3.0,0.0,0.0,-14.4,1.200000000000001,1.6,0.0,0.0,2.0
105,19.0,2.0,-1.6,11.0,-5.6,-2.4000000000000004,0.0,0.0,-2.0,2.6,0.8000000000000003,0.0,2.0,1.0
106,1.0,2.0,-0.4000000000000001,0.0,-7.600000000000001,-1.7999999999999998,0.0,0.0,-22.4,0.3999999999999986,1.1999999999999995,0.0,2.0,-4.0
107,13.0,0.0,-1.0,6.0,-2.8000000000000007,-0.8000000000000003,-0.4,-0.4,-4.799999999999997,-5.4,-1.0,0.0,0.0,0.0
108,16.0,2.0,-0.3999999999999999,18.0,-3.6,-0.8000000000000003,0.0,0.2,-5.200000000000003,-3.8000000000000007,0.5999999999999996,0.0,0.0,1.0
109,10.0,1.0,0.3999999999999999,15.0,4.199999999999999,1.6,0.0,-0.2,-1.2000000000000028,0.7999999999999989,0.2000000000000001,-0.2,1.0,3.0
110,6.0,0.0,0.8,5.0,0.0,-0.3999999999999999,-0.1999999999999999,-0.1999999999999999,-1.8000000000000045,2.2,1.0,0.0,2.0,-4.0
111,15.0,0.0,-0.1999999999999999,2.0,1.0,0.3999999999999999,0.2,0.4,3.200000000000003,-1.0,1.4,0.2,1.0,-4.0
112,18.0,2.0,1.4,13.0,6.800000000000001,3.0,0.2,0.2,18.6,9.4,0.7999999999999998,-0.2,1.0,4.0
113,7.0,2.0,-1.4,12.0,-3.8000000000000007,-2.2,0.0,0.0,-9.6,6.399999999999999,0.7999999999999998,0.0,2.0,-3.0
114,4.0,1.0,0.4,19.0,3.200000000000001,1.0,0.0,0.2,6.0,-2.6,-1.0,-0.2,2.0,-2.0
115,17.0,0.0,-0.6000000000000001,10.0,-6.400000000000002,-2.8,0.0,0.0,6.199999999999996,2.400000000000002,-0.6000000000000001,0.2,2.0,-4.0
116,0.0,1.0,-0.6000000000000001,8.0,5.600000000000001,0.2000000000000001,0.0,0.0,7.0,-1.4000000000000004,-0.3999999999999999,0.0,0.0,-1.0
