,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
434,cagliari,2019-09-29,N,1.0,hellas verona,-0.1999999999999993,0.0,0.0,-0.2,2.799999999999997,0.5999999999999996,0.3999999999999999,-0.6,2019-2020,5.0,1.0
435,udinese,2019-09-29,V,-0.9999999999999999,bologna,-2.4000000000000004,1.6000000000000005,-0.4,-0.6,-13.0,1.3999999999999986,-1.5999999999999996,0.2,2019-2020,4.0,2.0
436,milan,2019-09-29,P,-1.0,fiorentina,-2.599999999999998,-2.8,0.0,0.0,12.800000000000004,0.0,0.40000000000000036,0.4,2019-2020,3.0,1.0
437,lazio,2019-09-29,V,0.0,genoa,5.599999999999998,3.5999999999999996,-0.2,-0.2,0.6000000000000014,-3.3999999999999986,0.20000000000000018,0.0,2019-2020,3.0,2.0
438,lecce,2019-09-29,P,-0.8,roma,-2.8000000000000007,-1.6,0.39999999999999997,0.39999999999999997,-10.399999999999999,-1.8000000000000007,0.0,0.0,2019-2020,0.0,6.0
439,parma,2019-09-30,V,-0.6000000000000001,torino,-0.20000000000000107,0.0,-0.2,0.0,-6.399999999999999,-1.3999999999999986,-0.19999999999999973,0.0,2019-2020,1.0,4.0
440,genoa,2019-10-05,P,0.0,milan,0.0,1.0,-0.2,-0.2,-9.0,-0.8000000000000007,-0.3999999999999999,-0.6,2019-2020,1.0,4.0
441,hellas verona,2019-10-05,V,-0.20000000000000007,sampdoria,-1.4000000000000004,0.0,-0.2,0.0,8.600000000000001,1.0000000000000018,-0.19999999999999973,0.0,2019-2020,0.0,5.0
442,spal,2019-10-05,V,-1.0,parma,-0.1999999999999993,-1.0,0.0,-0.4,-0.4000000000000057,-3.200000000000001,0.19999999999999973,0.0,2019-2020,4.0,0.0
443,fiorentina,2019-10-06,V,1.2000000000000002,udinese,3.4000000000000004,0.0,0.4,0.6,0.5999999999999943,-2.599999999999998,0.40000000000000036,-0.2,2019-2020,4.0,0.0
444,roma,2019-10-06,N,-0.19999999999999996,cagliari,5.4,0.6000000000000001,0.2,0.4,12.400000000000006,0.20000000000000284,0.40000000000000036,0.2,2019-2020,4.0,0.0
445,torino,2019-10-06,N,-0.6000000000000001,napoli,-12.999999999999998,-3.6,0.2,0.2,-9.400000000000006,6.199999999999999,0.0,0.0,2019-2020,0.0,4.0
446,atalanta,2019-10-06,V,1.2,lecce,6.6,2.1999999999999997,-0.39999999999999997,-0.39999999999999997,12.199999999999996,-0.40000000000000036,-1.0,0.0,2019-2020,6.0,0.0
447,inter,2019-10-06,P,-0.19999999999999996,juventus,-0.20000000000000107,0.39999999999999947,0.0,0.0,-0.6000000000000014,-2.200000000000001,0.19999999999999973,0.2,2019-2020,1.0,3.0
448,bologna,2019-10-06,N,-0.40000000000000013,lazio,-1.4000000000000021,-2.3999999999999995,0.0,0.2,5.799999999999997,4.600000000000001,1.4,0.2,2019-2020,0.0,3.0
