,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
10,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,P,1,2,Empoli,0.9,1.5,57,3.539,Gian Marco Ferrari,4-3-3,Luca Massimi,Report partita,,0,15,5,333,0,0,183.0,0.0,0,0,0.9,6.0,-0.9,-0.9
11,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Ospiti,P,2,3,Udinese,1.3,1.7,62,8.322,Francesco Magnanelli,4-3-3,Federico Dionisi,Report partita,,2,10,4,400,20,50,165.0,0.0,0,0,1.3,13.0,0.7,0.7
12,21-11-2021,12:30,Serie A,Giornata n. 13,Dom,Casa,N,2,2,Cagliari,3.2,1.5,58,4.135,Gian Marco Ferrari,4-3-3,Niccolò Baroni,Report partita,,2,19,3,158,5,33,172.0,1.0,1,1,2.5,13.0,-1.2,-1.5
13,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Ospiti,V,3,1,Milan,1.1,1.1,50,52.824,Gian Marco Ferrari,4-3-3,Gianluca Manganiello,Report partita,,2,15,5,333,13,40,177.0,2.0,0,0,1.1,7.0,0.9,0.9
14,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Casa,N,2,2,Napoli,0.3,0.8,50,8.192,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Report partita,,2,9,7,778,22,29,215.0,0.0,0,0,0.3,3.0,1.7,1.7
15,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Ospiti,N,2,2,Spezia,1.4,2.2,65,4.987,Gian Marco Ferrari,4-3-3,Fabio Maresca,Report partita,,2,20,5,250,10,40,194.0,2.0,0,0,1.4,7.0,0.6,0.6
16,12-12-2021,18:00,Serie A,Giornata n. 17,Dom,Casa,V,2,1,Lazio,1.4,0.3,59,5.1,Gian Marco Ferrari,4-2-3-1,Simone Sozza,Report partita,,2,17,6,353,12,33,179.0,0.0,0,0,1.4,8.0,0.6,0.6
17,19-12-2021,12:30,Serie A,Giornata n. 18,Dom,Ospiti,N,2,2,Fiorentina,1.1,3.2,43,21.514,Gian Marco Ferrari,4-2-3-1,Marco Serra,Report partita,,2,8,4,500,25,50,168.0,0.0,0,0,1.1,13.0,0.9,0.9
18,22-12-2021,16:30,Serie A,Giornata n. 19,Mer,Casa,P,0,3,Bologna,0.8,1.3,59,4.763,Gian Marco Ferrari,4-3-3,Michael Fabbri,Report partita,,0,13,5,385,0,0,194.0,0.0,0,0,0.8,6.0,-0.8,-0.8
19,06-01-2022,16:30,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Genoa,2.0,0.2,74,4.696,Gian Marco Ferrari,4-2-3-1,Gianluca Manganiello,Report partita,,1,28,7,250,4,14,193.0,0.0,0,0,2.0,8.0,-1.0,-1.0
20,09-01-2022,14:30,Serie A,Giornata n. 21,Dom,Ospiti,V,5,1,Empoli,4.1,1.4,55,4.081,Gian Marco Ferrari,4-2-3-1,Manuel Volpi,Report partita,,5,24,12,500,17,33,194.0,0.0,1,1,3.4,14.0,0.9,0.6
21,16-01-2022,12:30,Serie A,Giornata n. 22,Dom,Casa,P,2,4,Hellas Verona,1.1,3.5,55,3.843,Gian Marco Ferrari,4-2-3-1,Alessandro Prontera,Report partita,,2,14,5,357,14,40,202.0,0.0,0,0,1.1,8.0,0.9,0.9
22,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Torino,0.4,2.6,50,5.0,Gian Marco Ferrari,4-3-3,Francesco Fourneau,Report partita,,1,6,1,167,17,100,177.0,0.0,0,0,0.4,7.0,0.6,0.6
23,06-02-2022,15:00,Serie A,Giornata n. 24,Dom,Ospiti,P,0,4,Sampdoria,1.5,2.1,60,6.232,Gian Marco Ferrari,4-2-3-1,Fabio Maresca,Report partita,,0,25,9,360,0,0,168.0,1.0,0,0,1.5,6.0,-1.5,-1.5
24,13-02-2022,18:00,Serie A,Giornata n. 25,Dom,Casa,N,2,2,Roma,0.9,2.4,46,9.282,Gian Marco Ferrari,4-3-3,Marco Guida,Report partita,,1,12,3,250,8,33,186.0,0.0,0,0,0.9,8.0,0.1,0.1
25,20-02-2022,18:00,Serie A,Giornata n. 26,Dom,Ospiti,V,2,0,Inter,1.6,3.0,42,28.324,Andrea Consigli,4-2-3-1,Francesco Fourneau,Report partita,,2,13,5,385,15,40,162.0,0.0,0,0,1.6,12.0,0.4,0.4
26,26-02-2022,20:45,Serie A,Giornata n. 27,Sab,Casa,V,2,1,Fiorentina,1.5,2.1,49,8.952,Gian Marco Ferrari,4-2-3-1,Alessandro Prontera,Report partita,,2,16,6,375,13,33,162.0,0.0,0,0,1.5,9.0,0.5,0.5
27,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,V,4,1,Venezia,3.3,2.4,55,5.732,Gian Marco Ferrari,4-2-3-1,Luca Pairetto,Report partita,,4,13,7,538,8,14,184.0,1.0,3,3,1.0,8.0,0.7,0.0
28,12-03-2022,15:00,Serie A,Giornata n. 29,Sab,Ospiti,N,2,2,Salernitana,1.8,1.5,53,10.249,Gian Marco Ferrari,4-2-3-1,Luca Massimi,Report partita,,2,20,7,350,10,29,177.0,0.0,0,0,1.8,9.0,0.2,0.2
29,18-03-2022,18:45,Serie A,Giornata n. 30,Ven,Casa,V,4,1,Spezia,2.0,0.5,58,6.13,Gian Marco Ferrari,4-3-3,Manuel Volpi,Report partita,,4,14,6,429,21,50,171.0,1.0,1,1,1.3,9.0,2.0,1.7
30,02-04-2022,18:00,Serie A,Giornata n. 31,Sab,Ospiti,P,1,2,Lazio,1.8,2.3,46,15.0,Gian Marco Ferrari,4-2-3-1,Antonio Rapuano,Report partita,,1,20,5,250,5,20,183.0,0.0,0,0,1.8,9.0,-0.8,-0.8
31,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Casa,V,2,1,Atalanta,1.2,1.8,51,7.842,Andrea Consigli,4-2-3-1,Juan Sacchi,Report partita,,2,14,7,500,14,29,175.0,0.0,0,0,1.2,9.0,0.8,0.8
32,16-04-2022,12:30,Serie A,Giornata n. 33,Sab,Ospiti,P,0,1,Cagliari,0.4,1.6,63,14.689,Gian Marco Ferrari,4-2-3-1,Davide Massa,Report partita,,0,8,2,250,0,0,193.0,0.0,0,0,0.4,5.0,-0.4,-0.4
33,25-04-2022,20:45,Serie A,Giornata n. 34,Lun,Casa,P,1,2,Juventus,1.4,1.2,62,20.0,Andrea Consigli,4-2-3-1,Fabio Maresca,Report partita,,1,22,7,318,5,14,186.0,0.0,0,0,1.4,6.0,-0.4,-0.4
34,30-04-2022,15:00,Serie A,Giornata n. 35,Sab,Ospiti,P,1,6,Napoli,1.5,2.8,47,20.0,Gian Marco Ferrari,4-2-3-1,Antonio Rapuano,Report partita,,1,13,4,308,8,25,173.0,0.0,0,0,1.5,12.0,-0.5,-0.5
35,07-05-2022,18:00,Serie A,Giornata n. 36,Sab,Casa,N,1,1,Udinese,2.0,2.3,59,7.46,Gian Marco Ferrari,4-3-3,Matteo Marcenaro,Report partita,,1,15,5,333,7,20,175.0,1.0,0,0,2.0,13.0,-1.0,-1.0
36,15-05-2022,12:30,Serie A,Giornata n. 37,Dom,Ospiti,V,3,1,Bologna,1.7,1.7,45,19.794,Gian Marco Ferrari,4-2-3-1,Davide Ghersini,Report partita,,3,16,7,438,19,43,145.0,0.0,0,0,1.7,10.0,1.3,1.3
37,22-05-2022,18:00,Serie A,Giornata n. 38,Dom,Casa,P,0,3,Milan,0.4,3.1,52,21.584,Gian Marco Ferrari,4-3-3,Daniele Doveri,Report partita,,0,15,3,200,0,0,233.0,0.0,0,0,0.4,3.0,-0.4,-0.4
