,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
19,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Ospiti,V,2,1,Spezia,1.9,0.9,60,3.25,Miguel Veloso,3-4-3,Maurizio Mariani,Report partita,,2,22,5,227,9,40.0,159.0,1.0,0,0,1.9,9.0,0.1,0.1
20,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Casa,P,1,2,Salernitana,1.4,1.1,70,3.106,Miguel Veloso,3-4-3,Federico Dionisi,Report partita,,1,24,7,292,4,14.0,179.0,1.0,0,0,1.4,6.0,-0.4,-0.4
21,16-01-2022,12:30,Serie A,Giornata n. 22,Dom,Ospiti,V,4,2,Sassuolo,3.5,1.1,45,3.843,Miguel Veloso,3-4-3,Alessandro Prontera,Report partita,,4,20,5,250,15,60.0,144.0,0.0,1,1,2.8,14.0,0.5,0.2
22,21-01-2022,20:45,Serie A,Giornata n. 23,Ven,Casa,V,2,1,Bologna,1.5,0.6,57,4.286,Miguel Veloso,3-4-3,Matteo Gariglio,Report partita,,2,14,6,429,14,33.0,128.0,0.0,0,0,1.5,11.0,0.5,0.5
23,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Juventus,0.6,1.2,54,17.016,Miguel Veloso,3-4-3,Luca Massimi,Report partita,,0,13,1,77,0,0.0,188.0,0.0,0,0,0.6,5.0,-0.6,-0.6
24,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,V,4,0,Udinese,1.0,1.6,44,11.713,Darko Lazović,3-4-3,Andrea Colombo,Report partita,,4,6,5,833,67,80.0,127.0,0.0,0,0,1.0,17.0,3.0,3.0
25,19-02-2022,18:00,Serie A,Giornata n. 26,Sab,Ospiti,N,2,2,Roma,0.5,0.6,43,34.777,Davide Faraoni,3-4-3,Luca Pairetto,Report partita,,2,5,3,600,40,67.0,139.0,0.0,0,0,0.5,10.0,1.5,1.5
26,27-02-2022,15:05,Serie A,Giornata n. 27,Dom,Casa,V,3,1,Venezia,2.3,0.9,57,14.298,Davide Faraoni,3-4-3,Juan Sacchi,Report partita,,3,19,11,579,16,27.0,155.0,0.0,0,0,2.3,12.0,0.7,0.7
27,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,1,1,Fiorentina,1.3,1.4,50,23.491,Davide Faraoni,3-4-1-2,Gianluca Manganiello,Report partita,,1,3,1,333,0,0.0,155.0,0.0,1,1,0.5,18.0,-0.3,-0.5
28,13-03-2022,15:00,Serie A,Giornata n. 29,Dom,Casa,P,1,2,Napoli,0.5,1.5,49,18.782,Davide Faraoni,3-5-2,Daniele Doveri,Report partita,,1,8,1,125,13,100.0,167.0,0.0,0,0,0.5,6.0,0.5,0.5
29,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Ospiti,N,1,1,Empoli,1.3,1.0,62,5.445,Koray Günter,3-4-1-2,Matteo Marcenaro,Report partita,,1,13,4,308,8,25.0,184.0,1.0,0,1,0.5,4.0,-0.3,0.5
30,04-04-2022,18:30,Serie A,Giornata n. 31,Lun,Casa,V,1,0,Genoa,1.1,0.5,46,14.993,Davide Faraoni,3-4-3,Francesco Fourneau,Report partita,,1,7,4,571,14,25.0,162.0,0.0,0,0,1.1,15.0,-0.1,-0.1
31,09-04-2022,18:00,Serie A,Giornata n. 32,Sab,Ospiti,P,0,2,Inter,0.8,2.5,52,61.325,Davide Faraoni,3-4-3,Livio Marinelli,Report partita,,0,9,3,333,0,0.0,159.0,0.0,0,0,0.8,9.0,-0.8,-0.8
32,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Ospiti,V,2,1,Atalanta,3.2,1.5,44,14.537,Davide Faraoni,3-4-3,Marco Piccinini,Report partita,,1,21,6,286,5,17.0,153.0,1.0,0,0,3.2,16.0,-2.2,-2.2
33,23-04-2022,20:45,Serie A,Giornata n. 34,Sab,Casa,N,1,1,Sampdoria,1.1,1.0,57,16.188,Davide Faraoni,3-4-3,Giovanni Ayroldi,Report partita,,1,12,1,83,8,100.0,161.0,1.0,0,0,1.1,10.0,-0.1,-0.1
34,30-04-2022,15:00,Serie A,Giornata n. 35,Sab,Ospiti,V,2,1,Cagliari,1.3,0.9,40,16.267,Davide Faraoni,3-4-3,Daniele Orsato,Report partita,,2,13,4,308,15,50.0,154.0,2.0,0,0,1.3,10.0,0.7,0.7
35,08-05-2022,20:45,Serie A,Giornata n. 36,Dom,Casa,P,1,3,Milan,1.2,2.9,47,30.154,Davide Faraoni,3-4-3,Daniele Doveri,Report partita,,1,10,3,300,10,33.0,147.0,0.0,0,0,1.2,12.0,-0.2,-0.2
36,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Casa,P,0,1,Torino,0.7,0.7,46,24.001,Darko Lazović,3-4-3,Giacomo Camplone,Report partita,,0,10,5,500,0,0.0,144.0,0.0,0,0,0.7,7.0,-0.7,-0.7
37,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,N,3,3,Lazio,1.6,2.4,47,50.0,Alessandro Berardi,3-4-3,Andrea Colombo,Report partita,,3,11,7,636,27,43.0,164.0,1.0,0,0,1.6,15.0,1.4,1.4
