,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
12,22-11-2021,20:45,Serie A,Giornata n. 13,Lun,Ospiti,P,1,2,Torino,1.7,1.9,49,7.034,Bram Nuytinck,3-4-3,Ivan Pezzuto,Report partita,,1,18,7,389,6,14.0,161.0,1.0,0,0,1.7,10.0,-0.7,-0.7
13,28-11-2021,12:30,Serie A,Giornata n. 14,Dom,Casa,N,0,0,Genoa,1.1,0.7,43,11.537,Bram Nuytinck,3-4-3,Francesco Meraviglia,Report partita,,0,16,3,188,0,0.0,186.0,0.0,0,0,1.1,7.0,-1.1,-1.1
14,02-12-2021,20:45,Serie A,Giornata n. 15,Gio,Ospiti,N,4,4,Lazio,1.3,1.6,38,7.0,Samir Caetano de Souza Santos,4-4-2,Marco Piccinini,Report partita,,4,13,5,385,31,80.0,158.0,1.0,0,0,1.3,10.0,2.7,2.7
15,06-12-2021,18:30,Serie A,Giornata n. 16,Lun,Ospiti,P,1,3,Empoli,2.1,2.4,43,4.808,Samir Caetano de Souza Santos,4-4-2,Daniele Paterna,Report partita,,1,19,8,421,5,13.0,151.0,1.0,0,0,2.1,11.0,-1.1,-1.1
16,11-12-2021,20:45,Serie A,Giornata n. 17,Sab,Casa,N,1,1,Milan,1.7,1.1,34,16.385,Bram Nuytinck,3-5-2,Francesco Fourneau,Report partita,,1,11,6,545,9,17.0,142.0,0.0,0,0,1.7,17.0,-0.7,-0.7
17,18-12-2021,20:45,Serie A,Giornata n. 18,Sab,Ospiti,V,4,0,Cagliari,0.6,0.4,45,7.864,Bram Nuytinck,3-5-2,Fabio Maresca,Report partita,,4,10,5,500,40,80.0,204.0,1.0,0,0,0.6,6.0,3.4,3.4
18,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Casa,P,2,6,Atalanta,0.5,3.1,40,8.679,Bram Nuytinck,3-4-3,Michael Fabbri,Report partita,,1,8,4,500,13,25.0,188.0,1.0,0,0,0.5,7.0,0.5,0.5
19,15-01-2022,20:45,Serie A,Giornata n. 22,Sab,Ospiti,P,0,2,Juventus,0.8,1.5,34,5.0,Bram Nuytinck,3-5-2,Antonio Giua,Report partita,,0,16,3,188,0,0.0,181.0,1.0,0,0,0.8,5.0,-0.8,-0.8
20,22-01-2022,15:00,Serie A,Giornata n. 23,Sab,Ospiti,N,0,0,Genoa,0.1,0.9,48,5.0,Bram Nuytinck,3-5-2,Daniele Doveri,Report partita,,0,2,0,0,0,,112.0,0.0,0,0,0.1,5.0,-0.1,-0.1
21,06-02-2022,18:00,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Torino,1.3,0.6,42,9.837,Rodrigo Becão,3-5-2,Antonio Rapuano,Report partita,,2,10,2,200,10,50.0,226.0,2.0,1,1,0.5,5.0,0.7,0.5
22,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Ospiti,P,0,4,Hellas Verona,1.6,1.0,56,11.713,Rodrigo Becão,3-5-2,Andrea Colombo,Report partita,,0,21,6,286,0,0.0,192.0,3.0,0,0,1.6,8.0,-1.6,-1.6
23,20-02-2022,20:45,Serie A,Giornata n. 26,Dom,Casa,N,1,1,Lazio,1.2,1.3,41,10.799,Rodrigo Becão,3-5-2,Luca Massimi,Report partita,,1,12,2,167,8,50.0,182.0,0.0,0,0,1.2,10.0,-0.2,-0.2
24,25-02-2022,18:45,Serie A,Giornata n. 27,Ven,Ospiti,N,1,1,Milan,1.0,0.8,38,44.588,Rodrigo Becão,3-5-2,Matteo Marchetti,Report partita,,1,11,6,545,9,17.0,130.0,0.0,0,0,1.0,10.0,0.0,0.0
25,05-03-2022,15:00,Serie A,Giornata n. 28,Sab,Casa,V,2,1,Sampdoria,1.9,0.7,43,12.405,Roberto Pereyra,3-5-2,Massimiliano Irrati,Report partita,,2,20,5,250,10,40.0,150.0,0.0,0,0,1.9,10.0,0.1,0.1
26,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Roma,0.6,1.2,37,15.114,Roberto Pereyra,3-5-2,Marco Di Bello,Report partita,,1,11,5,455,9,20.0,192.0,0.0,0,0,0.6,6.0,0.4,0.4
27,19-03-2022,15:00,Serie A,Giornata n. 30,Sab,Ospiti,P,1,2,Napoli,0.5,1.1,36,37.363,Roberto Pereyra,3-5-2,Francesco Fourneau,Report partita,,1,10,3,300,10,33.0,188.0,1.0,0,0,0.5,5.0,0.5,0.5
28,03-04-2022,15:00,Serie A,Giornata n. 31,Dom,Casa,V,5,1,Cagliari,3.5,0.4,51,12.215,Roberto Pereyra,3-5-2,Rosario Abisso,Report partita,,5,24,11,458,21,45.0,150.0,0.0,0,0,3.5,15.0,1.5,1.5
29,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,V,2,1,Venezia,2.3,1.3,48,10.459,Rodrigo Becão,3-5-2,Marco Guida,Report partita,,2,15,4,267,7,25.0,147.0,1.0,1,1,1.5,10.0,-0.3,-0.5
30,16-04-2022,14:30,Serie A,Giornata n. 33,Sab,Casa,V,4,1,Empoli,1.2,1.7,39,15.226,Roberto Pereyra,3-5-2,Matteo Marchetti,Report partita,,3,13,5,385,23,60.0,173.0,0.0,0,0,1.2,9.0,1.8,1.8
31,20-04-2022,18:45,Serie A,Giornata n. 19,Mer,Casa,P,0,1,Salernitana,0.5,0.9,54,12.362,Rodrigo Becão,3-5-2,Simone Sozza,Report partita,,0,12,3,250,0,0.0,167.0,1.0,0,0,0.5,5.0,-0.5,-0.5
32,24-04-2022,15:00,Serie A,Giornata n. 34,Dom,Ospiti,N,2,2,Bologna,1.8,1.5,45,15.922,Rodrigo Becão,3-5-2,Alberto Santoro,Report partita,,2,17,5,294,12,40.0,164.0,0.0,0,0,1.8,11.0,0.2,0.2
33,27-04-2022,18:00,Serie A,Giornata n. 20,Mer,Ospiti,V,4,0,Fiorentina,3.0,2.0,28,22.067,Bram Nuytinck,3-5-2,Ivan Pezzuto,Report partita,,4,17,8,471,24,50.0,140.0,0.0,0,0,3.0,19.0,1.0,1.0
34,01-05-2022,18:00,Serie A,Giornata n. 35,Dom,Casa,P,1,2,Inter,1.1,1.9,48,20.91,Roberto Pereyra,3-5-2,Daniele Chiffi,Report partita,,1,8,5,625,13,20.0,181.0,1.0,0,0,1.1,15.0,-0.1,-0.1
35,07-05-2022,18:00,Serie A,Giornata n. 36,Sab,Ospiti,N,1,1,Sassuolo,2.3,2.0,41,7.46,Roberto Pereyra,3-5-2,Matteo Marcenaro,Report partita,,1,13,6,462,8,17.0,142.0,0.0,0,0,2.3,18.0,-1.3,-1.3
36,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Casa,P,2,3,Spezia,1.4,2.2,61,20.95,Roberto Pereyra,3-5-2,Gianluca Aureliano,Report partita,,2,17,6,353,12,33.0,145.0,0.0,0,0,1.4,8.0,0.6,0.6
37,22-05-2022,21:00,Serie A,Giornata n. 38,Dom,Ospiti,V,4,0,Salernitana,2.5,1.8,48,29.739,Roberto Pereyra,3-5-2,Daniele Orsato,Report partita,,4,18,10,556,22,40.0,204.0,0.0,0,1,1.7,9.0,1.5,2.3
