,data,ora,competizione,girone,giorno,stadio,risultato,rf,rs,avversario,xg,xga,poss.,spettatori,capitano,formazione,arbitro,report partita,note,reti,tiri,tiri.1,% tip,g/tiri,g/tip,dist.,pun.,rigori,rig t,npxg,npxg/sh,g-xg,np:g-xg,team
7,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,3,Lazio,1.4,2.5,48.0,42.0,Samir Handanovič,3-5-1-1,Massimiliano Irrati,Report partita,,1,11.0,3.0,273.0,0.0,0.0,174.0,0.0,1,1,0.7,6.0,-0.4,-0.7,Inter
8,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Casa,N,1,1,Juventus,0.8,1.8,49.0,56.532,Samir Handanovič,3-5-2,Maurizio Mariani,Report partita,,1,10.0,2.0,200.0,10.0,50.0,173.0,0.0,0,0,0.8,8.0,0.2,0.2,Inter
9,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,V,2,0,Empoli,2.0,0.6,69.0,9.335,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,,2,21.0,9.0,429.0,10.0,22.0,149.0,0.0,0,0,2.0,10.0,0.0,0.0,Inter
10,31-10-2021,12:30,Serie A,Giornata n. 11,Dom,Casa,V,2,0,Udinese,2.1,0.4,66.0,48.076,Samir Handanovič,3-5-2,Juan Sacchi,Report partita,,2,15.0,5.0,333.0,13.0,40.0,171.0,0.0,0,0,2.1,16.0,-0.1,-0.1,Inter
11,07-11-2021,20:45,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Milan,2.6,0.9,49.0,56.608,Samir Handanovič,3-5-2,Daniele Doveri,Report partita,,1,12.0,0.0,0.0,0.0,,200.0,0.0,1,2,1.0,9.0,-1.6,-1.0,Inter
12,21-11-2021,18:00,Serie A,Giornata n. 13,Dom,Casa,V,3,2,Napoli,1.9,1.1,44.0,56.649,Samir Handanovič,3-5-2,Paolo Valeri,Report partita,,3,16.0,6.0,375.0,13.0,33.0,164.0,0.0,1,1,1.2,8.0,1.1,0.8,Inter
13,27-11-2021,20:45,Serie A,Giornata n. 14,Sab,Ospiti,V,2,0,Venezia,2.7,0.1,56.0,8.303,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,,2,26.0,10.0,385.0,4.0,10.0,164.0,1.0,1,1,2.2,9.0,-0.7,-1.2,Inter
14,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Casa,V,2,0,Spezia,2.8,0.4,63.0,30.076,Samir Handanovič,3-5-2,Davide Ghersini,Report partita,,2,30.0,10.0,333.0,3.0,10.0,181.0,1.0,1,1,2.1,7.0,-0.8,-1.1,Inter
15,04-12-2021,18:00,Serie A,Giornata n. 16,Sab,Ospiti,V,3,0,Roma,1.5,0.7,66.0,51.185,Samir Handanovič,3-5-2,Marco Di Bello,Report partita,,3,10.0,4.0,400.0,30.0,75.0,161.0,0.0,0,0,1.5,15.0,1.5,1.5,Inter
16,12-12-2021,20:45,Serie A,Giornata n. 17,Dom,Casa,V,4,0,Cagliari,3.0,0.2,75.0,33.712,Samir Handanovič,3-5-2,Matteo Marchetti,Report partita,,4,23.0,14.0,609.0,17.0,29.0,165.0,0.0,0,1,2.1,9.0,1.0,1.9,Inter
