,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
10,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Ospiti,P,1,2,Hellas Verona,0.9,1.6,55,22.314,Giorgio Chiellini,4-4-2,Livio Marinelli,Report partita,,1,15,4,267,7,25.0,185.0,0.0,0,0,0.9,6.0,0.1,0.1
11,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Fiorentina,0.7,0.5,50,6.953,Paulo Dybala,4-4-2,Simone Sozza,Report partita,,1,13,3,231,8,33.0,152.0,0.0,0,0,0.7,6.0,0.3,0.3
12,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Ospiti,V,2,0,Lazio,2.7,0.2,43,45.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Report partita,,2,9,3,333,0,0.0,157.0,0.0,2,2,1.2,13.0,-0.7,-1.2
13,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Casa,P,0,1,Atalanta,0.9,0.4,59,29.886,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,,0,15,2,133,0,0.0,183.0,1.0,0,0,0.9,6.0,-0.9,-0.9
14,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,V,2,0,Salernitana,2.2,0.3,73,19.5,Giorgio Chiellini,4-2-3-1,Francesco Fourneau,Report partita,,2,17,7,412,12,29.0,189.0,1.0,0,1,1.5,9.0,-0.2,0.5
15,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Casa,V,2,0,Genoa,2.5,0.0,70,18.458,Giorgio Chiellini,4-2-3-1,Daniele Chiffi,Report partita,,2,27,12,444,7,17.0,177.0,0.0,0,0,2.5,10.0,-0.5,-0.5
16,11-12-2021,18:00,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Venezia,1.6,0.4,60,8.35,Paulo Dybala,4-2-3-1,Paolo Valeri,Report partita,,1,20,6,300,5,17.0,164.0,1.0,0,0,1.6,8.0,-0.6,-0.6
17,18-12-2021,18:00,Serie A,Giornata n. 18,Sab,Ospiti,V,2,0,Bologna,1.1,0.4,43,22.394,Leonardo Bonucci,4-3-3,Daniele Orsato,Report partita,,2,11,7,636,18,29.0,177.0,0.0,0,0,1.1,10.0,0.9,0.9
18,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,V,2,0,Cagliari,1.0,1.3,63,11.197,Leonardo Bonucci,4-3-3,Federico Dionisi,Report partita,,2,15,4,267,13,50.0,133.0,0.0,0,0,1.0,7.0,1.0,1.0
19,06-01-2022,20:45,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Napoli,1.3,0.7,44,19.301,Juan Cuadrado,4-3-3,Simone Sozza,Report partita,,1,22,5,227,5,20.0,186.0,2.0,0,0,1.3,6.0,-0.3,-0.3
20,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,4,3,Roma,1.1,2.1,47,33.178,Paulo Dybala,4-4-1-1,Davide Massa,Report partita,,4,14,5,357,29,80.0,196.0,1.0,0,0,1.1,8.0,2.9,2.9
21,15-01-2022,20:45,Serie A,Giornata n. 22,Sab,Casa,V,2,0,Udinese,1.5,0.8,66,5.0,Paulo Dybala,4-4-2,Antonio Giua,Report partita,,2,14,4,286,14,50.0,176.0,1.0,0,0,1.5,11.0,0.5,0.5
22,23-01-2022,20:45,Serie A,Giornata n. 23,Dom,Ospiti,N,0,0,Milan,0.4,0.6,53,5.0,Giorgio Chiellini,4-4-2,Marco Di Bello,Report partita,,0,8,0,0,0,,159.0,0.0,0,0,0.4,5.0,-0.4,-0.4
23,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Hellas Verona,1.2,0.6,46,17.016,Giorgio Chiellini,4-3-3,Luca Massimi,Report partita,,2,11,8,727,18,25.0,173.0,0.0,0,0,1.2,11.0,0.8,0.8
24,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Atalanta,0.7,2.1,48,9.731,Paulo Dybala,4-3-3,Maurizio Mariani,Report partita,,1,15,6,400,7,17.0,169.0,0.0,0,0,0.7,5.0,0.3,0.3
25,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Casa,N,1,1,Torino,0.7,0.7,46,20.132,Paulo Dybala,4-3-2-1,Davide Massa,Report partita,,1,12,3,250,8,33.0,171.0,1.0,0,0,0.7,5.0,0.3,0.3
26,26-02-2022,18:00,Serie A,Giornata n. 27,Sab,Ospiti,V,3,2,Empoli,2.1,1.3,47,11.89,Leonardo Bonucci,4-4-2,Fabio Maresca,Report partita,,3,12,5,417,25,60.0,131.0,0.0,0,0,2.1,17.0,0.9,0.9
27,06-03-2022,18:00,Serie A,Giornata n. 28,Dom,Casa,V,1,0,Spezia,1.5,0.7,56,26.475,Juan Cuadrado,4-4-2,Francesco Fourneau,Report partita,,1,10,3,300,10,33.0,157.0,0.0,0,0,1.5,15.0,-0.5,-0.5
28,12-03-2022,18:00,Serie A,Giornata n. 29,Sab,Ospiti,V,3,1,Sampdoria,1.1,1.7,51,16.644,Juan Cuadrado,4-4-2,Paolo Valeri,Report partita,,2,5,2,400,20,50.0,139.0,0.0,1,1,0.4,8.0,0.9,0.6
29,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Casa,V,2,0,Salernitana,1.5,0.5,56,29.186,Giorgio Chiellini,4-4-2,Giovanni Ayroldi,Report partita,,2,12,7,583,17,29.0,116.0,0.0,0,0,1.5,12.0,0.5,0.5
30,03-04-2022,20:45,Serie A,Giornata n. 31,Dom,Casa,P,0,1,Inter,1.7,1.2,54,40.093,Giorgio Chiellini,4-2-3-1,Massimiliano Irrati,Report partita,,0,22,5,227,0,0.0,186.0,3.0,0,0,1.7,8.0,-1.7,-1.7
31,09-04-2022,20:45,Serie A,Giornata n. 32,Sab,Ospiti,V,2,1,Cagliari,1.5,0.1,59,13.437,Giorgio Chiellini,4-4-2,Daniele Chiffi,Report partita,,2,20,7,350,10,29.0,190.0,1.0,0,0,1.5,8.0,0.5,0.5
32,16-04-2022,18:30,Serie A,Giornata n. 33,Sab,Casa,N,1,1,Bologna,2.0,1.2,51,36.107,Giorgio Chiellini,4-3-3,Juan Sacchi,Report partita,,1,24,4,167,4,25.0,167.0,2.0,0,0,2.0,9.0,-1.0,-1.0
33,25-04-2022,20:45,Serie A,Giornata n. 34,Lun,Ospiti,V,2,1,Sassuolo,1.2,1.4,38,20.0,Paulo Dybala,4-4-2,Fabio Maresca,Report partita,,2,10,5,500,20,40.0,199.0,1.0,0,0,1.2,12.0,0.8,0.8
34,01-05-2022,12:30,Serie A,Giornata n. 35,Dom,Casa,V,2,1,Venezia,2.2,0.6,50,39.203,Leonardo Bonucci,3-5-2,Alessandro Prontera,Report partita,,2,18,4,222,11,50.0,144.0,0.0,0,0,2.2,13.0,-0.2,-0.2
35,06-05-2022,21:00,Serie A,Giornata n. 36,Ven,Ospiti,P,1,2,Genoa,1.4,2.7,53,18.762,Paulo Dybala,4-3-3,Simone Sozza,Report partita,,1,13,4,308,8,25.0,152.0,0.0,0,0,1.4,11.0,-0.4,-0.4
36,16-05-2022,20:45,Serie A,Giornata n. 37,Lun,Casa,N,2,2,Lazio,0.8,1.1,37,40.515,Giorgio Chiellini,4-2-3-1,Giovanni Ayroldi,Report partita,,2,4,2,500,50,100.0,130.0,0.0,0,0,0.8,21.0,1.2,1.2
37,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,P,0,2,Fiorentina,0.1,1.5,34,34.831,Giorgio Chiellini,3-5-2,Daniele Chiffi,Report partita,,0,1,0,0,0,,171.0,0.0,0,0,0.1,10.0,-0.1,-0.1
