,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
11,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Casa,P,1,2,Bologna,0.8,1.9,47,5.694,Albin Ekdal,4-4-2,Gianluca Manganiello,Report partita,,1,10,4,400,10,25.0,172.0,0.0,0,0,0.8,8.0,0.2,0.2
12,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Ospiti,V,2,0,Salernitana,0.9,1.3,45,11.849,Fabio Quagliarella,4-4-2,Piero Giacomelli,Report partita,,1,13,6,462,8,17.0,211.0,0.0,0,0,0.9,7.0,0.1,0.1
13,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Casa,V,3,1,Hellas Verona,0.8,0.9,42,6.813,Fabio Quagliarella,4-4-2,Lorenzo Maggioni,Report partita,,3,15,6,400,20,50.0,173.0,0.0,0,0,0.8,5.0,2.2,2.2
14,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Ospiti,P,1,3,Fiorentina,0.7,2.7,40,17.913,Bartosz Bereszyński,4-4-2,Federico Dionisi,Report partita,,1,11,4,364,9,25.0,157.0,0.0,0,0,0.7,6.0,0.3,0.3
15,05-12-2021,18:00,Serie A,Giornata n. 16,Dom,Casa,P,1,3,Lazio,1.4,1.2,48,5.883,Fabio Quagliarella,4-4-2,Michael Fabbri,Report partita,,1,18,5,278,6,20.0,131.0,0.0,0,0,1.4,8.0,-0.4,-0.4
16,10-12-2021,20:45,Serie A,Giornata n. 17,Ven,Ospiti,V,3,1,Genoa,1.4,1.0,46,,Albin Ekdal,4-4-2,Daniele Doveri,Report partita,,2,14,5,357,14,40.0,139.0,0.0,0,0,1.4,10.0,0.6,0.6
17,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Casa,N,1,1,Venezia,1.4,1.4,50,5.735,Albin Ekdal,4-4-2◆,Rosario Abisso,Report partita,,1,18,7,389,6,14.0,198.0,2.0,0,0,1.4,8.0,-0.4,-0.4
18,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,N,1,1,Roma,1.5,1.5,46,49.4,Albin Ekdal,4-4-2,Piero Giacomelli,Report partita,,1,9,2,222,11,50.0,167.0,0.0,0,0,1.5,23.0,-0.5,-0.5
19,06-01-2022,12:30,Serie A,Giornata n. 20,Gio,Casa,P,1,2,Cagliari,0.6,2.4,49,3.188,Albin Ekdal,4-4-2,Giacomo Camplone,Report partita,,1,4,2,500,25,50.0,139.0,0.0,0,0,0.6,15.0,0.4,0.4
20,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Ospiti,P,0,1,Napoli,0.4,1.5,31,9.0,Fabio Quagliarella,4-4-2,Marco Di Bello,Report partita,,0,11,1,91,0,0.0,207.0,0.0,0,0,0.4,4.0,-0.4,-0.4
