,h_team,Data,Stadio,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards
5,Empoli,26-09-2021,Casa,V,4,Bologna,2,14.0,6.0,1,1,219.0,299.0,2.0,37.0,16.0,2,0
7,Empoli,17-10-2021,Casa,P,1,Atalanta,4,13.0,4.0,0,0,355.0,459.0,5.0,48.0,11.0,3,0
9,Empoli,27-10-2021,Casa,P,0,Inter,2,9.0,1.0,0,0,235.0,301.0,5.0,31.0,22.0,1,1
11,Empoli,05-11-2021,Casa,N,2,Genoa,2,10.0,2.0,0,0,341.0,467.0,4.0,53.0,9.0,0,0
13,Empoli,27-11-2021,Casa,V,2,Fiorentina,1,17.0,5.0,0,0,374.0,475.0,8.0,51.0,18.0,1,0
15,Empoli,06-12-2021,Casa,V,3,Udinese,1,22.0,8.0,0,0,442.0,536.0,8.0,57.0,15.0,4,0
18,Empoli,22-12-2021,Casa,P,2,Milan,4,15.0,4.0,1,1,415.0,513.0,6.0,56.0,18.0,1,0
20,Empoli,09-01-2022,Casa,P,1,Sassuolo,5,15.0,4.0,0,0,398.0,485.0,5.0,45.0,13.0,2,1
22,Empoli,23-01-2022,Casa,P,2,Roma,4,16.0,7.0,0,0,455.0,551.0,2.0,58.0,14.0,2,0
24,Empoli,13-02-2022,Casa,N,1,Cagliari,1,15.0,6.0,0,0,253.0,369.0,6.0,45.0,19.0,1,0
26,Empoli,26-02-2022,Casa,P,2,Juventus,3,11.0,2.0,0,0,419.0,519.0,7.0,53.0,18.0,2,0
29,Empoli,20-03-2022,Casa,N,1,Hellas Verona,1,7.0,2.0,0,0,213.0,332.0,3.0,38.0,17.0,2,0
31,Empoli,09-04-2022,Casa,N,0,Spezia,0,15.0,4.0,0,0,364.0,477.0,5.0,57.0,10.0,2,0
33,Empoli,24-04-2022,Casa,V,3,Napoli,2,17.0,7.0,0,0,305.0,404.0,10.0,42.0,13.0,4,0
34,Empoli,01-05-2022,Casa,P,1,Torino,3,11.0,4.0,0,0,223.0,309.0,5.0,39.0,16.0,4,2
36,Empoli,14-05-2022,Casa,N,1,Salernitana,1,16.0,6.0,0,0,308.0,390.0,3.0,45.0,18.0,3,0
1,Fiorentina,28-08-2021,Casa,V,2,Torino,1,9.0,6.0,0,0,363.0,460.0,3.0,59.0,14.0,4,0
4,Fiorentina,21-09-2021,Casa,P,1,Inter,3,14.0,6.0,0,0,452.0,530.0,4.0,53.0,13.0,2,1
6,Fiorentina,03-10-2021,Casa,P,1,Napoli,2,10.0,3.0,0,0,424.0,511.0,8.0,55.0,18.0,3,0
8,Fiorentina,24-10-2021,Casa,V,3,Cagliari,0,20.0,4.0,1,1,583.0,659.0,4.0,65.0,11.0,0,0
10,Fiorentina,31-10-2021,Casa,V,3,Spezia,0,26.0,11.0,1,1,419.0,491.0,7.0,55.0,10.0,4,0
12,Fiorentina,20-11-2021,Casa,V,4,Milan,3,9.0,5.0,0,0,361.0,449.0,5.0,45.0,7.0,1,0
14,Fiorentina,30-11-2021,Casa,V,3,Sampdoria,1,17.0,7.0,0,0,533.0,612.0,3.0,60.0,6.0,0,0
16,Fiorentina,11-12-2021,Casa,V,4,Salernitana,0,17.0,9.0,0,0,678.0,768.0,1.0,70.0,10.0,1,0
17,Fiorentina,19-12-2021,Casa,N,2,Sassuolo,2,23.0,8.0,0,0,472.0,561.0,9.0,57.0,7.0,3,1
20,Fiorentina,17-01-2022,Casa,V,6,Genoa,0,21.0,11.0,0,1,716.0,787.0,4.0,73.0,12.0,1,0
22,Fiorentina,05-02-2022,Casa,P,0,Lazio,3,9.0,3.0,0,0,446.0,522.0,4.0,50.0,15.0,3,1
24,Fiorentina,20-02-2022,Casa,V,1,Atalanta,0,6.0,3.0,0,0,373.0,461.0,2.0,49.0,19.0,2,0
