,a_team,Data,Stadio,Risultato,a_goals,h_team,h_goals,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_completed_passings,a_total_passings,a_corners,a_percentage_possession,a_fouls,a_yellow_cards,a_red_cards
19,Empoli,06-01-2022,Ospiti,N,3,Lazio,3,10.0,3.0,1,1,278.0,360.0,2.0,38.0,12.0,4,0
21,Empoli,16-01-2022,Ospiti,N,1,Venezia,1,18.0,6.0,0,0,347.0,439.0,5.0,50.0,19.0,5,0
23,Empoli,06-02-2022,Ospiti,N,0,Bologna,0,15.0,4.0,0,0,279.0,383.0,5.0,41.0,15.0,4,0
25,Empoli,19-02-2022,Ospiti,P,0,Sampdoria,2,10.0,2.0,0,0,435.0,538.0,6.0,58.0,12.0,2,0
27,Empoli,06-03-2022,Ospiti,N,0,Genoa,0,8.0,2.0,0,0,276.0,422.0,2.0,48.0,22.0,3,0
28,Empoli,12-03-2022,Ospiti,P,0,Milan,1,5.0,3.0,0,0,397.0,492.0,4.0,48.0,12.0,0,0
30,Empoli,03-04-2022,Ospiti,P,0,Fiorentina,1,4.0,1.0,0,0,294.0,361.0,0.0,39.0,19.0,3,1
32,Empoli,16-04-2022,Ospiti,P,1,Udinese,4,14.0,3.0,1,1,394.0,489.0,7.0,61.0,13.0,4,0
35,Empoli,06-05-2022,Ospiti,P,2,Inter,4,4.0,2.0,0,0,289.0,360.0,2.0,36.0,10.0,0,0
37,Empoli,21-05-2022,Ospiti,V,1,Atalanta,0,7.0,3.0,0,0,321.0,407.0,2.0,39.0,9.0,1,0
0,Fiorentina,22-08-2021,Ospiti,P,1,Roma,3,11.0,8.0,0,0,498.0,564.0,4.0,58.0,14.0,2,1
2,Fiorentina,11-09-2021,Ospiti,V,2,Atalanta,1,5.0,0.0,2,2,374.0,454.0,3.0,45.0,21.0,4,0
3,Fiorentina,18-09-2021,Ospiti,V,2,Genoa,1,16.0,5.0,0,0,531.0,617.0,11.0,63.0,17.0,4,0
5,Fiorentina,26-09-2021,Ospiti,V,1,Udinese,0,7.0,1.0,1,1,518.0,599.0,1.0,54.0,14.0,3,0
7,Fiorentina,18-10-2021,Ospiti,P,0,Venezia,1,11.0,3.0,0,0,535.0,627.0,5.0,61.0,11.0,5,1
9,Fiorentina,27-10-2021,Ospiti,P,0,Lazio,1,9.0,1.0,0,0,485.0,573.0,6.0,51.0,14.0,3,0
11,Fiorentina,06-11-2021,Ospiti,P,0,Juventus,1,6.0,1.0,0,0,335.0,426.0,5.0,50.0,17.0,4,1
13,Fiorentina,27-11-2021,Ospiti,P,1,Empoli,2,16.0,7.0,0,0,372.0,465.0,5.0,49.0,11.0,1,0
15,Fiorentina,05-12-2021,Ospiti,V,3,Bologna,2,5.0,2.0,1,1,534.0,622.0,2.0,63.0,16.0,3,0
18,Fiorentina,22-12-2021,Ospiti,N,1,Hellas Verona,1,11.0,1.0,0,0,447.0,570.0,8.0,60.0,5.0,1,0
19,Fiorentina,10-01-2022,Ospiti,P,0,Torino,4,11.0,4.0,0,0,400.0,503.0,5.0,55.0,12.0,2,0
21,Fiorentina,23-01-2022,Ospiti,N,1,Cagliari,1,14.0,5.0,0,1,326.0,426.0,4.0,59.0,15.0,3,1
23,Fiorentina,14-02-2022,Ospiti,V,2,Spezia,1,20.0,4.0,0,1,433.0,527.0,8.0,67.0,10.0,1,0
25,Fiorentina,26-02-2022,Ospiti,P,1,Sassuolo,2,15.0,6.0,0,0,365.0,463.0,10.0,51.0,13.0,2,1
28,Fiorentina,19-03-2022,Ospiti,N,1,Inter,1,17.0,4.0,0,0,424.0,518.0,3.0,50.0,13.0,2,0
30,Fiorentina,10-04-2022,Ospiti,V,3,Napoli,2,11.0,4.0,0,0,442.0,528.0,2.0,50.0,19.0,3,0
32,Fiorentina,24-04-2022,Ospiti,P,1,Salernitana,2,8.0,3.0,0,0,521.0,630.0,4.0,72.0,12.0,1,0
34,Fiorentina,01-05-2022,Ospiti,P,0,Milan,1,8.0,2.0,0,0,369.0,457.0,2.0,51.0,17.0,3,0
36,Fiorentina,16-05-2022,Ospiti,P,1,Sampdoria,4,11.0,0.0,1,1,452.0,537.0,5.0,63.0,9.0,3,0
0,Genoa,21-08-2021,Ospiti,P,0,Inter,4,10.0,4.0,0,0,365.0,430.0,2.0,41.0,7.0,2,0
2,Genoa,12-09-2021,Ospiti,V,3,Cagliari,2,11.0,3.0,0,0,395.0,475.0,6.0,47.0,16.0,3,0
4,Genoa,21-09-2021,Ospiti,N,2,Bologna,2,10.0,5.0,1,1,292.0,392.0,2.0,41.0,19.0,4,0
6,Genoa,02-10-2021,Ospiti,P,0,Salernitana,1,18.0,3.0,0,0,336.0,427.0,8.0,50.0,19.0,2,0
8,Genoa,22-10-2021,Ospiti,P,2,Torino,3,14.0,4.0,0,0,236.0,354.0,4.0,42.0,24.0,3,0
9,Genoa,26-10-2021,Ospiti,N,1,Spezia,1,8.0,1.0,1,1,368.0,493.0,3.0,53.0,17.0,4,0
11,Genoa,05-11-2021,Ospiti,N,2,Empoli,2,14.0,6.0,1,1,302.0,417.0,5.0,47.0,22.0,4,0
13,Genoa,28-11-2021,Ospiti,N,0,Udinese,0,9.0,2.0,0,0,446.0,554.0,1.0,57.0,11.0,4,0
15,Genoa,05-12-2021,Ospiti,P,0,Juventus,2,0.0,0.0,0,0,253.0,340.0,1.0,30.0,8.0,1,0
17,Genoa,17-12-2021,Ospiti,P,1,Lazio,3,4.0,2.0,0,0,469.0,555.0,2.0,45.0,11.0,3,0
19,Genoa,06-01-2022,Ospiti,N,1,Sassuolo,1,4.0,1.0,0,0,199.0,287.0,4.0,26.0,12.0,0,0
21,Genoa,17-01-2022,Ospiti,P,0,Fiorentina,6,3.0,0.0,0,0,214.0,288.0,0.0,27.0,19.0,3,0
23,Genoa,05-02-2022,Ospiti,N,0,Roma,0,10.0,3.0,0,0,181.0,316.0,4.0,38.0,23.0,2,1
25,Genoa,20-02-2022,Ospiti,N,1,Venezia,1,12.0,2.0,0,0,272.0,421.0,5.0,53.0,19.0,2,0
28,Genoa,13-03-2022,Ospiti,N,0,Atalanta,0,13.0,3.0,0,0,291.0,455.0,3.0,41.0,18.0,0,0
30,Genoa,04-04-2022,Ospiti,P,0,Hellas Verona,1,7.0,4.0,0,0,295.0,465.0,5.0,54.0,15.0,3,0
32,Genoa,15-04-2022,Ospiti,P,0,Milan,2,7.0,1.0,0,0,274.0,382.0,1.0,42.0,22.0,2,0
34,Genoa,30-04-2022,Ospiti,P,0,Sampdoria,1,13.0,4.0,0,1,272.0,400.0,2.0,52.0,26.0,1,0
36,Genoa,15-05-2022,Ospiti,P,0,Napoli,3,11.0,3.0,0,0,236.0,308.0,2.0,34.0,21.0,1,0
2,Hellas Verona,13-09-2021,Ospiti,P,0,Bologna,1,5.0,0.0,0,0,393.0,480.0,2.0,57.0,24.0,3,0
4,Hellas Verona,22-09-2021,Ospiti,N,2,Salernitana,2,9.0,5.0,0,0,314.0,423.0,5.0,50.0,19.0,3,0
5,Hellas Verona,25-09-2021,Ospiti,N,3,Genoa,3,11.0,6.0,1,1,358.0,475.0,2.0,51.0,15.0,1,0
7,Hellas Verona,16-10-2021,Ospiti,P,2,Milan,3,9.0,4.0,1,1,285.0,395.0,4.0,47.0,21.0,4,0
9,Hellas Verona,27-10-2021,Ospiti,N,1,Udinese,1,4.0,1.0,1,1,487.0,583.0,4.0,66.0,12.0,2,0
11,Hellas Verona,07-11-2021,Ospiti,N,1,Napoli,1,11.0,3.0,0,0,304.0,390.0,2.0,42.0,18.0,7,2
13,Hellas Verona,27-11-2021,Ospiti,P,1,Sampdoria,3,15.0,4.0,0,0,405.0,495.0,5.0,58.0,17.0,1,0
15,Hellas Verona,05-12-2021,Ospiti,V,4,Venezia,3,15.0,5.0,1,1,376.0,483.0,6.0,56.0,15.0,2,0
17,Hellas Verona,19-12-2021,Ospiti,P,0,Torino,1,8.0,2.0,0,0,205.0,323.0,3.0,34.0,6.0,2,1
19,Hellas Verona,06-01-2022,Ospiti,V,2,Spezia,1,22.0,5.0,0,0,412.0,521.0,7.0,60.0,11.0,2,0
21,Hellas Verona,16-01-2022,Ospiti,V,4,Sassuolo,2,20.0,5.0,1,1,291.0,394.0,7.0,45.0,18.0,4,0
23,Hellas Verona,06-02-2022,Ospiti,P,0,Juventus,2,13.0,1.0,0,0,440.0,552.0,5.0,54.0,11.0,1,0
25,Hellas Verona,19-02-2022,Ospiti,N,2,Roma,2,5.0,3.0,0,0,293.0,419.0,2.0,43.0,14.0,2,0
27,Hellas Verona,06-03-2022,Ospiti,N,1,Fiorentina,1,3.0,1.0,1,1,307.0,412.0,2.0,50.0,15.0,4,0
29,Hellas Verona,20-03-2022,Ospiti,N,1,Empoli,1,13.0,4.0,0,1,428.0,532.0,7.0,62.0,13.0,3,0
31,Hellas Verona,09-04-2022,Ospiti,P,0,Inter,2,9.0,3.0,0,0,394.0,486.0,2.0,52.0,8.0,0,0
32,Hellas Verona,18-04-2022,Ospiti,V,2,Atalanta,1,21.0,6.0,0,0,333.0,433.0,1.0,44.0,13.0,3,0
34,Hellas Verona,30-04-2022,Ospiti,V,2,Cagliari,1,13.0,4.0,0,0,216.0,331.0,2.0,40.0,26.0,4,0
