;h_team;Risultato;a_team;h_total_shots;h_shots_on_target;h_corners;h_percentage_possession;h_fouls;h_yellow_cards;h_red_cards;a_total_shots;a_shots_on_target;a_corners;a_yellow_cards;a_red_cards;a_fouls
0;Bologna;P;Venezia;24.0;6.0;17.0;67.0;6.0;0;0;8.0;6.0;0.0;3;0;11.0
0;Salernitana;P;Sampdoria;18.0;3.0;13.0;55.0;12.0;0;0;13.0;6.0;3.0;3;0;22.0
0;Torino;V;Udinese;14.0;3.0;4.0;51.0;20.0;1;0;18.0;7.0;7.0;3;0;21.0
0;Hellas Verona;V;Empoli;22.0;4.0;1.0;56.0;8.0;1;0;9.0;3.0;3.0;3;0;14.0
0;Cagliari;N;Salernitana;19.0;3.0;7.0;57.0;16.0;3;0;8.0;2.0;6.0;1;0;10.0
0;Sampdoria;V;Hellas Verona;15.0;6.0;4.0;42.0;16.0;4;0;15.0;4.0;5.0;1;0;17.0
0;Venezia;P;Inter;6.0;1.0;3.0;44.0;13.0;2;0;26.0;10.0;9.0;0;0;8.0
0;Empoli;V;Fiorentina;17.0;5.0;8.0;51.0;18.0;1;0;16.0;7.0;5.0;1;0;11.0
0;Juventus;P;Atalanta;15.0;2.0;6.0;59.0;16.0;4;0;7.0;1.0;4.0;5;0;23.0
0;Udinese;N;Genoa;16.0;3.0;8.0;43.0;19.0;3;0;9.0;2.0;1.0;4;0;11.0
0;Spezia;P;Bologna;14.0;6.0;3.0;43.0;17.0;3;0;16.0;4.0;6.0;1;0;12.0
0;Milan;P;Sassuolo;15.0;2.0;7.0;50.0;15.0;4;1;15.0;5.0;6.0;2;0;8.0
0;Napoli;V;Lazio;18.0;8.0;1.0;62.0;12.0;2;0;6.0;2.0;3.0;4;0;15.0
0;Roma;V;Torino;10.0;2.0;2.0;32.0;8.0;2;0;18.0;3.0;9.0;1;0;11.0
0;Atalanta;V;Venezia;19.0;6.0;4.0;58.0;12.0;0;0;8.0;4.0;2.0;1;0;12.0
0;Fiorentina;V;Sampdoria;17.0;7.0;3.0;60.0;6.0;0;0;11.0;4.0;6.0;3;0;17.0
0;Hellas Verona;N;Cagliari;15.0;6.0;11.0;68.0;17.0;3;0;12.0;3.0;1.0;2;0;14.0
0;Salernitana;P;Juventus;4.0;0.0;4.0;27.0;15.0;1;0;17.0;7.0;4.0;1;0;11.0
0;Sassuolo;N;Napoli;9.0;7.0;5.0;50.0;11.0;4;0;9.0;4.0;4.0;2;0;20.0
0;Bologna;V;Roma;6.0;3.0;3.0;42.0;9.0;3;0;13.0;5.0;3.0;4;0;18.0
0;Genoa;P;Milan;11.0;3.0;2.0;42.0;15.0;2;0;18.0;5.0;6.0;1;0;16.0
0;Inter;V;Spezia;30.0;10.0;11.0;63.0;19.0;1;0;7.0;4.0;1.0;2;0;14.0
0;Torino;N;Empoli;10.0;3.0;1.0;41.0;8.0;1;1;17.0;5.0;11.0;3;0;17.0
0;Lazio;N;Udinese;13.0;5.0;5.0;62.0;11.0;3;1;13.0;5.0;4.0;5;2;12.0
0;Milan;V;Salernitana;22.0;7.0;9.0;70.0;11.0;1;0;7.0;2.0;5.0;2;0;11.0
0;Roma;P;Inter;9.0;1.0;4.0;34.0;12.0;3;0;10.0;4.0;3.0;1;0;7.0
0;Napoli;P;Atalanta;15.0;4.0;6.0;55.0;19.0;2;0;21.0;7.0;7.0;3;0;21.0
0;Venezia;P;Hellas Verona;9.0;5.0;1.0;44.0;12.0;2;1;15.0;5.0;6.0;2;0;15.0
0;Spezia;N;Sassuolo;9.0;4.0;2.0;35.0;15.0;4;0;20.0;5.0;5.0;3;0;10.0
0;Sampdoria;P;Lazio;18.0;5.0;7.0;48.0;16.0;4;0;6.0;5.0;0.0;3;1;10.0
0;Bologna;P;Fiorentina;8.0;3.0;0.0;37.0;12.0;3;0;5.0;2.0;2.0;3;0;16.0
0;Juventus;V;Genoa;27.0;12.0;4.0;70.0;15.0;3;0;0.0;0.0;1.0;1;0;8.0
0;Cagliari;N;Torino;16.0;2.0;5.0;52.0;12.0;2;0;8.0;3.0;2.0;4;0;28.0
0;Empoli;V;Udinese;22.0;8.0;8.0;57.0;15.0;4;0;19.0;8.0;6.0;3;0;20.0
0;Genoa;P;Sampdoria;12.0;2.0;8.0;54.0;15.0;2;0;14.0;5.0;3.0;2;0;18.0
0;Udinese;N;Milan;11.0;6.0;3.0;34.0;21.0;2;1;12.0;1.0;5.0;2;0;11.0
0;Fiorentina;V;Salernitana;17.0;9.0;1.0;70.0;10.0;1;0;11.0;6.0;3.0;1;0;12.0
0;Venezia;N;Juventus;13.0;4.0;3.0;40.0;20.0;4;0;20.0;6.0;11.0;2;0;13.0
0;Napoli;P;Empoli;30.0;6.0;10.0;60.0;8.0;0;0;12.0;5.0;3.0;1;0;14.0
0;Hellas Verona;P;Atalanta;19.0;3.0;6.0;53.0;14.0;2;0;14.0;6.0;6.0;1;0;11.0
0;Sassuolo;V;Lazio;17.0;6.0;6.0;59.0;9.0;1;1;6.0;2.0;0.0;2;0;12.0
0;Inter;V;Cagliari;23.0;14.0;9.0;75.0;9.0;1;0;5.0;2.0;0.0;2;0;15.0
0;Torino;V;Bologna;16.0;7.0;5.0;49.0;18.0;2;0;7.0;4.0;0.0;4;0;19.0
0;Roma;V;Spezia;12.0;5.0;9.0;52.0;13.0;4;1;8.0;2.0;4.0;1;0;8.0
0;Lazio;V;Genoa;11.0;5.0;5.0;55.0;9.0;0;0;4.0;2.0;2.0;3;0;11.0
0;Salernitana;P;Inter;10.0;2.0;3.0;35.0;11.0;1;0;23.0;8.0;10.0;2;0;12.0
0;Cagliari;P;Udinese;5.0;2.0;4.0;55.0;12.0;4;1;10.0;5.0;2.0;2;0;15.0
0;Atalanta;P;Roma;17.0;6.0;10.0;71.0;11.0;1;0;8.0;5.0;0.0;3;0;18.0
0;Bologna;P;Juventus;11.0;3.0;8.0;57.0;10.0;1;0;11.0;7.0;3.0;1;0;20.0
0;Milan;P;Napoli;12.0;2.0;5.0;48.0;16.0;0;0;11.0;2.0;5.0;2;0;21.0
0;Fiorentina;N;Sassuolo;23.0;8.0;9.0;57.0;7.0;3;1;8.0;4.0;3.0;5;0;18.0
0;Spezia;N;Empoli;9.0;2.0;3.0;34.0;24.0;3;0;22.0;7.0;5.0;2;0;12.0
