,calciatore,data,giorno,competizione,girone,stadio,risultato,squadra,avversario,f inz,ruolo,min,reti,assist,rigori,rig t,tiri,tiri.1,amm.,esp.,tocchi,press,cntrs,int,blocchi,xg,npxg,xa,sca,gca,compl.,"tent,",% compl.,prog.,controlli palla,prog.,vinti,tent.,report partita
57,Juan Musso,23-04-2022,Sab,Serie A,Giornata n. 34,Ospiti,V 3–1,Atalanta,Venezia,Sì,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0.0,0.0,0.0,0,0,27,36,750,0,21,0,0,0,Report partita
58,Juan Musso,27-04-2022,Mer,Serie A,Giornata n. 20,Casa,N 4–4,Atalanta,Torino,Sì,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0,0.0,0.0,0,0,21,27,778,0,21,0,0,0,Report partita
59,Juan Musso,02-05-2022,Lun,Serie A,Giornata n. 35,Casa,N 1–1,Atalanta,Salernitana,Sì,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0.0,0.0,0.0,0,0,29,33,879,0,26,0,0,0,Report partita
60,Juan Musso,08-05-2022,Dom,Serie A,Giornata n. 36,Ospiti,V 3–1,Atalanta,Spezia,Sì,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,23,32,719,0,20,0,0,0,Report partita
61,Juan Musso,15-05-2022,Dom,Serie A,Giornata n. 37,Ospiti,P 0–2,Atalanta,Milan,Sì,GK,90,0,0,0,0,0,0,0,0,34,1,0,0,0,0.0,0.0,0.0,0,0,23,33,697,0,14,0,0,0,Report partita
62,Juan Musso,21-05-2022,Sab,Serie A,Giornata n. 38,Casa,P 0–1,Atalanta,Empoli,Sì,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0.0,0.0,0.0,0,0,21,24,875,0,12,0,0,0,Report partita
0,José Luis Palomino,21-08-2021,Sab,Serie A,Giornata n. 1,Ospiti,V 2–1,Atalanta,Torino,Sì*,CB,90,0,0,0,0,0,0,0,0,61,20,4,1,4,0.0,0.0,0.0,0,0,29,42,690,1,21,0,0,0,Report partita
1,José Luis Palomino,28-08-2021,Sab,Serie A,Giornata n. 2,Casa,N 0–0,Atalanta,Bologna,Sì,CB,90,0,0,0,0,0,0,1,0,68,12,1,4,1,0.0,0.0,0.0,1,0,41,52,788,3,28,3,0,0,Report partita
2,José Luis Palomino,11-09-2021,Sab,Serie A,Giornata n. 3,Casa,P 1–2,Atalanta,Fiorentina,Sì,CB,90,0,0,0,0,2,1,1,0,65,19,2,3,5,0.2,0.2,0.0,0,0,41,49,837,3,35,0,0,0,Report partita
4,José Luis Palomino,18-09-2021,Sab,Serie A,Giornata n. 4,Ospiti,V 1–0,Atalanta,Salernitana,Sì,CB,90,0,0,0,0,0,0,0,0,65,14,3,4,1,0.0,0.0,0.0,0,0,51,57,895,1,35,0,0,0,Report partita
5,José Luis Palomino,21-09-2021,Mar,Serie A,Giornata n. 5,Casa,V 2–1,Atalanta,Sassuolo,No,"Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo","Convocato, ma non entrato in campo",Report partita
6,José Luis Palomino,25-09-2021,Sab,Serie A,Giornata n. 6,Ospiti,N 2–2,Atalanta,Inter,Sì,CB,69,0,0,0,0,1,0,1,0,40,12,2,5,1,0.2,0.2,0.0,1,1,29,33,879,1,30,2,0,0,Report partita
8,José Luis Palomino,03-10-2021,Dom,Serie A,Giornata n. 7,Casa,P 2–3,Atalanta,Milan,Sì,CB,90,0,0,0,0,1,0,0,0,52,14,4,2,2,0.0,0.0,0.0,0,0,36,39,923,7,25,4,0,0,Report partita
9,José Luis Palomino,17-10-2021,Dom,Serie A,Giornata n. 8,Ospiti,V 4–1,Atalanta,Empoli,Sì,CB,90,0,0,0,0,1,0,1,0,50,18,3,5,2,0.1,0.1,0.1,1,0,34,41,829,5,31,3,0,0,Report partita
11,José Luis Palomino,24-10-2021,Dom,Serie A,Giornata n. 9,Casa,N 1–1,Atalanta,Udinese,Sì,CB,90,0,0,0,0,0,0,0,0,87,10,4,2,2,0.0,0.0,0.0,0,0,69,75,920,7,51,1,0,0,Report partita
12,José Luis Palomino,27-10-2021,Mer,Serie A,Giornata n. 10,Ospiti,V 3–1,Atalanta,Sampdoria,Sì,CB,45,0,0,0,0,0,0,1,0,30,4,0,2,1,0.0,0.0,0.0,0,0,25,26,962,2,16,2,0,0,Report partita
15,José Luis Palomino,06-11-2021,Sab,Serie A,Giornata n. 12,Ospiti,V 2–1,Atalanta,Cagliari,Sì,CB,90,0,0,0,0,1,0,0,0,83,9,3,2,2,0.1,0.1,0.0,0,0,66,74,892,7,65,5,1,1,Report partita
16,José Luis Palomino,20-11-2021,Sab,Serie A,Giornata n. 13,Casa,V 5–2,Atalanta,Spezia,Sì,CB,90,0,0,0,0,0,0,0,0,66,10,2,4,2,0.0,0.0,0.0,0,0,52,55,945,2,34,0,0,0,Report partita
18,José Luis Palomino,27-11-2021,Sab,Serie A,Giornata n. 14,Ospiti,V 1–0,Atalanta,Juventus,No,CB,20,0,0,0,0,0,0,0,0,8,5,2,0,1,0.0,0.0,0.0,1,0,5,5,1000,0,2,0,0,0,Report partita
19,José Luis Palomino,30-11-2021,Mar,Serie A,Giornata n. 15,Casa,V 4–0,Atalanta,Venezia,Sì*,CB,90,0,0,0,0,0,0,0,0,68,9,2,2,2,0.0,0.0,0.0,0,0,52,59,881,3,42,7,0,0,Report partita
20,José Luis Palomino,04-12-2021,Sab,Serie A,Giornata n. 16,Ospiti,V 3–2,Atalanta,Napoli,Sì,CB,90,0,0,0,0,1,0,0,0,57,24,7,3,2,0.1,0.1,0.0,1,1,43,46,935,4,35,3,0,0,Report partita
22,José Luis Palomino,12-12-2021,Dom,Serie A,Giornata n. 17,Ospiti,V 2–1,Atalanta,Hellas Verona,No,CB,6,0,0,0,0,0,0,0,0,7,4,1,0,1,0.0,0.0,0.0,0,0,2,4,500,0,1,0,0,0,Report partita
23,José Luis Palomino,18-12-2021,Sab,Serie A,Giornata n. 18,Casa,P 1–4,Atalanta,Roma,Sì,CB,90,0,0,0,0,0,0,0,0,83,12,6,5,1,0.0,0.0,0.0,1,0,61,72,847,6,49,11,1,1,Report partita
24,José Luis Palomino,21-12-2021,Mar,Serie A,Giornata n. 19,Ospiti,N 0–0,Atalanta,Genoa,Sì,CB,90,0,0,0,0,0,0,0,0,80,13,7,7,0,0.0,0.0,0.0,1,0,39,64,609,6,44,3,0,0,Report partita
25,José Luis Palomino,09-01-2022,Dom,Serie A,Giornata n. 21,Ospiti,V 6–2,Atalanta,Udinese,Sì,CB,90,0,0,0,0,0,0,0,0,85,11,2,3,3,0.0,0.0,0.0,2,0,61,74,824,3,47,5,0,0,Report partita
27,José Luis Palomino,16-01-2022,Dom,Serie A,Giornata n. 22,Casa,N 0–0,Atalanta,Inter,Sì,CB,90,0,0,0,0,0,0,1,0,46,9,1,2,2,0.0,0.0,0.0,0,0,28,40,700,2,24,4,0,0,Report partita
28,José Luis Palomino,22-01-2022,Sab,Serie A,Giornata n. 23,Ospiti,N 0–0,Atalanta,Lazio,Sì,CB,90,0,0,0,0,0,0,0,0,83,12,4,3,2,0.0,0.0,0.0,0,0,51,67,761,4,46,3,0,0,Report partita
29,José Luis Palomino,06-02-2022,Dom,Serie A,Giornata n. 24,Casa,P 1–2,Atalanta,Cagliari,Sì,CB,90,1,0,0,0,1,1,0,0,82,14,2,1,4,0.2,0.2,0.0,0,0,58,68,853,4,38,4,0,0,Report partita
32,José Luis Palomino,28-02-2022,Lun,Serie A,Giornata n. 27,Casa,V 4–0,Atalanta,Sampdoria,Sì,CB,90,0,0,0,0,0,0,0,0,71,14,5,3,2,0.0,0.0,0.0,0,0,48,58,828,3,45,1,0,0,Report partita
33,José Luis Palomino,05-03-2022,Sab,Serie A,Giornata n. 28,Ospiti,P 0–1,Atalanta,Roma,Sì,CB,80,0,0,0,0,1,0,0,0,55,17,5,2,4,0.0,0.0,0.0,0,0,34,40,850,3,35,5,0,0,Report partita
