,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
99,milan,2018-10-31,V,0.6000000000000001,genoa,1.799999999999999,1.4000000000000004,-0.2,-0.2,2.3999999999999986,-4.199999999999999,-0.6000000000000001,-0.2,2018-2019,2.0,1.0
100,napoli,2018-11-02,V,1.0,empoli,5.199999999999999,1.6,0.0,-0.2,4.399999999999999,-3.6000000000000014,-0.3999999999999999,0.2,2018-2019,4.0,0.0
101,inter,2018-11-03,V,0.6000000000000001,genoa,1.1999999999999993,-0.20000000000000018,0.0,0.0,7.399999999999999,0.3999999999999986,-0.8,-0.2,2018-2019,2.0,2.0
102,juventus,2018-11-03,V,1.0,cagliari,8.399999999999999,3.5999999999999996,0.2,0.2,12.600000000000001,-0.40000000000000036,0.0,0.0,2018-2019,4.0,0.0
103,fiorentina,2018-11-03,N,-1.0,roma,-3.6000000000000014,-2.4000000000000004,0.4,0.4,-4.600000000000001,4.600000000000001,0.20000000000000018,0.0,2018-2019,2.0,2.0
104,chievo,2018-11-04,P,-0.4,sassuolo,-3.4000000000000004,-3.0,0.0,0.0,-14.399999999999999,1.200000000000001,1.6,0.0,2018-2019,2.0,0.0
105,udinese,2018-11-04,P,-1.5999999999999999,milan,-5.6,-2.4000000000000004,0.0,0.0,-2.0,2.5999999999999996,0.8000000000000003,0.0,2018-2019,2.0,1.0
106,bologna,2018-11-04,P,-0.40000000000000013,atalanta,-7.600000000000001,-1.7999999999999998,0.0,0.0,-22.4,0.3999999999999986,1.1999999999999997,0.0,2018-2019,0.0,4.0
107,parma,2018-11-04,N,-1.0,frosinone,-2.8000000000000007,-0.8000000000000003,-0.4,-0.4,-4.799999999999997,-5.4,-1.0,0.0,2018-2019,0.0,0.0
108,sampdoria,2018-11-04,P,-0.3999999999999999,torino,-3.5999999999999996,-0.8000000000000003,0.0,0.2,-5.200000000000003,-3.8000000000000007,0.5999999999999996,0.0,2018-2019,1.0,0.0
109,lazio,2018-11-04,V,0.3999999999999999,spal,4.199999999999999,1.6,0.0,-0.2,-1.2000000000000028,0.7999999999999989,0.20000000000000018,-0.2,2018-2019,3.0,0.0
110,frosinone,2018-11-09,N,0.8,fiorentina,0.0,-0.3999999999999999,-0.19999999999999996,-0.19999999999999996,-1.8000000000000043,2.1999999999999993,1.0,0.0,2018-2019,0.0,4.0
111,spal,2018-11-10,N,-0.19999999999999996,cagliari,1.0,0.3999999999999999,0.2,0.4,3.200000000000003,-1.0,1.4,0.2,2018-2019,0.0,4.0
112,torino,2018-11-10,P,1.4000000000000001,parma,6.800000000000001,2.9999999999999996,0.2,0.2,18.6,9.399999999999999,0.7999999999999998,-0.2,2018-2019,4.0,0.0
113,genoa,2018-11-10,P,-1.4,napoli,-3.8000000000000007,-2.2,0.0,0.0,-9.600000000000001,6.399999999999999,0.7999999999999998,0.0,2018-2019,0.0,3.0
