,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
6,torino,2018-09-30,Giornata n. 7,Ospiti,V,1.0,chievo,17.0,5.0,0,0,63.0,16.0,3,0,2018-2019
6,sassuolo,2018-09-30,Giornata n. 7,Casa,P,1.0,milan,12.0,3.0,0,0,60.0,14.0,1,0,2018-2019
6,udinese,2018-09-30,Giornata n. 7,Ospiti,P,1.0,bologna,15.0,2.0,0,0,54.0,12.0,4,0,2018-2019
6,atalanta,2018-09-30,Giornata n. 7,Ospiti,P,0.0,fiorentina,18.0,3.0,0,0,65.0,12.0,3,0,2018-2019
6,bologna,2018-09-30,Giornata n. 7,Casa,V,2.0,udinese,23.0,6.0,0,0,46.0,8.0,2,0,2018-2019
6,chievo,2018-09-30,Giornata n. 7,Casa,P,0.0,torino,9.0,1.0,0,0,37.0,17.0,3,0,2018-2019
6,empoli,2018-09-30,Giornata n. 7,Ospiti,P,0.0,parma,17.0,2.0,0,0,68.0,8.0,3,0,2018-2019
6,frosinone,2018-09-30,Giornata n. 7,Casa,P,1.0,genoa,16.0,3.0,1,1,50.0,25.0,3,0,2018-2019
6,parma,2018-09-30,Giornata n. 7,Casa,V,1.0,empoli,13.0,3.0,0,0,32.0,12.0,2,0,2018-2019
5,genoa,2018-09-30,Giornata n. 7,Ospiti,V,2.0,frosinone,10.0,4.0,0,0,50.0,20.0,2,0,2018-2019
6,sampdoria,2018-10-01,Giornata n. 7,Casa,V,2.0,spal,15.0,9.0,0,0,46.0,17.0,3,0,2018-2019
6,spal,2018-10-01,Giornata n. 7,Ospiti,P,1.0,sampdoria,9.0,4.0,0,0,54.0,19.0,3,0,2018-2019
7,torino,2018-10-05,Giornata n. 8,Casa,V,3.0,frosinone,17.0,8.0,0,0,60.0,16.0,3,0,2018-2019
7,frosinone,2018-10-05,Giornata n. 8,Ospiti,P,2.0,torino,12.0,5.0,0,0,40.0,17.0,3,0,2018-2019
7,cagliari,2018-10-06,Giornata n. 8,Casa,V,2.0,bologna,11.0,5.0,0,0,52.0,9.0,2,0,2018-2019
7,juventus,2018-10-06,Giornata n. 8,Ospiti,V,2.0,udinese,23.0,6.0,0,0,60.0,15.0,1,0,2018-2019
7,bologna,2018-10-06,Giornata n. 8,Ospiti,P,0.0,cagliari,11.0,4.0,0,0,48.0,17.0,4,0,2018-2019
7,udinese,2018-10-06,Giornata n. 8,Casa,P,0.0,juventus,9.0,2.0,0,0,40.0,15.0,3,0,2018-2019
7,empoli,2018-10-06,Giornata n. 8,Casa,P,0.0,roma,18.0,2.0,0,1,44.0,14.0,2,0,2018-2019
7,roma,2018-10-06,Giornata n. 8,Ospiti,V,2.0,empoli,9.0,3.0,0,0,56.0,14.0,1,0,2018-2019
7,sampdoria,2018-10-07,Giornata n. 8,Ospiti,V,1.0,atalanta,9.0,3.0,0,0,42.0,15.0,4,0,2018-2019
7,inter,2018-10-07,Giornata n. 8,Ospiti,V,2.0,spal,13.0,3.0,0,0,49.0,21.0,2,0,2018-2019
6,genoa,2018-10-07,Giornata n. 8,Casa,P,1.0,parma,29.0,10.0,0,0,60.0,9.0,1,0,2018-2019
7,fiorentina,2018-10-07,Giornata n. 8,Ospiti,P,0.0,lazio,15.0,5.0,0,0,59.0,12.0,3,0,2018-2019
7,spal,2018-10-07,Giornata n. 8,Casa,P,1.0,inter,14.0,5.0,0,1,51.0,16.0,6,0,2018-2019
7,atalanta,2018-10-07,Giornata n. 8,Casa,P,0.0,sampdoria,21.0,3.0,0,0,58.0,20.0,2,0,2018-2019
7,sassuolo,2018-10-07,Giornata n. 8,Ospiti,P,0.0,napoli,11.0,7.0,0,0,55.0,9.0,2,1,2018-2019
7,napoli,2018-10-07,Giornata n. 8,Casa,V,2.0,sassuolo,15.0,7.0,0,0,45.0,13.0,2,0,2018-2019
7,chievo,2018-10-07,Giornata n. 8,Ospiti,P,1.0,milan,12.0,1.0,0,0,33.0,15.0,1,0,2018-2019
6,milan,2018-10-07,Giornata n. 8,Casa,V,3.0,chievo,20.0,7.0,0,0,67.0,8.0,1,0,2018-2019
7,parma,2018-10-07,Giornata n. 8,Ospiti,V,3.0,genoa,8.0,5.0,0,0,40.0,10.0,1,0,2018-2019
7,lazio,2018-10-07,Giornata n. 8,Casa,V,1.0,fiorentina,13.0,7.0,0,0,41.0,21.0,5,0,2018-2019
8,udinese,2018-10-20,Giornata n. 9,Casa,P,0.0,napoli,11.0,4.0,0,0,39.0,15.0,3,0,2018-2019
8,spal,2018-10-20,Giornata n. 9,Ospiti,V,2.0,roma,6.0,4.0,1,1,37.0,8.0,4,1,2018-2019
8,roma,2018-10-20,Giornata n. 9,Casa,P,0.0,spal,20.0,8.0,0,0,63.0,18.0,3,0,2018-2019
8,juventus,2018-10-20,Giornata n. 9,Casa,N,1.0,genoa,20.0,3.0,0,0,63.0,10.0,1,0,2018-2019
8,napoli,2018-10-20,Giornata n. 9,Ospiti,V,3.0,udinese,13.0,3.0,1,1,61.0,11.0,4,0,2018-2019
7,genoa,2018-10-20,Giornata n. 9,Ospiti,N,1.0,juventus,9.0,2.0,0,0,37.0,19.0,3,0,2018-2019
8,inter,2018-10-21,Giornata n. 9,Casa,V,1.0,milan,16.0,3.0,0,0,58.0,16.0,2,0,2018-2019
8,cagliari,2018-10-21,Giornata n. 9,Ospiti,N,1.0,fiorentina,7.0,4.0,0,0,44.0,20.0,2,0,2018-2019
8,bologna,2018-10-21,Giornata n. 9,Casa,N,2.0,torino,7.0,2.0,0,0,48.0,12.0,2,0,2018-2019
8,torino,2018-10-21,Giornata n. 9,Ospiti,N,2.0,bologna,11.0,6.0,0,0,52.0,25.0,2,0,2018-2019
8,atalanta,2018-10-21,Giornata n. 9,Ospiti,V,5.0,chievo,18.0,7.0,0,0,60.0,15.0,1,0,2018-2019
8,frosinone,2018-10-21,Giornata n. 9,Casa,N,3.0,empoli,6.0,3.0,1,1,40.0,16.0,2,0,2018-2019
8,fiorentina,2018-10-21,Giornata n. 9,Casa,N,1.0,cagliari,10.0,2.0,1,1,56.0,16.0,0,0,2018-2019
8,chievo,2018-10-21,Giornata n. 9,Casa,P,1.0,atalanta,2.0,0.0,1,1,40.0,13.0,2,1,2018-2019
8,parma,2018-10-21,Giornata n. 9,Casa,P,0.0,lazio,4.0,1.0,0,0,35.0,6.0,2,0,2018-2019
8,lazio,2018-10-21,Giornata n. 9,Ospiti,V,2.0,parma,16.0,8.0,1,1,65.0,13.0,3,0,2018-2019
8,empoli,2018-10-21,Giornata n. 9,Ospiti,N,3.0,frosinone,23.0,10.0,0,0,60.0,20.0,3,0,2018-2019
7,milan,2018-10-21,Giornata n. 9,Ospiti,P,0.0,inter,14.0,2.0,0,0,42.0,9.0,5,0,2018-2019
8,sampdoria,2018-10-22,Giornata n. 9,Casa,N,0.0,sassuolo,9.0,1.0,0,0,53.0,10.0,2,0,2018-2019
8,sassuolo,2018-10-22,Giornata n. 9,Ospiti,N,0.0,sampdoria,10.0,0.0,0,0,47.0,19.0,3,0,2018-2019
