,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
3,Sampdoria,2020-10-17,Giornata n. 4,Casa,V,3,Lazio,12,7,0,0,52.0,17,2,0
3,Benevento,2020-10-18,Giornata n. 4,Ospiti,P,2,Roma,9,3,0,1,48.0,10,2,0
3,Bologna,2020-10-18,Giornata n. 4,Casa,P,3,Sassuolo,14,6,0,0,48.0,25,2,0
3,Parma,2020-10-18,Giornata n. 4,Ospiti,P,2,Udinese,10,4,0,0,57.0,13,2,0
3,Roma,2020-10-18,Giornata n. 4,Casa,V,5,Benevento,19,6,1,1,52.0,18,3,0
3,Sassuolo,2020-10-18,Giornata n. 4,Ospiti,V,4,Bologna,25,13,0,0,52.0,16,2,0
2,Torino,2020-10-18,Giornata n. 4,Casa,P,2,Cagliari,11,5,1,1,58.0,20,2,1
3,Cagliari,2020-10-18,Giornata n. 4,Ospiti,V,3,Torino,13,6,0,0,42.0,23,3,0
3,Fiorentina,2020-10-18,Giornata n. 4,Ospiti,N,2,Spezia,10,3,0,0,48.0,18,2,0
3,Spezia,2020-10-18,Giornata n. 4,Casa,N,2,Fiorentina,13,2,0,0,52.0,16,2,0
3,Udinese,2020-10-18,Giornata n. 4,Casa,V,3,Parma,14,4,0,0,43.0,13,3,0
3,Hellas Verona,2020-10-19,Giornata n. 4,Casa,N,0,Genoa,18,10,0,0,59.0,14,1,0
2,Genoa,2020-10-19,Giornata n. 4,Ospiti,N,0,Hellas Verona,6,2,0,0,41.0,19,4,0
3,Torino,2020-10-23,Giornata n. 5,Ospiti,N,3,Sassuolo,17,10,0,0,29.0,15,2,0
4,Sassuolo,2020-10-23,Giornata n. 5,Casa,N,3,Torino,16,6,0,0,71.0,11,2,0
3,Genoa,2020-10-24,Giornata n. 5,Casa,P,0,Inter,1,0,0,0,39.0,14,1,0
4,Bologna,2020-10-24,Giornata n. 5,Ospiti,P,1,Lazio,23,6,0,0,51.0,16,3,0
4,Inter,2020-10-24,Giornata n. 5,Ospiti,V,2,Genoa,14,4,0,0,61.0,20,1,0
4,Atalanta,2020-10-24,Giornata n. 5,Casa,P,1,Sampdoria,19,4,1,1,65.0,13,3,0
4,Lazio,2020-10-24,Giornata n. 5,Casa,V,2,Bologna,10,4,0,0,49.0,15,3,0
4,Sampdoria,2020-10-24,Giornata n. 5,Ospiti,V,3,Atalanta,6,3,0,1,35.0,23,4,0
4,Crotone,2020-10-25,Giornata n. 5,Ospiti,P,2,Cagliari,12,6,0,0,56.0,16,4,1
4,Fiorentina,2020-10-25,Giornata n. 5,Casa,V,3,Udinese,5,3,0,0,45.0,16,1,0
4,Hellas Verona,2020-10-25,Giornata n. 5,Ospiti,N,1,Juventus,6,2,0,0,39.0,21,4,0
4,Parma,2020-10-25,Giornata n. 5,Casa,N,2,Spezia,16,5,1,1,48.0,12,3,0
4,Udinese,2020-10-25,Giornata n. 5,Ospiti,P,2,Fiorentina,16,6,0,0,55.0,17,3,0
4,Cagliari,2020-10-25,Giornata n. 5,Casa,V,4,Crotone,19,8,0,0,44.0,14,2,0
4,Benevento,2020-10-25,Giornata n. 5,Casa,P,1,Napoli,9,3,0,0,35.0,18,3,0
3,Juventus,2020-10-25,Giornata n. 5,Casa,N,1,Hellas Verona,22,6,0,0,61.0,17,1,0
3,Napoli,2020-10-25,Giornata n. 5,Ospiti,V,2,Benevento,19,5,0,0,65.0,13,1,0
4,Spezia,2020-10-25,Giornata n. 5,Ospiti,N,2,Parma,14,6,0,0,52.0,22,2,0
4,Milan,2020-10-26,Giornata n. 5,Casa,N,3,Roma,12,7,1,1,55.0,16,3,0
4,Roma,2020-10-26,Giornata n. 5,Ospiti,N,3,Milan,11,6,1,1,45.0,15,2,0
5,Cagliari,2020-10-31,Giornata n. 6,Ospiti,P,2,Bologna,7,3,0,0,49.0,21,3,0
5,Crotone,2020-10-31,Giornata n. 6,Casa,P,1,Atalanta,5,1,0,0,42.0,11,1,0
5,Parma,2020-10-31,Giornata n. 6,Ospiti,N,2,Inter,5,3,0,0,31.0,9,1,0
5,Atalanta,2020-10-31,Giornata n. 6,Ospiti,V,2,Crotone,18,6,0,0,58.0,22,3,0
5,Bologna,2020-10-31,Giornata n. 6,Casa,V,3,Cagliari,22,9,0,0,51.0,15,3,0
5,Inter,2020-10-31,Giornata n. 6,Casa,N,2,Parma,25,9,0,0,69.0,15,1,0
5,Lazio,2020-11-01,Giornata n. 6,Ospiti,V,4,Torino,11,3,1,1,55.0,14,4,0
5,Roma,2020-11-01,Giornata n. 6,Casa,V,2,Fiorentina,17,6,0,0,41.0,18,3,0
4,Juventus,2020-11-01,Giornata n. 6,Ospiti,V,4,Spezia,6,3,1,1,56.0,8,1,0
4,Torino,2020-11-01,Giornata n. 6,Casa,P,3,Lazio,10,3,1,1,45.0,11,2,0
5,Spezia,2020-11-01,Giornata n. 6,Casa,P,1,Juventus,16,3,0,0,44.0,17,3,0
5,Milan,2020-11-01,Giornata n. 6,Ospiti,V,2,Udinese,12,4,0,0,60.0,15,2,0
5,Udinese,2020-11-01,Giornata n. 6,Casa,P,1,Milan,8,1,1,1,40.0,15,2,0
4,Genoa,2020-11-01,Giornata n. 6,Ospiti,N,1,Sampdoria,11,4,0,0,46.0,17,1,0
4,Napoli,2020-11-01,Giornata n. 6,Casa,P,0,Sassuolo,21,6,0,0,43.0,9,2,0
5,Sassuolo,2020-11-01,Giornata n. 6,Ospiti,V,2,Napoli,6,3,1,1,57.0,14,2,0
5,Fiorentina,2020-11-01,Giornata n. 6,Ospiti,P,0,Roma,8,1,0,0,59.0,17,2,1
5,Sampdoria,2020-11-01,Giornata n. 6,Casa,N,1,Genoa,9,3,0,0,54.0,24,5,0
5,Benevento,2020-11-02,Giornata n. 6,Ospiti,P,1,Hellas Verona,15,5,0,0,55.0,18,4,1
5,Hellas Verona,2020-11-02,Giornata n. 6,Casa,V,3,Benevento,14,6,0,0,45.0,21,5,0
5,Genoa,2020-11-04,Giornata n. 3,Casa,P,1,Torino,16,2,0,0,52.0,10,2,0
