,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
31,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Juventus,2.1,0.7,52,9.731,Rafael Tolói,3-4-1-2,Maurizio Mariani,Report partita,
33,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Ospiti,P,0,1,Fiorentina,0.5,0.6,51,18.056,Rafael Tolói,3-4-1-2,Daniele Doveri,Report partita,
35,28-02-2022,20:50,Serie A,Giornata n. 27,Lun,Casa,V,4,0,Sampdoria,2.1,0.5,56,10.245,Rafael Tolói,4-2-3-1,Simone Sozza,Report partita,
36,05-03-2022,18:00,Serie A,Giornata n. 28,Sab,Ospiti,P,0,1,Roma,0.8,1.2,64,42.303,Remo Freuler,4-2-3-1,Davide Massa,Report partita,
38,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Casa,N,0,0,Genoa,1.2,1.0,59,9.14,José Luis Palomino,3-4-1-2,Rosario Abisso,Report partita,
40,20-03-2022,20:45,Serie A,Giornata n. 30,Dom,Ospiti,V,1,0,Bologna,1.2,1.3,40,1.323,Remo Freuler,3-4-3,Fabio Maresca,Report partita,
41,03-04-2022,15:00,Serie A,Giornata n. 31,Dom,Casa,P,1,3,Napoli,1.4,1.5,55,17.709,Remo Freuler,3-4-1-2,Marco Di Bello,Report partita,
43,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,P,1,2,Sassuolo,1.8,1.2,49,7.842,Rafael Tolói,3-4-3,Juan Sacchi,Report partita,
45,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Casa,P,1,2,Hellas Verona,1.5,3.2,56,14.537,Marten de Roon,3-4-3,Marco Piccinini,Report partita,
46,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Ospiti,V,3,1,Venezia,3.6,0.9,61,6.132,Remo Freuler,3-4-1-2,Francesco Fourneau,Report partita,
47,27-04-2022,20:15,Serie A,Giornata n. 20,Mer,Casa,N,4,4,Torino,2.7,2.4,49,,Remo Freuler,3-4-3,Rosario Abisso,Report partita,
48,02-05-2022,20:45,Serie A,Giornata n. 35,Lun,Casa,N,1,1,Salernitana,1.6,1.2,61,17.011,Remo Freuler,3-4-3,Marco Guida,Report partita,
49,08-05-2022,12:30,Serie A,Giornata n. 36,Dom,Ospiti,V,3,1,Spezia,2.1,1.0,66,9.0,Remo Freuler,3-4-3,Fabio Maresca,Report partita,
50,15-05-2022,18:00,Serie A,Giornata n. 37,Dom,Ospiti,P,0,2,Milan,0.9,1.5,55,73.304,Remo Freuler,3-4-1-2,Daniele Orsato,Report partita,
51,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Casa,P,0,1,Empoli,3.8,0.4,61,17.654,Remo Freuler,3-4-1-2,Rosario Abisso,Report partita,
