,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
86,Fiorentina,2018-10-21,N,0.0,Cagliari,3.0,-2.0,1,1,12.0,-4.0,-2,0,2018-2019
87,Chievo,2018-10-21,P,-4.0,Atalanta,-16.0,-7.0,1,1,-20.0,-2.0,1,1,2018-2019
88,Sampdoria,2018-10-22,N,0.0,Sassuolo,-1.0,1.0,0,0,6.0,-9.0,-1,0,2018-2019
89,Torino,2018-10-27,N,0.0,Fiorentina,12.0,-3.0,0,0,10.0,-6.0,-2,0,2018-2019
90,Empoli,2018-10-27,P,-1.0,Juventus,-9.0,-3.0,-1,-1,-14.0,-8.0,-1,0,2018-2019
91,Atalanta,2018-10-27,V,3.0,Parma,17.0,9.0,0,0,30.0,0.0,-2,0,2018-2019
92,Cagliari,2018-10-28,V,1.0,Chievo,5.0,0.0,0,0,-2.0,-2.0,-5,0,2018-2019
93,Napoli,2018-10-28,N,0.0,Roma,17.0,2.0,0,0,26.0,0.0,-5,0,2018-2019
94,Sassuolo,2018-10-28,N,0.0,Bologna,-1.0,0.0,1,1,48.0,3.0,-1,0,2018-2019
95,Genoa,2018-10-28,N,0.0,Udinese,-3.0,-1.0,1,1,-18.0,-2.0,1,1,2018-2019
96,Milan,2018-10-28,V,1.0,Sampdoria,5.0,4.0,0,0,-8.0,5.0,1,0,2018-2019
97,SPAL,2018-10-28,P,-3.0,Frosinone,6.0,-2.0,0,0,26.0,5.0,-3,0,2018-2019
98,Lazio,2018-10-29,P,-3.0,Inter,2.0,-3.0,0,0,-20.0,3.0,0,0,2018-2019
99,Milan,2018-10-31,V,1.0,Genoa,19.0,7.0,0,0,16.0,-9.0,0,0,2018-2019
100,Napoli,2018-11-02,V,4.0,Empoli,8.0,9.0,0,0,-4.0,0.0,-2,0,2018-2019
101,Fiorentina,2018-11-03,N,0.0,Roma,-4.0,-1.0,1,1,-24.0,-11.0,0,0,2018-2019
102,Juventus,2018-11-03,V,2.0,Cagliari,8.0,1.0,0,0,6.0,0.0,-2,0,2018-2019
103,Inter,2018-11-03,V,5.0,Genoa,11.0,7.0,0,0,24.0,-5.0,-1,0,2018-2019
104,Chievo,2018-11-04,P,-2.0,Sassuolo,-4.0,-4.0,0,0,14.0,5.0,2,1,2018-2019
105,Udinese,2018-11-04,P,-1.0,Milan,-2.0,-5.0,0,0,-10.0,1.0,0,1,2018-2019
106,Bologna,2018-11-04,P,-1.0,Atalanta,-10.0,-1.0,0,0,-32.0,-5.0,-1,0,2018-2019
107,Parma,2018-11-04,N,0.0,Frosinone,0.0,0.0,0,0,-14.0,-2.0,-3,1,2018-2019
108,Sampdoria,2018-11-04,P,-3.0,Torino,-5.0,-3.0,-1,0,4.0,-9.0,0,0,2018-2019
109,Lazio,2018-11-04,V,3.0,SPAL,14.0,7.0,0,0,-6.0,-1.0,-2,0,2018-2019
110,Frosinone,2018-11-09,N,0.0,Fiorentina,-15.0,-7.0,0,0,-14.0,-5.0,3,0,2018-2019
