,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
474,Udinese,2019-10-30,P,-4.0,Roma,1.0,-1.0,-1,-1,10.0,-1.0,2,-1,2019-2020
475,Cagliari,2019-10-30,V,1.0,Bologna,6.0,3.0,-1,-1,-2.0,-7.0,1,0,2019-2020
476,Sampdoria,2019-10-30,N,0.0,Lecce,11.0,2.0,0,0,4.0,5.0,0,-1,2019-2020
477,Juventus,2019-10-30,V,1.0,Genoa,18.0,7.0,1,1,8.0,11.0,2,-1,2019-2020
478,Milan,2019-10-31,V,1.0,SPAL,6.0,3.0,0,0,12.0,-7.0,0,0,2019-2020
479,Torino,2019-11-02,P,-1.0,Juventus,-11.0,-6.0,0,0,-20.0,8.0,2,0,2019-2020
480,Roma,2019-11-02,V,1.0,Napoli,-1.0,1.0,1,2,-10.0,6.0,2,1,2019-2020
481,Bologna,2019-11-02,P,-1.0,Inter,-3.0,-4.0,-1,-1,-6.0,-8.0,-1,0,2019-2020
482,Lecce,2019-11-03,N,0.0,Sassuolo,-5.0,1.0,0,0,-22.0,0.0,-1,0,2019-2020
483,Milan,2019-11-03,P,-1.0,Lazio,4.0,-2.0,0,0,-6.0,1.0,-2,0,2019-2020
484,Hellas Verona,2019-11-03,V,1.0,Brescia,-4.0,-2.0,0,0,4.0,5.0,-3,-1,2019-2020
485,Genoa,2019-11-03,P,-2.0,Udinese,-2.0,-3.0,0,0,26.0,-6.0,-2,0,2019-2020
486,Atalanta,2019-11-03,P,-2.0,Cagliari,6.0,-1.0,0,0,14.0,0.0,-1,1,2019-2020
487,Fiorentina,2019-11-03,N,0.0,Parma,11.0,1.0,0,0,24.0,-5.0,0,0,2019-2020
488,SPAL,2019-11-04,P,-1.0,Sampdoria,-3.0,-2.0,0,0,18.0,-2.0,2,0,2019-2020
489,Sassuolo,2019-11-08,V,2.0,Bologna,9.0,2.0,0,0,0.0,-1.0,-4,0,2019-2020
490,Napoli,2019-11-09,N,0.0,Genoa,7.0,6.0,0,0,-16.0,-7.0,-3,0,2019-2020
491,Inter,2019-11-09,V,1.0,Hellas Verona,33.0,10.0,-1,-1,20.0,3.0,2,0,2019-2020
492,Brescia,2019-11-09,P,-4.0,Torino,-9.0,-2.0,-2,-2,-12.0,3.0,2,1,2019-2020
493,Juventus,2019-11-10,V,1.0,Milan,1.0,-2.0,0,0,6.0,4.0,-4,0,2019-2020
494,Cagliari,2019-11-10,V,3.0,Fiorentina,0.0,1.0,0,0,-2.0,-4.0,-2,0,2019-2020
495,Udinese,2019-11-10,N,0.0,SPAL,1.0,-1.0,0,-1,10.0,4.0,-2,0,2019-2020
496,Lazio,2019-11-10,V,2.0,Lecce,4.0,-3.0,1,0,12.0,-2.0,-1,0,2019-2020
497,Parma,2019-11-10,V,2.0,Roma,-1.0,2.0,0,0,-24.0,5.0,1,0,2019-2020
498,Sampdoria,2019-11-10,N,0.0,Atalanta,1.0,-1.0,0,0,-28.0,5.0,-2,-1,2019-2020
499,Milan,2019-11-23,N,0.0,Napoli,1.0,-2.0,0,0,-4.0,4.0,1,0,2019-2020
500,Atalanta,2019-11-23,P,-2.0,Juventus,4.0,1.0,0,1,-4.0,3.0,2,0,2019-2020
501,Torino,2019-11-23,P,-3.0,Inter,0.0,-3.0,0,0,18.0,-10.0,-1,0,2019-2020
502,Sampdoria,2019-11-24,V,1.0,Udinese,14.0,5.0,1,1,12.0,-15.0,-1,-1,2019-2020
503,Bologna,2019-11-24,N,0.0,Parma,3.0,3.0,0,0,30.0,0.0,-2,0,2019-2020
504,Roma,2019-11-24,V,3.0,Brescia,18.0,4.0,0,0,18.0,8.0,0,0,2019-2020
505,Hellas Verona,2019-11-24,V,1.0,Fiorentina,4.0,6.0,0,0,0.0,12.0,1,0,2019-2020
506,Sassuolo,2019-11-24,P,-1.0,Lazio,-4.0,-5.0,0,0,10.0,-5.0,-2,0,2019-2020
507,Lecce,2019-11-25,N,0.0,Cagliari,22.0,5.0,0,0,16.0,-3.0,0,-1,2019-2020
508,SPAL,2019-11-25,N,0.0,Genoa,1.0,0.0,1,1,-16.0,0.0,1,0,2019-2020
509,Fiorentina,2019-11-30,P,-1.0,Lecce,13.0,3.0,0,0,26.0,-9.0,-2,0,2019-2020
510,Brescia,2019-11-30,P,-3.0,Atalanta,-12.0,-6.0,0,0,-36.0,0.0,-2,0,2019-2020
511,Genoa,2019-11-30,P,-1.0,Torino,1.0,-2.0,0,0,24.0,-5.0,-1,-1,2019-2020
512,Napoli,2019-12-01,P,-1.0,Bologna,19.0,0.0,0,0,24.0,4.0,-4,0,2019-2020
513,Juventus,2019-12-01,N,0.0,Sassuolo,21.0,4.0,1,1,12.0,-6.0,-4,0,2019-2020
514,Hellas Verona,2019-12-01,P,-2.0,Roma,-3.0,-2.0,-1,-1,16.0,-2.0,0,0,2019-2020
515,Parma,2019-12-01,P,-1.0,Milan,-18.0,-7.0,0,0,-32.0,-6.0,-2,0,2019-2020
516,Lazio,2019-12-01,V,3.0,Udinese,9.0,4.0,2,2,2.0,-4.0,-1,0,2019-2020
517,Inter,2019-12-01,V,1.0,SPAL,7.0,5.0,0,0,8.0,-2.0,-3,0,2019-2020
518,Cagliari,2019-12-02,V,1.0,Sampdoria,6.0,4.0,-1,-1,28.0,4.0,2,0,2019-2020
519,Inter,2019-12-06,N,0.0,Roma,3.0,0.0,0,0,0.0,1.0,2,0,2019-2020
520,Atalanta,2019-12-07,V,1.0,Hellas Verona,13.0,7.0,1,1,14.0,-2.0,-4,-1,2019-2020
521,Lazio,2019-12-07,V,2.0,Juventus,7.0,3.0,0,1,-20.0,9.0,1,-1,2019-2020
522,Udinese,2019-12-07,N,0.0,Napoli,-12.0,-2.0,0,0,-38.0,7.0,-1,-1,2019-2020
523,SPAL,2019-12-08,P,-1.0,Brescia,6.0,-4.0,0,1,28.0,-6.0,0,0,2019-2020
524,Torino,2019-12-08,V,1.0,Fiorentina,-7.0,-1.0,0,0,-18.0,-4.0,1,0,2019-2020
525,Bologna,2019-12-08,P,-1.0,Milan,-1.0,-3.0,0,0,-2.0,1.0,2,0,2019-2020
526,Lecce,2019-12-08,N,0.0,Genoa,8.0,2.0,-1,-1,6.0,1.0,-1,-2,2019-2020
527,Sassuolo,2019-12-08,N,0.0,Cagliari,5.0,-1.0,0,1,8.0,-10.0,-1,0,2019-2020
528,Sampdoria,2019-12-08,P,-1.0,Parma,10.0,2.0,0,1,24.0,4.0,1,0,2019-2020
529,Brescia,2019-12-14,V,3.0,Lecce,2.0,5.0,0,0,-22.0,-11.0,-2,0,2019-2020
530,Napoli,2019-12-14,P,-1.0,Parma,26.0,5.0,0,0,42.0,-3.0,0,0,2019-2020
531,Genoa,2019-12-14,P,-1.0,Sampdoria,2.0,0.0,0,0,26.0,-8.0,2,0,2019-2020
532,Juventus,2019-12-15,V,2.0,Udinese,13.0,4.0,0,0,30.0,4.0,1,0,2019-2020
533,Fiorentina,2019-12-15,N,0.0,Inter,7.0,0.0,0,0,4.0,-1.0,-1,0,2019-2020
534,Hellas Verona,2019-12-15,N,0.0,Torino,-5.0,-2.0,1,1,4.0,2.0,2,0,2019-2020
535,Roma,2019-12-15,V,2.0,SPAL,18.0,6.0,0,0,34.0,-3.0,-2,0,2019-2020
536,Bologna,2019-12-15,V,1.0,Atalanta,-4.0,0.0,0,0,-16.0,1.0,4,1,2019-2020
537,Milan,2019-12-15,N,0.0,Sassuolo,6.0,2.0,0,0,-2.0,-3.0,1,0,2019-2020
538,Cagliari,2019-12-16,P,-1.0,Lazio,-3.0,-2.0,0,0,-22.0,2.0,1,0,2019-2020
539,Sampdoria,2019-12-18,P,-1.0,Juventus,1.0,0.0,0,0,-42.0,-12.0,3,1,2019-2020
540,Brescia,2019-12-18,P,-2.0,Sassuolo,8.0,0.0,0,0,-30.0,1.0,-1,0,2019-2020
541,Fiorentina,2019-12-20,P,-3.0,Roma,-1.0,-2.0,0,0,-14.0,6.0,1,0,2019-2020
542,Udinese,2019-12-21,V,1.0,Cagliari,0.0,1.0,0,0,-16.0,3.0,-1,-1,2019-2020
543,Inter,2019-12-21,V,4.0,Genoa,8.0,5.0,1,1,-4.0,-1.0,-3,0,2019-2020
544,Torino,2019-12-21,P,-1.0,SPAL,2.0,2.0,0,0,-6.0,2.0,0,1,2019-2020
545,Parma,2019-12-22,N,0.0,Brescia,2.0,-1.0,0,0,6.0,7.0,1,0,2019-2020
546,Atalanta,2019-12-22,V,5.0,Milan,11.0,9.0,0,0,16.0,-7.0,-2,0,2019-2020
547,Sassuolo,2019-12-22,P,-1.0,Napoli,-3.0,-3.0,0,0,14.0,3.0,0,0,2019-2020
548,Lecce,2019-12-22,P,-1.0,Bologna,-12.0,-11.0,0,0,-2.0,-3.0,0,0,2019-2020
549,Genoa,2020-01-05,V,1.0,Sassuolo,2.0,3.0,1,1,-26.0,11.0,-1,-1,2019-2020
550,Brescia,2020-01-05,P,-1.0,Lazio,-13.0,-2.0,-1,-1,-26.0,-16.0,1,1,2019-2020
551,SPAL,2020-01-05,P,-2.0,Hellas Verona,0.0,-6.0,0,0,10.0,-5.0,0,1,2019-2020
552,Roma,2020-01-05,P,-2.0,Torino,20.0,3.0,-1,-1,16.0,-13.0,3,0,2019-2020
553,Juventus,2020-01-06,V,4.0,Cagliari,10.0,7.0,1,1,28.0,-3.0,0,0,2019-2020
554,Bologna,2020-01-06,N,0.0,Fiorentina,3.0,2.0,0,0,40.0,-11.0,-2,0,2019-2020
555,Atalanta,2020-01-06,V,5.0,Parma,18.0,9.0,0,0,20.0,-4.0,-2,0,2019-2020
556,Lecce,2020-01-06,P,-1.0,Udinese,5.0,1.0,0,0,-8.0,4.0,0,0,2019-2020
557,Napoli,2020-01-06,P,-2.0,Inter,5.0,-1.0,0,0,14.0,-12.0,-5,0,2019-2020
558,Milan,2020-01-06,N,0.0,Sampdoria,13.0,5.0,0,0,36.0,-10.0,-4,0,2019-2020
559,Inter,2020-01-11,N,0.0,Atalanta,-6.0,-1.0,0,-1,-26.0,10.0,-2,0,2019-2020
560,Cagliari,2020-01-11,P,-2.0,Milan,-4.0,-2.0,0,0,16.0,2.0,2,0,2019-2020
561,Lazio,2020-01-11,V,1.0,Napoli,2.0,2.0,0,0,-26.0,0.0,0,0,2019-2020
562,Torino,2020-01-12,V,1.0,Bologna,-10.0,-3.0,0,0,-20.0,3.0,2,0,2019-2020
563,Udinese,2020-01-12,V,3.0,Sassuolo,-3.0,5.0,0,0,-24.0,0.0,0,0,2019-2020
564,Roma,2020-01-12,P,-1.0,Juventus,17.0,1.0,0,0,6.0,-3.0,3,0,2019-2020
565,Hellas Verona,2020-01-12,V,1.0,Genoa,5.0,3.0,1,1,32.0,-13.0,-3,0,2019-2020
566,Fiorentina,2020-01-12,V,1.0,SPAL,8.0,3.0,0,0,-20.0,10.0,0,0,2019-2020
567,Sampdoria,2020-01-12,V,4.0,Brescia,16.0,5.0,1,1,6.0,6.0,-1,0,2019-2020
568,Parma,2020-01-13,V,2.0,Lecce,-8.0,2.0,0,0,-2.0,7.0,3,0,2019-2020
569,Lazio,2020-01-18,V,4.0,Sampdoria,6.0,2.0,2,2,22.0,-1.0,-1,-1,2019-2020
570,Napoli,2020-01-18,P,-2.0,Fiorentina,0.0,-3.0,0,0,34.0,-4.0,1,0,2019-2020
571,Sassuolo,2020-01-18,V,1.0,Torino,-1.0,3.0,0,0,12.0,-2.0,-2,0,2019-2020
572,Bologna,2020-01-19,N,0.0,Hellas Verona,-11.0,-4.0,0,0,-14.0,4.0,4,1,2019-2020
573,Juventus,2020-01-19,V,1.0,Parma,9.0,-1.0,0,0,26.0,5.0,-1,0,2019-2020
574,Milan,2020-01-19,V,1.0,Udinese,12.0,1.0,0,0,2.0,10.0,3,0,2019-2020
575,Genoa,2020-01-19,P,-2.0,Roma,-6.0,-2.0,0,0,-10.0,0.0,-1,0,2019-2020
576,Lecce,2020-01-19,N,0.0,Inter,-12.0,-6.0,0,0,-30.0,1.0,0,0,2019-2020
577,Brescia,2020-01-19,N,0.0,Cagliari,-13.0,-3.0,-1,-1,-10.0,-6.0,0,1,2019-2020
578,Atalanta,2020-01-20,P,-1.0,SPAL,6.0,-1.0,0,0,12.0,-7.0,-1,0,2019-2020
579,Brescia,2020-01-24,P,-1.0,Milan,-1.0,3.0,0,0,4.0,-3.0,-2,0,2019-2020
580,Fiorentina,2020-01-25,N,0.0,Genoa,11.0,-4.0,0,-1,-6.0,-2.0,1,0,2019-2020
581,Torino,2020-01-25,P,-7.0,Atalanta,-12.0,-8.0,-2,-2,-12.0,3.0,1,2,2019-2020
582,SPAL,2020-01-25,P,-2.0,Bologna,1.0,-2.0,1,1,10.0,-2.0,1,0,2019-2020
583,Inter,2020-01-26,N,0.0,Cagliari,6.0,3.0,0,0,-18.0,1.0,4,1,2019-2020
584,Napoli,2020-01-26,V,1.0,Juventus,6.0,1.0,0,0,4.0,1.0,-3,0,2019-2020
585,Roma,2020-01-26,N,0.0,Lazio,16.0,1.0,0,0,30.0,-2.0,-2,0,2019-2020
586,Hellas Verona,2020-01-26,V,3.0,Lecce,7.0,4.0,1,1,22.0,3.0,-1,-1,2019-2020
587,Sampdoria,2020-01-26,N,0.0,Sassuolo,19.0,2.0,0,0,0.0,7.0,3,-1,2019-2020
588,Parma,2020-01-26,V,2.0,Udinese,-8.0,-1.0,0,0,-2.0,3.0,-1,0,2019-2020
589,Cagliari,2020-02-01,N,0.0,Parma,5.0,4.0,0,1,4.0,3.0,1,0,2019-2020
590,Sassuolo,2020-02-01,V,2.0,Roma,1.0,3.0,-1,-1,-16.0,-12.0,-6,-1,2019-2020
591,Bologna,2020-02-01,V,1.0,Brescia,16.0,7.0,-1,-1,26.0,6.0,1,0,2019-2020
592,Juventus,2020-02-02,V,3.0,Fiorentina,5.0,4.0,2,2,48.0,-5.0,-3,0,2019-2020
593,Milan,2020-02-02,N,0.0,Hellas Verona,19.0,2.0,0,0,24.0,1.0,-3,-1,2019-2020
594,Atalanta,2020-02-02,N,0.0,Genoa,15.0,5.0,-1,-1,20.0,1.0,-4,-1,2019-2020
595,Lecce,2020-02-02,V,4.0,Torino,2.0,7.0,1,1,0.0,-9.0,0,0,2019-2020
596,Udinese,2020-02-02,P,-2.0,Inter,0.0,-6.0,-1,-1,-12.0,-5.0,0,0,2019-2020
597,Lazio,2020-02-02,V,4.0,SPAL,1.0,4.0,0,0,8.0,-3.0,-1,0,2019-2020
598,Sampdoria,2020-02-03,P,-2.0,Napoli,-3.0,-3.0,1,1,-28.0,15.0,1,0,2019-2020
599,Lazio,2020-02-05,N,0.0,Hellas Verona,4.0,1.0,0,0,6.0,-4.0,1,0,2019-2020
600,Roma,2020-02-07,P,-1.0,Bologna,6.0,4.0,0,0,18.0,-6.0,-2,1,2019-2020
601,Hellas Verona,2020-02-08,V,1.0,Juventus,0.0,2.0,1,1,-8.0,-5.0,-1,0,2019-2020
602,Torino,2020-02-08,P,-2.0,Sampdoria,-8.0,-2.0,-1,-1,10.0,-10.0,-2,1,2019-2020
603,Fiorentina,2020-02-08,P,-1.0,Atalanta,-7.0,-1.0,0,0,-34.0,7.0,0,0,2019-2020
604,Brescia,2020-02-09,N,0.0,Udinese,-18.0,-2.0,0,0,-20.0,-7.0,-3,0,2019-2020
605,Napoli,2020-02-09,P,-1.0,Lecce,10.0,-3.0,0,0,20.0,2.0,2,0,2019-2020
606,Parma,2020-02-09,P,-1.0,Lazio,-4.0,-1.0,0,0,-6.0,5.0,1,0,2019-2020
607,Inter,2020-02-09,V,2.0,Milan,-1.0,5.0,0,0,-14.0,-6.0,2,0,2019-2020
608,Genoa,2020-02-09,V,1.0,Cagliari,3.0,1.0,0,0,-6.0,-2.0,-3,0,2019-2020
609,SPAL,2020-02-09,P,-1.0,Sassuolo,-10.0,-4.0,-1,-1,-24.0,3.0,-2,0,2019-2020
610,Atalanta,2020-02-15,V,1.0,Roma,5.0,6.0,0,0,12.0,-6.0,-3,0,2019-2020
611,Lecce,2020-02-15,V,1.0,SPAL,-12.0,-2.0,1,1,-8.0,-7.0,2,0,2019-2020
612,Bologna,2020-02-15,P,-3.0,Genoa,9.0,0.0,-1,-1,12.0,3.0,-2,2,2019-2020
613,Lazio,2020-02-16,V,1.0,Inter,0.0,-1.0,1,1,-2.0,-2.0,2,0,2019-2020
614,Cagliari,2020-02-16,P,-1.0,Napoli,-4.0,-1.0,0,0,-10.0,3.0,2,0,2019-2020
615,Sassuolo,2020-02-16,P,-1.0,Parma,8.0,-3.0,0,0,38.0,-5.0,2,0,2019-2020
616,Udinese,2020-02-16,N,0.0,Hellas Verona,7.0,0.0,0,0,-2.0,-2.0,-1,0,2019-2020
617,Sampdoria,2020-02-16,P,-4.0,Fiorentina,10.0,2.0,-2,-2,-10.0,1.0,1,0,2019-2020
618,Juventus,2020-02-16,V,2.0,Brescia,22.0,6.0,0,0,36.0,5.0,1,-1,2019-2020
619,Milan,2020-02-17,V,1.0,Torino,8.0,1.0,0,0,0.0,4.0,-1,0,2019-2020
620,Brescia,2020-02-21,P,-1.0,Napoli,1.0,-2.0,-1,-1,-44.0,1.0,0,0,2019-2020
621,SPAL,2020-02-22,P,-1.0,Juventus,-10.0,-2.0,1,1,-10.0,11.0,2,0,2019-2020
622,Bologna,2020-02-22,N,0.0,Udinese,8.0,1.0,0,0,20.0,1.0,-1,0,2019-2020
623,Fiorentina,2020-02-22,N,0.0,Milan,7.0,2.0,1,1,-18.0,-9.0,-2,1,2019-2020
624,Roma,2020-02-23,V,4.0,Lecce,14.0,9.0,0,0,10.0,2.0,1,0,2019-2020
625,Genoa,2020-02-23,P,-1.0,Lazio,3.0,1.0,1,1,16.0,0.0,0,0,2019-2020
626,Lazio,2020-02-29,V,2.0,Bologna,-2.0,1.0,0,0,-8.0,-1.0,-3,0,2019-2020
627,Napoli,2020-02-29,V,1.0,Torino,12.0,5.0,0,0,28.0,-1.0,-2,0,2019-2020
628,Cagliari,2020-03-01,P,-1.0,Roma,-13.0,-6.0,0,1,12.0,3.0,-1,0,2019-2020
629,Lecce,2020-03-01,P,-5.0,Atalanta,-15.0,-6.0,0,0,-30.0,-4.0,0,0,2019-2020
630,Juventus,2020-03-08,V,2.0,Inter,4.0,4.0,0,0,8.0,-9.0,-2,-1,2019-2020
631,Sampdoria,2020-03-08,V,1.0,Hellas Verona,3.0,3.0,1,1,-2.0,-8.0,1,0,2019-2020
632,Udinese,2020-03-08,N,0.0,Fiorentina,5.0,-2.0,0,0,-12.0,2.0,2,0,2019-2020
633,Milan,2020-03-08,P,-1.0,Genoa,11.0,1.0,0,0,24.0,0.0,0,-1,2019-2020
634,Parma,2020-03-08,P,-1.0,SPAL,7.0,0.0,-1,-1,6.0,-2.0,1,0,2019-2020
635,Sassuolo,2020-03-09,V,3.0,Brescia,10.0,3.0,0,0,40.0,5.0,0,0,2019-2020
636,Hellas Verona,2020-06-20,V,1.0,Cagliari,-5.0,1.0,0,0,-6.0,-13.0,-5,0,2019-2020
637,Torino,2020-06-20,N,0.0,Parma,13.0,2.0,0,1,2.0,0.0,-1,0,2019-2020
638,Inter,2020-06-21,V,1.0,Sampdoria,11.0,2.0,0,0,42.0,-7.0,0,0,2019-2020
639,Atalanta,2020-06-21,V,3.0,Sassuolo,0.0,-1.0,0,0,-6.0,18.0,1,0,2019-2020
640,Lecce,2020-06-22,P,-3.0,Milan,-7.0,-11.0,1,1,-22.0,-7.0,0,0,2019-2020
641,Bologna,2020-06-22,P,-2.0,Juventus,6.0,-1.0,-1,-1,-4.0,4.0,-3,-1,2019-2020
642,Fiorentina,2020-06-22,N,0.0,Brescia,17.0,4.0,-1,-1,16.0,-12.0,1,1,2019-2020
643,SPAL,2020-06-23,P,-1.0,Cagliari,-4.0,-1.0,0,0,2.0,6.0,0,0,2019-2020
644,Hellas Verona,2020-06-23,P,-2.0,Napoli,-1.0,-4.0,0,0,-8.0,8.0,0,0,2019-2020
645,Torino,2020-06-23,V,1.0,Udinese,-8.0,0.0,0,0,-28.0,-4.0,0,0,2019-2020
646,Genoa,2020-06-23,P,-3.0,Parma,-5.0,-6.0,1,2,14.0,-2.0,-1,0,2019-2020
647,Roma,2020-06-24,V,1.0,Sampdoria,9.0,1.0,0,0,22.0,-4.0,-1,0,2019-2020
648,Atalanta,2020-06-24,V,1.0,Lazio,18.0,4.0,0,0,20.0,-2.0,0,0,2019-2020
649,Inter,2020-06-24,N,0.0,Sassuolo,5.0,5.0,0,0,-2.0,-2.0,2,1,2019-2020
650,Juventus,2020-06-26,V,4.0,Lecce,17.0,8.0,1,1,26.0,7.0,1,-1,2019-2020
651,Brescia,2020-06-27,N,0.0,Genoa,-5.0,-1.0,-2,-2,-8.0,-1.0,2,0,2019-2020
652,Cagliari,2020-06-27,V,2.0,Torino,-11.0,-1.0,1,1,-20.0,2.0,3,0,2019-2020
653,Lazio,2020-06-27,V,1.0,Fiorentina,1.0,0.0,1,1,8.0,-2.0,3,-1,2019-2020
654,Parma,2020-06-28,P,-1.0,Inter,-14.0,-4.0,0,0,-32.0,1.0,-1,0,2019-2020
655,Napoli,2020-06-28,V,2.0,SPAL,11.0,6.0,0,0,32.0,1.0,-3,0,2019-2020
656,Sampdoria,2020-06-28,P,-1.0,Bologna,6.0,3.0,-1,-1,-6.0,6.0,2,0,2019-2020
657,Milan,2020-06-28,V,2.0,Roma,7.0,4.0,1,1,14.0,-6.0,0,0,2019-2020
658,Udinese,2020-06-28,P,-1.0,Atalanta,-4.0,-8.0,0,0,-36.0,5.0,0,0,2019-2020
659,Sassuolo,2020-06-28,N,0.0,Hellas Verona,13.0,6.0,0,0,38.0,5.0,0,0,2019-2020
660,Torino,2020-06-30,P,-1.0,Lazio,-12.0,-5.0,1,1,-4.0,-3.0,-2,0,2019-2020
661,Genoa,2020-06-30,P,-2.0,Juventus,-14.0,-7.0,0,0,-26.0,11.0,4,0,2019-2020
662,Inter,2020-07-01,V,6.0,Brescia,14.0,9.0,1,1,22.0,3.0,0,0,2019-2020
663,Fiorentina,2020-07-01,P,-2.0,Sassuolo,4.0,-1.0,-1,-1,4.0,6.0,2,0,2019-2020
664,Hellas Verona,2020-07-01,V,1.0,Parma,-3.0,-2.0,1,1,2.0,2.0,-1,0,2019-2020
665,SPAL,2020-07-01,N,0.0,Milan,-34.0,-6.0,0,0,-40.0,0.0,3,1,2019-2020
666,Bologna,2020-07-01,N,0.0,Cagliari,11.0,0.0,0,0,22.0,4.0,1,0,2019-2020
667,Lecce,2020-07-01,P,-1.0,Sampdoria,3.0,2.0,-1,-1,18.0,-4.0,-1,0,2019-2020
668,Atalanta,2020-07-02,V,2.0,Napoli,-6.0,-3.0,0,0,-8.0,4.0,0,0,2019-2020
669,Roma,2020-07-02,P,-2.0,Udinese,4.0,1.0,0,0,2.0,-2.0,1,1,2019-2020
670,Juventus,2020-07-04,V,3.0,Torino,5.0,2.0,-1,-1,4.0,-4.0,2,0,2019-2020
671,Sassuolo,2020-07-04,V,2.0,Lecce,-1.0,4.0,0,0,30.0,-7.0,-1,0,2019-2020
672,Lazio,2020-07-04,P,-3.0,Milan,1.0,-2.0,-1,-1,-6.0,1.0,0,0,2019-2020
673,Udinese,2020-07-05,N,0.0,Genoa,0.0,1.0,0,-1,-6.0,-1.0,1,0,2019-2020
674,Cagliari,2020-07-05,P,-1.0,Atalanta,-17.0,-6.0,-1,-1,-32.0,-4.0,1,1,2019-2020
675,Parma,2020-07-05,P,-1.0,Fiorentina,0.0,-2.0,-1,-1,12.0,-2.0,-2,0,2019-2020
676,Napoli,2020-07-05,V,1.0,Roma,12.0,6.0,0,0,18.0,-9.0,-2,0,2019-2020
677,Inter,2020-07-05,P,-1.0,Bologna,4.0,-1.0,0,1,24.0,4.0,0,0,2019-2020
678,Sampdoria,2020-07-05,V,3.0,SPAL,-3.0,3.0,0,0,-20.0,6.0,0,0,2019-2020
679,Brescia,2020-07-05,V,2.0,Hellas Verona,-7.0,-3.0,0,0,-26.0,-2.0,2,0,2019-2020
680,Milan,2020-07-07,V,2.0,Juventus,0.0,4.0,1,1,-4.0,0.0,3,0,2019-2020
681,Lecce,2020-07-07,V,1.0,Lazio,-7.0,-6.0,0,1,-16.0,-2.0,0,-1,2019-2020
682,Bologna,2020-07-08,P,-1.0,Sassuolo,-5.0,-5.0,0,0,-8.0,0.0,-1,0,2019-2020
683,Fiorentina,2020-07-08,N,0.0,Cagliari,3.0,-2.0,0,0,22.0,4.0,0,0,2019-2020
684,Roma,2020-07-08,V,1.0,Parma,19.0,8.0,-1,-1,14.0,11.0,4,0,2019-2020
685,Atalanta,2020-07-08,V,2.0,Sampdoria,0.0,4.0,0,0,24.0,-9.0,-1,0,2019-2020
686,Torino,2020-07-08,V,2.0,Brescia,4.0,2.0,0,0,12.0,5.0,-2,0,2019-2020
687,Genoa,2020-07-08,P,-1.0,Napoli,-12.0,-6.0,0,0,-32.0,7.0,1,0,2019-2020
688,Hellas Verona,2020-07-09,N,0.0,Inter,-9.0,-3.0,0,0,-16.0,6.0,1,0,2019-2020
689,SPAL,2020-07-09,P,-3.0,Udinese,5.0,-1.0,0,0,2.0,3.0,0,0,2019-2020
690,Brescia,2020-07-11,P,-3.0,Roma,-8.0,-2.0,0,0,-20.0,1.0,-1,0,2019-2020
691,Lazio,2020-07-11,P,-1.0,Sassuolo,-7.0,-2.0,0,0,-26.0,5.0,2,0,2019-2020
692,Juventus,2020-07-11,N,0.0,Atalanta,-6.0,1.0,2,2,-2.0,-5.0,1,0,2019-2020
693,Genoa,2020-07-12,V,2.0,SPAL,12.0,7.0,0,1,10.0,-2.0,-1,0,2019-2020
694,Fiorentina,2020-07-12,N,0.0,Hellas Verona,7.0,-1.0,0,0,4.0,1.0,1,0,2019-2020
695,Udinese,2020-07-12,P,-2.0,Sampdoria,-5.0,-3.0,0,0,-4.0,7.0,-3,0,2019-2020
696,Cagliari,2020-07-12,N,0.0,Lecce,-2.0,-3.0,0,0,6.0,3.0,0,0,2019-2020
697,Parma,2020-07-12,N,0.0,Bologna,3.0,-2.0,0,0,2.0,-9.0,0,0,2019-2020
698,Napoli,2020-07-12,N,0.0,Milan,13.0,5.0,-1,-1,2.0,-5.0,-3,-1,2019-2020
699,Inter,2020-07-13,V,2.0,Torino,13.0,7.0,0,0,20.0,-1.0,2,0,2019-2020
700,Atalanta,2020-07-14,V,4.0,Brescia,8.0,2.0,0,0,34.0,0.0,0,0,2019-2020
701,Sassuolo,2020-07-15,N,0.0,Juventus,1.0,5.0,0,0,14.0,2.0,0,0,2019-2020
702,Milan,2020-07-15,V,2.0,Parma,15.0,4.0,0,0,14.0,-2.0,-1,0,2019-2020
703,Sampdoria,2020-07-15,V,3.0,Cagliari,-4.0,2.0,0,0,-4.0,-2.0,-2,0,2019-2020
704,Roma,2020-07-15,V,1.0,Hellas Verona,12.0,3.0,1,1,-28.0,13.0,1,0,2019-2020
705,Bologna,2020-07-15,N,0.0,Napoli,4.0,-2.0,0,0,-4.0,12.0,0,0,2019-2020
706,Udinese,2020-07-15,N,0.0,Lazio,-1.0,2.0,0,0,-14.0,2.0,-1,0,2019-2020
707,Lecce,2020-07-15,P,-2.0,Fiorentina,-3.0,-5.0,0,-1,-4.0,8.0,1,0,2019-2020
708,SPAL,2020-07-16,P,-4.0,Inter,-4.0,-6.0,0,0,-22.0,3.0,-1,0,2019-2020
709,Torino,2020-07-16,V,3.0,Genoa,-2.0,0.0,0,0,-16.0,5.0,0,0,2019-2020
710,Cagliari,2020-07-18,N,0.0,Sassuolo,-10.0,-1.0,0,0,-50.0,-1.0,2,1,2019-2020
711,Hellas Verona,2020-07-18,N,0.0,Atalanta,-5.0,1.0,0,0,-8.0,1.0,0,0,2019-2020
