,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
78,Empoli,2021-10-17,P,-0.20000000000000018,Atalanta,1.4000000000000004,0.39999999999999947,0.0,0.0,-3.799999999999997,-0.6000000000000014,-1.2000000000000002,0.0,1.0,6.0,2.0
79,Venezia,2021-10-18,V,-0.3999999999999999,Fiorentina,-0.40000000000000036,-0.6000000000000001,-0.39999999999999997,-0.39999999999999997,-11.799999999999997,0.0,0.19999999999999973,-0.2,0.0,8.0,2.0
80,Sampdoria,2021-10-22,V,0.40000000000000013,Spezia,0.1999999999999993,0.6000000000000001,0.2,0.2,2.799999999999997,1.799999999999999,1.0,-0.2,6.0,1.0,1.0
81,Torino,2021-10-22,V,-1.0,Genoa,0.1999999999999993,-0.19999999999999973,-0.6,-0.6,5.200000000000003,6.800000000000001,0.3999999999999999,0.2,6.0,0.0,1.0
82,Salernitana,2021-10-23,P,-0.5999999999999999,Empoli,-1.8000000000000007,-1.0000000000000004,-0.2,-0.2,0.3999999999999986,4.199999999999999,0.5999999999999996,0.0,0.0,2.0,0.0
83,Sassuolo,2021-10-23,V,0.19999999999999996,Venezia,3.3999999999999986,2.0,0.0,0.0,11.0,0.5999999999999996,-0.19999999999999973,0.0,8.0,0.0,1.0
84,Bologna,2021-10-23,P,-0.40000000000000013,Milan,0.7999999999999989,0.5999999999999996,0.0,0.2,-1.5999999999999943,-0.8000000000000007,1.7999999999999998,0.0,0.0,7.0,0.0
85,Inter,2021-10-24,N,0.9999999999999998,Juventus,2.5999999999999996,0.6000000000000005,0.2,0.39999999999999997,-3.1999999999999957,-1.5999999999999996,0.7999999999999998,0.0,1.0,5.0,0.0
86,Roma,2021-10-24,N,-1.2000000000000002,Napoli,1.1999999999999993,-2.1999999999999997,0.0,-0.19999999999999996,-2.3999999999999986,6.399999999999999,1.5999999999999999,0.2,2.0,5.0,0.0
87,Fiorentina,2021-10-24,V,-0.19999999999999996,Cagliari,1.1999999999999993,1.2000000000000002,0.2,0.2,19.0,0.1999999999999993,1.0,0.2,2.0,3.0,1.0
88,Atalanta,2021-10-24,N,1.4000000000000001,Udinese,4.999999999999998,1.4,0.2,0.4,8.799999999999997,1.1999999999999993,0.19999999999999973,-0.2,6.0,1.0,1.0
89,Hellas Verona,2021-10-24,V,0.9999999999999998,Lazio,-4.800000000000001,-0.20000000000000018,0.0,0.0,-8.399999999999999,5.800000000000001,-0.19999999999999973,-0.4,1.0,6.0,0.0
90,Milan,2021-10-26,V,1.7999999999999998,Torino,2.1999999999999993,1.4000000000000004,0.2,0.2,6.799999999999997,-7.400000000000002,-1.2000000000000002,-0.2,3.0,2.0,1.0
91,Spezia,2021-10-26,N,-0.6000000000000001,Genoa,-1.1999999999999993,0.6000000000000005,-0.4,-0.4,7.200000000000003,-4.800000000000001,-1.4,0.2,0.0,8.0,0.0
92,Venezia,2021-10-26,P,-0.3999999999999999,Salernitana,-5.4,-2.4000000000000004,0.2,0.2,-6.399999999999999,-1.6000000000000014,0.19999999999999973,0.0,0.0,0.0,1.0
93,Udinese,2021-10-27,N,-2.0,Hellas Verona,1.200000000000001,-1.4000000000000004,-0.4,-0.4,-5.600000000000001,-1.9999999999999982,0.3999999999999999,0.2,5.0,1.0,0.0
94,Cagliari,2021-10-27,P,-0.19999999999999996,Roma,-6.199999999999999,-1.4,-0.2,-0.4,-11.799999999999997,-1.0,-1.5999999999999996,-0.2,1.0,5.0,2.0
95,Empoli,2021-10-27,P,0.40000000000000013,Inter,-1.0,0.8000000000000003,0.0,-0.19999999999999996,-5.199999999999996,-1.6000000000000014,-0.8000000000000003,0.0,0.0,8.0,2.0
96,Lazio,2021-10-27,V,0.40000000000000013,Fiorentina,-2.4000000000000004,0.6000000000000001,0.0,0.0,-4.200000000000003,1.1999999999999993,0.3999999999999999,0.0,5.0,1.0,0.0
97,Sampdoria,2021-10-27,P,-0.6000000000000001,Atalanta,-5.4,-1.7999999999999998,0.0,-0.2,-5.799999999999997,-1.6000000000000014,0.3999999999999999,0.0,4.0,3.0,1.0
98,Juventus,2021-10-27,P,0.19999999999999996,Sassuolo,1.5999999999999996,-0.6000000000000005,0.2,0.2,-5.200000000000003,1.4000000000000021,-0.5999999999999996,0.0,6.0,0.0,1.0
99,Napoli,2021-10-28,V,-0.19999999999999996,Bologna,-2.8000000000000007,-0.8000000000000007,0.0,0.19999999999999996,3.3999999999999986,-3.200000000000001,-1.2,-0.4,5.0,2.0,1.0
100,Hellas Verona,2021-10-30,V,1.4,Juventus,-3.0,1.2000000000000002,0.19999999999999996,0.19999999999999996,0.20000000000000284,-4.399999999999999,-0.20000000000000018,0.0,1.0,5.0,1.0
101,Torino,2021-10-30,V,-1.0,Sampdoria,2.8000000000000007,0.6000000000000001,-0.2,-0.2,6.399999999999999,6.600000000000001,0.0,0.2,2.0,3.0,0.0
102,Atalanta,2021-10-30,N,0.7999999999999998,Lazio,5.800000000000001,0.39999999999999947,0.0,0.2,4.799999999999997,-0.7999999999999989,-0.3999999999999999,-0.4,4.0,1.0,1.0
103,Sassuolo,2021-10-31,P,0.0,Empoli,1.5999999999999996,2.1999999999999997,-0.2,-0.2,16.4,-0.20000000000000284,1.0,-0.2,7.0,1.0,1.0
104,Salernitana,2021-10-31,P,-0.40000000000000013,Napoli,1.1999999999999993,1.1999999999999997,-0.6,-1.0,-8.399999999999999,5.399999999999999,0.5999999999999999,0.0,0.0,8.0,2.0
105,Genoa,2021-10-31,N,0.6000000000000001,Venezia,6.4,0.7999999999999998,0.2,0.2,2.799999999999997,1.1999999999999993,0.3999999999999999,-0.2,8.0,0.0,1.0
106,Inter,2021-10-31,V,0.40000000000000013,Udinese,2.0,0.0,0.4,0.6,12.200000000000003,-0.40000000000000213,0.6000000000000001,-0.2,5.0,1.0,1.0
107,Roma,2021-10-31,P,-1.4000000000000001,Milan,2.9999999999999982,-1.1999999999999997,0.0,0.2,-0.7999999999999972,0.8000000000000007,1.1999999999999997,0.0,2.0,4.0,0.0
108,Fiorentina,2021-10-31,V,0.0,Spezia,-2.1999999999999993,-1.8000000000000003,0.4,0.4,3.8000000000000043,0.5999999999999996,1.1999999999999997,0.0,7.0,0.0,1.0
109,Bologna,2021-11-01,V,0.6000000000000001,Cagliari,6.799999999999999,2.0,0.0,0.2,9.0,-4.4,0.20000000000000018,0.4,2.0,3.0,1.0
110,Empoli,2021-11-05,N,0.3999999999999999,Genoa,-4.4,0.0,0.2,0.2,-10.200000000000003,-1.2000000000000028,-0.20000000000000018,0.2,0.0,8.0,1.0
111,Cagliari,2021-11-06,P,-1.4,Atalanta,-7.0,-1.0,-0.2,-0.4,-18.0,-1.0,0.8,0.2,4.0,4.0,2.0
112,Spezia,2021-11-06,V,-0.3999999999999999,Torino,-1.4000000000000004,0.19999999999999973,0.0,0.0,0.4000000000000057,-6.800000000000001,-0.9999999999999998,0.2,1.0,6.0,0.0
113,Juventus,2021-11-06,V,-0.3999999999999999,Fiorentina,-3.0,-1.4000000000000004,-0.2,-0.2,-5.0,4.199999999999999,-1.0,-0.2,5.0,1.0,0.0
114,Sampdoria,2021-11-07,P,-0.20000000000000018,Bologna,-2.4000000000000004,-2.2,0.2,0.2,-1.6000000000000014,4.4,0.6000000000000001,-0.2,2.0,6.0,1.0
115,Milan,2021-11-07,N,1.0,Inter,-2.4000000000000004,0.0,0.0,0.0,-4.799999999999997,-0.8000000000000007,1.0,0.2,1.0,6.0,0.0
116,Udinese,2021-11-07,V,-0.6000000000000001,Sassuolo,-0.1999999999999993,-1.1999999999999993,-0.2,-0.2,-17.4,-0.3999999999999986,-1.0,0.2,4.0,1.0,0.0
117,Venezia,2021-11-07,V,-0.19999999999999996,Roma,-10.999999999999998,-1.0,0.0,-0.2,-9.200000000000003,0.8000000000000007,-0.7999999999999998,0.2,0.0,8.0,2.0
118,Napoli,2021-11-07,N,-1.2000000000000002,Hellas Verona,3.799999999999999,-1.0,0.0,0.4,6.600000000000001,-5.6,-0.8,0.2,6.0,1.0,1.0
119,Lazio,2021-11-07,V,0.19999999999999996,Salernitana,-3.8000000000000007,0.0,0.2,0.2,2.3999999999999986,0.1999999999999993,1.4000000000000001,0.2,8.0,0.0,1.0
120,Atalanta,2021-11-20,V,1.4,Spezia,4.200000000000001,1.4,0.0,0.2,7.0,-0.6000000000000014,-0.40000000000000013,0.0,7.0,0.0,1.0
121,Fiorentina,2021-11-20,V,-1.0000000000000002,Milan,1.5999999999999996,0.3999999999999999,0.0,0.0,4.399999999999999,-2.200000000000001,0.20000000000000018,0.2,2.0,4.0,2.0
122,Lazio,2021-11-20,P,1.0,Juventus,-1.4000000000000004,1.5999999999999996,0.0,0.0,-0.7999999999999972,-3.1999999999999993,0.19999999999999973,0.2,2.0,5.0,0.0
123,Inter,2021-11-21,V,0.19999999999999996,Napoli,-0.3999999999999986,1.1999999999999997,0.0,0.0,-3.3999999999999986,0.40000000000000036,0.6000000000000001,-0.2,4.0,1.0,1.0
124,Salernitana,2021-11-21,P,0.0,Sampdoria,3.200000000000001,1.0,0.0,0.0,3.6000000000000014,0.5999999999999996,-1.5999999999999999,0.0,0.0,8.0,2.0
125,Bologna,2021-11-21,P,0.19999999999999996,Venezia,5.199999999999999,2.0,-0.2,-0.2,8.799999999999997,-5.6,0.20000000000000018,0.2,8.0,0.0,1.0
126,Sassuolo,2021-11-21,N,1.0,Cagliari,4.800000000000001,2.2,0.0,0.0,17.0,3.0,1.0,-0.2,2.0,0.0,1.0
127,Genoa,2021-11-21,P,0.3999999999999999,Roma,-5.599999999999998,-0.40000000000000036,0.4,0.2,-2.6000000000000014,0.1999999999999993,-0.7999999999999998,0.0,0.0,5.0,2.0
128,Torino,2021-11-22,V,0.0,Udinese,2.0,0.0,0.0,0.0,21.0,5.4,0.5999999999999996,-0.4,5.0,2.0,1.0
