,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
300,Fiorentina,2022-04-03,V,0.4,Empoli,3.8000000000000007,1.7999999999999998,0.0,0.0,3.200000000000003,-2.1999999999999993,-0.40000000000000013,0.2,7.0,2.0,1.0
301,Sampdoria,2022-04-03,P,-0.40000000000000013,Roma,-5.0,-1.4000000000000004,-0.4,-0.2,-1.7999999999999972,-1.6000000000000014,-1.8,-0.2,2.0,4.0,2.0
302,Atalanta,2022-04-03,P,-0.3999999999999999,Napoli,-0.8000000000000007,-1.4,0.0,0.0,-2.799999999999997,2.5999999999999996,0.6000000000000001,0.2,4.0,4.0,0.0
303,Milan,2022-04-04,N,0.6,Bologna,4.199999999999999,2.2,0.0,0.0,3.0,-2.3999999999999986,-0.19999999999999973,-0.2,8.0,0.0,1.0
304,Hellas Verona,2022-04-04,V,1.2000000000000002,Genoa,-2.0,1.2000000000000002,0.2,0.4,12.0,-0.5999999999999996,1.0,0.2,1.0,5.0,1.0
305,Empoli,2022-04-09,N,-0.20000000000000007,Spezia,-2.8000000000000007,-2.0,0.0,-0.2,1.6000000000000014,2.6000000000000014,-0.6000000000000001,0.0,2.0,2.0,1.0
306,Cagliari,2022-04-09,P,-1.2000000000000002,Juventus,-0.7999999999999989,-1.8000000000000003,-0.2,-0.2,-5.399999999999999,4.800000000000001,0.8000000000000003,0.0,1.0,8.0,2.0
307,Inter,2022-04-09,V,0.20000000000000018,Hellas Verona,5.199999999999999,1.3999999999999995,0.0,-0.2,3.8000000000000043,0.1999999999999993,-0.7999999999999998,-0.4,8.0,0.0,1.0
308,Genoa,2022-04-10,P,-1.2,Lazio,-1.200000000000001,-0.7999999999999998,-0.4,-0.4,-16.800000000000004,2.1999999999999993,0.20000000000000018,0.0,2.0,6.0,0.0
309,Venezia,2022-04-10,P,-1.6,Udinese,-3.3999999999999986,-3.4,0.0,0.2,2.200000000000003,0.0,-0.8000000000000003,0.0,0.0,9.0,1.0
310,Sassuolo,2022-04-10,V,1.4000000000000001,Atalanta,2.200000000000001,2.2,0.8,0.8,-2.5999999999999943,-1.5999999999999996,0.20000000000000018,0.0,0.0,8.0,0.0
311,Torino,2022-04-10,N,-0.20000000000000007,Milan,-6.6,-1.8000000000000003,0.2,0.2,1.2000000000000028,6.799999999999999,1.2000000000000002,0.0,2.0,4.0,1.0
312,Napoli,2022-04-10,P,0.8,Fiorentina,-3.1999999999999993,-0.39999999999999947,0.2,0.2,0.3999999999999986,-0.5999999999999996,1.0000000000000002,-0.2,5.0,2.0,1.0
313,Roma,2022-04-10,V,0.7999999999999999,Salernitana,0.40000000000000036,0.0,0.4,0.4,1.6000000000000014,1.4000000000000004,1.2000000000000002,0.0,9.0,0.0,1.0
314,Bologna,2022-04-11,V,-0.6000000000000001,Sampdoria,-1.5999999999999996,-0.7999999999999998,0.0,-0.2,-2.0,3.0,1.2000000000000002,0.2,7.0,2.0,0.0
315,Spezia,2022-04-15,P,-1.2,Inter,-4.4,-1.7999999999999998,-0.2,0.0,-7.0,0.20000000000000284,-0.7999999999999998,0.0,0.0,8.0,2.0
316,Milan,2022-04-15,V,0.19999999999999996,Genoa,6.800000000000001,1.7999999999999998,0.0,0.0,8.399999999999999,-1.5999999999999996,-0.6000000000000001,-0.2,6.0,1.0,1.0
317,Sampdoria,2022-04-16,P,0.20000000000000007,Salernitana,-1.799999999999999,-0.5999999999999996,0.0,0.2,7.399999999999999,-0.1999999999999993,-2.2,-0.2,9.0,0.0,1.0
318,Cagliari,2022-04-16,V,-2.2,Sassuolo,-6.199999999999999,-4.6000000000000005,-0.8,-0.8,-5.600000000000001,1.4000000000000004,0.20000000000000018,0.0,0.0,2.0,0.0
319,Udinese,2022-04-16,V,2.0,Empoli,8.2,3.1999999999999997,0.2,0.2,-3.0,0.8000000000000007,0.7999999999999998,0.0,7.0,2.0,1.0
320,Fiorentina,2022-04-16,V,0.9999999999999999,Venezia,3.0,2.4000000000000004,0.0,-0.2,9.399999999999999,-4.799999999999999,-2.2,-0.2,8.0,1.0,1.0
321,Lazio,2022-04-16,N,1.6,Torino,1.4000000000000004,1.5999999999999996,0.2,0.2,8.199999999999996,-8.6,-1.0,0.2,4.0,2.0,1.0
322,Juventus,2022-04-16,N,1.2000000000000002,Bologna,4.0,2.4,0.2,0.2,5.0,-1.5999999999999996,0.19999999999999973,0.0,9.0,0.0,1.0
323,Napoli,2022-04-18,N,0.19999999999999996,Roma,1.1999999999999993,0.40000000000000036,0.0,0.0,4.0,-5.600000000000001,-2.2,-0.2,5.0,2.0,1.0
324,Atalanta,2022-04-18,P,-0.20000000000000007,Hellas Verona,5.6,0.3999999999999999,-0.2,-0.4,1.6000000000000014,0.5999999999999996,-1.4,-0.2,7.0,1.0,1.0
325,Udinese,2022-04-20,P,1.6,Salernitana,3.799999999999999,1.9999999999999996,0.2,0.2,0.0,-1.3999999999999986,-2.8,0.0,8.0,0.0,1.0
326,Venezia,2022-04-23,P,-0.6000000000000001,Atalanta,-6.199999999999999,-0.7999999999999998,0.0,0.0,-9.599999999999994,3.9999999999999982,1.8,0.2,0.0,9.0,0.0
327,Inter,2022-04-23,V,0.0,Roma,4.199999999999999,0.5999999999999996,0.0,0.0,0.20000000000000284,0.1999999999999993,-0.8000000000000003,-0.2,3.0,0.0,1.0
328,Hellas Verona,2022-04-23,N,0.19999999999999996,Sampdoria,2.4000000000000004,0.8000000000000003,0.0,0.0,-2.3999999999999986,-1.4000000000000004,2.0,0.4,1.0,7.0,1.0
329,Torino,2022-04-23,V,-0.4,Spezia,0.40000000000000036,-0.6000000000000001,0.2,0.0,9.0,2.599999999999998,0.19999999999999973,0.0,6.0,2.0,1.0
330,Salernitana,2022-04-24,V,-0.5999999999999999,Fiorentina,-8.000000000000002,-2.8,0.0,0.0,-16.200000000000003,5.000000000000002,3.2,0.2,0.0,9.0,1.0
331,Bologna,2022-04-24,N,-1.7999999999999998,Udinese,-4.200000000000001,-2.6,-0.2,-0.2,4.0,-6.199999999999999,0.6000000000000001,0.39999999999999997,1.0,4.0,0.0
332,Lazio,2022-04-24,P,0.8,Milan,-6.800000000000001,-0.6000000000000005,0.2,0.2,2.6000000000000014,0.20000000000000107,0.5999999999999999,0.0,3.0,5.0,0.0
333,Empoli,2022-04-24,V,-1.6,Napoli,-3.1999999999999993,-1.8000000000000003,-0.2,-0.2,-3.1999999999999957,0.5999999999999996,0.40000000000000013,0.2,2.0,7.0,2.0
334,Genoa,2022-04-24,V,-0.19999999999999996,Cagliari,0.0,0.19999999999999973,0.0,0.0,-4.0,-1.799999999999999,-0.7999999999999998,0.0,6.0,2.0,1.0
335,Sassuolo,2022-04-25,P,0.19999999999999996,Juventus,-1.4000000000000021,0.40000000000000036,0.0,0.0,0.0,1.799999999999999,0.6000000000000001,0.0,1.0,6.0,0.0
336,Bologna,2022-04-27,V,-1.0,Inter,-2.1999999999999993,-2.2,-0.2,-0.2,1.7999999999999972,-4.0,0.19999999999999996,0.4,2.0,6.0,2.0
337,Atalanta,2022-04-27,N,0.5999999999999999,Torino,5.800000000000001,-0.3999999999999999,-0.4,-0.4,-2.0,-3.5999999999999996,-0.3999999999999999,0.0,4.0,2.0,1.0
338,Fiorentina,2022-04-27,P,-1.2000000000000002,Udinese,0.1999999999999993,-0.1999999999999993,-0.2,-0.2,13.0,-6.199999999999999,0.20000000000000018,0.0,6.0,1.0,1.0
339,Napoli,2022-04-30,V,0.3999999999999999,Sassuolo,-2.799999999999999,-1.4000000000000004,0.2,0.2,-2.799999999999997,0.20000000000000107,-0.20000000000000018,-0.2,4.0,1.0,1.0
340,Cagliari,2022-04-30,P,-0.4,Hellas Verona,-2.5999999999999996,-1.0,0.0,-0.2,-8.800000000000004,3.6000000000000014,-0.20000000000000018,0.2,3.0,3.0,1.0
341,Spezia,2022-04-30,P,-0.8,Lazio,-2.4000000000000004,-2.4,0.2,0.2,-10.800000000000004,5.799999999999999,0.5999999999999999,0.0,0.0,9.0,1.0
342,Sampdoria,2022-04-30,V,0.20000000000000007,Genoa,-3.200000000000001,-0.20000000000000018,0.0,0.2,8.0,1.0,-0.40000000000000013,-0.2,4.0,1.0,0.0
343,Roma,2022-05-01,N,0.20000000000000018,Bologna,0.0,1.2000000000000002,0.0,0.0,2.3999999999999986,5.0,1.0,-0.2,5.0,3.0,1.0
344,Milan,2022-05-01,V,-0.19999999999999996,Fiorentina,4.0,-0.20000000000000018,0.0,0.0,-9.199999999999996,-1.4000000000000004,-1.0,0.0,4.0,3.0,1.0
345,Juventus,2022-05-01,V,0.9999999999999999,Venezia,7.800000000000001,3.3999999999999995,0.0,0.0,8.399999999999999,-7.799999999999999,-1.4,0.0,8.0,0.0,1.0
346,Empoli,2022-05-01,P,-0.6000000000000001,Torino,1.4000000000000004,-0.20000000000000018,-0.6000000000000001,-0.6000000000000001,-2.200000000000003,-2.4000000000000004,0.7999999999999998,0.2,1.0,7.0,0.0
347,Udinese,2022-05-01,P,0.3999999999999999,Inter,-1.8000000000000007,-0.5999999999999996,0.0,0.0,-10.0,7.6,0.19999999999999973,0.0,1.0,6.0,2.0
348,Atalanta,2022-05-02,N,0.8,Salernitana,7.800000000000001,0.6000000000000001,0.4,0.4,15.200000000000003,-4.999999999999998,-3.0,-0.2,9.0,0.0,1.0
349,Salernitana,2022-05-05,V,0.7999999999999999,Venezia,-0.40000000000000036,1.4,0.0,0.0,-7.799999999999997,3.3999999999999986,1.5999999999999996,0.0,1.0,0.0,1.0
350,Genoa,2022-05-06,V,-0.9999999999999999,Juventus,-7.800000000000001,-2.0,0.0,0.2,-1.3999999999999986,7.0,-0.19999999999999996,-0.2,1.0,7.0,2.0
351,Inter,2022-05-06,V,1.2000000000000002,Empoli,5.600000000000001,2.4000000000000004,-0.2,0.0,6.399999999999999,-2.3999999999999986,-1.7999999999999998,-0.6,9.0,0.0,1.0
352,Torino,2022-05-07,P,-0.7999999999999998,Napoli,-1.5999999999999996,-1.0,0.6,0.6,1.3999999999999986,-0.7999999999999989,0.19999999999999996,0.0,0.0,5.0,0.0
353,Lazio,2022-05-07,V,1.7999999999999998,Sampdoria,6.800000000000001,4.0,0.2,0.0,4.200000000000003,-5.399999999999999,-0.8000000000000003,0.0,7.0,1.0,1.0
354,Sassuolo,2022-05-07,N,-1.2000000000000002,Udinese,2.0,-0.20000000000000018,0.0,0.0,11.0,-8.399999999999999,0.0,0.2,1.0,5.0,0.0
355,Venezia,2022-05-08,V,-0.5999999999999999,Bologna,-2.8000000000000007,-0.40000000000000036,0.0,0.0,-5.0,4.799999999999999,2.2,-0.2,1.0,8.0,1.0
356,Salernitana,2022-05-08,N,0.8,Cagliari,1.0,0.7999999999999998,0.2,0.2,-9.199999999999996,-1.3999999999999986,1.1999999999999997,-0.2,0.0,8.0,0.0
357,Hellas Verona,2022-05-08,P,0.19999999999999996,Milan,-6.6,-1.6,0.0,0.0,-6.200000000000003,3.0,0.7999999999999998,0.0,1.0,6.0,2.0
358,Spezia,2022-05-08,P,-0.8,Atalanta,-7.6,-1.0,-0.2,-0.2,-14.200000000000003,3.3999999999999986,0.0,0.0,0.0,8.0,1.0
359,Fiorentina,2022-05-09,V,0.0,Roma,1.8000000000000007,0.0,0.0,0.0,9.599999999999994,0.5999999999999996,0.3999999999999999,-0.2,1.0,6.0,2.0
360,Hellas Verona,2022-05-14,P,-0.8,Torino,3.0,0.3999999999999999,-1.0,-1.0,-4.399999999999999,2.4000000000000004,0.19999999999999996,0.0,1.0,3.0,0.0
361,Udinese,2022-05-14,P,0.40000000000000013,Spezia,5.0,3.0000000000000004,-0.2,-0.2,6.0,5.200000000000001,0.3999999999999999,0.0,8.0,1.0,0.0
362,Roma,2022-05-14,N,-0.5999999999999999,Venezia,2.4000000000000004,0.8000000000000003,-0.2,-0.4,8.600000000000001,-0.40000000000000036,-1.2000000000000002,0.0,8.0,1.0,1.0
363,Empoli,2022-05-14,N,0.0,Salernitana,0.1999999999999993,0.0,-0.2,-0.2,6.399999999999999,-0.7999999999999989,-0.20000000000000018,0.2,3.0,0.0,2.0
364,Bologna,2022-05-15,P,0.6000000000000001,Sassuolo,-2.8000000000000007,-0.5999999999999996,0.0,0.0,-4.199999999999996,-1.6000000000000014,0.3999999999999999,0.2,4.0,3.0,1.0
365,Napoli,2022-05-15,V,1.5999999999999999,Genoa,0.40000000000000036,0.7999999999999998,0.0,0.0,5.799999999999997,-4.199999999999999,0.0,0.0,6.0,1.0,1.0
366,Cagliari,2022-05-15,P,-1.8,Inter,-11.000000000000002,-3.8,0.0,-0.2,-9.800000000000004,6.800000000000001,0.40000000000000013,0.2,1.0,7.0,2.0
367,Milan,2022-05-15,V,-0.7999999999999998,Atalanta,-1.6000000000000014,1.0,-0.4,-0.4,-4.600000000000001,-1.5999999999999996,-0.9999999999999998,0.0,3.0,3.0,0.0
368,Juventus,2022-05-16,N,-0.7999999999999998,Lazio,2.8000000000000007,-2.2,-0.2,-0.2,-6.0,2.200000000000001,0.40000000000000013,0.0,6.0,2.0,0.0
369,Sampdoria,2022-05-16,V,-0.20000000000000007,Fiorentina,-6.2,-2.8,-0.2,0.0,-14.399999999999999,0.1999999999999993,-0.7999999999999998,0.0,4.0,3.0,2.0
370,Torino,2022-05-20,P,1.4,Roma,-7.800000000000001,-2.5999999999999996,1.0,1.0,0.0,1.8000000000000007,0.40000000000000013,-0.2,2.0,7.0,1.0
371,Fiorentina,2022-05-21,V,-0.8,Juventus,-2.6000000000000014,-0.19999999999999973,0.4,0.4,16.400000000000006,-1.4000000000000004,0.20000000000000018,0.0,1.0,6.0,1.0
372,Genoa,2022-05-21,P,-1.0,Bologna,1.0,-1.2000000000000002,0.0,0.2,-7.799999999999997,8.8,0.19999999999999996,0.0,4.0,2.0,0.0
373,Lazio,2022-05-21,N,0.8,Hellas Verona,1.200000000000001,2.4000000000000004,0.2,0.2,10.800000000000004,-5.800000000000001,-0.8,0.0,6.0,2.0,0.0
374,Atalanta,2022-05-21,P,0.6000000000000001,Empoli,4.200000000000001,-0.40000000000000036,0.2,0.2,13.799999999999997,0.0,0.0,-0.4,7.0,1.0,1.0
375,Salernitana,2022-05-22,P,-0.6000000000000001,Udinese,1.4000000000000004,-0.7999999999999998,0.4,0.6,-2.200000000000003,-7.600000000000001,-0.20000000000000018,0.2,1.0,8.0,2.0
376,Sassuolo,2022-05-22,P,-0.8,Milan,-0.7999999999999989,-0.7999999999999998,0.0,0.0,3.6000000000000014,-0.6000000000000014,0.0,0.2,2.0,5.0,2.0
377,Spezia,2022-05-22,P,-0.8,Napoli,-5.4,-2.0,-0.2,-0.19999999999999996,-20.200000000000003,-0.40000000000000036,0.40000000000000013,0.0,2.0,7.0,1.0
378,Inter,2022-05-22,V,1.2000000000000002,Sampdoria,12.399999999999999,4.6,0.0,0.0,9.399999999999999,-4.799999999999999,-0.40000000000000013,-0.2,7.0,1.0,1.0
379,Venezia,2022-05-22,N,0.8,Cagliari,-2.200000000000001,0.20000000000000018,0.2,0.4,-2.799999999999997,-2.6000000000000014,1.7999999999999998,0.2,0.0,8.0,2.0
