,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
604,Atalanta,2021-02-21,V,-0.40000000000000013,Napoli,-0.40000000000000036,-0.40000000000000036,-0.2,-0.2,27.399999999999977,39.200000000000045,1.2000000000000002,7.799999999999997,7.4,-0.40000000000000013,0.0,20_21,4.0,5.0
605,Milan,2021-02-21,P,-0.6000000000000001,Inter,0.0,-0.39999999999999947,0.2,0.39999999999999997,-90.19999999999999,-87.60000000000002,-0.40000000000000036,-0.19999999999999574,2.5999999999999996,0.6000000000000001,0.2,20_21,2.0,7.0
606,Benevento,2021-02-21,N,-1.0,Roma,-1.0,-1.3999999999999995,0.0,0.0,-161.0,-159.20000000000005,-0.5999999999999996,-9.0,-1.799999999999999,-0.20000000000000018,0.2,20_21,0.0,10.0
607,Parma,2021-02-21,N,-0.4,Udinese,3.2,0.3999999999999999,0.0,0.0,73.39999999999998,83.39999999999998,0.6000000000000005,8.399999999999999,0.5999999999999996,-0.19999999999999973,-0.2,20_21,4.0,5.0
608,Juventus,2021-02-22,V,0.0,Crotone,4.0,2.0,0.0,0.0,165.40000000000003,150.2,1.4000000000000004,7.799999999999997,-2.5999999999999996,0.7999999999999998,0.0,20_21,8.0,0.0
609,Spezia,2021-02-27,N,0.7999999999999999,Parma,-0.6000000000000014,0.5999999999999996,-0.4,-0.4,1.400000000000034,9.199999999999989,-0.7999999999999998,3.200000000000003,0.0,-0.6000000000000001,0.2,20_21,2.0,4.0
610,Bologna,2021-02-27,V,-0.40000000000000013,Lazio,-4.0,-2.8,0.0,0.0,-118.39999999999998,-131.19999999999993,0.0,-11.0,-1.1999999999999993,-0.6000000000000001,0.2,20_21,2.0,5.0
611,Hellas Verona,2021-02-27,N,-0.19999999999999996,Juventus,-7.199999999999999,-2.8,0.0,0.0,-144.59999999999997,-104.99999999999994,-2.3999999999999995,-5.600000000000001,1.200000000000001,-0.20000000000000018,0.0,20_21,2.0,7.0
612,Crotone,2021-02-28,P,0.2,Cagliari,0.40000000000000036,0.7999999999999998,0.0,0.0,63.0,42.0,-0.7999999999999998,5.200000000000003,0.1999999999999993,-0.7999999999999998,0.0,20_21,0.0,10.0
613,Udinese,2021-02-28,V,-0.3999999999999999,Fiorentina,-3.0,-1.6000000000000005,0.2,0.2,12.0,3.3999999999999773,-0.40000000000000036,-0.4000000000000057,-0.40000000000000036,-0.19999999999999973,-0.2,20_21,2.0,7.0
614,Inter,2021-02-28,V,0.7999999999999998,Genoa,3.200000000000001,2.1999999999999997,0.2,0.2,124.60000000000002,95.0,0.5999999999999996,5.199999999999996,-2.5999999999999996,-0.6000000000000001,0.0,20_21,9.0,1.0
615,Napoli,2021-02-28,V,0.5999999999999999,Benevento,3.5999999999999996,0.6000000000000001,0.0,0.0,196.8,204.20000000000005,1.4000000000000004,14.399999999999999,-2.4000000000000004,-0.3999999999999999,-0.2,20_21,11.0,0.0
616,Sampdoria,2021-02-28,P,-1.4,Atalanta,-3.4000000000000004,-1.4,-0.2,-0.2,-83.60000000000002,-78.0,1.2000000000000002,-5.599999999999994,-1.5999999999999979,0.40000000000000013,0.0,20_21,4.0,5.0
617,Roma,2021-02-28,P,0.8,Milan,-0.5999999999999996,-1.0,0.0,-0.2,41.39999999999998,50.00000000000006,1.2000000000000002,1.2000000000000028,2.3999999999999986,0.19999999999999996,0.0,20_21,3.0,6.0
618,Juventus,2021-03-02,V,0.40000000000000013,Spezia,3.4000000000000004,0.5999999999999996,0.0,0.0,112.0,100.19999999999999,1.0,2.8000000000000043,-3.8000000000000007,-0.6000000000000001,-0.2,20_21,11.0,0.0
619,Benevento,2021-03-03,P,-0.7999999999999999,Hellas Verona,-2.8,0.20000000000000018,0.0,0.0,-94.0,-121.59999999999997,-3.0,-13.200000000000003,-1.4000000000000004,0.3999999999999999,0.2,20_21,1.0,8.0
620,Cagliari,2021-03-03,V,-1.0,Bologna,-1.4000000000000004,-2.0,0.2,0.2,-80.0,-68.0,-0.40000000000000036,-4.600000000000001,3.0,1.4,0.0,20_21,5.0,3.0
621,Atalanta,2021-03-03,V,2.0,Crotone,1.8000000000000007,1.4000000000000004,0.0,0.0,125.40000000000003,146.79999999999995,-0.40000000000000036,8.799999999999997,3.200000000000001,0.6000000000000001,0.0,20_21,10.0,0.0
622,Milan,2021-03-03,N,0.40000000000000013,Udinese,4.6,3.8,0.2,0.39999999999999997,59.0,60.19999999999999,2.0,5.800000000000004,-0.40000000000000036,-0.20000000000000018,-0.2,20_21,4.0,2.0
623,Fiorentina,2021-03-03,P,-0.3999999999999999,Roma,-2.5999999999999996,-1.4,-0.2,-0.2,-103.59999999999997,-105.39999999999998,-1.7999999999999998,-8.600000000000001,-1.1999999999999993,0.7999999999999998,0.4,20_21,2.0,7.0
624,Sassuolo,2021-03-03,N,-0.40000000000000013,Napoli,2.9999999999999982,0.0,0.0,0.0,36.60000000000002,36.40000000000009,3.1999999999999993,8.799999999999997,4.199999999999999,-0.20000000000000018,-0.2,20_21,1.0,6.0
625,Genoa,2021-03-03,N,0.7999999999999999,Sampdoria,-1.200000000000001,0.3999999999999999,0.0,0.0,10.800000000000011,4.400000000000034,-1.6000000000000005,-1.6000000000000014,-0.5999999999999996,-0.20000000000000018,0.0,20_21,1.0,6.0
626,Parma,2021-03-04,P,-2.0,Inter,-3.5999999999999996,-4.0,0.2,0.2,-73.39999999999998,-60.0,-2.8,1.8000000000000043,6.199999999999999,3.0,0.0,20_21,1.0,7.0
627,Udinese,2021-03-06,V,-0.40000000000000013,Sassuolo,-7.800000000000001,-1.6000000000000005,-0.6,-0.6,-159.0,-165.60000000000002,-4.8,-16.6,-4.4,-0.19999999999999996,0.0,20_21,6.0,1.0
628,Spezia,2021-03-06,N,0.7999999999999999,Benevento,4.200000000000001,-0.20000000000000018,0.0,0.2,109.40000000000003,114.39999999999998,4.8,13.0,2.8000000000000007,-0.5999999999999999,-0.2,20_21,4.0,2.0
629,Juventus,2021-03-06,V,0.6000000000000001,Lazio,2.599999999999998,-0.7999999999999998,0.0,-0.2,-15.0,-35.19999999999993,0.5999999999999996,-3.200000000000003,-0.1999999999999993,0.19999999999999973,0.0,20_21,6.0,3.0
630,Crotone,2021-03-07,V,-0.9999999999999999,Torino,-4.399999999999999,-1.6,0.0,-0.2,-12.600000000000023,-38.39999999999998,1.2000000000000002,-7.200000000000003,-5.599999999999998,-0.8000000000000003,0.0,20_21,1.0,7.0
631,Roma,2021-03-07,V,0.19999999999999996,Genoa,6.800000000000001,2.8,0.2,0.2,69.40000000000003,64.39999999999998,3.8,9.400000000000006,3.8000000000000007,0.0,0.0,20_21,6.0,0.0
632,Napoli,2021-03-07,V,0.40000000000000013,Bologna,3.200000000000001,0.20000000000000018,0.4,0.4,109.60000000000002,110.80000000000001,0.20000000000000018,5.800000000000004,-1.200000000000001,0.8000000000000003,0.0,20_21,7.0,3.0
633,Sampdoria,2021-03-07,N,0.20000000000000007,Cagliari,0.20000000000000107,1.0,-0.2,-0.2,137.4,137.39999999999998,0.0,10.199999999999996,-2.8000000000000007,-1.4,-0.2,20_21,3.0,5.0
634,Hellas Verona,2021-03-07,P,0.20000000000000018,Milan,-4.0,-2.8000000000000003,-0.4,-0.4,-83.39999999999998,-59.60000000000002,-0.8000000000000007,-4.400000000000006,2.599999999999998,-0.20000000000000018,0.0,20_21,1.0,8.0
635,Fiorentina,2021-03-07,N,-0.19999999999999996,Parma,-1.5999999999999996,0.3999999999999999,-0.4,-0.4,-44.0,-38.39999999999998,1.7999999999999998,-5.0,0.7999999999999989,-0.3999999999999999,0.0,20_21,5.0,2.0
636,Inter,2021-03-08,V,-0.3999999999999999,Atalanta,-0.8000000000000007,1.2000000000000002,0.2,0.2,-72.0,-98.19999999999999,0.5999999999999996,-12.200000000000003,-4.800000000000001,-1.2000000000000002,0.0,20_21,3.0,1.0
637,Atalanta,2021-03-12,V,1.4,Spezia,4.399999999999999,2.9999999999999996,0.0,-0.2,87.60000000000002,88.0,-0.6000000000000005,-0.20000000000000284,-1.200000000000001,0.19999999999999996,0.0,20_21,9.0,0.0
638,Lazio,2021-03-12,V,-0.3999999999999999,Crotone,4.0,2.2,-0.2,0.0,197.0,209.39999999999998,-0.1999999999999993,16.0,-2.1999999999999993,0.0,0.0,20_21,10.0,0.0
639,Sassuolo,2021-03-13,V,-0.20000000000000018,Hellas Verona,5.199999999999999,0.3999999999999999,0.6,0.6,180.0,158.2,1.4000000000000004,14.0,-0.3999999999999986,-0.8,0.0,20_21,8.0,2.0
640,Genoa,2021-03-13,N,-0.6,Udinese,-2.4000000000000004,-0.7999999999999998,0.0,0.0,88.20000000000005,106.19999999999999,0.0,6.399999999999999,1.1999999999999993,1.0,0.0,20_21,0.0,6.0
641,Benevento,2021-03-13,P,-1.2000000000000002,Fiorentina,-2.8,-0.6000000000000001,0.0,0.0,-58.80000000000001,-64.60000000000002,-2.4000000000000004,-7.200000000000003,-3.0,0.3999999999999999,0.2,20_21,2.0,9.0
642,Milan,2021-03-14,P,-1.2000000000000002,Napoli,0.3999999999999986,1.2000000000000002,0.0,0.0,17.80000000000001,28.19999999999999,0.20000000000000018,6.0,1.0,0.0,-0.2,20_21,2.0,4.0
643,Parma,2021-03-14,V,0.40000000000000013,Roma,-2.5999999999999996,-1.5999999999999996,0.39999999999999997,0.39999999999999997,-107.39999999999998,-117.80000000000001,-3.4000000000000004,-7.799999999999997,-1.1999999999999993,1.4000000000000001,0.0,20_21,3.0,8.0
644,Cagliari,2021-03-14,P,-1.0,Juventus,-8.0,-3.1999999999999997,0.0,0.0,-189.60000000000002,-163.40000000000003,0.5999999999999996,-13.0,1.3999999999999986,1.0,0.2,20_21,1.0,10.0
645,Bologna,2021-03-14,V,0.0,Sampdoria,2.0,1.0,0.0,0.0,-12.800000000000011,-30.0,0.40000000000000036,1.2000000000000028,-1.4000000000000004,-0.6000000000000001,0.2,20_21,9.0,2.0
646,Torino,2021-03-14,P,-1.0,Inter,1.0,-2.4000000000000004,-0.2,0.0,-80.80000000000001,-54.60000000000002,-1.0,6.0,9.2,1.4000000000000001,0.2,20_21,2.0,6.0
647,Torino,2021-03-17,V,-0.40000000000000013,Sassuolo,-5.0,-0.6000000000000005,-0.6,-0.39999999999999997,-215.80000000000007,-194.60000000000002,-3.6,-15.200000000000003,3.0,0.40000000000000013,0.2,20_21,6.0,1.0
648,Parma,2021-03-19,P,1.2,Genoa,2.1999999999999993,1.4,0.6,0.6,-71.40000000000003,-87.79999999999995,-1.0,-1.4000000000000057,2.799999999999999,1.1999999999999997,0.0,20_21,6.0,5.0
649,Crotone,2021-03-20,P,0.0,Bologna,-0.40000000000000036,-1.7999999999999998,0.4,0.4,-48.400000000000034,-59.400000000000034,0.6000000000000005,-4.199999999999996,1.5999999999999996,1.4,-0.2,20_21,2.0,9.0
650,Spezia,2021-03-20,V,-0.3999999999999999,Cagliari,-1.5999999999999996,-0.6000000000000001,-0.2,0.0,154.79999999999995,148.59999999999997,-0.5999999999999996,13.199999999999996,-2.8000000000000007,-1.4,-0.2,20_21,2.0,6.0
651,Juventus,2021-03-21,P,2.2,Benevento,7.6,2.8000000000000003,0.4,0.4,148.59999999999997,140.0,2.4000000000000004,11.599999999999994,0.1999999999999993,-0.8,-0.2,20_21,8.0,1.0
652,Hellas Verona,2021-03-21,P,-1.1999999999999997,Atalanta,-5.799999999999999,-2.9999999999999996,0.0,0.0,-119.0,-102.39999999999998,0.5999999999999996,-2.799999999999997,2.1999999999999993,0.0,0.0,20_21,2.0,8.0
653,Udinese,2021-03-21,P,0.19999999999999996,Lazio,-7.599999999999998,-2.5999999999999996,0.2,0.0,-182.39999999999998,-194.39999999999998,-1.0,-15.399999999999999,0.20000000000000107,0.0,0.0,20_21,1.0,7.0
654,Fiorentina,2021-03-21,P,1.2000000000000002,Milan,-5.200000000000001,-2.8,-0.4,-0.4,-134.8,-136.2,-2.1999999999999997,-11.0,5.4,-0.3999999999999999,-0.2,20_21,4.0,5.0
655,Roma,2021-03-21,P,-1.4000000000000001,Napoli,2.4000000000000004,0.39999999999999947,-0.2,-0.2,61.39999999999998,74.80000000000001,2.2,10.400000000000006,3.4000000000000004,0.0,-0.2,20_21,3.0,5.0
656,Sampdoria,2021-03-21,V,-0.5999999999999999,Torino,-2.1999999999999993,-2.0,0.0,0.0,70.59999999999997,71.39999999999998,0.39999999999999947,1.6000000000000014,-3.5999999999999996,0.3999999999999999,-0.2,20_21,4.0,4.0
657,Lazio,2021-04-03,V,0.0,Spezia,7.4,2.5999999999999996,0.0,0.0,11.199999999999989,1.0,0.20000000000000018,-2.0,0.7999999999999989,0.8,0.0,20_21,11.0,0.0
658,Sassuolo,2021-04-03,N,1.0,Roma,1.1999999999999993,-0.39999999999999947,0.4,0.4,26.19999999999999,19.600000000000023,-0.39999999999999947,2.3999999999999986,-0.1999999999999993,-1.1999999999999997,0.0,20_21,1.0,5.0
659,Bologna,2021-04-03,P,-0.40000000000000013,Inter,0.5999999999999996,0.5999999999999996,-0.2,-0.2,-94.80000000000001,-78.99999999999994,-3.3999999999999995,0.8000000000000043,3.0,1.7999999999999998,0.0,20_21,3.0,7.0
660,Atalanta,2021-04-03,V,1.4,Udinese,7.4,3.5999999999999996,0.0,0.0,142.2,156.0,1.6000000000000005,11.599999999999994,3.799999999999999,0.6000000000000001,0.0,20_21,8.0,1.0
661,Milan,2021-04-03,N,0.6000000000000001,Sampdoria,2.0,1.4,0.4,0.4,47.19999999999999,30.399999999999977,2.0,6.0,0.20000000000000107,0.8000000000000003,0.2,20_21,6.0,2.0
662,Torino,2021-04-03,N,-0.6000000000000001,Juventus,-0.20000000000000107,-0.6000000000000005,-0.4,-0.4,-106.19999999999999,-88.0,-0.5999999999999996,-4.399999999999999,3.200000000000001,-0.20000000000000018,0.2,20_21,0.0,8.0
663,Benevento,2021-04-03,N,-1.2000000000000002,Parma,-2.200000000000001,-2.0,-0.4,-0.4,-115.40000000000003,-101.60000000000002,1.1999999999999997,-9.800000000000004,-2.0,-0.3999999999999999,0.0,20_21,2.0,4.0
664,Napoli,2021-04-03,V,0.40000000000000013,Crotone,4.0,2.0,-0.39999999999999997,-0.39999999999999997,119.19999999999999,101.19999999999999,-0.5999999999999996,3.8000000000000043,-2.1999999999999993,-0.6000000000000001,0.2,20_21,11.0,0.0
665,Genoa,2021-04-03,N,-1.2,Fiorentina,-0.39999999999999947,-0.8,0.0,0.0,128.8,123.60000000000002,-2.4,4.799999999999997,-2.1999999999999993,1.4,0.0,20_21,2.0,3.0
666,Cagliari,2021-04-03,P,0.19999999999999996,Hellas Verona,0.6000000000000014,1.0,0.2,0.2,-38.400000000000034,-45.80000000000001,-0.20000000000000018,-6.0,-2.799999999999997,0.20000000000000018,0.2,20_21,3.0,4.0
667,Juventus,2021-04-07,V,-0.3999999999999999,Napoli,-1.1999999999999993,0.20000000000000018,0.2,0.2,62.80000000000001,70.79999999999995,1.3999999999999995,10.399999999999999,4.200000000000001,-0.19999999999999996,0.0,20_21,6.0,4.0
668,Inter,2021-04-07,V,-0.19999999999999996,Sassuolo,0.40000000000000036,0.7999999999999998,-0.2,-0.2,-47.0,-36.0,1.2000000000000002,-5.800000000000004,-2.8000000000000007,-1.0000000000000002,0.0,20_21,5.0,4.0
669,Parma,2021-04-10,P,0.40000000000000013,Milan,-1.200000000000001,0.6000000000000005,0.2,0.2,-1.1999999999999886,-18.200000000000045,-3.4000000000000004,-1.6000000000000014,3.599999999999998,0.3999999999999999,-0.2,20_21,0.0,9.0
670,Spezia,2021-04-10,V,-1.4,Crotone,-0.20000000000000107,-0.7999999999999998,-0.6,-0.39999999999999997,180.79999999999995,187.00000000000006,-0.39999999999999947,16.200000000000003,-1.8000000000000007,-2.2,0.0,20_21,3.0,4.0
671,Udinese,2021-04-10,P,-0.40000000000000013,Torino,-4.199999999999999,-1.7999999999999998,0.2,0.2,0.6000000000000227,-8.800000000000011,-2.0000000000000004,-5.199999999999996,-6.200000000000001,-0.40000000000000013,-0.2,20_21,4.0,6.0
672,Fiorentina,2021-04-11,P,-0.3999999999999999,Atalanta,-9.600000000000001,-4.2,-0.2,-0.2,-168.59999999999997,-174.0,-1.4,-12.0,-2.0,-0.19999999999999996,0.2,20_21,3.0,4.0
673,Juventus,2021-04-11,V,1.0,Genoa,5.600000000000001,3.8000000000000003,0.4,0.4,78.60000000000002,66.40000000000009,2.0,8.200000000000003,0.8000000000000007,-1.0,0.0,20_21,8.0,2.0
674,Sampdoria,2021-04-11,P,-1.0000000000000002,Napoli,-5.200000000000001,-1.5999999999999996,-0.2,-0.2,-107.19999999999999,-79.20000000000005,-1.0,-4.0,3.200000000000001,0.40000000000000013,0.2,20_21,1.0,10.0
675,Hellas Verona,2021-04-11,P,0.0,Lazio,-7.999999999999998,-2.2,-0.2,-0.4,-83.39999999999998,-60.0,-0.20000000000000018,-0.6000000000000014,3.8000000000000007,0.40000000000000013,-0.4,20_21,2.0,6.0
676,Inter,2021-04-11,V,0.6000000000000001,Cagliari,-4.0,-1.5999999999999996,0.2,0.2,112.59999999999997,84.40000000000003,-2.1999999999999993,0.8000000000000043,-3.4000000000000004,0.0,0.0,20_21,9.0,1.0
677,Roma,2021-04-11,V,-0.3999999999999999,Bologna,-0.8000000000000007,-0.6000000000000005,0.2,0.2,28.80000000000001,16.199999999999932,3.2,-2.799999999999997,-0.1999999999999993,-0.20000000000000018,0.0,20_21,6.0,3.0
678,Benevento,2021-04-12,P,-0.6000000000000001,Sassuolo,-5.6,-1.6,0.0,0.0,-326.59999999999997,-298.0,-2.2,-21.0,1.8000000000000007,0.20000000000000018,0.0,20_21,0.0,10.0
679,Sampdoria,2021-04-17,V,0.19999999999999996,Hellas Verona,2.4000000000000004,2.0,0.0,0.0,-37.0,-46.400000000000034,-0.8000000000000007,-6.799999999999997,-3.8000000000000007,0.20000000000000018,0.2,20_21,7.0,2.0
680,Cagliari,2021-04-17,V,-1.0,Parma,1.1999999999999993,-0.7999999999999998,-0.4,-0.4,-69.60000000000002,-49.39999999999998,1.7999999999999998,-8.0,-5.0,-1.8000000000000003,0.0,20_21,8.0,1.0
681,Sassuolo,2021-04-17,V,-0.5999999999999999,Fiorentina,6.0,1.7999999999999998,0.0,0.0,272.40000000000003,253.0,2.3999999999999995,17.199999999999996,2.200000000000001,1.5999999999999999,-0.2,20_21,5.0,3.0
682,Crotone,2021-04-17,P,1.6,Udinese,-0.7999999999999989,0.20000000000000018,0.39999999999999997,0.39999999999999997,-83.19999999999999,-78.60000000000002,1.7999999999999998,-5.200000000000003,3.1999999999999993,2.2,0.0,20_21,1.0,8.0
683,Milan,2021-04-18,V,0.8,Genoa,3.0,1.6,0.0,0.0,-3.0,5.0,0.40000000000000036,4.400000000000006,-2.6000000000000014,-0.7999999999999998,0.4,20_21,8.0,1.0
684,Bologna,2021-04-18,V,-0.20000000000000018,Spezia,5.199999999999999,1.6,0.0,0.0,-50.19999999999999,-57.0,-0.19999999999999973,-5.0,3.400000000000002,1.4,0.0,20_21,9.0,0.0
685,Napoli,2021-04-18,N,0.6000000000000001,Inter,6.6,2.5999999999999996,0.0,0.0,10.400000000000034,10.799999999999955,0.0,4.799999999999997,-2.0,0.3999999999999999,0.0,20_21,1.0,6.0
686,Torino,2021-04-18,V,0.5999999999999999,Roma,-2.1999999999999993,-0.39999999999999947,0.0,0.0,-117.0,-102.39999999999998,-2.0,-6.0,-0.1999999999999993,-1.4,0.0,20_21,3.0,8.0
687,Lazio,2021-04-18,V,0.6000000000000001,Benevento,7.0,1.4000000000000004,0.2,0.2,215.4,208.20000000000005,2.2,18.0,-4.399999999999999,-1.4000000000000001,0.4,20_21,9.0,0.0
688,Atalanta,2021-04-18,V,0.20000000000000018,Juventus,-1.4000000000000021,-0.7999999999999998,0.2,0.2,-77.60000000000002,-58.0,-0.5999999999999996,-6.0,-0.3999999999999986,-0.8,0.0,20_21,2.0,3.0
689,Hellas Verona,2021-04-20,P,-1.0,Fiorentina,1.0,-0.6000000000000001,0.0,0.0,59.599999999999966,85.80000000000001,1.8000000000000003,12.399999999999999,5.399999999999999,0.0,-0.2,20_21,3.0,4.0
690,Crotone,2021-04-21,P,0.8,Sampdoria,-2.0,-0.5999999999999996,0.39999999999999997,0.39999999999999997,26.0,8.399999999999977,0.20000000000000018,-1.3999999999999986,-0.5999999999999996,0.3999999999999999,-0.2,20_21,1.0,10.0
691,Genoa,2021-04-21,N,-0.19999999999999996,Benevento,-0.40000000000000036,-1.6,-0.2,-0.2,154.8,152.2,0.7999999999999998,11.0,-2.0,-0.7999999999999998,0.0,20_21,7.0,3.0
692,Bologna,2021-04-21,N,0.19999999999999996,Torino,-2.5999999999999996,-0.7999999999999998,0.0,0.0,63.80000000000001,62.80000000000001,-2.8,3.799999999999997,-0.6000000000000014,1.0,0.0,20_21,1.0,4.0
693,Udinese,2021-04-21,P,-0.19999999999999996,Cagliari,-4.200000000000001,-1.0000000000000004,0.2,0.2,-8.199999999999989,-24.0,0.8000000000000003,-2.3999999999999986,-1.4000000000000004,-0.40000000000000013,0.2,20_21,7.0,3.0
694,Milan,2021-04-21,P,0.0,Sassuolo,0.20000000000000107,-0.20000000000000018,-0.4,-0.4,-191.20000000000005,-175.0,0.20000000000000018,-10.800000000000004,-2.4000000000000004,-0.7999999999999998,0.4,20_21,6.0,2.0
695,Spezia,2021-04-21,N,0.20000000000000018,Inter,-3.200000000000001,0.20000000000000018,-0.2,-0.2,-20.400000000000034,15.0,0.5999999999999996,7.200000000000003,0.0,-0.8,0.0,20_21,0.0,10.0
696,Juventus,2021-04-21,V,-0.40000000000000013,Parma,5.399999999999999,0.7999999999999998,-0.2,-0.2,125.39999999999998,122.79999999999995,3.5999999999999996,8.199999999999996,-2.1999999999999993,-1.0,0.0,20_21,10.0,0.0
697,Roma,2021-04-22,N,-1.5999999999999999,Atalanta,-3.799999999999999,-1.2000000000000002,-0.2,-0.2,-39.799999999999955,-54.599999999999966,1.2000000000000002,-3.8000000000000043,-1.6000000000000014,1.6,0.2,20_21,3.0,5.0
698,Napoli,2021-04-22,V,-0.3999999999999999,Lazio,1.6000000000000014,0.7999999999999998,-0.2,-0.39999999999999997,56.19999999999993,40.0,-0.7999999999999998,0.20000000000000284,-2.3999999999999986,0.6000000000000001,-0.4,20_21,8.0,3.0
699,Sassuolo,2021-04-24,V,0.6000000000000001,Sampdoria,3.799999999999999,0.7999999999999998,0.2,0.2,331.20000000000005,294.4,0.7999999999999998,20.800000000000004,-0.5999999999999996,0.8,-0.2,20_21,6.0,2.0
700,Genoa,2021-04-24,V,-0.20000000000000018,Spezia,3.4000000000000004,-0.6000000000000001,0.0,0.0,23.80000000000001,18.199999999999932,0.20000000000000018,-1.0,0.1999999999999993,0.3999999999999999,0.0,20_21,9.0,1.0
701,Parma,2021-04-24,P,0.0,Crotone,4.200000000000001,1.4,-0.4,-0.4,88.39999999999998,79.40000000000003,-1.2000000000000002,7.600000000000001,4.800000000000001,0.7999999999999998,0.0,20_21,4.0,5.0
702,Atalanta,2021-04-25,V,0.3999999999999999,Bologna,5.4,2.4000000000000004,0.2,0.2,37.0,33.19999999999999,1.5999999999999996,-0.3999999999999986,-2.1999999999999993,-1.7999999999999998,0.2,20_21,7.0,2.0
703,Cagliari,2021-04-25,V,0.19999999999999996,Roma,4.800000000000001,-0.39999999999999947,0.0,0.0,-12.600000000000023,3.0,-1.2000000000000002,2.799999999999997,-1.5999999999999996,-1.4,-0.4,20_21,1.0,7.0
704,Benevento,2021-04-25,P,0.8,Udinese,-3.1999999999999993,-0.3999999999999999,0.4,0.4,-194.59999999999997,-187.0,-2.0,-18.4,2.799999999999999,1.4,-0.2,20_21,2.0,8.0
705,Inter,2021-04-25,V,0.3999999999999999,Hellas Verona,4.200000000000001,1.2000000000000002,0.0,0.0,101.0,53.60000000000002,-1.0,-5.799999999999997,-7.000000000000002,-0.40000000000000013,0.0,20_21,10.0,0.0
706,Fiorentina,2021-04-25,N,-0.3999999999999999,Juventus,-9.399999999999999,-3.0,0.2,0.2,-281.20000000000005,-272.59999999999997,-2.6,-21.0,-3.8000000000000007,0.6000000000000001,0.2,20_21,2.0,6.0
707,Lazio,2021-04-26,V,0.20000000000000018,Milan,-1.4000000000000004,-0.20000000000000018,0.4,0.6,-5.400000000000034,0.39999999999997726,0.40000000000000036,-0.3999999999999986,2.8000000000000007,0.9999999999999998,0.2,20_21,4.0,6.0
708,Torino,2021-04-26,P,-1.2000000000000002,Napoli,-1.799999999999999,-1.5999999999999996,-0.2,-0.2,-208.79999999999995,-189.79999999999995,2.3999999999999995,-10.199999999999996,8.6,-0.5999999999999996,0.0,20_21,0.0,6.0
709,Hellas Verona,2021-05-01,N,-0.3999999999999999,Spezia,4.000000000000001,0.3999999999999999,0.0,0.0,-46.599999999999966,-35.200000000000045,2.4,-1.8000000000000043,3.0,0.40000000000000013,0.0,20_21,8.0,0.0
710,Milan,2021-05-01,V,-0.40000000000000013,Benevento,3.5999999999999996,0.40000000000000036,-0.6,-0.6,172.40000000000003,162.20000000000005,0.7999999999999998,13.399999999999999,-3.8000000000000007,-0.8,0.2,20_21,9.0,1.0
711,Crotone,2021-05-01,P,0.8,Inter,-4.6,-0.3999999999999999,0.4,0.4,-135.79999999999995,-115.0,0.40000000000000036,-5.199999999999996,5.800000000000001,0.6000000000000001,0.0,20_21,0.0,10.0
712,Lazio,2021-05-02,V,1.2000000000000002,Genoa,1.799999999999999,0.20000000000000018,0.4,0.6,7.2000000000000455,7.199999999999989,-0.19999999999999973,2.1999999999999957,0.0,0.6000000000000001,0.4,20_21,8.0,2.0
713,Udinese,2021-05-02,P,-0.19999999999999996,Juventus,-3.4000000000000004,-0.7999999999999998,0.0,0.0,-145.20000000000005,-141.20000000000005,-1.8000000000000003,-8.0,-0.6000000000000014,-0.6000000000000001,0.2,20_21,1.0,9.0
714,Napoli,2021-05-02,N,0.6000000000000001,Cagliari,0.8000000000000007,1.2000000000000002,0.2,0.2,106.0,91.99999999999994,2.8,6.600000000000001,-2.200000000000001,0.7999999999999998,0.0,20_21,7.0,2.0
715,Bologna,2021-05-02,N,-0.3999999999999999,Fiorentina,1.200000000000001,-0.6000000000000001,-0.2,-0.2,107.60000000000002,116.19999999999999,0.7999999999999998,12.800000000000004,2.5999999999999996,-0.7999999999999998,0.0,20_21,0.0,5.0
716,Sassuolo,2021-05-02,N,-1.0,Atalanta,-5.400000000000002,-2.2,0.0,0.0,198.0,190.19999999999993,1.0,13.999999999999993,-2.1999999999999993,0.6000000000000001,-0.2,20_21,1.0,9.0
717,Sampdoria,2021-05-02,V,-0.3999999999999999,Roma,-2.0,-1.6000000000000005,0.0,0.0,-70.19999999999999,-51.400000000000034,0.40000000000000036,-6.200000000000003,-4.0,-0.8,-0.2,20_21,2.0,5.0
718,Torino,2021-05-03,V,-0.6000000000000001,Parma,1.3999999999999986,1.0,0.2,0.2,-131.8,-132.0,1.5999999999999996,-9.200000000000003,0.1999999999999993,0.20000000000000018,0.2,20_21,6.0,3.0
719,Inter,2021-05-08,V,0.0,Sampdoria,4.0,0.0,-0.2,-0.2,160.2,126.60000000000002,0.0,5.799999999999997,-3.3999999999999986,0.19999999999999996,0.0,20_21,9.0,1.0
720,Udinese,2021-05-08,N,-0.20000000000000018,Bologna,1.3999999999999986,0.0,-0.2,-0.2,43.19999999999999,31.799999999999955,-0.19999999999999973,-0.3999999999999986,-0.6000000000000014,-0.40000000000000013,0.0,20_21,5.0,1.0
