,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
77,Sampdoria,2019-10-20,N,-1.0,Roma,-3.3999999999999986,-1.7999999999999998,0.0,-0.2,-14.0,-1.8000000000000007,0.0,0.0,19_20,2.0,5.0,N
78,Brescia,2019-10-21,N,-0.40000000000000013,Fiorentina,-3.799999999999999,-1.6,-0.2,-0.4,-8.399999999999999,0.5999999999999996,-1.0,0.2,19_20,0.0,8.0,N
79,Hellas Verona,2019-10-25,P,-1.0,Sassuolo,-1.1999999999999993,-1.0,0.0,0.2,-6.799999999999997,3.4000000000000004,-0.3999999999999999,0.2,19_20,2.0,7.0,N
80,Lecce,2019-10-26,N,-0.6000000000000001,Juventus,-10.6,-3.2,0.39999999999999997,0.6000000000000001,-21.800000000000004,-0.5999999999999996,0.3999999999999999,0.0,19_20,0.0,9.0,P
81,Inter,2019-10-26,N,0.40000000000000013,Parma,1.200000000000001,1.4,0.6,0.19999999999999996,10.200000000000003,0.6000000000000014,0.19999999999999973,0.2,19_20,7.0,1.0,V
82,Genoa,2019-10-26,V,-0.6,Brescia,1.5999999999999996,0.6000000000000001,0.0,0.2,12.0,3.0,1.1999999999999997,0.2,19_20,9.0,0.0,V
83,Atalanta,2019-10-27,V,2.4,Udinese,8.600000000000001,4.6,0.0,0.0,7.799999999999997,-4.999999999999998,-1.5999999999999999,0.0,19_20,7.0,1.0,V
84,Fiorentina,2019-10-27,P,-0.6000000000000001,Lazio,-0.8000000000000007,-1.2000000000000002,-0.2,-0.19999999999999996,-1.5999999999999943,2.1999999999999993,0.6000000000000001,-0.2,19_20,1.0,7.0,P
85,SPAL,2019-10-27,N,-1.2000000000000002,Napoli,-8.6,-1.7999999999999998,-0.2,-0.2,-12.200000000000003,3.0,0.7999999999999998,0.0,19_20,0.0,9.0,P
86,Torino,2019-10-27,N,-0.8,Cagliari,-1.8000000000000007,0.0,0.0,0.0,12.0,1.1999999999999993,0.0,0.2,19_20,3.0,3.0,V
87,Roma,2019-10-27,V,-0.3999999999999999,Milan,3.0,0.0,-0.4,-0.2,4.399999999999999,3.0,0.6000000000000001,-0.4,19_20,2.0,6.0,N
88,Bologna,2019-10-27,V,0.20000000000000007,Sampdoria,-2.1999999999999993,0.0,0.2,0.4,6.399999999999999,1.1999999999999993,0.6000000000000001,0.2,19_20,8.0,2.0,V
89,Parma,2019-10-29,P,1.6,Hellas Verona,1.200000000000001,0.40000000000000036,0.0,0.4,-11.0,0.0,-0.20000000000000018,0.0,19_20,3.0,7.0,P
90,Brescia,2019-10-29,P,-1.4000000000000001,Inter,-5.799999999999999,-1.9999999999999996,-0.6,-0.6,-15.399999999999999,-1.5999999999999996,-0.7999999999999998,-0.2,19_20,0.0,10.0,P
91,Juventus,2019-10-30,V,0.8,Genoa,7.4,1.2000000000000002,0.2,0.0,11.399999999999999,-5.0,-1.5999999999999996,-0.4,19_20,7.0,2.0,V
92,Sampdoria,2019-10-30,N,-0.7999999999999999,Lecce,3.799999999999999,-1.2000000000000002,-0.6,-0.8,6.200000000000003,2.8000000000000007,0.6000000000000001,0.2,19_20,9.0,0.0,V
93,Udinese,2019-10-30,P,-0.20000000000000007,Roma,-3.0,-0.3999999999999999,0.0,-0.2,-13.799999999999997,-1.4000000000000021,0.20000000000000018,0.0,19_20,2.0,7.0,-1
94,Cagliari,2019-10-30,V,0.19999999999999996,Bologna,-3.5999999999999996,-1.0,0.2,0.0,-11.200000000000003,-1.4000000000000004,-0.40000000000000036,-0.4,19_20,4.0,3.0,V
95,Napoli,2019-10-30,N,-2.8,Atalanta,-1.3999999999999986,-4.2,-0.4,-0.4,7.400000000000006,-1.0,0.0,0.2,19_20,5.0,4.0,N
96,Sassuolo,2019-10-30,P,0.20000000000000018,Fiorentina,0.0,0.20000000000000018,-0.2,-0.4,3.8000000000000043,-0.40000000000000036,-0.3999999999999999,-0.2,19_20,5.0,2.0,N
