,h_team,a_team,date,matchday,result
0,Milan,Napoli,2021-12-19,Giornata n. 18,P
0,Fiorentina,Sassuolo,2021-12-19,Giornata n. 18,N
0,Spezia,Empoli,2021-12-19,Giornata n. 18,N
0,Torino,Hellas Verona,2021-12-19,Giornata n. 18,V
0,Sampdoria,Venezia,2021-12-19,Giornata n. 18,N
0,Juventus,Cagliari,2021-12-21,Giornata n. 19,V
0,Genoa,Atalanta,2021-12-21,Giornata n. 19,N
0,Venezia,Lazio,2021-12-22,Giornata n. 19,P
0,Roma,Sampdoria,2021-12-22,Giornata n. 19,N
0,Napoli,Spezia,2021-12-22,Giornata n. 19,P
0,Sassuolo,Bologna,2021-12-22,Giornata n. 19,P
0,Inter,Torino,2021-12-22,Giornata n. 19,V
0,Empoli,Milan,2021-12-22,Giornata n. 19,P
0,Hellas Verona,Fiorentina,2021-12-22,Giornata n. 19,N
0,Lazio,Empoli,2022-01-06,Giornata n. 20,N
0,Sampdoria,Cagliari,2022-01-06,Giornata n. 20,P
0,Milan,Roma,2022-01-06,Giornata n. 20,V
0,Sassuolo,Genoa,2022-01-06,Giornata n. 20,N
0,Juventus,Napoli,2022-01-06,Giornata n. 20,N
0,Spezia,Hellas Verona,2022-01-06,Giornata n. 20,P
0,Roma,Juventus,2022-01-09,Giornata n. 21,P
0,Napoli,Sampdoria,2022-01-09,Giornata n. 21,V
0,Udinese,Atalanta,2022-01-09,Giornata n. 21,P
0,Venezia,Milan,2022-01-09,Giornata n. 21,P
0,Hellas Verona,Salernitana,2022-01-09,Giornata n. 21,P
0,Inter,Lazio,2022-01-09,Giornata n. 21,V
0,Empoli,Sassuolo,2022-01-09,Giornata n. 21,P
0,Genoa,Spezia,2022-01-09,Giornata n. 21,P
0,Torino,Fiorentina,2022-01-10,Giornata n. 21,V
0,Cagliari,Bologna,2022-01-11,Giornata n. 21,V
0,Sampdoria,Torino,2022-01-15,Giornata n. 22,P
0,Juventus,Udinese,2022-01-15,Giornata n. 22,V
0,Salernitana,Lazio,2022-01-15,Giornata n. 22,P
0,Atalanta,Inter,2022-01-16,Giornata n. 22,N
0,Sassuolo,Hellas Verona,2022-01-16,Giornata n. 22,P
0,Roma,Cagliari,2022-01-16,Giornata n. 22,V
0,Venezia,Empoli,2022-01-16,Giornata n. 22,N
0,Bologna,Napoli,2022-01-17,Giornata n. 22,P
0,Fiorentina,Genoa,2022-01-17,Giornata n. 22,V
0,Milan,Spezia,2022-01-17,Giornata n. 22,P
0,Hellas Verona,Bologna,2022-01-21,Giornata n. 23,V
0,Inter,Venezia,2022-01-22,Giornata n. 23,V
0,Lazio,Atalanta,2022-01-22,Giornata n. 23,N
0,Genoa,Udinese,2022-01-22,Giornata n. 23,N
0,Napoli,Salernitana,2022-01-23,Giornata n. 23,V
0,Torino,Sassuolo,2022-01-23,Giornata n. 23,N
0,Spezia,Sampdoria,2022-01-23,Giornata n. 23,V
0,Empoli,Roma,2022-01-23,Giornata n. 23,P
0,Milan,Juventus,2022-01-23,Giornata n. 23,N
0,Cagliari,Fiorentina,2022-01-23,Giornata n. 23,N
0,Roma,Genoa,2022-02-05,Giornata n. 24,N
0,Inter,Milan,2022-02-05,Giornata n. 24,P
0,Fiorentina,Lazio,2022-02-05,Giornata n. 24,P
