,Data,Casa,Punteggio,Ospiti
249,2017-02-05,palermo,1–0,crotone
250,2017-02-05,juventus,1–0,inter
251,2017-02-07,roma,4–0,fiorentina
253,2017-02-08,crotone,0–2,juventus
254,2017-02-08,bologna,0–1,milan
256,2017-02-10,napoli,2–0,genoa
257,2017-02-11,fiorentina,3–0,udinese
258,2017-02-12,crotone,0–2,roma
259,2017-02-12,palermo,1–3,atalanta
260,2017-02-12,inter,2–0,empoli
261,2017-02-12,sassuolo,1–3,chievo
262,2017-02-12,torino,5–3,pescara
263,2017-02-12,sampdoria,3–1,bologna
264,2017-02-12,cagliari,0–2,juventus
265,2017-02-13,lazio,1–1,milan
267,2017-02-17,juventus,4–1,palermo
268,2017-02-18,atalanta,1–0,crotone
269,2017-02-18,empoli,1–2,lazio
270,2017-02-19,bologna,0–1,inter
271,2017-02-19,chievo,1–3,napoli
272,2017-02-19,sampdoria,1–1,cagliari
273,2017-02-19,pescara,5–0,genoa
274,2017-02-19,udinese,1–2,sassuolo
275,2017-02-19,roma,4–1,torino
276,2017-02-19,milan,2–1,fiorentina
278,2017-02-25,napoli,0–2,atalanta
279,2017-02-25,juventus,2–0,empoli
280,2017-02-26,palermo,1–1,sampdoria
281,2017-02-26,lazio,1–0,udinese
282,2017-02-26,crotone,1–2,cagliari
283,2017-02-26,chievo,2–0,pescara
284,2017-02-26,sassuolo,0–1,milan
285,2017-02-26,genoa,1–1,bologna
286,2017-02-26,inter,1–3,roma
287,2017-02-27,fiorentina,2–2,torino
289,2017-03-04,roma,1–2,napoli
290,2017-03-04,sampdoria,3–1,pescara
291,2017-03-04,milan,3–1,chievo
292,2017-03-05,atalanta,0–0,fiorentina
293,2017-03-05,udinese,1–1,juventus
294,2017-03-05,crotone,0–0,sassuolo
295,2017-03-05,torino,3–1,palermo
296,2017-03-05,cagliari,1–5,inter
297,2017-03-05,empoli,0–2,genoa
298,2017-03-05,bologna,0–2,lazio
300,2017-03-10,juventus,2–1,milan
301,2017-03-11,genoa,0–1,sampdoria
302,2017-03-12,sassuolo,0–1,bologna
303,2017-03-12,inter,7–1,atalanta
304,2017-03-12,chievo,4–0,empoli
305,2017-03-12,fiorentina,1–0,cagliari
306,2017-03-12,napoli,3–0,crotone
307,2017-03-12,pescara,1–3,udinese
308,2017-03-12,palermo,0–3,roma
309,2017-03-13,lazio,3–1,torino
311,2017-03-18,torino,2–2,inter
312,2017-03-18,milan,1–0,genoa
313,2017-03-19,empoli,2–3,napoli
314,2017-03-19,bologna,4–1,chievo
315,2017-03-19,sampdoria,0–1,juventus
316,2017-03-19,cagliari,0–0,lazio
317,2017-03-19,atalanta,3–0,pescara
318,2017-03-19,crotone,0–1,fiorentina
319,2017-03-19,udinese,4–1,palermo
320,2017-03-19,roma,3–1,sassuolo
322,2017-04-01,sassuolo,1–2,lazio
323,2017-04-01,roma,2–0,empoli
324,2017-04-02,torino,2–2,udinese
325,2017-04-02,palermo,1–3,cagliari
326,2017-04-02,fiorentina,1–0,bologna
327,2017-04-02,genoa,0–5,atalanta
328,2017-04-02,chievo,1–2,crotone
329,2017-04-02,pescara,1–1,milan
