,h_team,h_goals,a_team,a_goals,date,matchday
0,Fiorentina,3,Sampdoria,1,2021-11-30,Giornata n. 15
0,Hellas Verona,0,Cagliari,0,2021-11-30,Giornata n. 15
0,Salernitana,0,Juventus,2,2021-11-30,Giornata n. 15
0,Sassuolo,2,Napoli,2,2021-12-01,Giornata n. 15
0,Bologna,1,Roma,0,2021-12-01,Giornata n. 15
0,Genoa,0,Milan,3,2021-12-01,Giornata n. 15
0,Inter,2,Spezia,0,2021-12-01,Giornata n. 15
0,Torino,2,Empoli,2,2021-12-02,Giornata n. 15
0,Lazio,4,Udinese,4,2021-12-02,Giornata n. 15
0,Milan,2,Salernitana,0,2021-12-04,Giornata n. 16
0,Roma,0,Inter,3,2021-12-04,Giornata n. 16
0,Napoli,2,Atalanta,3,2021-12-04,Giornata n. 16
0,Venezia,3,Hellas Verona,4,2021-12-05,Giornata n. 16
0,Spezia,2,Sassuolo,2,2021-12-05,Giornata n. 16
0,Sampdoria,1,Lazio,3,2021-12-05,Giornata n. 16
0,Bologna,2,Fiorentina,3,2021-12-05,Giornata n. 16
0,Juventus,2,Genoa,0,2021-12-05,Giornata n. 16
0,Cagliari,1,Torino,1,2021-12-06,Giornata n. 16
0,Empoli,3,Udinese,1,2021-12-06,Giornata n. 16
0,Genoa,1,Sampdoria,3,2021-12-10,Giornata n. 17
0,Udinese,1,Milan,1,2021-12-11,Giornata n. 17
0,Fiorentina,4,Salernitana,0,2021-12-11,Giornata n. 17
0,Venezia,1,Juventus,1,2021-12-11,Giornata n. 17
0,Napoli,0,Empoli,1,2021-12-12,Giornata n. 17
0,Hellas Verona,1,Atalanta,2,2021-12-12,Giornata n. 17
0,Sassuolo,2,Lazio,1,2021-12-12,Giornata n. 17
0,Inter,4,Cagliari,0,2021-12-12,Giornata n. 17
0,Torino,2,Bologna,1,2021-12-12,Giornata n. 17
0,Roma,2,Spezia,0,2021-12-13,Giornata n. 17
0,Lazio,3,Genoa,1,2021-12-17,Giornata n. 18
0,Salernitana,0,Inter,5,2021-12-17,Giornata n. 18
0,Cagliari,0,Udinese,4,2021-12-18,Giornata n. 18
0,Atalanta,1,Roma,4,2021-12-18,Giornata n. 18
0,Bologna,0,Juventus,2,2021-12-18,Giornata n. 18
0,Milan,0,Napoli,1,2021-12-19,Giornata n. 18
0,Fiorentina,2,Sassuolo,2,2021-12-19,Giornata n. 18
0,Spezia,1,Empoli,1,2021-12-19,Giornata n. 18
0,Torino,1,Hellas Verona,0,2021-12-19,Giornata n. 18
0,Sampdoria,1,Venezia,1,2021-12-19,Giornata n. 18
0,Juventus,2,Cagliari,0,2021-12-21,Giornata n. 19
0,Genoa,0,Atalanta,0,2021-12-21,Giornata n. 19
0,Venezia,1,Lazio,3,2021-12-22,Giornata n. 19
0,Roma,1,Sampdoria,1,2021-12-22,Giornata n. 19
0,Napoli,0,Spezia,1,2021-12-22,Giornata n. 19
0,Sassuolo,0,Bologna,3,2021-12-22,Giornata n. 19
0,Inter,1,Torino,0,2021-12-22,Giornata n. 19
0,Empoli,2,Milan,4,2021-12-22,Giornata n. 19
0,Hellas Verona,1,Fiorentina,1,2021-12-22,Giornata n. 19
0,Lazio,3,Empoli,3,2022-01-06,Giornata n. 20
0,Sampdoria,1,Cagliari,2,2022-01-06,Giornata n. 20
0,Milan,3,Roma,1,2022-01-06,Giornata n. 20
0,Sassuolo,1,Genoa,1,2022-01-06,Giornata n. 20
0,Juventus,1,Napoli,1,2022-01-06,Giornata n. 20
0,Spezia,1,Hellas Verona,2,2022-01-06,Giornata n. 20
0,Roma,3,Juventus,4,2022-01-09,Giornata n. 21
0,Napoli,1,Sampdoria,0,2022-01-09,Giornata n. 21
0,Udinese,2,Atalanta,6,2022-01-09,Giornata n. 21
0,Venezia,0,Milan,3,2022-01-09,Giornata n. 21
0,Hellas Verona,1,Salernitana,2,2022-01-09,Giornata n. 21
0,Inter,2,Lazio,1,2022-01-09,Giornata n. 21
0,Empoli,1,Sassuolo,5,2022-01-09,Giornata n. 21
0,Genoa,0,Spezia,1,2022-01-09,Giornata n. 21
0,Torino,4,Fiorentina,0,2022-01-10,Giornata n. 21
0,Cagliari,2,Bologna,1,2022-01-11,Giornata n. 21
0,Sampdoria,1,Torino,2,2022-01-15,Giornata n. 22
0,Juventus,2,Udinese,0,2022-01-15,Giornata n. 22
0,Salernitana,0,Lazio,3,2022-01-15,Giornata n. 22
0,Atalanta,0,Inter,0,2022-01-16,Giornata n. 22
0,Sassuolo,2,Hellas Verona,4,2022-01-16,Giornata n. 22
0,Roma,1,Cagliari,0,2022-01-16,Giornata n. 22
