,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
60,Giornata n. 7,2021-10-01,Cagliari,Venezia,N,0.5000000000000001,1.333333333333334,-0.16666666666666696,0.1666666666666667,0.1666666666666667,21.666666666666686,30.333333333333314,1.833333333333334,2.166666666666657,-1.5,-1.1666666666666665,0.1666666666666666
61,Giornata n. 7,2021-10-02,Salernitana,Genoa,V,-1.0,0.8333333333333339,-1.0,-0.33333333333333337,-0.33333333333333337,-100.5,-82.5,1.5,-4.5,0.16666666666666785,-0.3333333333333335,0.1666666666666666
62,Giornata n. 7,2021-10-02,Sassuolo,Inter,P,-2.333333333333333,-1.3333333333333321,-2.166666666666666,0.0,-0.1666666666666666,43.333333333333314,47.833333333333314,0.0,4.833333333333343,-1.333333333333334,-0.4999999999999998,0.0
63,Giornata n. 7,2021-10-02,Torino,Juventus,P,-0.16666666666666674,-0.6666666666666661,-1.0,-0.1666666666666666,-0.1666666666666666,-37.5,-19.5,-1.666666666666666,0.1666666666666643,4.5,1.0,0.1666666666666666
64,Giornata n. 7,2021-10-03,Roma,Empoli,V,0.833333333333333,1.0,0.666666666666667,-0.1666666666666667,-0.1666666666666667,67.66666666666669,53.33333333333337,0.833333333333333,2.5,1.3333333333333321,0.833333333333333,0.3333333333333333
65,Giornata n. 7,2021-10-03,Bologna,Lazio,V,-1.0,1.166666666666666,-1.4999999999999996,-0.1666666666666667,-0.16666666666666669,-112.16666666666669,-102.33333333333331,2.166666666666667,-2.1666666666666643,3.166666666666666,1.4999999999999998,0.3333333333333333
66,Giornata n. 7,2021-10-03,Hellas Verona,Spezia,V,0.5,-1.666666666666666,0.16666666666666696,0.3333333333333333,0.3333333333333333,-4.5,4.333333333333314,-0.33333333333333304,4.333333333333343,3.166666666666666,0.8333333333333333,0.0
67,Giornata n. 7,2021-10-03,Fiorentina,Napoli,P,-1.1666666666666665,-6.333333333333334,-2.5,0.16666666666666669,0.0,-116.0,-108.5,-1.666666666666667,-5.666666666666664,4.166666666666666,1.4999999999999998,0.1666666666666667
68,Giornata n. 7,2021-10-03,Atalanta,Milan,P,-0.6666666666666667,-1.166666666666666,-0.16666666666666696,0.0,-0.1666666666666667,-45.0,-29.0,1.333333333333333,-3.5,0.3333333333333339,2.1666666666666665,0.0
69,Giornata n. 7,2021-10-03,Sampdoria,Udinese,N,0.16666666666666674,0.6666666666666679,-0.6666666666666665,-0.1666666666666666,-0.1666666666666666,-33.33333333333337,-11.333333333333371,1.0,3.166666666666657,2.166666666666668,0.9999999999999998,0.0
70,Giornata n. 8,2021-10-16,Spezia,Salernitana,V,0.4285714285714285,1.2857142857142865,0.8571428571428563,-0.1428571428571428,-0.1428571428571428,108.42857142857153,88.42857142857144,-0.5714285714285721,6.5714285714285765,-2.8571428571428577,-0.8571428571428579,0.1428571428571429
71,Giornata n. 8,2021-10-16,Lazio,Inter,V,-1.0,-3.857142857142856,-1.0,0.1428571428571429,0.1428571428571428,127.57142857142844,131.5714285714286,-1.9999999999999996,7.428571428571438,-2.571428571428571,0.1428571428571428,0.1428571428571428
72,Giornata n. 8,2021-10-16,Milan,Hellas Verona,V,0.0,6.142857142857142,0.7142857142857135,-0.1428571428571429,0.0,105.5714285714285,94.85714285714289,1.0000000000000009,6.714285714285715,-2.142857142857144,-0.9999999999999998,-0.1428571428571428
73,Giornata n. 8,2021-10-17,Napoli,Torino,V,1.2857142857142863,2.142857142857144,2.7142857142857153,0.2857142857142857,0.5714285714285714,192.14285714285717,168.1428571428571,1.2857142857142856,9.428571428571438,-9.285714285714286,-1.1428571428571432,0.0
74,Giornata n. 8,2021-10-17,Juventus,Roma,V,-0.7142857142857142,-3.428571428571427,-0.4285714285714288,0.0,0.0,-64.85714285714278,-64.14285714285711,-0.7142857142857144,-4.714285714285708,2.0,-0.8571428571428577,-0.2857142857142857
75,Giornata n. 8,2021-10-17,Genoa,Sassuolo,N,0.4285714285714286,-3.428571428571429,-1.7142857142857144,0.2857142857142857,0.2857142857142857,-110.42857142857144,-108.57142857142861,-1.8571428571428577,-12.428571428571416,2.857142857142856,0.8571428571428572,0.0
76,Giornata n. 8,2021-10-17,Empoli,Atalanta,P,-0.1428571428571428,1.0,0.5714285714285721,0.0,0.0,-62.28571428571428,-67.42857142857144,-0.5714285714285721,-5.571428571428562,-0.8571428571428577,-0.7142857142857144,0.0
77,Giornata n. 8,2021-10-17,Cagliari,Sampdoria,V,-0.2857142857142858,-1.5714285714285712,-1.1428571428571437,0.1428571428571429,0.1428571428571429,-5.0,-9.571428571428612,-1.2857142857142856,-4.285714285714299,-1.0,-0.4285714285714288,0.1428571428571428
78,Giornata n. 8,2021-10-17,Udinese,Bologna,N,-0.4285714285714284,-0.5714285714285712,1.1428571428571432,0.0,-0.1428571428571429,-35.142857142857224,-48.85714285714289,-0.7142857142857144,-9.0,0.4285714285714288,-1.0,-0.2857142857142857
79,Giornata n. 8,2021-10-18,Venezia,Fiorentina,V,-0.7142857142857143,-0.4285714285714288,-1.4285714285714288,-0.2857142857142857,-0.2857142857142857,-108.71428571428567,-104.71428571428578,-1.8571428571428568,-11.0,0.5714285714285694,0.7142857142857144,-0.2857142857142857
80,Giornata n. 9,2021-10-22,Sampdoria,Spezia,V,0.125,0.625,-0.125,0.125,0.125,-4.875,4.125,0.75,2.0,2.375,1.0,-0.25
81,Giornata n. 9,2021-10-22,Torino,Genoa,V,-0.375,1.875,0.25,-0.375,-0.375,14.625,24.25,0.125,5.875,6.125,0.25,0.125
82,Giornata n. 9,2021-10-23,Salernitana,Empoli,P,-0.5,-4.625,-1.5,-0.125,-0.125,-109.0,-96.875,-1.0,-8.5,3.0,0.375,0.125
83,Giornata n. 9,2021-10-23,Sassuolo,Venezia,V,0.375,4.875,2.375,0.0,0.0,107.0,104.5,2.125,12.375,-2.375,-1.375,0.0
84,Giornata n. 9,2021-10-23,Bologna,Milan,P,-0.625,-0.75,0.5,-0.125,-0.125,-20.25,-18.125,1.25,-0.875,-0.375,2.25,0.25
85,Giornata n. 9,2021-10-24,Hellas Verona,Lazio,V,-0.125,-3.625,-1.75,0.0,-0.125,-196.0,-182.625,-0.5,-8.75,4.25,0.25,-0.125
86,Giornata n. 9,2021-10-24,Roma,Napoli,N,-0.375,1.75,-1.0,-0.125,-0.375,-61.25,-56.75,1.375,-3.5,3.25,1.125,0.125
87,Giornata n. 9,2021-10-24,Inter,Juventus,N,1.375,2.125,1.25,0.125,0.25,14.375,15.25,0.375,0.625,-1.5,0.625,0.0
88,Giornata n. 9,2021-10-24,Atalanta,Udinese,N,0.5,3.125,-0.375,0.125,0.25,57.625,76.25,1.5,9.75,0.0,0.5,-0.125
89,Giornata n. 9,2021-10-24,Fiorentina,Cagliari,V,-0.125,-0.375,1.25,0.125,0.125,135.375,124.5,0.5,12.75,0.625,0.75,0.25
90,Giornata n. 10,2021-10-26,Venezia,Salernitana,P,-0.11111111111111105,-1.888888888888891,-0.5555555555555554,0.0,0.0,69.0,49.22222222222223,-2.0,1.0,0.33333333333333215,1.0,-0.1111111111111111
91,Giornata n. 10,2021-10-26,Milan,Torino,V,1.1111111111111114,1.4444444444444393,0.5555555555555558,0.2222222222222222,0.3333333333333333,95.88888888888891,80.88888888888886,0.4444444444444442,5.444444444444436,-6.777777777777777,-1.4444444444444444,-0.1111111111111111
92,Giornata n. 10,2021-10-26,Spezia,Genoa,N,-0.33333333333333326,0.8888888888888857,0.5555555555555554,-0.3333333333333333,-0.3333333333333333,62.666666666666686,64.88888888888886,1.5555555555555554,7.0,-3.2222222222222214,-1.222222222222222,0.2222222222222222
